,0,1,2,zone
0,Andhra_Pradesh,SR,India,3
1,Arunachal_Pradesh,NER,India,5
2,Assam,NER,India,5
3,Bihar,ER,India,4
4,Chandigarh,NR,India,1
5,Chhattisgarh,WR,India,2
6,Dadra_Nagar_Haveli,WR,India,2
7,Daman_Diu,WR,India,2
8,Delhi,NR,India,1
9,Goa,WR,India,2
10,Gujarat,WR,India,2
11,Haryana,NR,India,1
12,Himachal_Pradesh,NR,India,1
13,Jammu_Kashmir,NR,India,1
14,Jharkhand,ER,India,4
15,Karnataka,SR,India,3
16,Kerala,SR,India,3
17,Madhya_Pradesh,WR,India,2
18,Maharashtra,WR,India,2
19,Manipur,NER,India,5
20,Meghalaya,NER,India,5
21,Mizoram,NER,India,5
22,Nagaland,NER,India,5
23,Odisha,ER,India,4
24,Puducherry,SR,India,3
25,Punjab,NR,India,1
26,Rajasthan,NR,India,1
27,Sikkim,ER,India,4
28,Tamil_Nadu,SR,India,3
29,Telangana,SR,India,3
30,Tripura,NER,India,5
31,Uttar_Pradesh,NR,India,1
32,Uttarakhand,NR,India,1
33,West_Bengal,ER,India,4
