Age grouping,Capacity,Age,Avg daily generation,Unnamed: 9,Actual avg PLF,Target PLF,PLF Diff,Coeff of variation,Daily actual coal consumption - calc (tons/MW),Annual actual coal consumption (tons),Daily target coal consumption at 85%(tons/MW),Daily target generation,Annual target coal consumption (tons),Import share,Imported coal,Target SHR,Actual SHR,Efficiency,Target coal used,Actual coal used,GCV,Wtd GCV,BCCL,CCL,ECL,MCL,NCL,NEC,SECL,WCL,Total,Auxiliary consumption (%),"Actual aux, MU","Targeted aux, MU", VC,VC  - ACTUAL,VC - TARGET,Diff,Diff Test,Variation,TOTAL VC - ACTUAL,TOTAL VC - TARGET,INR/Mcal,Fixed cost for FY 2018-19 (INR crore),Unnamed: 53,Actual coal cost (INR crore),Target coal cost (INR crore),Sox control cost (INR crore),Nox control cost (INR crore),Unnamed: 61,wtd PLF,ramp up (%/min),ramp down (%/min),wtd ramp up,wtd ramp down,Unnamed: 68,Actual energy,Target energy,Actual energy-coal cost,Target energy-coal cost,Actual energy-transport cost,Target energy-transport cost,Actual SHR.1,Reallocated SHR,Actual INR/Mcal,Reallocated INR/Mcal,Actual PLF,Reallocated PLF,Actual - pvt,Reallocated-pvt,Actual-cons,Reallocated cons,Actual age,Reallocated age,Actual capacity,Reallocated capacity,Actual aux,Reallocated aux,Unit ID,Group ID
 0-5 years,500.0,3.17590691307323,3.89785620354185,,0.3248213502951542,0.85,0.5251786497048458,0.15,5.465556194533164,997464.0055023024,12.772524301471595,10.2,2330985.6850185664,0.011361835485414404,11333.021933139647,2700.782553714357,2874.3914901616677,0.31842622754551314,2329192.6124893883,947299.5796054145,4316.952317967375,2158476.1589836874,424266.9331803574,524309.1311793022,34129.95821215913,0.0,14757.982930483966,0.0,0.0,0.0,997464.0055023027,0.10083552828968442,0.39304238948136616,1.028522388554781,3.0758627207431,2.4690714166404772,2.451276500654627,0.017794915985850146,0.38486141807670515,0.14866580999520101,351.27911484940813,912.6102411937176,0.8012916915053128,,,295.48820992656437,726.5378033054217,,,,162.41067514757708,,,,,,327.68399968908375,805.6998733438754,163.45366127147673,401.89510110038105,164.23033841760696,403.80477224349437,1148406.3818867921,2823668.15990836,5905526.210232799,15453717.1714133,-136540.7680657065,-934998.8099999999,0.0,0.0,2540402.4445930775,6647783.7,91661.9971542386,239863.2279260774,-1173059.8244559201,-3069690.0000000005,1111148.1289289594,2907678.047429463,['UNCHAHAR STPS6'],Group186
 0-5 years,600.0,4.55030800821355,8.392745518389034,,0.5828295498881274,0.85,0.26717045011187257,0.15,8.578045832618649,1878592.037343484,12.295268456160164,12.24,2692663.791899076,0.0,0.0,2616.1478966981517,2704.4667529961735,0.32872798708852724,2603600.6417279067,1843412.4008072151,4489.130228333277,2693478.136999966,0.0,0.0,0.0,0.0,1878592.037343484,0.0,0.0,0.0,1878592.037343484,0.0932557702539878,0.7826719478630736,1.1414506279088108,1.39269736842105,1.5866281787403564,1.5775754959698092,0.009052682770547271,0.19578784925098247,0.11770231921886966,486.0575419856711,704.797628579472,0.38158009247456304,,,570.5361380498331,805.8143986147871,,,,349.6977299328764,,,,,,315.7696734284882,445.987085698575,312.2550661753644,441.0231212076951,3.5146072531238066,4.963964490879908,2323890.764395011,3282219.1511975015,6055247.680951918,8830987.601430085,-536985.0653667352,-1121998.5720000002,0.0,0.0,5469917.338764184,7977340.44,285897.28413408366,412399.3291170429,-3030956.116511016,-4420353.600000001,2212648.0341746146,3226931.1489258357,"['ANPARA TPS7', 'ANPARA TPS6']",Group187
 0-5 years,660.0,3.300479123887743,6.302793051309619,8.65545516623408,0.3979036017240921,0.85,0.4520963982759079,0.15,4.985739983116955,1201064.7619328743,11.275892801249144,13.464,2716362.575820919,0.0,0.0,2551.0539948637916,2700.5040437575367,0.3371205682047656,2777067.958053316,1359879.1046290342,4519.540231745691,2982896.552952156,6070.518709182192,395908.103367421,3640.750051704465,859.6610979217709,622039.1565106866,0.0,132009.71875339022,40536.85344256814,1201064.7619328746,0.0715676031078519,0.47019715034960413,0.963586208244118,2.6711850674500326,2.1315722466888927,2.116253616677284,0.015318630011608825,0.33130528258455083,0.14906761552107628,489.7720902580605,1040.0032123654178,0.7264273418556232,,,420.88258288268605,859.5025330175013,,,,262.61637713790077,1.0233333333333334,1.0833333333333333,675.4,715.0,,445.7878365710721,910.7129740181803,246.32583516428286,500.29427560809563,199.46200140678926,410.41869841008474,1734234.8757393355,3520607.5761517244,8598968.797511047,18493045.296025004,-302823.4412478472,-1234198.4292000001,-1855815.0773171722,-3726610.3512000004,4107804.4030362107,8775074.484000001,151947.07353309702,329038.5862669399,-2503809.7508049514,-5348627.856000002,1329268.0327129462,2724100.6084992844,"['TANDA STPS5', 'MEJA STPP1', 'BARA TPP3', 'BARA TPP1', 'LALITPUR TPS3', 'LALITPUR TPS1', 'LALITPUR TPS2', 'BARA TPP2']",Group188
 10-15 years,210.0,13.757700205338766,3.27762591003525,,0.6503226011974702,0.8000000000000002,0.1496773988025298,0.15,11.839822051244868,907522.3602279192,14.617993604004104,4.032,,0.0037872784951381347,3610.2502792662403,3064.9192375992866,3114.3982749343177,0.28059485091996933,,851990.93815426,4374.545263732295,918654.505383782,362605.63620751636,308911.96133380814,10872.447957281676,0.0,213947.22696856028,0.0,11185.087760752687,0.0,907522.3602279192,0.10379750046318953,0.33988783455377886,,3.020051819364594,2.804513143795638,,,0.10968659139046989,0.038995413695315936,335.2701729775625,0.0,0.8275048874118328,178.67,,264.4324904087511,0.0,73.5,16.8,,136.56774625146875,1.2266666666666668,1.13,257.6,237.29999999999998,,307.9614585417366,,144.04223258504183,,163.91922595669476,,1046123.2940168168,,5122903.91693716,,-230436.23423816057,,0.0,,2136171.382297059,,333696.3719693524,,-414288.6374025456,,960877.8633482532,,"['PARICHHA TPS3', 'PARICHHA TPS4', 'UNCHAHAR STPS5']",Group189
 10-15 years,300.0,10.2532511978097,3.87720710142178,,0.5385009863085806,0.4925,-0.04600098630858057,0.25,8.785639154497796,962027.4874175086,13.119618381690623,3.546,832381.905648939,0.0,0.0,3055.623339147159,3040.416737901948,0.2814483018839719,894177.9553732123,972831.273100059,4422.903414090648,1326871.0242271943,0.0,962027.4874175086,0.0,0.0,0.0,0.0,0.0,0.0,962027.4874175086,0.09624136011592203,0.3731476848919438,0.3412718629710595,2.96498903508772,2.787874327250929,2.789433003878563,-0.0015586766276340924,-0.03371044278665401,0.011532717183390464,394.5345640913401,361.0335242589985,0.8763869786645442,,,301.0912790244683,276.74807718800923,,,,161.55029589257418,1.11,1.27,333.00000000000006,381.0,,377.0864221095371,346.59902004016436,164.78759360971202,151.46453203057004,212.29882849982508,195.13448800959432,1208303.3501661955,1110612.136963122,6424762.292690164,5875932.467348736,-225163.2264735588,-188337.55441499996,-1430861.5684199398,-1308631.4423999998,2526944.526505486,2311082.451,294358.33274299325,269213.02386036905,-700107.2863037309,-640301.22,1054904.9236876601,964790.5725811559,['ROSA TPP PH-I1'],Group190
 10-15 years,490.0,10.3381245722108,7.66622865395754,,0.6518901916630561,0.8,0.14810980833694398,0.15,10.295105349490376,1841279.5917563536,13.051466545824777,9.408,2196945.6863254225,0.022633605042873307,41674.79505331631,2783.8330093096897,2832.7938463834034,0.30892657609992746,2025234.4855037401,1679312.666640275,4720.174338208047,2312885.425721943,393390.31521374953,874373.1615966946,544185.6763432657,0.0,29330.43860264408,0.0,0.0,0.0,1841279.5917563539,0.0666657726329522,0.5110750563969566,0.6271915889308143,3.48375129689418,2.9436166588592987,2.938598173059243,0.005018485800055483,0.10853782974547929,0.035167399815415945,823.6750007391078,1009.0911038431595,1.0743829011139359,,,527.8659712883183,636.601146417739,,,,319.42619391489745,1.16,0.68,568.4,333.20000000000005,,851.6255670527433,1027.0520203855224,391.5751926007586,472.23581378053194,460.05037445198474,554.8162066049905,2225976.6489796517,2684505.84753752,15573384.44069153,19111665.909206964,-538949.6271237587,-811669.5552,0.0,0.0,4996414.694730576,6131602.848,586839.4034158273,720169.6370595471,-2261008.4831403513,-2774710.8479999998,1444831.6717366779,1773098.218337325,['DADRI (NCTPP)5'],Group191
 10-15 years,500.0,14.6721423682409,9.83250389321468,,0.8193753244345566,0.8,-0.019375324434556584,0.15,12.710577260969348,2319680.3501269063,13.13666755951403,9.6,2256415.839634175,0.0,0.0,2802.586936633812,2796.182012385091,0.3068593479683261,2205815.3054452064,2254075.113250919,4451.988614696289,2225994.3073481447,0.0,0.0,0.0,0.0,2319680.3501269063,0.0,0.0,0.0,2319680.3501269063,0.06635678810214876,0.6524533773555993,0.6370251657806281,1.3619855979097,1.776781910795694,1.777438415531188,-0.0006565047354940567,-0.014198625252131758,0.007621712284640016,637.6628495181609,622.8144208021283,0.445923950474079,,,697.6362475511595,682.6998370352914,,,,409.68766221727833,0.93,0.81,465.0,405.0,,447.4898900554346,437.90911967111117,381.8170981947389,373.64238402151074,65.67279186069572,64.26673564960043,2818080.7285986096,2757745.5456476705,8290239.441474164,8094204.640292462,-868838.323053138,-828234.24,0.0,0.0,6408270.501127361,6256737.600000001,1068202.0250220213,1042942.8303901415,-2959092.0466629583,-2889120.0000000005,1844514.4057328827,1800898.1727691297,['RIHAND STPS4'],Group192
 15-20 years,500.0,15.337440109514,11.0051500848356,,0.9170958404029668,0.75,-0.16709584040296677,0.25,14.062355721747453,2566379.9192189104,13.128831165468856,9.0,2114127.9597335877,0.0,0.0,2824.198728642026,2768.961656165008,0.304511149048466,2083898.5960034754,2498341.090585951,4451.988614696289,2225994.3073481447,0.0,0.0,0.0,0.0,2566379.9192189104,0.0,0.0,0.0,2566379.9192189104,0.06635678810214876,0.7302664122117803,0.5972110929193388,1.3619855979097,1.7789180214083922,1.7845798213372868,-0.005661799928894595,-0.12245117376410211,0.06565191449505013,714.5699832189623,586.2344713092987,0.445923950474079,,,773.2365675363519,644.9666154630756,,,,458.5479202014834,0.92,0.89,460.0,445.0,,495.98275291495594,413.7056250389749,423.19323783866287,352.9909496718556,72.78951507629306,60.71467536711933,3123465.9570382135,2605323.3271722686,9278951.75872826,7588316.850274184,-1088435.3894613804,-727940.25,0.0,0.0,7172535.034316051,5865691.500000001,1249811.703122055,1022094.6776180675,-3311999.918031275,-2708550.0000000005,2064495.2790448405,1688342.0369710594,['RIHAND STPS3'],Group193
 20-25 years,110.0,22.2532511978097,1.75241982008227,,0.6637953863947993,0.7,0.036204613605200664,0.25,12.788249831217382,513448.23072337784,15.37897048169062,1.8479999999999999,,0.0,0.0,3254.607296147159,3266.575498712167,0.2642407890555883,,480148.44412283186,4351.592256518851,478675.14821707364,0.0,513448.23072337784,0.0,0.0,0.0,0.0,0.0,0.0,513448.23072337784,0.12115813368341415,0.21231991483099225,,2.88281798245614,2.8861422126513565,,,0.02653146494216315,0.009192708808964061,184.60724782146124,0.0,0.7713675275921291,91.6,,148.60594345601646,0.0,16.5,8.8,,73.01749250342792,,,,,,161.17032197669573,,81.3321989848395,,79.83812299185624,,586752.1938931785,,2555887.047408353,,-125448.17472644002,,0.0,,1142128.227009789,,288753.5712793746,,-116025.96386782703,,600237.7413034677,,['TANDA STPS4'],Group194
 20-25 years,210.0,20.965092402464,3.503279092730895,,0.6950950580815267,0.7,0.004904941918473182,0.25,12.662139123453752,970552.9638127302,14.817378051848046,3.528,,0.011361835485414404,11027.263104721598,3154.752430645911,3156.3738631818305,0.2726048155722135,,934896.1816666871,4316.952317967375,906559.9867731488,412820.43980982824,510163.55318394955,33209.150320100656,0.0,14359.820498851906,0.0,0.0,0.0,970552.9638127304,0.10083552828968442,0.3532549980617261,,3.10600198415564,2.8042456338312376,,,0.003594439536695518,0.0030348764589617277,358.5706291011911,0.0,0.8012916915053128,128.53,,291.6192566061712,0.0,31.5,16.8,,145.96996219712062,1.25,0.69,262.5,144.9,,323.39349314416324,,161.3134926817931,,162.0800004623701,,1133369.8067034176,,5307714.144273397,,-262683.1642149596,,0.0,,2283239.377373258,,543673.0750390333,,-442810.97404209245,,998667.4227404145,,"['UNCHAHAR STPS3', 'UNCHAHAR STPS4']",Group195
