Unit ID,Plant name,State,Region,Ownership,Age grouping,Age,Capacity,Avg daily generation,Unnamed: 9,Actual avg PLF,Target PLF,PLF Diff,Coeff of variation,Daily actual coal consumption - calc (tons/MW),Annual actual coal consumption (tons),Daily target coal consumption at 85%(tons/MW),Daily target generation,Annual target coal consumption (tons),Not contracted in MERIT,Import share,Imported coal,Target SHR,Actual SHR,Efficiency,Target coal used,Actual coal used,Plant status,GCV,Wtd GCV,Pithead plant,BCCL,CCL,ECL,MCL,NCL,NEC,SECL,WCL,Total,Auxiliary consumption (%),"Actual aux, MU","Targeted aux, MU", VC,VC  - ACTUAL,VC - TARGET,Diff,Diff Test,Variation,TOTAL VC - ACTUAL,TOTAL VC - TARGET,INR/Mcal,Fixed cost for FY 2018-19 (INR crore),Unnamed: 53,FGD status - Jun 2020,Retirement by 2022,Retirement by 2027,Actual coal cost (INR crore),Target coal cost (INR crore),Sox control cost (INR crore),Nox control cost (INR crore),Unnamed: 61,wtd PLF,ramp up (%/min),ramp down (%/min),wtd ramp up,wtd ramp down,FGD status - Feb 2021,Unnamed: 68,Actual energy,Target energy,Actual energy-coal cost,Target energy-coal cost,Actual energy-transport cost,Target energy-transport cost,Actual SHR.1,Reallocated SHR,Actual INR/Mcal,Reallocated INR/Mcal,Actual PLF,Reallocated PLF,Actual - pvt,Reallocated-pvt,Actual-cons,Reallocated cons,Actual age,Reallocated age,Actual capacity,Reallocated capacity,Actual aux,Reallocated aux
DARLIPALI STPS1,DARLIPALI STPS,Odisha,ER,CENTRAL SECTOR, 0-5 years,0.342231348391512,800.0,0.112473118279569,,0.005857974910394219,0.85,0.8441420250896058,0.15,0.09421002002951645,27509.325848618806,11.120397627960301,16.32,3247156.107364408,Contracted,0.0,0.0,2398.8474712799452,2677.896513484246,0.35850549494967787,3333983.8116939757,25649.755138840188,Operational,4310.767445602973,0.0,,,,,,,,,,0.0,0.07480428335097739,0.008413471009152873,1.2208059042879509,2.5963100239817773,1.778001231327187,1.7493987045012465,0.028602526825940444,0.6186041588261649,0.3318342088884936,7.299173011918294,1042.0818202973026,0.591968037748452,,,,,,7.938599215471038,1031.8679897192853,,,,4.686379928315375,,,,,,,6.5077917745494505,845.8900410073913,4.414493440156244,573.8007862704169,2.093298334393206,272.0892547369745,30872.1155584098,4012792.049957092,125889.39391633237,18266719.551668655,-71.05394637867464,-1495998.096,0.0,0.0,73303.62376344028,10636453.920000002,285.01273247812014,41355.728952771984,-54158.05591397807,-7858406.4,23785.252735599573,3451272.0068818256
GADARWARA TPP1,GADARWARA TPP,Madhya Pradesh,WR,CENTRAL SECTOR, 0-5 years,1.06776180698151,800.0,3.30100524392181,,0.17192735645426094,0.85,0.678072643545739,0.15,1.7091506937912078,499072.0025870327,11.14337880523614,16.32,3253866.611128953,Contracted,0.0,0.0,2404.390913593429,2628.542201057516,0.357678942778363,3451198.986528515,763143.019322803,Operational,4150.0,3320000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499072.0025870327,499072.0025870327,0.07354163418981347,0.2427613201071537,1.2001994699777558,3.37105781272532,1.8267944068325281,1.8038188998674594,0.02297550696506878,0.4969051946431885,0.2594324166449932,220.10441395302405,1074.4988422730482,0.6194959518072289,,,,,,236.19276448040753,1068.1460863305754,,,,137.54188516340875,,,,,,,196.19706461497526,887.2715774297849,122.7178389994792,554.9728830118869,73.47922561549609,332.2986944178981,889375.2379299653,4022065.1202590875,3866578.531720172,19116165.220841408,-61204.47266722501,-1495998.096,0.0,0.0,2151408.711191954,10636453.920000002,26098.547291338375,129029.87433264771,-1589500.0450532301,-7858406.4,686296.9334410083,3393016.710403795
KOTHAGUDEM STAGE-7 TPS12,KOTHAGUDEM STAGE-7 TPS,Telangana,SR,STATE SECTOR, 0-5 years,1.96030116358658,800.0,12.1644544656572,,0.6335653367529791,0.85,0.21643466324702088,0.15,8.160329589201828,2382816.2400469338,11.171649989356604,16.32,3262121.796892129,Contracted,0.0,0.0,2411.210393571526,2482.7574599226896,0.3566673411382212,3351166.139156992,2571980.2556538973,Operational,4310.767445602973,0.0,,,,,,,,,,0.0,0.07,0.8515118125960041,1.1424,2.62913705583756,2.0824074512262363,2.075073876925242,0.00733357430099435,0.15860764992068185,0.07264384092104981,924.5942976076187,1236.0800070068283,0.764387903235103,,,,,,796.0278891248812,1037.1859200690892,,,,506.8522694023833,,,,,,,842.6235689232938,1097.897841954252,414.263151115322,539.7648919218442,428.36041780797177,558.1329500324081,3095642.482226279,4033472.7463664487,17581203.097321652,23587184.72401203,-831143.4871743192,-1495998.096,0.0,0.0,7928104.129038054,10636453.920000002,176567.66437543134,236885.61544147786,-5857428.114303255,-7858406.4,2407261.3607286573,3229615.0656
LARA TPP1,LARA TPP,Chhattisgarh,WR,CENTRAL SECTOR, 0-5 years,2.09171800136892,800.0,3.66975672186948,,0.19113316259736876,0.85,0.6588668374026312,0.15,2.008800648859331,586569.7894669247,11.17581261769336,16.32,3263337.284366461,Contracted,0.0,0.0,2412.2144887830254,2630.016889863418,0.35651887674129445,2193752.5598141565,537832.9142710516,Operational,6550.0,5240000.0,,0.0,0.0,0.0,0.0,0.0,0.0,586569.7894669247,0.0,586569.7894669247,0.05248944505724392,0.19262349382601965,0.8566277433342208,2.46613872211645,2.4270883826403646,2.4047636365296245,0.02232474611074009,0.4828307957853962,0.1897360034222091,325.0990725969518,1432.4696030079667,0.9643666809160307,,,Bid Awarded,,,166.4592869668905,678.9664172624814,,,,152.906530077895,,,,,Bid Awarded,,339.7276332870455,1385.706128032661,232.94951348515647,950.1716573225173,106.77811980188896,435.5344707101438,989281.0214211707,4035152.3968362445,6691471.305237953,29758052.09394134,-75642.39677040797,-1495998.096,0.0,0.0,2391740.090059742,10636453.920000002,56837.65428164552,252766.21535934223,-1767061.2567145922,-7858406.4,544555.0924798859,2421724.322026549
YERMARUS TPS2,YERMARUS TPS,Karnataka,SR,STATE SECTOR, 0-5 years,3.09103353867214,800.0,0.780441218637992,,0.040647980137395415,0.85,0.8093520198626045,0.15,0.6169478448531118,180148.77069710864,11.20746593733744,16.32,3272580.053702533,Contracted,0.0,0.0,2419.8497961204657,2687.3982645488704,0.3553939593187821,3363173.4170626197,178612.9438732625,Operational,4310.767445602973,0.0,,,,,,,,,,0.0,0.13221101440955424,0.10318292520315762,2.157683755163925,3.75454148471615,2.3826677198227593,2.355244001808848,0.02742371801391119,0.5931093471957138,0.23741691905906318,67.87292160867761,1402.9717469974944,0.8146521073781305,,,Bid opened,,,55.28070612877474,1040.9021725808807,,,,32.51838410991633,,,,,Bid Awarded,,62.36447641090306,1174.2852711895503,28.768790427634922,541.6988775232376,33.595685983268126,632.5863936663126,214979.0285963899,4047924.7389503145,1202138.5713625983,25138217.992735006,-3421.1422212018756,-1495998.096,0.0,0.0,508647.4913793901,10636453.920000002,17862.39353003218,373524.9439014371,-375798.05559856596,-7858406.4,291702.6695980355,6099866.913933644
KUDGI STPP3,KUDGI STPP,Karnataka,SR,CENTRAL SECTOR, 0-5 years,2.11635865845311,800.0,4.58975221586595,,0.23904959457635153,0.85,0.6109504054236484,0.15,2.676256834725654,781466.995739891,11.176593110506502,16.32,3263565.1882678987,Contracted,0.04890805722374852,38220.03254611743,2423.429352021396,2625.3919606827776,0.35486902033379647,2417611.864105802,736579.2009825222,Operational,5971.13381947289,4776907.055578312,,0.0,0.0,781466.995739891,0.0,0.0,0.0,0.0,0.0,781466.995739891,0.0788136388447238,0.36173507352802975,1.2862385859458925,3.77865221712625,3.0458252468140583,3.0251240794262664,0.02070116738779193,0.44771667610255805,0.14019698246359522,510.25478591324264,1802.0059116326386,1.252399859499316,,,Bid Awarded,,,235.66612959126195,773.5070853314108,,,,191.2396756610812,,,,,Bid Awarded,,550.8321315328386,1807.9499048413634,286.80223138304376,941.3468046868144,264.02990014979474,866.6031001545487,1235114.603328694,4053912.620061391,10868619.848191563,38646067.93136452,-118323.01088232979,-1495998.096,0.0,0.0,2991341.1733012297,10636453.920000002,71924.06866058656,255743.827843942,-2210057.4869837724,-7858406.4,1022640.9692069751,3636253.076966819
WANAKBORI TPS8,WANAKBORI TPS,Gujarat,WR,STATE SECTOR, 0-5 years,0.536618754277891,800.0,1.76293333333333,,0.09181944444444427,0.85,0.7581805555555557,0.15,1.4185237744505705,414208.9421395666,11.126554849041753,16.32,3248954.015920192,Contracted,0.10571332468406133,43787.40438744158,2424.166356491594,2674.799012558261,0.35476113167606455,3311967.2693642345,394757.605319034,Operational,4360.029244830394,3488023.3958643153,,0.0,0.0,0.0,0.0,0.0,0.0,382108.0844845572,32100.857655009368,414208.9421395666,0.09249685616044483,0.16306579095378654,1.5095486925384596,3.29682242990654,2.6655423152910416,2.6398524680442086,0.025689847246832986,0.5556098747222223,0.19880383231414925,171.51982906485335,1572.5073181645744,1.034324812556965,,,,,,131.091250115835,1099.8393034956218,,,,73.45555555555542,,,,,,,178.02330164000267,1493.59338558997,81.62860458618175,684.8538520614886,96.39469705382093,808.7395335284814,483337.9647686185,4055145.481139139,3447743.758116595,31916792.920395702,-17456.714565196227,-1495998.096,0.0,0.0,1148980.3409333313,10636453.920000002,7004.827964042867,64845.782997946495,-848887.6586666652,-7858406.4,460994.1659211565,4267560.573948697
YERMARUS TPS1,YERMARUS TPS,Karnataka,SR,STATE SECTOR, 0-5 years,4.17522245037645,800.0,1.02148735543902,,0.05320246642911563,0.85,0.7967975335708843,0.15,0.8074976147244327,235789.30349953435,11.241807621115674,16.32,3282607.8253657767,Contracted,0.0,0.0,2428.1335816153314,2691.531898444899,0.3541815024146569,3374686.448662204,234138.71147296298,Operational,4310.767445602973,0.0,,,,,,,,,,0.0,0.13221101440955424,0.13505187946912572,2.157683755163925,3.75454148471615,2.3911192940938166,2.364120966618786,0.026998327475030504,0.5839091685514155,0.23290801193063954,89.15118153560348,1408.2595773954786,0.8146521073781305,,,Bid opened,,,72.46593120088204,1044.4654558609523,,,,42.561973143292505,,,,,Bid Awarded,,81.75184749709888,1178.305160073526,37.71220257218146,543.5532559691256,44.03964492491741,634.7519041044001,281809.9946047801,4061781.855326127,1573429.6457014994,25138217.992735006,-5860.797580897666,-1495998.096,0.0,0.0,665747.7442395709,10636453.920000002,31579.72556634094,504539.89322381874,-491866.591390997,-7858406.4,381797.6055419151,6099866.913933644
KUDGI STPP2,KUDGI STPP,Karnataka,SR,CENTRAL SECTOR, 0-5 years,3.10746064339493,800.0,5.58146434044882,,0.29070126773170935,0.85,0.5592987322682906,0.15,3.4262952142111267,1000478.2025496489,11.207986265879535,16.32,3272731.9896368245,Contracted,0.04890805722374852,48931.44518141129,2431.001903408117,2615.8899564925246,0.35376360618818614,2425166.2374399444,892490.6705367381,Operational,5971.13381947289,4776907.055578312,,0.0,0.0,1000478.2025496489,0.0,0.0,0.0,0.0,0.0,1000478.2025496489,0.0788136388447238,0.4398955147528378,1.2862385859458925,3.77865221712625,3.052189906032059,3.033238880590907,0.018951025441151792,0.4098652969808488,0.12807665432846463,621.8026529090457,1806.8397363903914,1.252399859499316,,,Bid Awarded,,,285.54949928146823,775.9240826112282,,,,232.56101418536747,,,,,Bid Awarded,,667.4265819197208,1813.599251931927,347.50956238928495,944.2882550102048,319.91701953043577,869.3109969217222,1496550.8923468771,4066579.984021099,13217012.871168736,38646067.93136452,-174979.4474480703,-1495998.096,0.0,0.0,3637683.1043693055,10636453.920000002,128424.98651484845,375510.0188911698,-2687586.709212916,-7858406.4,1243603.9756089214,3636253.076966819
KUDGI STPP1,KUDGI STPP,Karnataka,SR,CENTRAL SECTOR, 0-5 years,3.35660506502395,800.0,6.40953267828451,,0.3338298269939849,0.85,0.5161701730060151,0.15,4.034247447350044,1178000.2546262126,11.215877915434634,16.32,3275036.351306913,Contracted,0.04890805722374852,57613.703862849135,2432.9055005799173,2603.536494074723,0.35348680817853667,2427065.2649907926,1020060.8880949911,Operational,5971.13381947289,4776907.055578312,,0.0,0.0,1178000.2546262126,0.0,0.0,0.0,0.0,0.0,1178000.2546262126,0.0788136388447238,0.5051585936697706,1.2862385859458925,3.77865221712625,3.0527684660041863,3.035278789170969,0.017489676833217338,0.378259826182268,0.1181780254109045,714.1889023362962,1808.054869133363,1.252399859499316,,,Bid Awarded,,,326.3651771922298,776.5316703252155,,,,267.0638615951879,,,,,Bid Awarded,,762.8267435913885,1815.0193916701626,397.181645180821,945.0276803677419,365.64509841056747,869.9917113024206,1710463.8543825177,4069764.3213700852,15177894.319441417,38646067.93136452,-230750.9321611718,-1495998.096,0.0,0.0,4177371.2611095207,10636453.920000002,159302.41112184632,405616.9895687877,-3086318.1752475575,-7858406.4,1428105.5712825628,3636253.076966819
