0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
70.83,70.83,70.83,70.83,70.83,70.83,70.83,65.45,64.61,65.45,65.45,65.45,65.54,65.5,65.34,64.61,70.83,70.83,72.47,72.37,70.83,70.83,70.83,70.83,69.08,71.3,71.3,71.3,71.3,71.3,68.71,63.56,67.07,67.07,67.07,67.11,67.09,67.07,67.02,60.77,68.56,71.3,71.01,71.01,71.3,71.3,71.3,71.01,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,61.11,61.17,61.2,61.22,61.24,61.22,61.11,61.11,61.11,77.55,78.3,77.55,77.55,77.55,77.57,77.55,71.47,71.47,71.47,71.47,71.47,71.47,71.47,70.39,55.43,55.43,55.43,55.43,55.43,55.43,55.43,55.43,55.43,71.47,71.47,71.47,71.47,71.47,71.47,71.47,81.81,77.16,76.4,77.13,77.13,76.51,56.34,48.38,48.38,48.38,48.38,48.38,48.38,48.38,48.38,48.38,48.38,58.86,75.66,81.81,89.86,81.81,77.16,77.16,210.61,210.92,211.11,211.01,211.11,148.2,66.26,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,55.46,121.93,131.66,137.81,137.81,137.81,137.81,131.66,214.82,214.82,199.66,200.74,200.74,199.58,125.2,48.01,48.01,48.01,48.01,48.08,48.06,48.01,48.01,48.01,48.01,71.82,81.32,82.74,82.74,82.74,82.74,82.74
61.28,61.28,61.28,61.28,61.28,61.28,61.29,61.28,61.29,61.28,61.28,61.28,61.28,61.28,61.28,61.28,61.28,61.28,64.24,65.78,64.24,64.24,64.24,61.28,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,68.92,68.92,70.46,70.71,68.93,68.92,64.56,65.06,65.17,65.19,65.06,64.79,64.79,64.79,65.06,63.21,59.31,59.7,59.75,59.75,59.77,59.75,59.64,66.26,66.26,66.26,66.26,66.26,66.26,66.26,65.94,65.02,65.02,65.02,63.03,65.26,66.9,62.59,66.9,66.56,62.59,62.59,62.59,62.59,62.96,62.59,62.59,62.59,67.48,69.54,68.53,68.55,68.44,68.44,63.23,63.68,64.38,64.52,64.54,64.54,64.38,64.38,63.42,60.02,60.47,60.47,60.47,60.44,60.47,60.47,61.73,61.99,65.83,67.03,67.03,67.03,65.65,61.73,65.56,62.33,62.33,62.33,62.33,62.33,62.33,62.32,61.72,57.17,56.15,57.23,57.23,57.23,57.23,57.23,58.81,61.72,62.32,62.32,62.32,62.37,62.51,62.33,62.32,62.53,62.41,62.41,62.41,62.53,62.53,62.53,62.53,59.91,59.87,60.62,60.62,60.62,60.62,60.62,62.53,62.53,63.16,64.77,64.93,65.14,64.77,63.16,63.16
105.64,99.48,98.08,98.08,96.88,94.15,76.19,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,76.22,90.16,96.31,96.31,96.31,96.31,96.31,272.96,240.7,272.96,238.07,219.44,211.11,75.98,55.84,55.84,55.84,55.84,55.84,55.84,55.84,55.84,55.84,62.72,62.72,62.72,64.25,63.4,63.4,62.72,63.02,62.04,62.04,62.04,62.04,62.07,61.75,61.75,54.95,54.95,54.95,54.95,54.95,54.92,54.95,54.95,54.95,54.95,55.89,57.52,59.06,59.06,57.9,57.52,57.52,75.26,75.26,75.26,75.26,74.85,74.85,74.85,61.59,52.63,54.49,54.57,54.57,54.5,54.49,52.49,54.48,58.77,70.64,69.11,69.11,69.11,69.11,69.11,69.11,251.95,251.95,253.48,251.95,251.95,251.95,89.93,61.16,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.99,66.95,67.47,66.95,67.5,67.73,67.73,66.95,71.82,71.82,71.82,71.82,72.05,71.82,71.82,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,71.25,70.92,70.94,70.94,71.04,70.94,70.94,70.94,70.92,69.28,69.28,69.28,71.53,69.28,69.28,66.63,50.43,49.84,49.84,50.43,49.84,49.84,49.84,49.84,49.84,53.76,68.94,69.28,69.28,69.28,69.28,69.28,69.28
53.72,53.72,53.72,53.72,53.72,55.98,55.98,55.98,51.74,51.74,51.76,51.76,51.76,51.76,51.76,52.03,55.98,55.98,55.98,55.98,55.98,54.63,53.72,53.72,58.43,58.43,58.43,58.43,58.39,63.78,63.78,63.78,55.33,56.42,56.45,56.45,56.45,56.45,56.44,55.67,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,195.73,195.73,195.73,195.73,195.73,199.12,211.11,195.73,72.76,69.19,69.22,69.23,69.22,69.22,69.22,68.67,73.56,73.73,73.56,73.89,73.56,73.89,73.89,73.88,55.39,55.39,55.39,55.48,55.48,55.41,53.97,57.94,59.09,57.47,57.9,57.92,57.9,57.9,57.9,57.94,62.22,62.22,62.22,62.22,62.22,62.22,56.71,48.4,48.94,48.94,48.94,48.94,48.94,53.72,53.72,53.72,53.13,49.18,49.48,49.48,49.46,49.48,49.48,49.12,53.72,53.72,53.72,53.72,53.72,53.72,53.72,53.72,53.66,51.88,51.88,51.88,53.66,56.03,56.03,56.03,51.89,49.85,49.82,49.84,49.84,49.81,49.78,49.82,55.93,56.03,56.03,56.03,55.93,55.93,55.93,53.66,57.11,57.11,57.11,57.11,57.11,57.76,59.65,57.76,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11,59.87,62.27,63.81,63.9,61.78,57.11,57.11,57.11
210.88,211.2,211.2,211.11,211.11,210.69,210.52,56.72,56.72,56.72,56.72,56.72,56.72,56.72,56.72,56.72,56.72,58.71,78.04,84.19,84.19,84.19,84.19,78.04,211.12,211.11,211.11,211.11,211.11,210.69,88.93,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.32,69.46,95.08,95.08,95.08,95.08,95.08,88.93,210.9,210.9,210.9,211.12,211.12,210.67,95.12,57.75,57.75,57.75,57.75,57.75,57.75,57.75,57.75,57.75,57.75,90.08,93.13,93.8,91.39,90.08,87.65,87.65,70.49,70.49,65.05,65.05,64.76,64.34,58.51,55.85,55.85,56.0,55.85,55.85,55.85,55.85,55.85,55.85,55.85,67.41,70.23,70.49,70.49,64.39,64.39,64.34,52.48,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,52.25,61.03,59.39,59.33,59.16,59.13,59.0,59.0,59.24,59.24,59.24,59.24,59.24,59.24,59.24,52.7,51.78,51.92,52.03,50.11,52.7,52.65,52.51,52.7,52.7,68.86,68.86,68.86,68.86,68.65,68.53,68.01,70.13,70.13,70.13,70.13,70.13,70.13,69.44,53.4,51.82,52.02,51.88,51.89,51.89,51.88,51.82,53.4,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01
76.52,76.52,76.52,76.52,76.52,76.52,76.52,68.26,68.26,68.63,68.64,68.64,68.64,68.64,68.26,68.26,68.26,75.08,76.52,76.52,76.52,76.52,76.52,74.41,54.12,54.12,54.12,54.12,54.12,54.12,55.66,50.49,50.38,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,54.07,54.07,54.07,54.07,54.07,54.07,211.11,211.11,211.11,211.11,211.11,211.11,211.11,45.55,30.22,30.18,30.22,30.22,30.22,30.22,30.22,30.22,30.22,45.55,54.32,54.32,54.32,54.32,54.32,54.32,211.12,211.12,211.12,211.12,211.12,211.12,211.12,54.38,54.38,54.38,54.38,54.38,54.38,54.38,54.38,54.38,54.38,54.38,71.1,71.1,71.1,71.1,72.53,71.1,134.69,110.47,99.66,99.56,99.56,99.33,94.7,59.62,55.41,55.41,55.56,55.56,55.56,55.56,55.56,55.41,55.41,61.94,86.18,103.69,103.73,103.55,85.41,85.41,683.68,365.28,211.12,211.11,204.33,211.12,211.11,51.55,49.34,49.34,49.34,49.34,49.36,49.36,49.34,49.34,49.34,67.83,67.83,73.98,79.76,79.75,67.83,67.44,68.95,66.6,65.77,65.77,65.77,65.77,65.77,59.33,59.33,59.33,59.43,59.39,59.33,59.33,59.33,59.33,59.33,69.85,66.56,66.6,66.56,66.56,66.56,66.56
55.39,55.39,55.39,55.39,55.39,55.39,55.39,43.73,41.88,41.86,41.86,41.88,41.9,41.89,41.86,42.11,49.06,55.39,55.39,55.39,55.39,55.39,55.39,55.39,52.77,52.77,52.77,52.77,52.77,52.77,52.77,50.04,44.37,44.5,44.5,44.5,44.5,44.5,44.37,44.37,51.5,52.77,52.77,52.77,52.77,52.77,52.77,52.77,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.15,40.25,40.23,40.25,40.25,40.25,40.25,40.25,40.55,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,55.37,55.37,55.37,55.37,55.33,55.14,55.14,41.59,31.87,31.88,31.88,31.89,31.9,31.88,31.87,32.2,46.97,54.23,54.23,54.7,54.7,54.7,54.23,55.78,211.11,211.11,211.12,211.11,211.12,211.12,211.12,47.13,39.08,39.08,39.08,39.3,39.54,39.3,39.08,39.08,39.08,57.73,57.7,57.73,57.7,57.8,57.82,57.88,54.07,54.07,54.07,54.07,54.07,53.79,53.79,31.58,30.34,30.42,30.43,30.4,30.4,30.34,30.4,32.51,52.36,52.36,52.36,52.36,52.36,52.36,52.36,52.36,51.75,51.75,51.75,51.75,51.75,51.75,51.75,43.11,40.62,43.09,43.09,43.09,43.09,43.09,43.35,43.22,51.75,51.75,51.75,51.75,51.75,51.75,51.75,51.75
211.11,211.11,211.11,211.11,211.11,211.11,211.12,211.11,50.94,46.26,46.26,46.26,46.26,46.26,46.26,46.26,195.73,195.73,209.86,195.73,195.73,195.73,195.73,195.73,63.97,63.97,63.97,63.97,63.97,63.97,63.97,56.33,56.09,56.09,56.09,56.06,56.16,56.09,56.09,56.09,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,51.92,51.92,51.92,51.92,52.03,51.95,51.92,51.92,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,61.18,61.18,61.18,61.18,61.18,67.43,68.65,61.17,53.17,53.17,53.17,53.17,53.17,53.17,53.17,53.17,61.17,61.17,61.17,61.17,61.17,61.17,61.17,61.17,57.36,57.36,57.36,57.36,57.36,57.36,57.36,54.41,47.13,47.13,47.13,47.13,47.13,47.13,47.13,48.78,57.27,57.27,57.27,57.27,57.27,57.27,50.93,50.93,57.24,57.24,57.24,56.0,64.64,64.95,64.04,58.23,56.49,56.7,56.02,55.97,56.06,56.49,56.49,56.49,71.81,71.81,73.63,71.81,71.81,71.81,71.81,71.81,75.33,74.96,74.96,74.96,74.96,74.96,74.96,73.21,63.55,63.58,63.6,63.6,63.55,63.55,63.55,63.55,71.39,70.37,71.29,71.29,71.29,71.44,71.29,69.95
78.74,78.96,78.89,78.89,78.74,78.74,76.14,45.55,28.62,28.62,28.62,28.62,28.62,28.62,28.62,29.47,32.53,62.26,62.26,62.26,62.26,62.26,62.26,60.6,194.88,194.88,194.88,194.88,194.88,194.88,58.72,53.65,40.18,40.18,40.18,40.18,40.18,40.18,40.18,40.18,60.55,112.61,115.21,121.52,115.21,115.21,115.21,115.28,478.87,297.03,95.74,95.44,95.74,95.69,90.11,53.96,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,57.43,57.43,59.03,57.43,57.43,57.43,57.43,57.57,57.57,57.57,57.57,54.25,57.57,57.57,34.97,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,31.79,53.34,53.34,53.34,53.34,53.34,53.34,53.05,51.86,51.88,51.88,51.88,51.88,51.75,50.51,36.94,29.89,29.89,29.89,29.89,29.93,29.89,29.89,29.89,36.94,51.29,51.29,51.29,51.29,51.29,51.29,51.29,210.58,210.58,210.58,210.58,210.58,210.58,211.12,54.5,54.28,54.28,54.5,54.5,54.5,54.5,54.5,54.5,54.5,64.47,76.84,76.84,76.84,76.84,74.94,75.04,72.37,72.37,72.37,72.37,72.37,72.22,69.88,50.88,50.88,50.88,50.88,50.88,50.88,50.88,50.88,50.88,50.88,69.77,75.92,86.05,86.06,69.88,69.88,69.88
91.31,90.14,91.31,91.31,91.31,91.31,91.31,49.07,49.07,49.12,49.12,49.12,49.12,49.12,49.12,49.07,49.12,55.2,55.2,55.2,52.97,52.97,52.97,54.08,63.02,69.86,70.08,70.08,70.08,70.08,70.08,53.11,41.7,42.08,42.08,42.08,42.08,42.08,41.91,41.7,42.08,53.44,53.44,53.44,53.44,53.44,53.44,53.44,220.26,220.26,220.26,220.26,220.26,220.26,210.04,50.21,42.66,43.11,43.14,43.18,43.14,43.11,43.11,43.11,43.11,51.43,51.43,51.43,51.43,51.43,51.43,51.43,57.6,57.6,57.6,57.6,57.6,57.6,57.6,47.13,46.99,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,57.59,57.59,57.59,57.59,57.59,57.6,57.69,211.42,211.12,211.12,211.12,210.42,211.12,192.75,47.13,44.37,44.37,44.37,44.37,44.37,44.37,44.37,44.37,44.37,60.83,60.83,60.83,60.83,60.83,60.83,61.97,107.86,107.51,107.51,107.36,107.27,107.27,107.27,54.29,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,31.2,54.47,54.47,54.47,54.47,54.47,54.47,54.47,59.51,59.51,60.95,59.51,59.51,59.51,59.51,45.55,26.46,26.46,26.46,26.46,26.46,26.46,26.46,26.46,41.96,60.29,60.29,60.29,60.29,59.28,60.29,60.29
60.6,60.6,60.6,60.6,60.39,60.31,56.6,54.5,55.8,56.67,56.68,56.6,56.36,56.36,56.05,58.32,60.6,62.63,62.61,62.63,62.63,62.63,62.63,62.63,71.37,71.37,71.37,71.37,71.37,71.37,59.67,58.08,58.21,58.32,58.33,58.33,57.91,57.91,58.08,59.66,71.37,82.87,82.87,82.87,81.85,81.85,82.87,82.87,211.11,211.11,211.11,211.11,211.11,211.07,200.05,74.42,74.42,74.43,74.42,74.42,74.42,74.42,74.42,74.42,87.13,99.73,99.73,99.73,99.73,99.73,99.73,99.73,211.12,211.12,211.12,211.12,211.06,175.61,55.26,53.94,53.94,53.94,53.94,53.94,53.94,53.94,53.94,55.83,83.49,152.89,165.13,165.13,165.13,165.13,165.13,165.13,63.63,63.37,63.37,63.37,63.37,64.91,65.71,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,63.44,63.37,63.37,64.3,64.3,64.3,63.37,63.37,61.6,61.6,61.95,61.6,61.6,64.92,61.6,61.59,64.15,64.17,61.92,61.6,61.6,61.6,61.59,61.6,61.59,61.6,64.17,69.95,69.95,69.95,69.22,69.22,62.62,61.62,62.76,60.19,60.19,60.19,56.28,60.19,60.19,60.22,60.19,60.33,59.98,57.84,57.9,61.17,60.19,60.19,60.19,63.4,63.4,60.19,60.19,60.19
