0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
84.86,85.01,85.01,85.01,84.86,84.86,82.25,51.67,34.74,34.74,34.74,34.74,34.74,34.74,34.74,35.59,38.65,68.38,68.38,68.38,68.38,68.38,68.38,66.72,201.0,201.0,201.0,201.0,201.0,201.0,64.84,59.77,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,66.67,118.72,121.33,127.64,121.33,121.33,121.33,121.33,484.99,303.14,101.86,101.56,101.86,101.8,96.23,60.07,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,63.54,63.54,65.14,63.54,63.54,63.54,63.54,63.69,63.69,63.69,63.69,60.37,63.69,63.69,41.09,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,37.9,59.45,59.45,59.45,59.45,59.45,59.45,59.17,57.98,58.0,58.0,58.0,58.0,57.86,56.62,43.05,36.01,36.01,36.01,36.01,36.05,36.01,36.01,36.01,43.05,57.41,57.41,57.41,57.41,57.41,57.41,57.41,216.7,216.7,216.7,216.7,216.7,216.7,216.7,60.62,60.4,60.4,60.62,60.62,60.62,60.62,60.62,60.62,60.62,70.59,82.96,82.96,82.96,82.96,81.05,81.16,78.48,78.48,78.48,78.48,78.48,78.34,75.99,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,75.89,75.99,92.17,92.18,75.99,75.99,75.99
67.4,67.4,67.4,67.4,67.4,67.4,67.41,67.4,67.41,67.4,67.4,61.24,66.15,66.15,66.15,66.15,67.4,67.4,70.36,71.9,70.36,70.36,70.36,67.4,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,75.04,75.04,76.58,76.83,75.04,75.04,70.67,71.17,71.28,71.3,71.17,70.9,70.9,70.9,71.17,69.32,64.02,59.67,59.72,65.87,65.89,65.87,65.76,72.38,72.38,72.38,72.38,72.38,72.38,72.38,72.06,71.14,71.14,71.14,69.15,71.37,73.02,68.7,73.02,72.68,68.7,68.7,68.7,68.7,69.08,68.7,68.7,68.7,73.59,75.66,74.65,74.66,74.56,74.56,69.35,69.79,70.5,70.63,70.65,70.65,70.5,70.5,69.54,66.14,66.59,66.59,66.59,66.55,66.59,66.59,67.85,68.1,71.95,73.14,73.14,73.14,71.77,67.85,71.68,68.45,68.45,68.45,68.45,68.45,68.45,68.44,67.84,63.29,62.27,63.35,63.35,63.35,63.35,63.35,64.92,67.84,68.43,68.43,68.43,68.49,68.62,68.45,68.43,68.65,68.53,68.53,68.53,68.65,68.65,68.65,68.65,66.03,65.99,66.74,66.74,66.74,66.74,66.74,68.65,68.65,69.27,70.88,71.05,71.25,70.88,69.27,69.27
76.95,76.95,76.95,76.95,76.95,76.95,76.95,71.57,70.73,70.73,71.57,71.57,65.5,71.62,71.46,70.73,76.95,76.95,78.59,78.48,76.95,76.95,76.95,76.95,75.2,77.42,77.42,77.42,77.42,77.42,74.82,69.68,73.19,73.19,73.19,73.23,73.21,73.19,73.14,66.89,74.67,77.42,77.13,77.13,77.42,77.42,77.42,77.13,74.7,74.7,74.7,74.7,74.7,73.4,74.7,72.23,67.23,67.23,67.32,67.34,67.36,67.33,67.23,67.23,67.23,83.67,83.67,83.67,83.67,83.67,83.67,83.67,77.58,77.58,77.58,77.58,77.58,77.58,77.58,76.51,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,71.43,71.43,71.43,71.43,71.43,71.43,71.43,81.77,81.77,81.77,77.1,77.1,76.48,56.3,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,64.98,81.77,87.92,89.83,81.77,81.77,81.77,216.73,217.04,211.08,210.97,211.08,148.17,66.22,59.92,59.92,59.92,59.92,59.92,59.92,59.92,59.92,59.92,61.58,128.05,137.77,137.77,137.77,137.77,137.77,137.77,220.94,220.94,205.77,206.86,206.86,205.7,131.32,54.13,54.13,54.13,54.13,54.2,54.18,54.13,54.13,54.13,54.13,77.94,82.7,82.7,82.7,82.7,82.7,82.7
61.51,61.51,61.51,61.51,61.51,61.51,61.51,49.85,48.0,47.98,47.98,48.0,48.01,48.01,47.98,48.22,55.18,61.51,61.51,61.51,61.51,61.51,61.51,61.51,58.89,58.89,58.89,58.89,58.89,58.89,58.89,56.16,50.49,50.62,50.62,50.62,50.62,50.62,50.49,50.49,57.62,58.89,58.89,58.89,58.89,58.89,58.89,58.89,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.27,46.37,46.34,46.37,46.37,46.37,46.37,46.37,46.67,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.62,61.26,61.26,61.26,61.26,61.26,61.26,61.26,47.7,37.98,38.0,38.0,38.0,38.02,38.0,37.98,38.31,53.09,60.34,60.34,60.82,60.82,60.82,60.34,60.82,217.23,217.23,217.23,217.23,217.23,217.23,217.24,53.25,45.2,45.2,45.2,45.42,45.65,45.42,45.2,45.2,45.2,63.85,63.82,63.85,63.82,63.85,63.85,63.85,54.5,54.5,54.5,54.5,54.5,54.5,54.5,37.7,36.46,36.54,36.54,36.52,36.52,36.46,36.52,38.63,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,57.87,57.87,57.87,57.87,57.87,57.87,57.87,49.22,46.74,49.21,49.21,49.21,49.21,49.21,49.47,49.34,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87
82.64,82.64,82.64,82.64,82.64,82.64,82.64,74.37,74.37,74.75,74.76,74.76,74.76,74.76,74.37,74.37,74.37,81.2,82.64,82.64,82.64,82.64,82.64,80.53,60.24,60.24,60.24,60.24,60.24,60.24,61.78,56.61,56.49,56.61,56.61,56.61,56.61,56.61,56.61,56.61,56.61,56.61,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,217.23,217.23,217.23,217.23,217.23,51.67,36.34,36.3,36.34,36.34,36.34,36.34,36.34,36.34,36.34,51.67,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,77.22,77.22,77.22,77.22,77.22,77.22,134.65,110.43,105.77,105.68,105.68,105.45,100.81,65.74,61.53,61.53,61.68,61.68,61.68,61.68,61.68,61.53,61.53,68.06,91.53,109.81,109.85,109.67,91.53,91.53,689.8,371.4,217.24,217.23,210.45,217.24,217.23,57.67,55.46,55.46,55.46,55.46,55.47,55.47,55.46,55.46,55.46,73.95,73.95,73.95,79.73,85.87,73.95,73.56,75.06,72.72,71.88,71.88,71.88,71.88,71.88,65.44,65.44,65.44,65.55,65.51,65.44,65.44,65.44,65.44,65.44,72.72,72.68,72.72,72.68,72.68,72.68,72.68
66.72,66.72,66.72,66.72,60.35,60.28,60.04,60.62,61.92,60.04,60.04,60.04,62.48,62.48,62.17,64.02,66.72,68.75,68.72,68.75,68.75,68.75,68.75,68.75,71.33,71.33,71.33,71.33,71.33,71.33,64.2,64.2,58.17,58.28,58.29,58.29,57.87,57.87,64.2,59.63,71.33,82.84,82.84,82.84,82.84,82.84,82.84,82.84,211.08,211.08,211.08,211.08,211.08,211.04,200.01,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53,87.1,99.69,99.69,99.69,99.69,99.69,99.69,99.69,217.24,217.24,217.24,217.24,217.18,181.73,61.37,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,61.94,83.45,159.01,165.1,165.1,165.1,165.1,165.1,165.1,69.74,69.49,69.49,69.49,69.49,64.87,65.67,63.41,63.41,63.41,63.41,57.25,63.41,63.41,63.41,63.41,69.56,69.49,69.49,70.42,70.42,70.42,69.49,69.49,67.71,67.71,68.07,67.71,67.71,71.04,67.71,67.7,70.26,70.29,61.88,67.71,67.71,67.71,61.55,67.71,64.02,67.71,70.29,76.06,76.06,76.06,75.33,75.33,68.73,67.74,68.87,66.3,66.3,66.3,62.4,66.3,66.3,64.02,64.02,66.45,64.02,63.95,64.02,67.28,66.3,66.3,66.3,69.52,69.52,66.3,66.3,66.3
217.0,217.23,217.23,217.23,217.23,216.81,216.64,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,64.83,84.16,84.16,84.16,84.16,84.16,84.16,217.24,217.23,217.23,217.23,217.23,216.81,95.04,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,75.57,95.04,95.04,95.04,95.04,95.04,95.04,217.01,217.01,217.01,217.24,217.24,216.78,101.23,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,93.76,93.76,93.76,93.76,96.19,93.76,93.76,76.61,76.61,71.17,71.17,70.88,70.45,64.63,61.97,61.97,62.11,61.97,61.97,61.97,61.97,61.97,61.97,61.97,70.45,70.45,70.45,70.45,70.45,70.51,70.45,58.6,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,65.25,65.25,65.25,65.25,65.25,65.11,65.11,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,57.9,58.03,58.15,56.23,58.82,58.76,58.62,58.82,58.82,68.93,68.93,68.93,68.93,68.93,68.93,68.93,76.25,76.25,76.25,76.25,76.25,76.25,75.55,59.52,57.94,58.14,57.99,58.01,58.01,57.99,57.94,59.52,66.13,66.13,66.13,66.13,66.13,66.13,66.13,66.13
59.91,59.91,59.91,59.91,59.91,59.91,59.91,59.91,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,55.06,62.33,66.04,62.33,62.33,62.33,62.33,59.91,60.53,60.53,60.53,60.53,60.53,60.53,60.42,59.01,46.89,46.89,46.89,46.89,47.11,46.89,46.89,46.89,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,61.91,61.91,61.91,61.94,61.94,61.91,61.91,59.81,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,61.91,63.66,63.66,63.66,63.66,63.66,63.66,63.66,64.61,64.61,64.61,64.61,64.61,64.61,64.61,62.01,59.85,54.5,58.03,58.15,58.15,58.15,58.13,58.15,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.19,64.19,64.19,64.19,64.19,64.19,64.19,63.82,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,51.99,64.19,64.19,64.19,64.19,64.19,64.19,64.19,62.22,62.22,62.22,62.22,62.22,62.22,62.22,62.22,45.92,47.11,47.11,47.11,45.8,47.11,47.11,47.11,62.22,62.22,62.22,62.22,62.22,62.22,62.22,62.22,67.07,67.07,67.07,67.07,67.07,60.98,60.92,60.92,56.63,56.63,56.63,56.63,56.63,56.63,56.63,56.63,67.07,67.07,67.07,67.07,67.07,67.07,67.07,67.07
55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,54.49,50.02,54.49,54.49,54.49,54.49,50.02,54.49,55.72,55.72,57.01,58.03,59.5,59.58,57.12,57.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,60.5,58.01,58.28,58.28,58.28,58.01,58.01,59.39,58.01,58.01,58.01,69.74,69.74,69.74,69.74,69.74,69.74,69.75,68.25,66.88,66.88,66.88,69.78,66.88,66.88,64.75,66.9,66.89,66.88,66.88,66.88,66.88,66.89,65.36,66.88,68.42,75.38,77.63,77.63,74.69,75.38,77.51,77.51,77.51,77.51,77.51,77.51,77.51,70.16,69.76,69.76,69.76,69.76,69.76,69.78,69.76,69.75,69.76,78.48,79.9,79.9,79.9,79.9,79.9,79.9,287.6,287.6,287.6,287.6,287.6,283.24,217.23,61.73,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,66.52,87.1,88.69,88.69,88.69,88.69,88.69,217.4,217.4,217.4,217.4,217.4,217.23,217.05,57.71,53.51,53.55,53.59,53.59,53.55,53.51,53.51,53.51,53.51,67.44,84.65,94.28,94.28,84.65,84.65,84.65,120.36,120.36,120.36,120.36,120.36,120.36,120.36,63.83,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,72.6,72.6,72.6,72.6,72.64,72.6,72.6
217.23,217.23,217.23,217.23,217.23,217.23,211.09,217.07,57.05,52.38,52.38,52.38,52.38,52.38,52.38,52.38,201.85,201.85,209.83,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,62.44,62.2,62.2,62.2,58.0,62.28,62.2,62.2,62.2,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,66.34,66.35,66.34,66.34,66.34,66.34,66.35,66.34,58.03,58.03,58.03,58.03,58.03,58.07,58.03,58.03,66.34,66.34,66.34,66.34,66.34,66.34,66.34,66.34,65.87,65.87,65.87,65.87,65.87,67.39,68.61,65.88,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,63.48,63.48,63.48,63.48,63.48,63.48,63.39,60.52,53.25,53.25,53.25,53.25,53.25,53.25,53.25,54.9,63.39,63.39,63.39,63.39,63.39,63.39,57.05,57.05,63.36,63.36,63.36,62.12,69.56,69.56,69.56,64.34,62.61,62.61,55.99,55.94,62.17,62.61,62.61,62.61,71.77,71.77,73.59,71.77,71.77,71.77,71.77,71.77,77.41,77.41,77.41,76.07,77.41,77.41,74.92,73.18,69.67,69.67,69.67,69.67,69.67,69.67,69.67,69.67,77.41,76.48,77.41,77.41,77.41,77.41,77.41,76.07
