0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
60.87,60.87,60.87,60.87,60.87,60.87,60.87,50.29,42.41,47.37,47.37,47.37,47.37,47.37,47.37,47.14,55.94,58.41,58.59,58.61,58.6,58.59,58.59,58.59,62.34,62.34,62.34,62.34,62.34,62.34,62.09,55.67,49.92,50.85,50.85,50.85,50.85,50.85,50.85,50.85,58.6,60.88,60.88,60.88,60.88,60.88,60.88,60.88,64.94,64.94,64.94,64.94,64.94,64.94,64.94,57.55,53.9,53.83,53.83,53.83,53.83,53.83,53.83,54.25,62.35,64.94,64.94,64.94,64.94,64.94,64.94,64.94,66.32,64.0,65.7,70.5,71.56,73.75,66.71,53.5,52.48,52.48,52.48,52.48,52.48,52.48,52.48,53.37,56.0,58.31,58.31,58.31,58.31,58.31,58.31,58.31,55.72,55.72,55.72,55.72,55.72,55.72,55.72,51.67,46.8,46.8,46.8,46.8,46.8,46.8,46.8,48.11,51.5,55.72,55.72,55.72,55.72,55.72,55.72,55.72,58.62,58.62,58.62,58.62,58.62,58.62,58.62,58.62,43.84,44.13,44.13,44.13,44.13,44.13,44.21,50.34,56.45,58.62,58.62,58.62,58.62,58.62,58.62,58.62,61.74,61.74,61.74,61.77,62.09,62.09,62.08,57.41,47.55,47.19,47.19,47.16,47.19,46.93,46.96,47.31,55.43,57.41,57.41,57.41,57.41,57.41,57.41,57.41
67.04,67.04,67.04,67.04,67.04,67.04,67.04,73.92,57.04,47.93,47.93,47.92,47.93,47.93,47.93,48.12,67.04,67.04,67.04,67.04,67.04,67.04,67.04,67.04,58.93,58.93,58.93,58.93,58.93,63.77,65.48,63.77,56.0,54.94,54.94,54.94,54.94,54.94,54.94,57.39,63.77,63.77,63.77,63.77,63.77,58.93,58.93,58.93,67.04,67.04,67.04,67.04,67.06,82.4,82.4,82.4,63.28,57.86,57.86,57.86,57.86,57.86,57.86,54.86,67.06,67.06,67.06,67.06,67.06,67.06,67.06,67.06,72.8,72.8,72.8,72.8,72.8,78.97,78.97,78.97,54.39,52.84,52.84,52.84,52.84,52.84,52.84,53.01,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,202.75,202.04,202.04,202.04,211.06,217.19,217.19,217.03,58.51,49.34,49.34,49.34,49.34,49.34,49.34,49.34,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.82,58.82,58.82,58.82,58.83,58.84,58.84,58.84,57.32,50.94,50.94,50.94,50.94,50.94,50.94,50.94,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,45.94,49.91,49.91,49.91,49.91,49.91,49.91,49.91,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
75.38,75.38,75.38,75.38,75.38,75.38,75.38,67.78,64.69,65.41,65.41,65.41,65.41,65.41,65.41,65.0,71.42,73.31,75.27,75.3,75.3,75.3,75.3,75.3,74.81,74.81,74.81,74.81,74.81,74.81,74.81,67.06,66.95,66.95,66.95,66.95,66.91,66.95,66.95,62.39,69.56,74.17,74.67,74.67,74.67,74.67,74.67,74.67,73.48,73.45,73.42,73.41,73.34,73.26,73.2,70.88,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,62.69,79.22,81.79,81.79,81.79,81.79,81.79,81.79,75.49,74.8,74.97,74.6,74.6,74.63,72.37,71.15,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.71,55.84,72.28,74.52,74.52,74.52,74.52,74.52,74.52,79.38,79.38,79.38,79.38,79.35,78.88,59.11,50.76,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,50.74,60.42,77.9,77.9,77.9,77.9,77.9,77.9,205.23,205.23,205.23,205.23,205.23,147.2,67.16,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,55.55,57.35,117.57,117.57,117.57,117.57,117.57,117.57,117.57,221.24,221.24,207.19,205.7,205.7,205.7,121.05,50.43,49.45,49.45,49.45,49.45,49.45,49.45,49.45,48.78,50.44,72.41,83.73,83.73,83.73,83.73,83.73,83.73
78.63,78.59,78.05,78.05,78.03,78.53,78.49,68.95,68.67,68.43,68.43,68.43,68.43,68.43,68.43,69.09,69.09,76.03,76.03,76.03,76.03,76.03,76.03,76.03,60.18,60.18,60.18,60.18,60.18,60.18,60.18,55.02,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.64,54.71,55.02,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,217.23,217.23,217.23,217.23,217.23,51.67,36.65,35.61,35.61,35.61,35.61,35.59,35.61,35.61,36.04,51.67,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,58.17,56.57,55.97,55.65,55.65,55.65,55.65,55.65,55.78,56.31,58.95,74.79,76.14,76.14,76.14,76.14,74.77,120.81,97.01,97.01,97.01,97.01,97.01,92.89,61.6,57.3,56.63,56.63,56.63,56.63,56.63,56.63,56.62,57.26,63.2,86.1,86.1,86.1,86.1,86.1,86.1,660.51,350.71,215.51,206.13,199.98,207.83,207.83,53.83,51.69,51.42,51.43,51.42,51.42,51.42,51.46,51.84,51.76,68.71,70.08,70.08,70.08,70.08,70.08,70.08,72.43,70.35,69.58,69.58,69.58,69.58,69.58,63.54,61.52,60.24,60.06,60.06,60.06,60.06,60.06,60.33,60.9,70.64,70.64,70.68,70.64,70.64,70.64,70.64
82.11,82.11,82.11,82.11,82.11,82.11,82.11,51.67,34.74,34.74,34.74,34.74,34.74,34.74,34.74,35.58,38.64,66.72,66.72,66.72,66.72,66.72,66.72,66.72,191.89,191.89,191.89,191.89,191.89,191.19,63.08,57.46,43.99,43.99,43.99,43.94,43.94,43.94,43.99,43.99,63.14,111.62,111.62,111.62,111.62,111.62,111.62,111.62,443.48,287.02,94.33,93.61,93.95,94.05,89.07,56.98,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,49.63,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.42,59.42,59.42,59.42,56.39,59.42,59.42,38.82,29.13,28.88,28.88,28.88,28.88,28.88,28.88,29.33,35.91,55.73,59.41,59.41,59.41,59.41,59.41,59.16,56.62,56.62,56.62,56.62,56.62,56.62,56.62,43.05,34.6,33.68,33.68,33.68,33.68,33.68,33.68,33.83,40.42,55.03,57.41,57.41,57.41,57.41,57.41,57.41,213.78,213.78,213.78,213.78,213.78,213.78,213.78,60.62,56.65,56.41,56.41,56.41,56.41,56.41,56.41,56.54,57.92,67.07,77.32,77.32,77.32,77.32,77.32,77.32,74.34,74.34,74.34,74.34,74.34,74.34,72.61,53.03,52.55,52.55,52.55,52.55,52.55,52.55,52.55,52.56,53.04,72.0,72.0,72.0,72.0,72.0,72.0,72.0
66.77,66.77,66.77,66.77,66.77,66.77,66.78,66.77,64.63,63.58,63.58,63.58,63.58,63.58,63.58,63.83,66.72,66.77,70.65,70.65,70.65,70.65,70.65,66.77,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.52,64.55,63.48,63.19,63.19,63.19,63.19,63.19,63.19,63.51,73.94,73.94,73.94,73.94,73.94,73.94,69.96,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,65.3,62.29,62.29,62.29,62.29,62.29,62.29,62.29,68.95,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.91,69.91,69.91,68.09,70.12,72.17,68.28,71.56,69.14,64.89,64.95,64.95,64.95,64.95,64.95,64.98,65.79,72.35,72.35,72.35,72.35,72.25,72.25,67.79,70.4,70.4,70.52,70.52,70.52,70.4,70.4,69.53,65.06,63.46,63.46,63.46,63.46,63.46,63.46,64.54,66.08,70.52,70.52,70.52,70.52,70.36,66.97,70.52,67.3,67.3,67.3,67.3,67.3,67.3,67.31,66.76,60.92,60.0,60.58,60.58,60.58,60.58,60.58,62.04,66.99,67.31,67.31,67.31,67.31,67.13,66.92,67.27,68.4,68.29,68.29,68.29,68.4,68.41,68.41,68.41,63.26,63.26,63.26,63.26,63.26,63.26,63.26,65.21,66.14,68.85,70.29,70.29,70.29,70.29,70.29,70.29
96.37,96.37,96.37,96.14,95.19,92.56,76.13,57.15,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,57.21,76.31,80.55,80.55,80.55,80.55,80.55,80.55,271.92,246.1,273.37,244.0,214.05,214.05,80.47,57.76,56.87,56.87,56.87,56.87,56.87,56.87,56.87,58.19,65.14,67.05,67.98,67.98,67.98,67.98,67.98,67.98,66.55,66.55,66.55,66.55,66.55,66.55,66.55,59.48,57.68,57.68,57.67,57.67,57.67,57.35,57.7,57.95,58.71,60.71,62.79,64.11,64.11,64.11,64.11,62.46,80.96,80.96,80.96,80.96,80.96,80.96,80.96,67.7,55.54,57.35,57.35,57.35,57.35,57.35,55.54,57.35,61.48,74.17,75.66,75.66,75.66,75.66,75.66,75.66,256.43,256.43,256.43,256.43,256.43,256.43,90.47,63.68,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.96,68.97,70.68,70.68,70.68,70.68,70.68,70.68,76.58,76.58,76.58,76.58,76.58,76.58,76.58,57.35,56.98,56.98,56.98,56.98,56.98,56.98,56.98,73.41,73.12,74.01,75.73,75.73,75.73,75.73,75.73,75.73,73.32,73.33,73.36,74.08,71.35,71.26,68.63,53.15,52.51,52.51,52.51,52.51,52.51,52.51,52.51,52.51,56.8,71.95,71.95,71.95,71.95,71.95,71.95,71.95
217.23,217.23,217.23,217.23,217.23,217.23,217.24,217.23,56.24,50.73,50.73,50.73,50.73,50.73,50.73,50.9,201.85,201.85,216.25,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,62.15,58.94,58.94,58.94,58.94,58.94,58.94,58.94,59.42,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,72.49,72.49,72.49,72.49,72.49,72.49,72.5,72.49,56.74,55.92,55.92,55.92,55.92,55.92,55.92,55.07,71.51,72.49,72.49,72.49,72.49,72.49,72.49,72.49,67.29,67.29,67.29,67.29,67.29,73.55,74.77,67.29,58.65,57.99,57.99,57.99,57.99,57.99,57.99,58.7,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.48,63.48,63.48,63.48,63.48,63.48,63.48,60.26,51.6,51.3,51.29,51.19,51.29,51.3,51.4,54.24,63.39,63.39,63.39,63.39,63.39,62.52,57.05,57.05,63.36,63.36,63.33,61.62,69.11,70.36,70.05,62.34,59.65,59.47,59.47,59.47,59.65,59.65,60.08,61.38,76.63,76.63,79.33,77.32,76.63,76.63,76.36,76.36,80.97,80.66,80.75,80.75,81.3,81.97,81.97,78.4,67.16,66.32,66.32,66.32,66.32,66.32,66.32,67.46,76.22,76.22,77.33,76.95,76.22,76.22,75.0,73.4
206.14,205.83,205.83,205.83,205.83,205.83,205.67,58.75,57.97,57.97,57.97,57.97,57.97,57.97,57.97,57.97,58.19,60.1,78.4,78.4,78.4,78.4,78.4,78.4,205.87,205.87,205.87,205.87,205.87,205.87,87.99,57.04,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,57.32,69.82,78.38,78.38,78.38,78.38,78.38,78.38,206.13,206.13,206.13,206.13,206.13,206.13,93.63,58.92,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,58.85,88.47,88.47,88.47,88.47,88.47,88.47,88.47,73.37,73.38,68.55,68.55,68.28,68.07,62.15,59.07,57.23,57.23,57.23,57.23,57.23,57.23,57.23,57.35,57.79,69.17,69.17,69.17,69.17,69.17,69.17,69.17,58.21,58.0,58.0,58.0,58.0,58.0,58.0,57.95,54.62,54.62,54.62,54.62,54.62,54.62,54.62,55.18,55.21,63.43,63.43,63.43,63.43,63.43,63.43,63.43,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,53.79,53.79,53.79,52.03,53.79,53.79,53.79,54.47,55.75,70.56,71.94,71.94,71.94,71.94,71.94,71.94,74.57,74.57,74.57,74.57,74.57,74.57,74.57,57.26,53.45,53.45,53.45,53.45,53.45,53.45,53.59,55.14,61.78,62.83,64.82,64.82,64.82,64.82,64.82,64.82
57.15,57.15,57.15,57.15,57.15,57.15,57.15,56.78,49.73,49.73,49.73,49.73,49.73,49.73,49.73,49.75,50.32,57.15,57.15,57.15,57.15,57.15,57.15,57.15,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,49.47,49.47,49.47,49.47,49.47,49.47,49.47,49.52,50.15,51.67,62.29,62.29,62.29,62.29,62.29,62.29,113.23,113.23,113.23,113.23,113.23,113.23,113.23,111.87,46.63,44.41,44.41,44.29,44.29,44.29,44.41,44.41,45.81,51.67,63.94,63.94,63.94,63.94,63.94,63.94,217.24,217.24,217.24,217.24,217.24,217.24,217.24,216.91,43.9,40.07,40.07,40.07,40.07,40.07,40.07,40.07,41.76,54.14,60.29,60.29,60.29,60.29,60.29,60.29,217.23,217.23,217.23,217.23,217.23,217.23,217.23,57.16,41.59,41.22,41.22,41.22,41.22,41.22,41.22,41.22,43.16,57.16,57.16,57.16,57.16,57.16,57.16,57.16,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,51.32,51.32,51.32,51.32,51.32,51.32,51.32,51.33,56.57,61.4,61.4,61.4,61.4,61.4,61.4,61.4,60.76,60.76,60.76,60.76,60.76,60.76,60.76,51.67,47.67,47.67,47.67,47.67,47.67,47.67,47.72,48.38,56.08,62.79,62.79,62.79,62.79,62.79,62.79,62.29
