0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.69,45.34,45.34,45.34,45.34,45.34,45.34,45.34,45.34,45.32,51.0,51.0,51.0,51.0,51.0,51.0,51.0,56.14,56.14,56.14,56.14,56.14,56.14,56.14,56.14,45.35,45.35,45.35,45.35,45.35,45.35,45.35,45.35,45.35,45.52,56.14,56.14,56.14,56.14,56.14,56.14,107.08,107.08,107.08,107.08,107.08,107.08,107.08,104.83,39.08,39.08,39.08,39.08,39.08,39.08,39.08,39.08,38.52,45.52,57.79,57.79,57.79,57.79,57.79,57.79,211.09,211.09,211.09,211.09,211.09,211.09,211.09,209.77,37.43,33.54,33.54,33.54,33.54,33.54,33.54,33.54,34.3,47.99,54.14,54.14,54.14,54.14,54.14,54.14,211.08,211.08,211.08,211.08,211.08,211.08,211.08,51.01,35.45,35.45,35.45,35.45,35.45,35.45,35.45,35.45,36.96,51.01,51.01,51.01,51.01,51.01,51.01,51.01,60.65,60.65,60.65,60.65,60.65,60.65,60.65,60.65,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,52.41,55.25,55.88,55.25,55.25,55.25,55.25,55.25,55.32,55.42,55.42,55.42,55.19,55.19,55.42,51.67,49.87,49.88,49.88,49.88,49.88,49.88,49.88,49.88,54.08,58.15,58.15,58.15,58.15,58.15,58.15,57.58
67.4,67.4,67.4,67.4,67.4,67.4,67.41,67.4,67.41,67.4,67.4,67.4,66.15,66.15,67.4,67.4,67.4,67.4,70.36,71.9,67.4,67.4,70.36,67.4,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,75.04,70.67,76.58,76.83,75.04,75.04,70.67,71.17,71.28,71.3,71.17,70.9,70.9,70.9,71.17,69.32,65.43,65.82,65.87,65.87,65.89,65.87,65.76,72.38,72.38,72.38,72.38,72.38,72.38,72.38,72.06,71.14,68.7,68.7,68.7,68.7,68.7,68.7,73.02,72.68,68.7,68.7,68.7,68.7,69.08,68.7,68.7,68.7,68.7,69.5,74.65,74.66,74.56,74.56,69.35,69.79,70.5,70.63,70.65,70.65,70.5,70.5,69.54,66.14,66.59,66.59,66.59,66.55,66.59,66.59,67.85,68.1,71.95,73.14,73.14,73.14,71.77,67.85,71.68,62.3,68.45,68.45,68.45,68.45,68.45,68.44,67.84,63.29,62.27,63.35,63.35,63.35,63.35,63.35,64.92,67.84,68.43,68.43,68.43,68.49,68.62,68.45,68.43,68.65,68.53,68.53,68.53,68.65,68.65,68.65,68.65,66.03,65.99,66.74,66.74,66.74,66.74,66.74,68.65,68.65,69.27,70.88,71.05,71.25,68.65,69.27,69.27
76.49,76.49,76.49,76.49,76.49,76.49,76.49,74.37,74.37,74.75,68.84,68.84,68.84,68.84,68.84,74.37,74.37,76.49,76.49,76.49,76.49,76.49,76.49,74.38,54.09,54.09,54.09,54.09,54.09,54.09,55.63,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,54.03,54.03,54.03,54.03,54.03,54.03,211.08,211.08,211.08,211.08,211.08,211.08,211.08,45.52,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,45.52,54.29,54.29,54.29,54.29,54.29,54.29,211.09,211.09,211.09,211.09,211.09,211.09,211.09,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,71.07,71.07,71.07,71.07,72.49,71.07,134.66,110.44,99.62,99.53,99.53,99.3,94.66,61.68,61.53,61.53,61.53,55.53,61.68,61.68,61.53,61.53,61.53,68.06,86.15,103.66,103.7,103.52,85.38,85.38,683.65,365.25,211.09,217.23,204.3,217.24,217.23,57.67,55.46,55.46,55.46,55.46,55.46,55.46,55.46,55.46,55.46,73.56,73.95,73.95,79.73,85.87,73.95,73.56,71.88,71.88,71.88,71.88,71.88,71.88,71.88,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,71.88,72.68,72.72,72.68,72.68,72.68,72.68
67.04,67.04,67.04,67.04,67.04,67.04,73.91,73.91,57.51,50.4,50.49,50.49,50.49,48.97,48.97,50.49,67.04,67.04,67.04,67.04,67.04,67.04,67.04,67.04,58.93,58.93,58.93,58.93,58.93,63.77,65.48,63.77,57.39,57.39,57.39,57.39,57.55,57.55,57.39,58.93,58.93,63.77,63.77,63.77,63.77,58.93,58.93,58.93,67.04,67.04,67.04,67.04,67.06,76.25,82.4,82.4,64.47,60.35,60.35,60.35,60.35,60.35,60.35,57.8,67.06,67.06,67.06,67.06,67.06,67.06,67.06,67.06,72.8,72.8,72.8,72.8,72.8,73.03,73.03,73.03,56.14,56.14,56.14,56.14,56.14,56.14,56.14,56.14,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,202.75,202.08,202.08,202.08,211.19,217.22,217.22,217.03,59.09,52.44,52.44,52.44,52.44,52.44,52.44,52.44,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.82,58.82,58.82,58.82,58.83,58.84,58.84,58.84,57.8,52.96,52.96,52.96,53.01,52.97,52.96,52.96,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,46.53,52.58,52.58,52.58,52.58,52.58,52.58,52.58,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
216.64,216.64,216.64,216.64,216.64,216.64,216.64,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,64.83,84.16,84.16,84.16,84.16,84.16,84.16,217.24,217.23,217.23,217.23,217.23,216.81,95.04,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,75.57,101.2,101.2,101.2,101.2,101.2,95.04,211.09,217.01,210.86,211.09,211.09,216.78,101.23,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,96.19,96.19,99.92,97.51,96.19,93.76,93.76,76.61,76.61,71.17,71.17,70.88,70.45,64.63,61.97,61.97,62.11,61.97,61.97,61.97,61.97,61.97,61.97,61.97,70.51,76.34,76.61,76.61,70.51,70.51,70.45,58.6,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,65.25,65.25,65.45,65.27,65.25,65.11,65.11,65.36,65.36,65.36,59.21,59.21,65.36,65.36,58.82,57.9,58.03,52.0,50.08,58.82,52.61,58.62,58.82,52.67,68.82,68.82,68.82,68.82,68.82,68.82,68.82,70.1,70.1,70.1,70.1,70.1,70.1,69.4,53.98,53.98,53.98,53.98,53.98,53.98,53.98,53.98,53.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98
78.71,78.93,78.86,78.86,78.71,78.71,76.1,51.67,34.74,34.74,34.74,34.74,34.74,34.74,34.74,35.59,38.65,68.38,68.38,68.38,68.38,68.38,68.38,66.72,201.0,201.0,201.0,201.0,201.0,201.0,64.84,59.77,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,66.67,118.72,121.33,127.64,121.33,121.33,121.33,121.33,484.99,303.14,101.86,101.56,101.86,101.8,96.23,60.07,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,63.54,63.54,65.14,63.54,63.54,63.54,63.54,57.54,57.54,57.54,57.54,57.32,63.69,63.69,41.09,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,37.9,59.45,59.45,59.45,59.45,59.45,59.45,59.17,57.86,57.86,57.86,57.86,57.86,57.86,56.62,43.05,36.01,36.01,36.01,36.01,36.05,36.01,36.01,36.01,43.05,57.41,57.41,57.41,57.41,57.41,57.41,57.41,210.55,210.55,210.55,210.55,210.55,210.55,217.24,60.62,60.4,60.4,60.62,60.62,60.62,60.62,60.62,60.62,60.62,70.59,76.81,76.81,76.81,76.81,76.81,75.01,72.33,72.33,72.33,72.33,72.33,72.19,75.99,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,73.37,75.89,86.02,86.03,69.84,69.84,69.84
213.12,211.08,199.9,211.08,211.08,211.08,202.36,61.0,59.6,53.41,53.41,57.48,57.48,57.48,57.48,57.48,57.48,63.87,63.87,63.87,63.87,63.87,63.87,59.35,58.09,58.09,58.09,57.87,57.87,57.49,58.09,58.21,58.21,58.28,58.28,58.28,58.28,58.28,58.21,58.28,65.06,65.49,65.06,65.06,65.06,65.06,65.06,65.06,72.76,72.76,72.76,69.4,68.43,68.43,69.4,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,63.26,72.76,72.76,72.76,72.76,72.76,72.76,72.76,69.31,73.12,73.12,74.77,76.41,73.42,76.04,72.81,59.22,59.22,59.36,59.36,59.36,59.34,59.22,59.36,59.35,72.81,72.81,72.81,74.77,72.81,72.81,72.81,72.81,77.22,77.22,77.22,77.22,70.86,72.83,60.9,57.28,57.27,57.39,57.27,57.28,57.28,57.28,57.27,57.28,57.28,70.21,68.87,68.86,68.86,68.86,68.74,68.76,211.08,211.08,211.08,211.08,211.08,211.08,211.08,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,62.66,69.64,69.65,69.64,69.64,69.64,69.64,69.64,216.32,216.32,216.32,216.32,216.32,216.32,211.08,53.25,53.24,53.24,53.24,53.25,51.57,51.57,51.57,53.25,55.81,56.89,56.69,56.89,56.89,56.89,56.92,57.31
60.21,60.21,60.21,60.19,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.85,54.3,64.44,64.44,64.44,63.01,58.0,80.21,67.24,66.78,66.78,66.78,66.78,60.51,66.67,62.12,62.12,62.12,62.12,62.12,62.12,62.12,62.12,66.59,73.54,75.3,75.3,75.2,73.54,73.51,73.51,72.98,74.74,74.92,74.74,74.92,74.74,72.98,68.77,68.77,68.77,69.44,69.44,69.44,69.44,69.44,69.44,88.36,107.46,118.35,118.11,108.72,108.72,108.72,108.72,211.32,211.08,202.37,202.03,202.25,206.27,148.16,83.67,70.68,70.74,70.8,70.82,70.74,70.78,62.62,69.43,74.49,90.24,98.71,98.71,98.71,98.71,98.71,98.71,123.49,116.87,92.39,86.86,86.83,86.83,90.44,65.59,64.02,63.94,63.94,64.02,64.02,64.02,64.02,64.02,92.98,115.05,129.7,131.03,129.7,129.7,129.7,129.7,226.7,211.08,211.08,211.08,211.08,210.89,207.93,67.48,60.17,60.17,60.17,60.17,60.17,60.17,60.17,60.17,87.25,107.71,107.71,107.71,107.71,107.71,107.71,107.71,222.48,216.33,216.33,212.25,84.05,78.01,64.72,64.72,64.81,64.84,64.84,64.72,64.72,64.72,64.72,64.72,87.37,108.99,108.99,108.99,108.99,109.08,108.99,108.99
105.6,99.45,104.2,104.2,103.0,100.27,82.31,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,82.34,96.28,96.28,96.28,96.28,96.28,96.28,272.93,240.66,272.93,238.04,225.56,211.08,75.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,62.69,62.69,68.84,68.84,68.84,68.84,68.84,68.84,62.01,63.64,62.01,68.16,68.16,67.87,61.72,57.93,61.07,61.07,61.07,57.93,57.93,57.93,57.93,61.07,61.07,62.01,63.64,64.37,64.37,64.02,62.01,63.64,81.38,81.38,75.23,75.23,74.81,74.81,74.81,67.7,58.75,60.6,60.6,60.6,60.6,60.6,58.6,60.6,60.6,75.23,75.23,69.08,75.23,75.23,75.23,75.23,253.45,253.45,253.45,253.45,253.45,253.45,96.05,67.28,56.39,56.39,56.39,56.39,56.39,56.39,56.39,56.39,57.11,73.07,73.07,73.07,73.07,73.07,73.07,73.07,77.94,77.94,77.94,77.94,77.94,77.94,77.94,60.66,60.66,60.66,60.66,60.66,60.66,60.66,60.66,71.22,70.89,77.04,77.04,77.04,77.04,77.04,77.04,77.04,75.39,75.39,75.39,75.39,75.39,75.39,72.75,56.55,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,75.06,75.39,75.39,75.39,75.39,75.39,75.39
66.84,64.51,66.84,66.84,66.84,66.84,62.08,62.08,62.08,66.84,62.08,62.08,62.08,62.08,62.08,62.08,62.08,62.08,72.99,72.99,72.99,71.46,71.46,70.03,74.98,71.2,71.2,71.2,71.2,71.2,71.23,67.64,67.49,67.49,67.49,67.49,67.49,67.49,67.49,67.49,75.15,75.15,75.15,75.15,75.15,75.15,75.15,75.15,73.51,67.36,68.68,71.36,71.35,71.35,66.79,72.94,60.19,66.8,66.81,67.26,67.36,66.91,60.65,67.26,72.94,73.53,73.53,73.53,73.53,73.53,73.53,73.41,67.29,67.29,67.29,67.29,67.29,67.29,73.44,67.28,68.45,67.29,63.3,63.3,63.3,63.3,63.3,67.29,67.29,73.44,67.29,67.29,67.29,67.29,67.29,67.29,62.64,61.11,61.11,61.11,61.27,61.27,62.64,61.96,62.64,62.64,63.79,56.43,57.55,57.79,57.89,58.53,61.96,62.7,62.64,62.7,62.64,62.64,62.64,62.64,62.28,62.28,62.28,62.28,62.28,62.28,62.07,65.06,62.28,62.28,62.28,62.28,62.28,58.97,62.28,61.65,65.19,60.18,65.19,65.56,65.41,65.19,63.82,60.53,62.21,62.21,62.21,62.21,62.21,62.21,62.21,66.77,64.15,64.8,64.8,58.65,62.03,62.03,62.03,62.03,62.77,68.92,68.92,68.92,68.92,68.92,68.92,68.92
