0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
59.91,59.91,59.91,59.91,59.91,59.91,59.91,59.91,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,55.06,66.04,66.04,66.04,66.04,66.04,66.04,59.91,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.16,46.89,46.89,46.89,46.89,47.11,46.89,46.89,46.89,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,61.91,61.91,61.91,61.94,61.94,61.91,61.91,59.81,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,61.91,63.66,63.66,63.66,63.66,63.66,63.66,63.66,64.61,64.61,64.61,64.61,64.61,64.61,64.61,62.01,59.85,58.15,58.15,58.15,58.15,58.15,58.13,58.15,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.19,64.19,64.19,64.19,64.19,64.19,64.19,63.82,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,51.99,64.19,64.19,64.19,64.19,64.19,64.19,64.19,62.22,62.22,62.22,62.22,62.22,62.22,62.22,62.22,45.92,47.11,47.11,47.11,45.8,47.11,47.11,47.11,62.22,62.22,62.22,62.22,62.22,62.22,62.22,62.22,67.07,67.07,67.07,67.07,67.07,67.07,67.07,67.07,56.63,56.63,56.63,56.63,56.63,56.63,56.63,56.63,67.07,67.07,67.07,67.07,67.07,67.07,67.07,67.07
67.4,67.4,67.4,67.4,67.4,67.4,67.41,67.4,67.41,67.4,67.4,67.4,67.4,66.15,67.4,67.4,67.4,67.4,70.36,71.9,70.36,70.36,70.36,67.4,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,75.04,75.04,76.58,76.83,75.04,75.04,70.67,71.17,71.28,71.3,71.17,70.9,70.9,70.9,71.17,69.32,65.43,65.82,65.87,65.87,65.89,65.87,65.76,72.38,72.38,72.38,72.38,72.38,72.38,72.38,72.06,71.14,71.14,71.14,69.15,71.37,73.02,68.7,73.02,72.68,68.7,68.7,68.7,68.7,69.08,68.7,68.7,68.7,73.59,75.66,74.65,74.66,74.56,74.56,69.35,65.95,65.95,65.95,65.95,65.95,65.95,70.5,69.54,66.14,66.59,66.59,66.59,66.55,66.59,66.59,67.85,68.1,71.95,73.14,73.14,73.14,71.77,67.85,71.68,68.45,68.45,68.45,68.45,68.45,68.45,68.44,67.84,63.29,62.27,63.35,63.35,63.35,63.35,63.35,64.92,67.84,68.43,68.43,68.43,68.49,68.62,68.45,68.43,68.65,68.53,68.53,68.53,68.65,68.65,68.65,68.65,66.03,65.99,66.74,66.74,66.74,66.74,66.74,68.65,68.65,69.27,70.88,71.05,71.25,70.88,69.27,69.27
105.6,105.6,104.2,104.2,103.0,100.27,80.6,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,82.34,96.28,96.28,96.28,96.28,96.28,96.28,279.08,246.81,279.08,244.19,225.56,217.23,82.1,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84,67.87,67.87,67.87,67.87,67.87,67.87,67.87,61.07,61.07,61.07,61.07,61.07,61.04,61.07,61.07,61.07,61.07,62.01,63.64,65.18,65.18,64.02,63.64,63.64,81.38,81.38,81.38,81.38,80.96,80.96,80.96,67.7,58.75,60.6,60.69,60.69,60.62,60.61,58.6,60.6,64.89,75.23,75.23,75.23,75.23,75.23,75.23,75.23,258.07,258.07,258.07,258.07,258.07,258.07,96.05,67.28,56.39,56.39,56.39,56.39,56.39,56.39,56.39,56.39,57.11,73.07,73.07,73.07,73.07,73.07,73.07,73.07,77.94,77.94,71.78,71.78,72.01,77.94,77.94,60.66,60.66,60.66,60.66,60.66,60.66,60.66,60.66,77.06,77.04,77.06,77.06,77.06,77.06,77.06,77.06,77.04,75.39,75.39,75.39,71.5,75.39,75.39,72.75,56.55,55.96,55.96,56.55,55.96,55.96,55.96,55.96,55.96,59.88,75.06,75.39,75.39,75.39,75.39,75.39,75.39
82.64,82.64,82.64,82.64,82.64,82.64,82.64,74.37,74.37,74.75,74.76,74.76,74.76,74.76,74.37,74.37,74.37,81.2,82.64,82.64,82.64,82.64,82.64,80.53,60.24,60.24,60.24,60.24,60.24,60.24,61.78,56.61,56.49,56.0,56.0,56.61,56.61,56.61,56.61,56.61,56.61,56.61,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,211.08,211.08,217.23,217.23,217.23,51.67,36.34,36.3,36.34,36.34,36.34,36.34,36.34,36.34,36.34,51.67,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,77.22,77.22,77.22,77.22,78.64,77.22,134.65,110.44,105.77,105.68,105.68,105.45,100.81,65.74,61.53,61.53,61.68,61.68,61.68,61.68,61.68,61.53,61.53,68.06,86.14,103.65,103.7,103.52,85.38,85.38,683.65,365.24,211.09,217.23,210.45,217.24,217.23,57.67,55.46,55.46,55.46,55.46,55.47,55.47,55.46,55.46,55.46,73.95,73.95,73.95,79.73,85.87,73.95,73.56,75.06,72.72,71.88,71.88,71.88,71.88,71.88,65.44,65.44,65.44,65.55,65.51,65.44,65.44,65.44,65.44,65.44,72.72,72.68,72.72,72.68,72.68,72.68,72.68
219.27,217.23,206.05,217.23,217.23,217.23,208.51,61.0,59.6,59.56,59.56,59.51,59.51,59.51,59.51,59.51,59.51,66.51,66.51,66.51,64.3,64.49,64.72,65.5,64.24,64.24,64.24,64.02,64.02,63.64,62.2,58.21,58.21,58.28,58.28,58.33,58.33,58.28,58.21,58.28,71.21,71.21,70.79,71.21,70.98,70.98,71.21,71.21,78.91,78.91,78.91,75.55,74.58,74.58,75.55,69.41,69.94,70.1,70.24,70.1,69.3,69.41,69.27,69.41,78.91,78.91,78.91,78.91,78.91,78.91,78.91,75.46,79.27,79.27,80.92,82.56,79.57,82.19,78.96,59.22,59.36,59.68,59.72,59.78,59.34,59.22,59.36,65.5,78.96,78.96,78.96,80.92,78.96,78.96,78.96,78.96,83.37,83.37,83.37,83.37,77.01,77.1,67.05,57.28,57.27,57.39,57.39,57.28,57.28,57.28,57.27,57.28,61.32,75.01,75.02,75.01,75.01,75.01,74.89,74.91,211.08,211.08,211.08,211.08,211.08,211.08,217.23,65.89,65.79,65.89,65.89,65.89,65.89,65.89,65.79,65.89,68.81,75.79,75.79,75.79,75.79,75.79,75.79,75.79,222.47,222.47,222.47,222.47,222.47,222.47,217.23,53.25,53.24,53.24,53.24,53.25,53.25,53.24,53.25,53.25,55.81,63.04,62.84,63.04,63.04,63.04,63.04,63.04
78.92,78.92,78.92,79.07,78.92,78.92,78.93,51.67,34.74,34.74,34.74,34.74,34.74,34.74,34.74,35.59,38.65,68.38,68.38,68.38,68.38,68.38,68.38,66.72,201.0,201.0,201.0,201.0,201.0,201.0,64.84,59.77,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,66.67,118.72,121.33,127.64,121.33,121.33,121.33,121.33,484.99,303.14,101.86,95.4,95.71,101.8,91.64,60.07,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,63.54,63.54,65.14,63.54,63.54,63.54,63.54,63.69,63.69,63.69,63.69,60.37,63.69,63.69,41.09,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,37.9,59.45,59.45,59.45,59.45,59.45,59.45,59.17,56.62,56.62,56.62,56.62,56.62,56.62,56.62,43.05,36.01,36.01,36.01,36.01,36.05,36.01,36.01,36.01,43.05,57.41,57.41,57.41,57.41,57.41,57.41,57.41,210.55,210.55,210.55,210.55,210.55,210.55,216.7,60.62,60.4,60.4,60.62,60.62,60.62,60.62,60.62,60.62,60.62,70.59,82.96,82.96,82.96,82.96,81.05,81.16,72.33,72.33,72.33,72.33,72.33,72.33,75.99,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,75.89,75.99,88.63,88.64,75.99,75.99,75.99
75.18,75.2,75.18,75.2,75.2,75.2,75.2,71.35,70.73,75.12,75.12,70.73,75.18,70.73,72.83,75.12,73.89,75.18,75.18,77.78,77.78,78.59,77.74,77.74,74.46,74.46,74.46,74.46,74.46,74.46,74.23,72.28,67.01,67.36,67.01,67.01,67.01,67.01,67.01,67.36,74.96,74.96,74.96,74.96,74.96,74.96,74.96,74.96,84.09,84.09,84.09,84.09,84.09,84.09,84.09,68.35,68.35,68.35,64.17,68.36,68.35,68.35,65.15,68.35,68.35,87.88,110.65,110.65,110.65,110.65,110.65,110.65,217.23,217.23,217.23,217.23,217.23,217.23,217.23,63.44,63.44,63.44,63.44,63.65,63.44,63.44,63.44,63.44,63.44,81.07,94.23,95.09,94.23,94.23,94.23,94.23,74.64,71.74,71.74,71.74,71.74,71.6,68.82,63.89,63.89,63.89,63.89,63.85,64.17,63.75,63.89,63.89,63.89,70.99,70.99,70.99,70.99,70.99,69.27,69.05,68.48,68.48,68.48,68.48,68.48,68.48,68.48,68.48,68.48,68.48,68.45,68.5,68.46,68.46,68.46,68.46,68.48,76.09,74.54,74.12,74.14,69.76,71.37,69.72,74.16,74.16,74.16,69.26,69.26,74.16,74.16,65.95,69.26,69.26,73.06,69.91,69.91,73.06,69.91,73.06,73.06,75.44,76.96,75.96,75.35,75.35,75.44,75.35
55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,54.49,50.02,54.49,54.49,54.49,54.49,50.02,54.49,55.72,55.72,57.01,58.03,59.5,59.58,57.12,57.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,60.5,58.01,58.28,58.28,58.28,58.01,58.01,59.39,58.01,58.01,58.01,69.74,69.74,69.74,69.74,69.74,69.74,69.75,68.25,66.88,66.88,66.88,69.78,66.88,66.88,64.75,66.9,66.89,66.88,66.88,66.88,66.88,66.89,65.36,66.88,68.42,75.38,77.63,77.63,74.69,75.38,77.51,77.51,77.51,77.51,77.51,77.51,77.51,70.16,69.76,69.76,69.76,69.76,69.76,69.78,69.76,69.75,69.76,78.48,79.9,79.9,79.9,79.9,79.9,79.9,287.6,287.6,287.6,287.6,287.6,283.24,217.23,61.73,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,66.52,87.1,88.69,88.69,88.69,88.69,88.69,214.14,214.14,214.14,211.25,214.31,217.23,217.05,57.71,53.51,53.55,53.59,53.59,53.55,53.51,53.51,53.51,53.51,67.44,84.65,94.28,94.28,84.65,84.65,84.65,120.36,120.36,120.36,120.36,120.36,120.36,120.36,63.83,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,72.6,76.88,76.92,76.92,76.92,76.88,72.6
216.64,216.64,216.64,216.64,216.64,216.64,216.64,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,64.83,84.16,84.16,84.16,84.16,84.16,84.16,217.24,217.23,217.23,217.23,217.23,216.81,95.04,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,75.57,95.05,95.05,95.05,95.05,95.05,95.04,217.01,217.01,217.01,217.24,217.24,216.78,101.23,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,96.19,96.19,96.19,96.19,96.19,93.76,93.76,76.61,76.61,71.17,71.17,70.88,70.45,64.63,61.97,61.97,62.11,61.97,61.97,61.97,61.97,61.97,61.97,61.97,70.51,70.51,70.51,70.51,70.51,70.51,70.45,58.6,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,65.25,65.25,65.25,65.25,65.25,65.11,65.11,65.36,65.36,65.36,59.2,65.36,65.36,65.36,58.82,57.9,58.03,58.15,56.23,58.82,58.76,58.62,58.82,58.82,74.64,74.64,74.64,74.64,74.64,74.64,74.13,76.25,76.25,76.25,76.25,76.25,76.25,75.55,59.52,57.94,58.14,57.99,58.01,58.01,57.99,57.94,59.52,66.13,66.13,66.13,66.13,66.13,66.13,66.13,66.13
67.04,67.04,67.04,67.04,67.04,67.04,67.76,67.76,57.51,50.4,50.49,50.49,50.49,48.97,48.97,50.49,67.04,67.04,67.04,67.04,67.04,67.04,67.04,67.04,58.93,58.93,58.93,58.93,58.93,63.77,65.48,63.77,57.39,57.39,57.39,57.39,57.55,57.55,57.39,58.93,63.77,63.77,63.77,63.77,63.77,58.93,58.93,58.93,67.04,67.04,67.04,67.04,67.06,76.25,76.25,76.25,64.47,60.35,60.35,60.35,60.35,60.35,60.35,57.8,67.06,67.06,67.06,67.06,67.06,67.06,67.06,67.06,72.8,72.8,72.8,72.8,72.8,73.03,73.03,73.03,56.14,56.14,56.14,56.14,56.14,56.14,56.14,56.14,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,202.75,202.08,202.08,202.08,211.19,211.19,211.19,210.88,58.2,52.44,52.44,52.44,52.44,52.44,52.44,52.44,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.82,58.82,58.82,58.82,58.83,58.84,58.84,58.84,57.8,52.96,52.96,52.96,53.01,52.97,52.96,52.96,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,46.53,52.58,52.58,52.58,52.58,52.58,52.58,52.58,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
