0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
59.19,59.19,59.19,59.19,59.19,59.19,59.19,39.34,27.83,28.06,28.06,28.06,27.43,27.71,28.82,29.03,39.4,44.75,47.67,47.68,47.68,47.68,47.68,47.68,58.63,58.63,58.63,58.63,58.63,58.63,58.63,41.1,29.56,29.56,29.56,29.48,29.27,29.76,30.1,33.12,40.01,48.38,48.54,48.54,48.62,48.54,48.54,48.54,56.89,56.88,56.87,56.87,56.76,56.72,56.71,41.65,26.79,26.69,26.54,26.41,26.26,26.42,26.76,26.79,33.32,49.23,59.36,59.99,60.03,60.0,59.49,59.58,59.09,58.65,58.81,58.45,58.45,58.46,43.13,41.16,23.55,21.35,21.35,21.35,21.35,21.35,23.3,25.13,25.17,40.33,46.0,46.2,46.2,46.01,46.0,58.61,71.76,63.28,60.96,60.96,60.95,60.79,35.03,21.13,17.71,17.12,17.12,17.12,17.12,17.12,17.12,17.66,21.08,29.93,60.52,63.26,65.46,63.24,61.99,61.88,189.07,189.07,189.07,189.07,189.07,131.05,31.74,23.63,20.09,20.09,20.09,20.09,20.09,20.09,20.31,23.84,25.55,66.94,69.98,75.34,75.34,75.34,75.34,73.71,194.6,194.6,190.03,189.54,189.55,189.55,66.24,20.92,17.26,16.42,15.41,14.93,15.06,15.95,16.3,19.23,20.94,41.48,54.13,61.13,61.13,61.13,60.82,71.78
46.6,46.6,46.6,46.96,46.95,46.77,46.51,39.2,30.44,25.36,25.36,25.36,25.36,25.36,25.36,25.36,30.04,42.24,46.57,46.6,46.6,46.6,46.6,46.6,46.31,46.31,46.31,46.31,46.31,46.31,46.31,45.82,34.46,25.46,25.8,26.13,26.13,26.13,25.8,25.95,34.72,46.31,46.95,46.95,46.95,46.95,46.95,46.66,56.59,53.28,53.02,53.02,53.02,53.02,52.64,41.92,33.84,28.42,26.1,26.72,26.73,26.72,26.43,29.31,35.46,47.76,50.34,50.34,50.34,44.81,44.45,44.45,47.47,47.47,47.47,46.37,47.47,47.47,47.47,42.79,30.19,24.81,24.5,25.47,25.47,25.44,25.84,27.49,32.39,47.33,47.42,47.42,47.42,47.33,47.31,47.31,43.34,43.34,43.34,43.34,43.34,43.34,43.34,43.19,32.43,24.03,25.41,25.42,25.16,25.16,25.16,25.87,28.15,37.94,43.24,43.34,43.34,43.34,43.34,43.34,44.46,44.46,44.46,44.46,44.46,44.46,44.46,44.46,32.62,24.35,24.38,24.99,23.72,23.8,23.54,24.57,31.81,44.72,45.79,45.79,45.79,45.79,45.79,44.74,47.23,47.23,47.23,47.23,47.23,47.23,47.23,45.23,33.72,29.53,29.53,29.53,29.43,29.53,29.6,30.25,40.66,46.13,46.13,46.13,46.13,46.13,45.95,45.94
45.36,45.36,45.36,45.36,45.36,45.36,45.36,33.7,25.28,24.44,24.43,24.45,24.45,24.45,24.5,25.77,39.03,45.36,45.36,45.36,45.36,45.36,45.36,45.36,42.74,42.74,42.74,42.74,42.74,42.74,42.74,33.59,22.5,19.41,19.41,19.41,19.41,19.41,20.36,25.8,41.46,42.74,42.74,42.74,42.74,42.74,42.74,42.74,44.47,44.47,44.47,44.47,44.47,44.47,44.47,44.1,24.83,23.19,23.15,23.15,23.15,23.15,23.19,24.95,44.47,44.47,44.47,44.47,44.47,44.47,44.47,44.47,44.57,44.57,44.57,44.57,44.57,44.57,44.57,31.31,18.96,18.83,18.83,18.83,18.83,18.83,19.74,20.82,36.8,44.19,44.19,44.19,44.19,44.19,44.19,44.19,190.14,190.14,190.14,190.14,190.14,190.14,190.14,35.98,28.04,20.38,20.37,19.33,18.57,19.33,20.37,22.08,25.51,45.85,45.85,45.86,45.85,45.85,45.85,45.85,42.32,42.32,42.32,42.32,42.32,42.32,42.32,21.15,19.21,18.55,18.51,18.51,18.51,18.72,18.81,22.48,42.32,42.32,42.32,42.32,42.32,42.32,42.32,42.32,41.72,41.72,41.72,41.72,41.72,41.72,41.72,32.3,19.62,20.46,20.35,20.35,20.35,20.46,21.84,31.79,41.72,41.72,41.72,41.72,41.72,41.72,41.72,41.72
201.08,201.08,201.08,201.08,201.08,201.08,201.09,201.08,33.16,23.17,22.82,22.82,22.82,22.82,22.82,24.84,185.69,185.69,195.19,185.69,185.69,185.69,185.69,185.69,53.94,53.94,53.94,53.94,53.94,53.94,53.94,43.49,28.15,23.37,23.16,23.16,22.44,23.19,23.78,27.04,53.94,53.94,53.94,53.94,53.94,53.94,53.94,53.94,56.34,56.34,56.34,56.34,56.34,56.34,56.35,56.34,29.6,22.94,22.94,22.94,22.11,22.76,22.94,25.49,50.49,56.34,56.34,56.34,56.34,56.34,56.34,56.34,51.14,51.14,51.14,51.14,51.14,57.37,58.6,51.13,37.13,31.82,31.82,31.82,31.82,31.82,31.82,37.55,51.13,51.13,51.13,51.13,51.13,51.13,51.13,51.13,47.32,47.32,47.32,47.32,47.32,47.32,47.32,41.89,21.48,18.75,18.75,17.86,19.38,19.73,20.1,32.53,47.23,47.23,47.23,47.23,47.23,42.71,40.9,40.9,47.2,47.2,46.94,42.97,44.89,49.23,52.97,29.16,24.62,23.14,22.72,23.11,24.06,24.17,24.56,35.64,54.1,61.82,63.95,54.8,54.1,53.74,51.8,51.8,55.36,55.26,55.28,55.28,59.49,65.18,65.18,54.32,29.72,27.59,27.59,27.59,27.94,27.94,27.94,37.45,53.82,58.93,60.86,58.65,54.19,53.84,47.01,44.11
49.74,49.62,49.57,49.57,49.57,49.68,48.83,33.97,33.12,30.57,30.57,30.57,30.57,30.57,32.78,37.55,37.55,45.27,48.54,48.89,48.76,48.74,48.58,48.07,44.03,44.03,44.03,44.03,44.03,44.03,44.03,36.45,30.95,30.43,30.43,30.43,30.43,30.43,30.43,33.9,33.9,36.58,44.03,44.03,44.03,44.03,44.03,44.03,201.08,201.08,201.08,201.08,201.08,201.08,201.08,35.52,19.72,17.31,17.2,17.2,17.17,17.19,17.21,17.03,19.09,35.52,44.28,44.28,44.28,44.28,44.28,44.28,201.09,201.09,201.09,201.09,201.09,201.09,201.09,37.43,29.29,25.12,22.97,22.97,22.97,22.97,22.97,23.03,26.65,36.86,47.27,49.08,49.16,49.08,47.56,49.19,120.04,96.24,48.52,49.2,49.06,50.19,46.99,33.51,25.3,22.43,22.0,22.0,22.0,22.0,22.0,22.29,25.1,31.49,46.38,53.81,53.83,53.77,48.96,48.96,530.37,334.54,192.23,183.57,183.26,191.14,191.18,23.24,21.67,21.51,20.51,20.42,20.35,20.35,20.72,23.35,22.29,36.93,42.32,44.56,46.24,46.24,43.34,44.2,47.99,47.31,46.56,46.56,46.56,46.56,46.56,40.32,30.86,24.73,23.87,24.26,24.73,24.73,24.73,26.81,29.38,39.84,46.85,46.89,46.87,46.87,46.87,46.89
59.0,59.0,59.0,59.0,59.0,59.0,59.0,39.16,26.02,22.19,22.19,21.78,21.78,20.61,25.16,27.82,32.03,41.35,44.26,45.18,45.18,45.18,45.57,45.57,58.27,58.27,58.27,58.27,58.27,58.27,58.07,38.43,25.92,26.24,26.24,26.24,26.24,26.24,26.08,28.37,33.72,34.27,41.51,41.51,41.51,41.51,41.51,41.51,67.79,67.79,67.79,67.79,67.79,67.79,67.79,28.89,22.4,20.12,18.9,20.04,20.12,23.06,22.34,27.77,29.44,46.79,53.39,53.9,53.9,53.9,53.9,53.9,201.08,201.08,201.07,201.07,201.08,198.63,199.41,22.79,17.2,16.9,16.9,15.41,16.9,17.2,21.45,22.54,25.28,42.27,51.29,52.57,53.97,53.97,55.32,57.42,50.06,47.55,47.55,47.55,47.99,48.52,45.99,42.7,22.11,21.89,21.89,21.19,18.88,21.89,21.89,24.8,32.53,40.4,40.86,40.86,41.05,47.53,48.2,49.71,48.87,48.87,48.87,48.87,48.87,48.87,48.83,44.02,28.66,27.32,26.91,26.92,27.2,27.2,27.54,28.96,28.97,42.05,50.94,50.99,51.03,49.82,49.82,49.76,58.01,58.01,58.01,58.01,58.01,58.01,58.01,38.75,27.82,26.89,28.84,27.95,27.95,28.84,28.08,29.82,31.27,41.24,49.98,49.98,49.98,49.98,49.98,49.98
65.95,65.95,65.95,65.95,65.95,65.95,65.95,35.52,18.58,18.56,18.56,18.56,18.56,18.56,18.56,19.41,22.44,50.57,50.57,50.57,50.57,50.57,50.57,50.57,175.74,175.74,175.74,175.74,175.74,167.51,39.13,29.93,17.28,17.28,17.27,16.83,16.83,16.83,17.27,17.28,34.83,78.44,93.69,105.74,93.69,79.53,59.61,59.49,316.15,270.87,51.85,47.65,47.87,48.93,45.96,25.61,17.19,17.19,17.19,17.19,17.19,17.19,17.19,17.15,20.43,27.07,27.07,27.99,27.07,27.07,27.07,27.07,27.15,27.15,27.15,27.15,25.23,27.15,27.15,14.09,6.55,4.46,4.46,4.46,4.46,4.46,4.46,7.38,12.25,26.09,43.1,43.09,43.09,43.09,43.09,43.01,40.47,40.47,40.47,40.47,40.47,40.47,40.47,26.9,13.25,9.22,9.22,9.22,8.97,9.22,9.22,9.61,14.76,35.53,41.25,41.25,41.25,41.25,41.25,41.25,197.63,197.63,197.63,197.63,197.63,197.63,197.63,44.46,27.36,27.29,27.29,27.29,27.29,27.29,27.29,27.86,37.41,45.38,61.5,61.84,62.11,61.34,60.73,60.73,52.12,52.12,52.12,52.12,52.12,52.12,44.63,22.56,20.08,20.08,20.08,20.08,20.08,20.08,20.08,20.12,22.69,47.49,49.66,52.58,52.51,48.05,47.94,47.62
189.77,189.67,189.67,189.67,189.67,189.67,189.51,28.97,25.17,24.96,24.96,24.96,24.96,24.96,24.96,25.17,25.73,26.91,46.12,48.09,48.09,48.09,48.09,46.44,193.13,189.71,189.71,189.71,189.71,189.71,45.28,25.02,22.23,21.96,21.96,21.96,21.96,21.96,22.04,24.29,25.68,32.93,49.36,49.57,49.57,49.57,49.52,47.69,189.98,189.98,189.98,189.98,189.98,189.98,48.85,26.18,23.29,22.73,22.41,22.35,21.94,22.15,22.61,23.52,26.15,44.48,48.6,54.93,54.32,53.96,53.23,53.23,49.6,49.78,48.2,48.2,47.94,47.72,38.37,35.28,24.11,24.11,24.11,24.11,24.11,24.11,25.1,25.17,25.44,41.05,49.7,43.12,50.28,48.84,48.9,49.11,41.95,41.85,41.85,41.85,41.85,41.85,41.85,41.79,29.04,23.39,23.39,23.39,23.39,23.39,23.46,23.83,24.11,32.01,43.62,43.65,43.69,43.73,43.69,43.69,49.2,49.2,49.2,49.2,49.2,49.2,49.2,42.67,22.74,22.51,22.14,21.07,22.14,22.13,22.65,25.37,26.63,38.57,50.27,51.35,51.39,51.33,51.22,51.22,58.41,58.41,58.41,58.41,58.41,58.41,58.41,37.35,21.97,21.15,20.99,20.59,20.59,20.95,22.17,23.25,32.85,39.56,45.68,45.68,45.68,46.93,46.93,46.93
95.53,86.45,51.29,50.06,49.75,47.78,40.21,24.98,20.59,16.5,15.74,15.74,15.74,15.74,20.58,23.7,25.13,42.6,52.78,54.89,54.89,54.89,54.89,54.89,227.9,227.46,235.82,226.21,197.86,197.86,64.32,25.47,22.31,22.14,22.14,22.14,22.14,22.14,22.92,25.76,30.78,40.52,48.45,49.05,48.66,48.64,48.45,48.45,50.4,50.4,50.4,50.4,50.4,50.4,50.4,39.09,25.37,25.37,25.3,25.3,25.39,25.19,25.4,25.68,28.01,36.55,42.13,42.56,42.56,42.56,42.56,42.02,64.81,64.81,64.81,64.81,64.81,64.81,64.81,51.55,24.07,25.34,25.2,25.2,25.2,25.31,24.07,25.38,28.95,52.65,53.13,53.13,53.13,53.13,53.13,53.13,213.25,213.25,213.25,213.25,213.25,213.25,46.85,29.81,22.65,22.43,22.43,22.43,22.43,22.43,22.43,22.43,23.4,38.07,46.85,46.85,46.85,46.85,46.85,46.85,60.42,60.42,60.42,60.42,60.42,60.42,60.42,25.46,24.34,24.24,24.24,24.24,23.62,23.88,25.4,37.4,37.33,42.58,59.43,59.6,59.86,60.92,59.86,59.57,47.64,47.64,47.65,47.88,41.78,40.44,36.7,23.18,22.19,21.93,21.93,21.93,21.92,21.93,21.93,22.19,25.49,47.16,47.4,47.78,47.34,47.34,47.34,47.34
40.99,40.99,40.99,40.99,40.99,40.99,40.99,40.14,28.25,20.56,20.45,20.45,20.45,20.45,20.45,20.63,25.55,40.99,40.99,40.99,40.99,40.99,40.99,40.99,46.13,46.13,46.13,46.13,46.13,46.13,46.13,46.13,27.75,20.07,20.07,20.07,20.07,20.07,20.07,20.51,25.87,35.52,46.13,46.13,46.13,46.13,46.13,46.13,97.08,97.08,97.08,97.08,97.08,97.08,97.08,95.0,29.34,21.18,21.18,18.74,20.15,20.15,21.17,21.17,26.32,35.52,47.79,47.79,47.79,47.79,47.79,47.79,201.09,201.09,201.09,201.09,201.09,201.09,201.09,199.96,27.49,22.98,22.98,22.98,22.98,22.98,22.98,22.98,24.64,37.98,44.14,44.14,44.14,44.14,44.14,44.14,201.08,201.08,201.08,201.08,201.08,201.08,201.08,41.01,25.36,23.41,23.41,23.41,23.41,23.41,23.41,23.41,26.94,41.01,41.01,41.01,41.01,41.01,41.01,41.01,50.65,50.65,50.65,50.65,50.65,50.65,50.65,50.65,27.85,26.01,26.01,26.01,26.01,26.01,26.02,26.1,32.81,45.25,45.25,45.25,45.25,45.25,45.25,45.25,44.61,44.61,44.61,44.61,44.61,44.61,44.61,35.52,23.35,17.27,17.27,17.27,17.27,17.27,17.31,18.67,24.38,41.89,43.8,44.23,44.0,44.02,44.02,43.91
