0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,38.96,51.67,51.67,51.67,51.67,51.67,51.67,60.36,60.79,62.0,62.0,62.0,60.79,60.36,60.36,51.67,51.67,51.67,51.67,51.67,51.67,66.03,73.75,53.12,51.67,51.67,51.67,51.67,51.67,51.67,51.67,57.35,58.98,62.27,62.64,62.3,58.98,57.49,56.05,51.67,51.67,51.67,51.67,51.67,51.67,57.41,57.41,58.81,58.7,47.83,47.83,47.83,47.83,47.83,47.83,47.83,52.74,56.39,57.89,53.85,52.53,52.53,52.53,53.86,51.67,51.67,51.67,51.67,51.67,54.52,56.44,62.41,45.69,43.81,43.81,43.81,43.81,43.81,43.81,43.81,45.69,45.69,45.69,43.81,45.69,47.83,47.83,51.67,51.67,53.3,53.3,53.3,53.3,63.11,63.11,63.11,37.89,27.43,25.89,27.43,27.43,27.43,25.89,41.26,44.89,44.89,45.92,45.92,48.3,51.67,51.67,51.67,51.67,51.67,53.14,53.14,53.14,53.14,53.14,53.14,53.14,47.83,47.83,47.83,47.83,47.83,47.83,47.83,47.83,51.33,51.33,49.66,47.83,48.3,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655.82,655.82,655.82,655.82,640.45,655.82,655.82,655.82,47.49,47.49,47.49,47.49,47.49,47.49,47.49,47.49,52.77,60.82,56.95,56.95,56.95,56.95,56.95,56.95,51.67,51.67,51.67,51.67,51.67,51.67,57.41,55.53,48.77,48.77,48.77,48.77,48.77,48.77,48.77,48.77,59.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98,138.47,124.64,123.1,131.03,138.48,138.48,138.48,138.47,45.78,44.85,44.85,29.48,29.48,44.85,44.85,44.85,51.67,52.2,51.67,51.67,51.67,51.67,51.67,51.67,48.55,48.55,48.55,43.71,47.13,48.55,48.55,48.55,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,47.83,51.67,51.67,51.67,51.67,51.67,51.67,43.71,45.96,45.96,45.96,45.96,45.96,45.96,45.96,45.94,43.22,38.89,38.89,38.89,38.89,38.89,38.89,37.86,45.79,56.74,61.33,61.33,61.33,61.33,61.33,61.33,77.34,77.34,77.34,77.34,77.34,77.34,77.34,61.95,48.03,34.98,34.67,34.67,34.51,34.51,34.51,34.67,48.03,70.11,70.13,70.13,70.13,70.13,70.13,70.13,81.57,81.57,81.57,81.57,81.57,90.63,82.2,81.21,28.59,16.68,15.99,15.87,14.3,15.87,16.43,19.0,39.94,48.45,65.83,65.83,65.83,65.83,65.83,65.83
30.43,30.43,30.14,27.05,31.73,31.73,31.73,30.05,21.64,21.64,21.64,21.64,21.64,21.64,20.7,31.86,34.72,34.72,34.72,34.72,34.72,34.72,34.72,34.72,32.18,32.18,22.5,32.18,32.59,33.24,33.24,32.06,30.39,20.99,20.99,20.99,30.39,30.39,30.39,33.24,58.51,58.51,58.51,58.51,58.51,61.39,62.71,62.71,107.54,38.36,33.45,34.53,35.87,67.2,43.56,27.3,15.38,15.38,15.38,15.38,15.38,15.38,18.74,21.5,24.05,32.07,39.73,39.4,39.37,37.01,37.01,37.01,42.99,42.99,42.99,42.99,38.69,38.7,39.22,37.35,34.76,33.64,30.12,24.85,34.76,34.76,34.76,36.97,42.46,46.17,50.33,50.33,50.33,50.33,50.33,50.33,55.15,55.15,55.15,55.15,55.15,55.15,55.15,40.32,39.53,36.94,35.79,35.79,38.71,39.53,40.74,40.74,43.79,51.17,55.15,55.15,55.15,55.15,55.15,55.15,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,44.62,38.58,35.65,35.37,46.07,46.07,46.07,46.07,46.07,61.43,61.43,61.43,61.43,61.43,61.43,61.43,63.33,63.33,63.33,63.33,63.33,63.33,63.33,53.27,43.15,43.15,43.15,43.15,43.15,43.15,43.15,43.15,43.15,53.32,57.53,57.53,57.53,57.53,57.53,57.53
38.57,34.71,36.25,36.25,38.57,38.57,38.57,38.57,34.73,34.69,34.69,34.69,34.71,34.71,34.71,35.59,38.57,40.47,40.47,40.47,40.47,40.47,40.47,66.72,47.81,47.81,47.81,47.66,47.81,52.26,52.26,46.33,31.12,31.12,31.12,31.12,31.12,31.12,31.29,31.0,34.11,36.2,36.2,36.2,36.2,36.2,36.2,36.2,33.51,30.87,32.4,32.71,34.06,34.36,34.91,42.11,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.37,15.37,15.37,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.42,15.55,15.42,15.42,15.42,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.39,16.0,15.69,21.76,21.76,21.76,21.76,21.76,21.76,21.76,21.76,17.9,15.38,17.9,17.9,17.97,17.92,17.92,17.97,21.38,28.59,28.59,28.59,28.59,28.59,28.59,25.73
51.69,51.69,51.69,51.69,51.69,57.43,57.43,72.8,72.66,46.82,26.22,40.82,40.82,40.82,40.82,41.59,50.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,46.5,46.5,46.5,50.95,51.67,51.67,51.67,51.67,51.67,46.5,31.37,31.37,46.5,46.5,46.5,46.74,51.67,51.67,62.19,62.19,62.19,51.67,51.67,46.82,47.33,47.33,51.67,51.67,51.67,52.59,52.59,52.59,51.67,45.79,40.83,40.83,40.83,40.83,40.83,40.83,51.67,51.67,52.59,62.85,51.67,51.67,51.67,51.67,46.5,46.5,46.5,46.5,51.67,51.67,51.67,51.67,51.67,48.46,43.61,42.08,43.61,43.61,43.61,51.67,51.67,57.41,65.53,65.53,57.41,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,48.96,36.74,42.53,42.53,42.53,42.53,42.53,51.67,51.67,51.67,51.67,51.67,51.67,48.96,48.96,40.22,40.22,40.22,40.22,46.39,51.67,51.67,51.67,46.39,32.84,28.24,28.24,28.24,28.24,28.24,28.24,51.67,51.67,53.86,51.67,51.67,51.67,48.47,48.47,43.48,43.48,51.67,51.67,51.67,51.67,51.67,51.67,37.62,36.05,36.05,36.05,36.05,51.42,51.42,51.42,51.67,51.67,51.67,51.67,51.42,51.67,46.5,37.59
57.15,57.15,57.15,57.15,57.15,57.15,57.15,56.97,51.72,51.27,51.27,51.27,51.27,51.27,51.27,51.27,51.27,57.15,57.15,57.15,57.15,57.15,57.15,57.15,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,46.9,46.9,31.54,31.54,31.54,31.54,31.54,31.54,31.54,51.67,62.29,62.29,62.29,62.29,62.29,62.29,113.23,113.23,113.23,113.23,113.23,113.23,113.23,112.14,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,51.67,63.94,63.94,63.94,63.94,51.98,63.94,217.24,217.24,217.24,217.24,217.24,217.24,217.24,217.21,44.0,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,54.14,60.29,60.29,60.29,60.29,60.29,60.29,217.23,201.86,201.86,201.86,201.86,201.86,204.67,57.16,41.62,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,57.16,57.16,57.16,57.16,57.16,57.16,57.16,61.66,61.66,61.66,61.66,66.8,66.8,66.8,66.8,41.86,41.28,41.28,41.28,41.28,41.28,41.28,41.28,42.22,47.82,51.42,51.42,51.42,51.42,51.42,51.42,49.51,48.04,48.04,48.04,51.67,51.67,51.67,51.67,30.69,18.08,18.08,18.08,18.08,18.08,18.08,18.16,24.22,44.58,45.08,58.43,45.25,44.55,44.55,44.31
201.86,201.86,201.86,201.86,201.86,201.86,201.87,201.86,196.26,36.05,36.05,36.05,36.05,36.05,36.05,36.05,186.48,186.48,196.26,186.48,186.48,186.48,186.48,186.48,54.72,54.72,54.72,54.72,54.72,54.72,54.72,51.67,48.98,36.31,36.31,36.31,36.31,36.31,36.31,36.31,54.72,54.72,54.72,54.72,54.72,54.72,54.72,54.72,57.13,57.13,57.13,57.13,57.13,57.13,57.14,57.13,57.13,44.71,44.71,44.71,44.71,44.71,44.71,44.71,51.39,57.13,57.13,57.13,57.13,57.13,57.13,57.13,51.93,51.93,51.93,51.93,51.93,58.17,59.41,59.41,51.92,45.19,45.19,45.19,45.19,45.19,45.19,51.67,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.67,48.11,48.11,48.11,48.11,48.11,48.11,48.11,48.11,42.05,41.68,41.68,41.68,41.68,41.68,41.68,48.02,51.67,51.67,51.67,51.67,51.67,51.67,46.5,49.53,49.53,49.53,49.53,49.53,55.03,55.03,53.32,51.67,51.67,49.53,49.53,49.53,49.53,49.53,51.67,55.03,62.58,66.35,55.72,56.92,56.92,55.03,55.03,57.85,57.85,59.39,60.41,60.41,65.98,65.98,65.98,59.73,49.6,48.07,48.07,48.07,49.6,49.6,51.67,54.43,59.16,61.48,59.16,55.12,53.6,51.67,51.67
51.68,51.68,51.68,51.68,51.68,51.68,58.55,58.55,56.5,47.7,32.96,32.96,47.7,47.7,48.33,48.33,51.68,53.0,53.0,53.0,53.0,51.68,51.68,51.68,43.56,43.56,43.56,46.5,43.56,51.67,51.67,51.67,51.67,51.67,46.5,37.67,37.67,37.67,46.5,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,43.56,51.67,51.68,51.68,51.68,51.69,67.03,67.03,67.03,54.39,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.69,51.69,51.69,51.69,51.69,51.69,51.69,51.69,57.43,57.43,57.43,57.43,57.43,63.58,63.81,68.3,39.23,46.89,46.89,46.89,46.89,46.89,31.53,46.89,57.43,57.43,57.43,57.43,57.43,57.43,57.43,57.43,187.38,186.4,186.4,186.4,194.64,201.56,201.66,201.66,55.82,40.68,40.68,40.68,40.68,40.68,40.68,40.68,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.82,58.82,58.82,58.82,58.83,58.84,58.84,58.84,58.82,41.95,39.36,39.36,39.11,39.36,39.36,39.36,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,47.83,47.83,47.83,47.83,47.83,47.83,47.83,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
28.51,28.82,28.51,31.4,31.67,31.76,31.71,31.67,28.35,29.57,29.57,30.25,30.25,30.25,28.94,36.16,38.22,49.19,52.94,52.94,52.94,52.94,49.19,36.89,45.84,45.84,45.84,49.22,49.22,49.28,49.22,49.22,36.92,36.92,36.92,36.92,36.92,36.92,38.15,39.86,49.22,52.98,63.17,58.4,52.98,52.98,49.28,49.22,65.94,65.94,57.18,68.77,71.55,71.55,71.55,61.61,42.47,39.86,37.62,39.86,52.49,50.78,47.24,47.24,51.82,57.18,57.18,57.18,57.18,57.18,57.18,57.18,47.41,47.41,47.41,47.41,49.26,50.97,50.97,39.12,34.43,32.03,32.03,32.03,35.43,36.33,41.83,47.41,50.97,50.97,50.97,50.97,50.97,50.97,47.41,43.36,40.99,36.9,50.52,45.81,54.42,54.42,54.42,50.68,34.72,35.13,35.13,36.9,36.9,36.9,36.9,40.09,42.47,54.42,54.42,54.42,54.42,54.42,54.42,54.42,197.05,197.05,197.05,197.05,217.23,217.23,217.23,34.03,34.03,34.03,34.03,34.03,34.03,34.03,36.43,45.17,51.91,51.91,51.91,51.91,51.91,51.91,51.91,48.81,34.46,34.46,32.92,32.92,17.54,34.87,34.87,34.87,32.92,32.92,32.92,32.92,32.92,32.92,26.01,34.0,36.33,36.58,36.58,36.58,36.58,36.58,36.58,15.38
59.83,59.83,59.83,59.83,59.83,62.1,62.1,62.1,59.83,53.85,53.85,53.85,53.85,53.85,53.85,51.67,62.1,62.1,62.1,62.1,62.1,60.75,59.83,59.83,64.51,64.51,64.51,64.51,64.51,69.9,69.9,69.9,64.51,49.79,49.79,49.79,49.79,49.79,49.79,49.79,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,186.48,186.48,186.48,186.48,186.48,189.87,201.86,201.86,208.9,29.96,29.96,29.96,29.96,29.96,29.96,29.96,51.67,51.67,51.67,51.67,51.67,51.67,51.67,46.5,36.73,36.73,36.73,36.73,46.5,39.38,51.67,51.67,51.67,46.5,46.5,46.5,31.52,31.52,46.5,46.5,51.67,51.67,51.67,51.67,51.67,51.67,51.67,50.81,51.67,52.31,52.31,36.94,40.02,41.38,44.47,44.47,44.47,40.35,35.7,35.7,35.7,35.7,35.7,35.7,44.47,51.67,51.67,51.67,51.67,51.67,51.67,46.5,44.41,44.41,44.41,44.41,44.41,46.78,51.67,51.67,51.67,51.67,46.5,46.5,51.67,46.5,46.5,51.67,51.67,57.41,57.41,57.41,57.41,57.41,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,57.41,57.41,51.67,51.67,51.67,51.67,51.67,47.42,51.67,51.67,51.67,57.41,57.41,57.41,57.41,57.41,51.67,51.67
