0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
79.27,79.27,79.27,79.27,79.27,79.27,79.27,63.89,39.28,32.73,32.73,32.73,32.73,32.73,32.74,40.71,51.9,64.7,64.7,64.7,64.7,64.7,64.7,64.7,61.35,61.35,61.35,61.35,61.35,67.51,67.49,58.48,38.98,29.53,29.96,29.24,29.4,29.96,29.99,34.1,51.67,58.48,58.48,58.48,58.48,58.48,58.48,58.48,57.05,57.05,57.05,57.05,57.05,57.05,57.05,51.22,35.11,35.02,32.45,31.31,32.45,35.02,35.22,39.66,53.89,57.05,57.05,57.05,57.05,57.05,57.05,57.05,57.41,57.41,51.67,51.67,51.67,57.41,57.41,57.41,39.67,38.48,38.6,38.6,38.53,38.6,38.48,39.42,53.42,57.41,57.41,57.41,57.41,57.41,57.41,51.67,44.53,44.53,44.53,44.53,44.53,49.48,59.92,59.92,41.56,29.76,29.76,29.76,29.76,29.76,29.76,30.25,51.67,59.92,59.92,59.92,59.92,59.92,59.92,59.92,59.79,59.79,59.79,59.79,59.79,59.79,59.79,59.79,42.9,32.26,32.26,32.26,30.94,32.26,31.19,36.68,56.46,59.79,59.79,59.79,59.79,59.79,59.79,59.79,61.41,61.41,61.41,55.27,55.27,61.41,61.41,61.41,40.98,36.57,34.17,34.17,18.07,34.17,36.57,38.97,61.41,61.41,61.41,61.41,61.41,61.41,50.18,50.18
78.94,79.02,80.23,80.23,80.23,95.62,95.62,53.51,29.36,21.91,13.95,13.95,29.33,29.33,29.31,29.34,30.64,50.97,58.58,58.49,48.13,43.29,43.29,43.29,53.23,60.6,60.81,76.19,76.19,76.19,76.19,58.26,39.29,37.73,37.73,37.73,37.73,37.73,38.82,40.49,47.4,58.26,58.26,58.26,58.26,58.26,58.26,58.26,216.16,216.16,216.16,216.16,216.16,216.16,216.16,55.39,37.83,35.97,35.83,35.67,35.83,35.97,35.97,37.07,41.86,57.54,57.54,57.54,57.54,57.54,57.54,50.18,63.72,63.72,63.72,63.72,63.72,63.72,63.72,47.59,39.64,39.61,39.61,39.61,39.61,39.61,39.61,39.61,48.75,62.09,63.7,63.7,63.7,63.7,63.71,63.72,193.11,193.11,193.11,193.11,204.54,205.2,193.59,39.27,28.32,28.15,28.49,28.45,28.45,28.45,28.38,29.57,31.09,64.6,64.65,64.59,64.59,64.59,58.14,49.27,108.51,108.51,108.51,108.51,108.51,108.51,108.51,60.18,34.21,34.4,34.64,34.77,34.4,34.29,34.28,30.64,36.97,60.18,60.18,60.18,60.18,60.18,60.18,60.18,65.4,65.4,65.4,65.4,65.4,65.4,65.4,51.67,31.8,30.74,30.74,30.74,30.74,30.74,30.64,30.74,31.79,50.01,55.57,50.01,50.01,50.01,50.01,65.4
42.46,42.29,42.55,42.55,42.56,57.89,57.99,39.02,38.49,38.49,38.49,38.49,38.49,38.49,41.51,45.64,45.64,54.04,58.05,57.96,58.0,58.0,58.06,58.25,60.18,60.18,60.18,60.18,60.18,60.18,60.18,51.67,44.31,43.68,43.68,43.68,43.68,43.68,43.68,48.25,48.23,51.81,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,217.23,217.23,217.23,217.23,217.23,51.67,36.0,32.63,32.47,32.47,32.43,32.47,32.49,32.54,35.37,51.67,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,51.8,39.17,35.45,32.86,32.86,32.86,32.86,32.86,32.89,35.97,50.77,59.13,59.21,59.22,59.21,59.02,59.43,120.81,97.01,31.88,31.46,31.6,41.51,48.46,43.0,32.22,31.32,31.1,16.73,15.71,15.71,15.71,16.11,16.73,24.39,36.56,34.68,34.69,34.64,32.81,32.81,423.04,293.44,187.45,178.93,184.59,192.45,192.45,15.42,14.16,14.08,13.93,13.93,13.96,13.96,14.91,17.09,15.68,29.87,38.71,38.15,37.64,37.63,38.64,38.84,43.52,43.73,43.86,43.86,43.86,59.25,59.25,53.17,41.21,33.01,32.43,32.97,33.61,33.61,33.61,36.37,36.98,48.65,59.15,43.8,43.78,43.78,43.78,43.76
59.93,59.93,59.93,59.93,59.93,59.93,59.93,32.34,15.52,15.43,15.43,15.43,14.92,15.19,16.76,17.46,30.13,53.06,56.59,56.59,41.2,41.2,41.2,41.2,59.38,59.38,59.38,59.38,59.38,65.97,74.76,51.68,17.51,17.51,17.51,17.44,17.51,17.41,18.44,41.86,48.77,58.44,58.39,58.39,58.37,43.01,43.01,43.01,57.38,57.38,57.39,57.39,57.26,72.63,72.65,49.54,15.71,15.54,15.58,15.48,15.38,15.65,15.97,15.99,25.8,41.25,56.23,56.18,56.2,56.2,56.37,56.53,59.72,59.42,59.58,59.22,59.22,59.22,35.62,33.18,14.35,10.87,10.87,10.87,10.87,10.87,14.08,16.94,16.93,31.26,38.96,38.9,38.9,38.96,38.96,58.63,72.54,61.93,60.29,60.29,60.29,60.34,30.8,13.38,8.33,7.34,7.34,7.34,7.34,7.34,7.34,8.27,13.31,21.63,60.41,59.55,58.85,59.55,59.95,59.99,189.84,189.84,189.84,189.84,189.84,131.82,20.33,14.91,9.77,9.77,9.77,9.77,9.77,9.77,9.6,14.91,16.53,45.91,44.95,49.94,49.94,49.94,49.94,49.94,188.73,188.73,190.16,190.31,190.16,190.16,42.58,13.25,8.21,6.84,5.11,4.45,4.67,6.19,6.63,12.08,13.28,32.9,46.4,55.3,55.3,55.3,55.47,72.55
96.37,87.24,33.78,31.91,32.0,30.46,28.49,15.63,9.56,2.89,1.6,1.6,1.6,1.6,9.72,14.97,15.84,32.27,40.59,39.92,39.92,39.92,39.92,39.92,211.61,226.68,224.41,216.55,198.48,198.48,65.09,16.03,11.89,11.6,11.6,11.6,11.6,11.6,12.94,16.93,20.05,34.73,47.09,46.9,47.03,47.03,47.09,47.09,51.16,51.16,51.16,51.16,51.16,51.16,66.55,47.41,16.5,16.5,16.4,16.4,16.55,16.42,16.56,17.04,20.48,32.26,40.05,39.91,39.91,39.91,39.91,40.08,65.58,65.58,65.58,65.58,65.58,65.58,65.58,52.32,15.72,16.7,16.46,16.46,16.46,16.8,15.72,16.77,19.36,50.02,49.87,49.87,49.87,49.87,49.87,49.87,196.93,196.93,196.93,196.93,196.93,196.93,30.25,19.44,14.8,14.43,14.43,14.43,14.43,14.43,14.43,14.43,15.05,29.52,42.77,42.77,42.77,42.77,42.77,42.77,61.19,61.19,61.19,61.19,61.19,61.19,61.19,16.28,15.14,15.05,15.05,15.05,14.22,14.66,16.55,23.64,23.54,33.69,60.1,60.32,60.62,61.68,60.62,60.33,42.38,42.38,42.37,42.3,34.07,31.93,27.49,15.21,14.34,13.86,13.86,13.86,13.85,13.86,13.86,14.35,16.69,42.47,42.45,42.34,42.47,42.47,42.47,42.47
67.04,67.04,67.04,67.04,67.04,67.04,73.91,73.91,51.56,38.38,37.55,37.53,37.08,37.38,37.55,39.68,67.04,67.04,67.04,67.04,67.04,67.04,67.04,67.04,58.93,58.93,58.93,58.93,58.93,63.77,65.48,63.77,44.93,36.72,35.33,31.86,30.22,30.22,35.33,42.87,63.77,63.77,63.77,63.77,63.77,58.93,58.93,58.93,67.04,60.35,60.35,60.35,67.06,82.4,82.4,82.4,49.91,40.07,37.32,36.16,33.08,36.16,35.28,38.99,67.06,67.06,67.06,67.06,67.06,67.06,67.06,67.06,72.8,72.8,72.8,72.8,72.8,78.95,79.19,78.96,52.45,39.06,38.4,38.23,38.07,38.23,38.45,41.09,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,202.75,201.83,201.83,201.83,210.27,217.04,217.17,217.03,51.74,39.2,38.67,38.67,38.67,38.67,38.67,39.2,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.82,58.82,58.82,58.82,58.83,58.84,58.84,58.84,51.51,40.68,38.55,38.53,38.14,38.53,38.55,38.58,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,38.76,36.27,38.16,38.16,38.16,38.16,38.16,39.91,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
59.83,59.83,59.83,59.83,59.83,62.1,62.1,62.1,37.95,37.7,37.7,37.7,37.7,37.7,37.7,42.96,62.1,62.1,62.1,62.1,62.1,60.76,59.83,59.83,64.51,64.51,64.51,64.51,64.51,69.9,69.9,69.9,43.07,39.99,39.83,39.83,39.75,39.83,39.83,47.13,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,201.84,201.84,201.84,201.84,201.84,205.24,217.27,201.84,45.22,35.86,35.86,35.86,35.86,35.86,35.86,41.04,69.66,71.67,76.67,69.8,69.66,69.66,69.66,69.93,54.44,51.67,39.06,38.12,38.12,37.07,60.09,50.47,34.15,33.45,32.86,32.86,32.86,32.86,32.86,33.62,64.93,65.0,64.64,64.64,64.62,39.86,38.79,38.79,38.45,38.45,38.45,38.45,38.45,40.22,44.31,59.84,39.95,38.22,38.24,38.21,38.24,38.24,38.24,41.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.77,58.0,51.67,51.67,51.67,51.67,62.15,62.15,43.69,39.73,40.5,40.24,40.24,40.24,40.5,42.51,61.95,62.09,62.09,62.04,61.95,59.87,60.83,59.77,63.23,63.23,63.23,63.23,63.23,63.87,65.72,63.87,30.43,32.07,32.74,31.33,32.13,32.37,32.97,45.3,62.86,65.24,65.24,63.53,47.43,45.81,47.84,39.38
217.23,217.23,217.23,217.23,217.23,217.23,217.24,217.23,46.45,34.66,34.2,34.2,34.2,34.2,34.2,36.19,201.85,201.85,208.31,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,58.63,38.36,31.68,31.38,31.38,30.44,31.42,32.25,33.07,70.09,70.09,70.09,70.09,70.09,70.09,70.09,54.71,57.11,57.11,65.24,72.49,72.49,72.49,72.5,72.49,41.31,32.31,32.31,32.31,31.3,28.43,20.35,32.31,51.67,72.49,72.49,72.49,72.49,72.49,72.49,72.49,67.29,67.29,67.29,67.29,67.29,73.55,74.77,67.29,51.1,43.93,43.93,43.93,43.93,43.93,43.93,51.69,67.29,67.29,67.29,67.29,51.9,51.9,51.9,51.9,48.09,48.09,48.09,48.09,48.09,48.09,48.09,41.26,13.36,9.09,9.09,8.37,29.21,29.64,30.11,46.41,63.39,63.39,63.39,48.0,48.0,41.16,41.66,41.66,47.97,47.97,47.57,42.17,40.56,46.85,53.16,19.17,13.48,31.09,30.55,31.09,32.34,32.53,32.71,47.87,66.22,77.93,79.75,66.92,66.22,50.26,47.26,47.26,50.14,50.17,65.55,65.55,72.08,65.55,79.53,65.55,35.7,34.66,34.66,34.66,35.1,35.1,35.1,47.91,66.56,75.15,77.03,73.91,51.25,50.68,40.29,36.58
190.41,190.44,190.44,190.44,190.44,190.44,205.67,21.13,15.41,15.08,15.08,15.08,15.08,15.08,15.08,15.41,16.19,16.91,36.69,36.06,36.06,36.06,36.06,36.59,189.4,190.48,190.48,190.48,190.48,190.48,29.25,15.76,12.03,11.58,11.58,11.58,11.58,11.58,11.4,15.11,16.83,20.59,32.67,32.61,32.61,32.61,32.62,33.2,190.75,190.75,190.75,190.75,190.75,190.75,31.53,16.47,12.86,11.92,11.38,11.28,10.9,10.75,11.71,13.26,16.46,27.64,32.4,41.35,41.59,41.7,41.94,41.94,45.55,45.83,46.32,46.32,46.05,45.83,34.31,31.22,14.67,14.67,14.67,14.67,14.67,14.67,16.32,16.37,16.55,34.25,46.16,35.67,46.16,46.97,47.07,47.43,42.66,42.62,42.62,42.62,42.62,42.62,58.0,57.95,24.62,15.13,15.13,15.13,15.13,15.13,15.33,15.53,15.42,23.13,42.19,42.2,42.19,42.18,42.19,42.19,49.97,49.97,49.97,49.97,49.97,49.97,65.36,58.82,14.6,14.2,13.59,13.28,13.59,13.93,14.08,18.13,19.39,29.33,48.96,49.07,49.06,49.08,49.11,49.11,59.18,59.18,59.18,59.18,59.18,59.18,59.18,35.74,13.05,12.2,12.2,11.51,11.51,12.13,13.76,14.96,25.78,35.92,44.56,44.56,44.56,46.61,46.61,46.61
66.72,82.11,82.11,82.11,82.11,82.11,82.11,51.67,34.73,34.7,34.7,31.79,19.32,19.32,19.32,29.76,31.79,66.72,66.72,66.72,66.72,66.72,66.72,66.72,191.89,191.89,191.89,191.89,191.89,178.9,50.35,38.9,26.87,26.87,26.41,11.48,10.78,10.78,11.48,11.48,43.41,84.08,105.53,120.31,105.53,84.08,53.1,37.52,246.64,271.64,35.98,29.59,29.72,31.38,29.69,16.76,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.05,12.95,17.69,17.69,18.27,17.69,17.69,17.69,17.69,17.74,17.74,17.74,17.74,16.52,17.74,17.74,9.44,3.26,0.0,-0.0,0.0,0.0,0.0,0.0,4.67,8.27,33.71,43.75,43.75,43.75,43.75,43.75,43.78,41.24,41.24,41.24,41.24,56.62,56.62,56.62,43.05,27.33,22.04,22.04,22.04,21.68,22.04,22.04,22.52,24.91,49.57,57.41,57.41,57.41,49.57,42.02,42.02,198.4,198.4,198.4,198.4,198.4,213.78,213.78,60.61,38.24,38.23,38.23,38.23,38.23,38.23,38.23,38.79,51.13,58.04,76.09,76.09,76.0,76.24,76.43,76.43,64.44,49.06,49.06,49.06,49.06,49.06,53.31,29.67,29.68,29.68,29.68,29.68,29.68,29.68,29.68,29.69,29.88,58.37,57.7,56.95,56.83,58.17,42.82,42.92
