0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,13.85,16.65,16.65,16.65,16.65,16.89,16.89,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,16.32,16.53,16.53,16.53,16.53,16.53,19.94,19.63,17.87,18.94,20.17,20.17,20.17,20.14,18.62,18.13,18.13,18.13,18.13,18.13,18.62,18.62,20.47,22.35,22.35,22.35,22.35,22.35,22.35,20.17,55.2,55.2,55.2,55.2,57.4,59.24,55.95,55.36,15.61,14.46,14.46,12.05,14.46,14.46,14.46,16.07,16.07,16.01,16.07,16.07,16.07,16.07,16.07,16.04,23.19,23.32,23.32,23.32,24.15,24.15,23.32,23.16,3.55,3.46,3.29,2.5,3.55,3.55,3.55,3.62,3.62,9.7,10.78,10.78,10.78,10.78,10.78,9.7,21.32,16.54,21.32,16.54,21.32,23.69,23.69,23.69,21.32,19.45,19.45,19.45,21.51,24.79,28.43,28.64,28.64,46.02,46.02,46.02,46.02,46.02,46.02,30.64,41.45,41.45,41.45,43.5,43.5,46.06,45.21,43.5,21.7,6.23,6.23,6.23,6.23,6.23,6.23,6.23,22.35,24.69,24.84,24.84,24.84,24.84,24.49,24.39
65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,35.13,35.13,35.13,35.13,35.13,35.13,35.13,41.46,41.46,41.46,37.79,37.31,37.31,37.86,40.02,39.4,46.68,57.89,60.39,60.39,62.25,62.25,62.25,53.38,31.67,31.67,31.67,31.67,31.67,31.67,31.67,38.7,39.47,39.4,36.29,36.29,36.29,35.52,32.51,37.86,42.06,53.24,59.16,59.16,73.82,73.82,73.82,59.16,36.03,32.92,32.92,32.92,32.92,32.92,32.92,36.57,36.57,36.57,32.92,32.92,32.92,32.92,37.31,39.04,39.04,52.06,53.63,53.63,53.63,53.63,53.63,53.63,48.3,35.14,35.14,35.14,35.14,35.14,35.14,37.89,39.04,39.04,36.33,35.14,35.14,39.04,39.04,40.36,40.21,40.19,40.36,40.36,40.36,40.36,40.36,40.36,28.82,26.19,26.19,26.19,26.19,26.19,26.19,29.12,40.05,36.41,36.41,36.05,40.05,40.05,40.05,38.28,38.28,38.28,42.54,42.54,42.54,42.54,52.68,42.54,42.54,32.92,32.92,32.92,32.92,32.92,32.92,40.02,42.54,38.28,38.28,38.28,38.28,38.28,38.28,41.12,44.55,52.39,52.39,57.31,57.41,57.41,57.41,57.41,57.41,51.67,51.67,51.67,51.67,51.67,51.67,51.77,57.41,51.67,51.67,51.67,59.4,59.4,59.4
655.82,655.82,655.82,655.82,655.82,655.82,655.82,655.82,47.49,42.61,40.02,40.02,40.02,40.02,40.02,40.02,42.0,60.82,60.82,60.82,60.82,60.82,60.82,60.82,59.98,59.98,59.98,59.98,59.98,59.98,59.98,55.53,48.77,42.61,42.0,42.0,42.0,42.0,42.0,42.0,44.59,59.98,59.98,59.98,59.98,59.98,59.98,59.98,138.47,138.47,138.47,146.4,146.4,146.4,146.4,138.47,45.78,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85,49.83,49.83,49.83,49.83,49.83,49.83,49.83,47.11,47.11,47.11,43.69,47.11,47.11,47.11,47.11,43.69,43.69,42.0,42.0,40.79,40.79,40.79,40.79,42.0,48.55,48.55,48.55,48.55,48.55,48.55,48.55,45.95,45.95,45.95,45.95,45.94,45.95,45.95,45.94,43.22,38.89,36.6,36.6,36.6,36.6,36.6,36.6,36.6,41.35,45.95,45.95,45.95,45.95,45.95,45.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,48.03,34.98,34.67,34.67,29.24,28.0,29.24,29.44,34.67,54.73,64.04,64.04,64.04,64.04,64.04,64.04,81.57,81.57,81.57,81.57,81.57,82.2,82.2,81.21,43.96,29.39,25.35,24.99,24.27,24.27,24.27,18.98,24.56,40.02,50.44,50.44,65.83,50.44,50.44,50.44
201.85,201.85,201.85,201.85,201.85,201.85,201.85,217.23,211.63,47.92,47.92,47.92,47.92,47.92,47.92,47.92,186.46,186.46,196.24,186.46,186.46,186.46,186.46,186.46,56.77,56.77,56.77,56.77,54.71,56.77,63.08,63.08,63.08,50.4,45.36,45.36,45.36,45.36,45.36,51.67,68.92,68.92,68.92,68.92,68.92,68.92,68.92,68.92,57.11,57.11,57.11,57.11,57.11,63.23,63.23,63.23,63.23,51.74,51.74,51.74,51.74,51.74,51.74,57.11,57.49,57.49,57.49,57.49,57.49,57.49,57.11,57.11,54.79,54.79,54.79,54.79,54.79,59.39,59.39,59.39,54.79,45.17,45.17,45.17,45.17,45.17,45.17,45.17,54.79,54.79,54.79,54.79,54.79,54.79,54.79,54.79,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,57.41,48.0,48.0,48.0,48.0,48.0,48.0,48.0,53.34,48.0,48.0,48.0,48.0,48.0,57.05,49.94,49.94,49.94,49.94,55.49,55.49,55.49,55.49,55.01,49.94,49.94,49.94,49.94,49.94,49.94,49.94,66.59,70.4,70.4,70.4,70.4,70.4,70.4,70.4,73.21,73.21,74.75,75.78,75.78,81.35,81.35,81.35,75.1,63.43,63.43,63.43,63.43,63.43,63.43,63.43,69.79,70.48,70.48,70.48,70.48,68.97,63.43,60.57
63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,32.83,28.01,28.01,28.01,28.01,28.01,28.01,28.01,33.91,48.5,48.5,48.5,48.5,48.5,48.5,48.5,45.96,45.96,45.96,45.96,45.96,52.1,52.1,47.88,38.23,36.29,31.5,31.5,31.5,31.5,31.5,31.5,36.29,43.09,48.38,48.38,48.38,48.38,48.38,48.38,41.86,41.67,41.67,41.67,41.67,41.86,41.86,41.86,41.86,38.23,37.68,37.68,37.68,37.68,37.68,37.68,38.51,51.35,51.35,51.35,51.35,51.35,51.35,51.35,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,51.67,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,57.41,57.41,57.41,57.41,57.41,57.41,57.41,59.92,59.92,59.92,59.92,59.92,59.92,59.92,59.92,59.92,43.06,38.23,38.23,38.23,38.23,38.23,38.23,38.23,44.53,57.41,57.41,57.41,57.41,57.41,57.41,48.36,48.36,48.36,48.36,44.4,48.36,53.73,53.73,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,53.73,53.73,53.73,53.73,53.73,53.73,46.03,46.03,51.14,51.14,51.14,51.14,51.14,51.14,46.06,46.03,46.03,46.03,46.03,46.03,46.03,46.03,46.03,46.03,51.14,51.14,51.14,51.14,51.14,51.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.61,0.61,0.61,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.86,0.86,0.86,0.86,0.86,0.86
18.03,18.03,18.03,18.2,18.94,20.03,18.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,19.12,26.2,26.2,26.2,25.86,25.13,24.57,30.93,31.27,28.27,30.82,31.27,31.27,31.27,27.54,17.95,17.95,17.95,17.95,20.91,28.27,35.73,41.26,47.35,62.0,62.0,62.0,47.35,46.61,46.61,41.95,40.22,40.22,40.22,40.22,40.22,44.69,44.69,40.22,40.22,40.22,40.22,40.22,40.22,40.22,40.55,44.69,54.07,58.0,58.22,58.22,58.22,58.22,58.22,52.4,72.87,72.87,74.41,74.41,80.96,80.96,80.96,67.7,29.92,29.92,29.92,29.92,29.92,29.92,29.92,29.92,29.92,29.92,57.13,57.13,72.51,72.51,72.51,72.51,266.51,266.51,266.51,266.51,266.51,266.51,63.63,45.3,34.87,28.0,28.0,27.25,28.0,28.0,28.0,21.05,28.0,28.0,28.0,34.68,33.6,37.33,37.33,37.33,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,35.73,35.73,35.73,35.73,35.73,35.73,35.73,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,21.91,21.91,23.77,23.77,20.99,23.32,23.32,20.02,16.55,14.87,5.6,14.87,16.55,16.55,19.8,21.45,41.99,41.99,48.47,69.98,44.32,41.99,38.26,19.81
36.03,33.05,33.05,33.05,31.51,36.72,36.72,36.72,36.72,33.05,33.05,33.05,36.72,36.72,36.72,36.72,36.72,36.72,36.72,36.72,33.05,33.05,36.72,36.72,53.97,43.84,43.84,43.84,48.71,48.71,59.08,48.71,24.05,20.02,20.02,18.78,24.05,24.05,27.4,33.47,33.47,33.47,33.47,33.47,33.47,48.85,33.47,21.64,22.41,22.41,22.41,22.41,24.9,24.9,24.9,22.41,20.61,19.14,20.61,20.61,26.25,25.32,35.01,40.71,40.71,40.71,40.71,40.71,40.71,40.67,40.18,35.01,42.74,28.72,28.72,21.54,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.54,27.22,31.96,47.35,47.35,47.35,47.35,47.35,47.35,42.68,42.68,61.18,39.23,17.23,17.23,19.14,19.14,16.12,12.27,0.0,0.0,-0.0,0.0,15.38,18.59,22.51,26.69,28.92,28.92,28.92,28.92,28.92,28.92,28.92,28.92,29.49,26.54,26.54,26.54,27.78,29.49,15.38,26.54,26.54,26.54,26.54,26.54,26.83,29.81,29.81,33.06,40.15,40.76,40.76,40.76,40.76,40.32,40.32,40.32,38.19,38.0,34.37,38.0,38.19,38.19,38.0,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,37.49,41.66,45.73,45.73,41.66,41.66,41.16
51.27,42.61,56.82,42.72,56.97,56.97,56.97,56.97,51.72,51.27,51.27,51.27,51.27,51.27,51.27,51.27,51.27,51.27,56.97,56.97,56.97,56.97,56.97,51.27,49.18,49.18,49.18,49.18,54.64,54.64,54.64,54.64,44.47,40.02,40.02,40.02,40.02,40.02,40.02,40.02,40.02,40.02,46.9,62.29,62.29,62.29,62.29,62.29,112.14,112.14,112.14,112.14,112.14,112.14,112.14,112.14,47.06,47.06,46.78,39.0,39.0,39.0,39.0,39.0,39.0,39.0,48.56,48.56,51.98,51.98,51.98,51.98,201.85,201.85,201.85,201.85,201.85,201.85,201.85,201.85,44.0,33.68,25.03,25.03,25.03,25.03,25.03,25.03,25.03,38.75,44.9,44.9,44.9,44.9,44.9,44.9,201.85,201.85,201.85,201.85,201.85,201.85,201.85,54.33,38.79,26.83,23.48,23.48,23.48,23.48,23.48,23.48,27.8,41.78,41.78,41.78,41.78,41.78,41.78,41.78,46.28,46.28,46.28,46.28,51.42,51.42,51.42,51.42,26.48,25.89,25.89,25.89,25.89,25.89,25.89,25.89,26.83,32.43,36.03,36.03,36.03,36.03,36.03,36.03,34.13,32.66,32.66,32.66,36.29,36.29,36.29,36.29,15.31,2.7,2.7,2.7,2.7,2.7,2.7,2.77,8.84,29.2,44.55,58.39,45.21,44.55,44.55,28.92
45.84,51.31,52.15,52.15,52.15,52.15,52.15,52.15,52.15,40.02,40.02,40.02,40.02,40.02,40.02,40.02,40.02,46.18,46.18,46.18,46.18,46.18,46.18,46.18,55.29,60.01,61.43,61.43,61.43,61.43,61.43,61.43,61.43,55.29,55.29,55.29,55.29,55.29,55.29,55.29,55.29,66.55,66.55,66.55,65.47,59.9,62.06,66.55,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,52.53,52.53,52.53,52.53,52.53,52.53,52.53,52.53,58.36,58.36,58.36,52.53,52.53,52.53,58.36,66.1,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,44.11,44.11,44.11,44.11,44.11,44.11,42.93,50.72,50.72,50.72,50.72,44.62,44.62,56.76,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,45.7,36.21,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.56,34.1,34.1,34.1,40.33,42.04,46.89,53.12,51.67,61.07,61.07,61.43,66.14,61.43,61.07,46.89,29.08,28.09,28.09,28.09,28.09,28.09,28.09,28.09,30.12,30.12,30.12,32.92,36.03,40.38,38.5,38.5,48.44,53.82,53.82,53.82,53.82,63.83,53.82,38.44,33.06,33.06,33.06,33.06,33.06,33.06,33.06,36.03,38.44,38.38,36.29,38.44,43.88,51.33
