0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
60.61,60.61,60.61,60.61,60.61,60.61,60.69,60.7,37.1,23.07,23.07,23.07,23.07,23.07,23.07,39.47,60.61,60.61,60.61,60.61,60.61,60.61,60.61,60.61,60.32,60.32,60.32,60.32,60.32,60.32,61.08,60.32,35.72,24.82,24.21,24.21,24.21,24.21,24.82,51.04,60.32,60.32,60.32,60.32,60.32,60.32,60.32,60.32,63.79,63.79,61.2,61.2,61.2,63.79,69.59,63.8,37.95,25.16,24.31,24.31,24.31,24.31,24.31,44.41,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,128.69,128.69,128.69,128.69,128.7,142.96,144.48,143.5,52.29,25.06,24.56,24.3,24.21,24.3,24.56,52.16,75.61,75.61,75.61,75.61,75.61,75.61,75.61,75.42,51.67,51.67,51.67,51.67,51.67,51.67,54.91,51.59,22.87,20.42,20.36,20.36,20.36,20.36,20.86,40.2,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,23.44,21.32,20.95,20.95,20.95,20.95,20.95,40.56,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,54.18,54.18,54.18,54.18,54.18,54.18,54.18,54.18,24.29,20.21,18.44,16.32,16.71,18.44,22.02,48.33,54.18,54.18,54.18,54.18,54.18,54.18,54.18,54.18
45.43,45.14,45.14,45.14,45.08,45.14,44.9,38.43,22.65,8.42,8.42,8.3,8.42,8.42,8.42,26.54,26.34,37.06,41.17,41.17,41.17,41.17,45.14,45.14,189.89,189.89,189.89,189.89,97.99,102.39,192.73,35.23,14.78,13.92,8.52,2.49,2.49,2.49,5.2,13.97,17.38,28.98,48.95,48.95,49.13,48.95,48.95,52.33,64.97,64.64,51.91,51.91,51.91,55.83,56.35,28.83,16.32,7.75,7.56,5.48,7.75,7.72,9.51,17.6,23.35,36.29,40.9,42.3,42.3,42.3,40.91,43.91,51.05,51.05,51.05,51.05,51.05,51.05,51.05,41.16,22.34,7.83,7.83,7.83,7.83,7.83,8.17,8.38,22.23,36.69,50.52,50.59,51.17,51.17,51.17,51.22,209.26,206.69,206.5,206.5,206.5,206.5,206.67,38.91,19.88,9.69,8.34,8.11,8.3,8.39,16.88,18.44,19.97,30.29,33.66,33.66,33.66,33.66,33.66,33.66,90.68,72.96,62.89,62.89,62.89,62.89,62.89,41.06,20.25,18.05,14.69,8.37,14.69,16.88,18.71,19.51,19.51,35.13,35.76,35.73,35.73,35.73,35.8,35.81,49.27,49.27,49.27,49.27,49.27,49.23,49.23,45.38,28.07,18.84,9.67,8.57,8.56,8.6,19.21,19.21,20.97,31.21,31.23,31.23,31.23,31.23,31.23,31.21
59.32,59.32,59.32,59.32,59.32,59.32,59.32,52.32,25.1,17.79,17.79,17.79,17.79,17.79,17.79,17.79,39.36,55.39,59.32,59.32,59.32,59.32,59.32,59.32,59.5,59.5,59.5,59.5,59.5,59.5,59.5,58.78,29.34,17.99,17.65,17.35,17.35,17.35,17.65,18.64,44.32,59.38,59.5,59.5,59.5,59.5,59.5,59.44,71.65,68.8,68.8,68.8,68.8,68.8,68.8,56.83,31.03,22.82,19.26,18.72,18.71,18.72,19.88,24.11,44.43,60.46,63.49,63.49,63.49,55.83,55.54,55.54,62.03,62.03,62.03,60.48,62.03,62.03,62.03,57.73,25.61,17.87,17.3,17.25,17.25,17.2,17.78,22.13,41.13,61.03,61.16,61.16,61.16,61.03,61.03,61.03,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.7,43.75,33.34,17.21,16.78,16.41,16.41,16.41,17.44,37.1,48.2,55.66,55.81,55.81,55.81,55.81,55.81,59.91,59.91,59.91,59.91,59.91,59.91,59.91,59.75,29.76,17.9,17.83,17.35,16.87,17.13,17.35,18.68,43.61,59.87,59.91,59.91,59.91,59.91,59.91,59.91,63.38,63.38,63.38,63.38,63.38,63.38,63.38,58.15,31.17,23.78,23.68,23.68,23.54,23.68,23.78,24.86,52.31,56.21,56.21,56.21,56.21,56.21,55.95,55.94
59.93,59.93,59.93,59.93,59.93,59.93,59.93,50.49,20.15,20.18,20.18,20.18,18.84,19.41,21.2,22.82,33.71,40.47,43.78,43.78,43.78,43.78,43.78,43.78,59.37,59.37,59.37,59.37,59.37,59.37,59.37,37.34,21.12,21.12,21.12,21.05,20.99,23.09,21.87,27.81,40.73,45.23,45.25,45.25,45.25,45.25,45.25,45.25,57.47,57.47,57.47,57.47,57.34,57.32,57.33,37.09,19.91,19.76,19.3,19.01,18.69,18.91,19.58,19.7,44.45,44.36,57.47,57.75,57.83,57.75,57.75,57.87,59.75,59.41,59.58,59.22,59.22,59.22,53.95,51.67,17.89,15.54,15.54,15.54,15.54,15.54,18.45,21.07,36.46,50.99,57.12,57.12,57.12,57.12,56.89,58.98,87.71,77.4,76.19,76.19,76.18,76.16,47.96,31.79,11.9,11.09,11.09,11.09,11.09,11.09,11.09,11.84,16.35,40.24,60.72,76.52,76.52,76.52,76.33,76.32,205.23,205.23,205.23,205.23,205.23,147.2,40.05,33.67,13.12,13.12,13.12,13.12,13.12,13.12,14.29,19.22,35.94,69.05,54.12,74.89,74.89,74.89,74.89,74.7,191.09,191.09,190.38,190.32,190.32,190.32,51.27,18.15,11.22,10.09,8.69,8.11,8.29,9.52,9.92,14.24,16.3,44.48,49.42,72.99,73.03,73.03,73.03,72.55
44.45,44.45,44.45,44.45,44.45,46.72,46.72,46.72,39.19,23.53,23.53,23.53,23.53,23.53,23.53,42.04,46.72,46.72,46.72,46.72,46.72,45.41,44.45,44.45,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,44.5,25.95,24.93,24.93,24.84,24.93,24.93,48.01,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,186.46,186.46,186.46,186.46,186.46,189.61,201.7,186.46,30.38,20.79,20.79,20.79,20.79,20.79,20.79,26.13,54.25,61.7,61.7,61.7,61.7,61.7,61.7,61.7,49.62,49.62,49.62,49.62,49.62,49.62,49.62,45.78,23.63,22.75,15.54,15.54,15.54,15.54,15.54,22.87,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,27.75,23.37,23.21,23.27,23.32,23.33,23.33,38.79,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,38.93,25.44,25.72,25.44,25.44,25.44,25.72,42.09,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,48.04,48.04,48.04,48.04,48.04,48.49,50.29,48.49,38.11,19.52,18.23,17.14,16.97,16.39,18.87,43.23,48.04,49.82,49.82,48.92,48.04,48.04,48.04,48.04
79.05,79.01,80.14,80.14,80.14,80.14,80.14,37.32,8.45,7.8,7.8,7.8,7.86,7.86,8.62,9.37,15.89,35.09,43.11,42.96,43.27,43.32,43.32,43.32,53.22,60.57,60.81,60.81,60.81,60.81,60.81,42.87,23.2,20.33,20.33,20.33,20.33,20.33,21.82,24.4,32.02,42.87,42.87,42.87,42.87,42.87,42.87,42.87,200.78,200.78,200.78,200.78,200.78,200.78,200.78,40.0,21.78,17.91,17.71,17.5,17.71,17.91,17.91,19.34,25.93,42.16,42.16,42.16,42.16,42.16,42.16,42.16,48.33,48.33,48.33,48.33,48.33,48.33,48.33,32.19,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,33.29,46.67,48.27,48.27,48.27,48.27,48.33,48.33,174.29,174.19,174.19,182.02,189.02,189.69,177.93,20.36,14.73,14.57,12.7,13.1,13.1,13.1,14.21,17.35,18.51,49.22,48.86,49.26,49.26,49.26,48.86,48.86,93.13,93.13,93.13,93.13,93.13,93.13,93.13,45.92,19.17,19.2,19.46,19.61,19.46,18.56,18.75,18.58,21.58,44.8,44.8,44.8,44.8,44.8,44.8,44.8,65.4,65.4,65.4,65.4,65.4,65.4,65.4,51.67,16.46,15.54,14.95,14.95,14.95,14.95,14.95,15.61,31.79,65.4,65.4,65.4,65.4,65.4,65.4,65.4
82.11,82.11,82.11,82.11,82.11,82.11,82.11,51.67,19.36,19.34,19.34,19.34,19.35,19.35,19.35,20.24,23.34,60.81,60.81,66.72,66.72,66.72,66.72,60.81,191.89,191.89,191.89,191.89,191.89,180.6,52.11,41.49,14.46,14.46,14.46,13.83,13.82,13.82,14.46,14.46,46.75,73.84,94.07,123.97,109.46,89.62,61.17,60.99,287.02,287.02,57.29,51.67,51.67,53.28,51.13,35.57,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.59,31.27,36.68,36.68,37.42,36.68,36.68,36.68,36.68,36.75,36.75,36.75,36.75,35.28,36.75,36.75,26.75,4.75,1.9,1.9,1.9,1.9,1.9,1.9,5.65,25.34,36.75,59.17,59.17,59.17,59.17,59.17,59.16,56.62,56.62,56.62,56.62,54.8,56.62,56.62,43.05,11.64,6.46,6.46,6.46,6.11,6.46,6.46,6.94,27.09,50.32,54.8,56.62,56.62,56.62,54.8,54.8,212.95,212.95,212.95,212.95,212.95,212.95,212.95,60.64,22.46,22.45,22.45,22.45,22.45,22.45,22.45,24.79,53.8,59.29,77.53,77.65,77.69,77.57,77.47,77.47,65.81,65.81,65.81,65.81,65.81,65.81,55.97,32.92,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.92,33.09,60.25,60.59,61.15,61.04,60.32,60.3,60.25
201.85,201.85,201.85,201.85,201.85,201.85,201.85,201.85,32.17,20.32,19.2,19.2,19.2,19.2,19.2,22.74,186.46,201.85,201.85,201.85,201.85,201.85,201.85,201.85,54.71,54.71,54.71,54.71,54.71,54.71,54.71,43.33,23.67,16.57,16.27,16.27,14.05,16.27,17.16,22.21,54.71,54.71,54.71,54.71,54.71,54.71,54.71,54.71,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11,26.1,16.86,16.86,16.86,13.32,16.08,16.86,20.81,52.37,57.11,57.11,57.11,57.11,57.11,57.11,57.11,51.91,51.91,51.91,51.91,51.91,57.71,59.05,51.9,36.13,28.54,28.54,28.54,28.54,28.54,28.54,36.46,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91,57.16,57.16,57.16,57.16,57.16,57.16,57.16,57.16,16.98,13.12,13.11,11.87,13.12,14.52,15.28,31.69,57.16,57.16,57.16,57.16,57.16,57.16,57.05,57.05,63.36,63.36,63.0,58.11,57.76,63.36,68.75,38.41,18.34,16.22,15.52,16.13,17.51,17.14,18.06,33.38,63.36,63.36,64.86,63.36,63.36,63.36,63.36,63.36,67.64,67.64,67.64,67.64,67.64,67.64,67.64,53.66,22.79,18.78,18.78,18.78,20.06,20.06,20.06,34.18,67.43,67.64,67.64,67.64,67.64,67.46,58.34,54.92
45.32,45.16,45.32,45.32,45.32,45.17,41.78,26.37,25.32,14.75,14.75,14.75,14.75,14.75,19.22,31.59,31.59,37.31,41.04,41.46,41.46,41.36,41.46,41.78,44.8,44.8,44.8,44.8,44.8,44.8,44.8,35.73,28.08,25.85,25.85,25.85,25.85,25.85,25.85,31.97,31.89,36.42,44.8,44.8,44.8,44.8,44.8,44.8,201.85,201.85,201.85,201.85,201.85,201.85,201.85,36.29,19.62,16.74,16.59,16.59,16.54,16.6,16.62,16.56,19.02,36.29,45.05,45.05,45.05,45.05,45.05,45.05,201.85,201.85,201.85,201.85,201.85,201.85,201.85,35.36,24.85,18.31,11.13,11.13,11.13,11.13,11.13,11.13,21.27,32.94,39.06,44.12,44.43,44.12,38.51,46.08,120.81,97.01,31.35,34.83,34.05,32.33,29.46,28.64,19.22,15.63,9.42,9.42,9.42,9.42,9.42,9.96,19.08,22.96,31.08,41.75,41.78,41.75,41.19,41.19,472.88,334.95,181.43,173.01,171.9,180.35,181.43,17.67,16.36,16.26,12.56,12.24,11.93,11.93,11.93,18.42,16.5,28.25,33.91,35.29,35.95,35.95,37.54,40.98,45.38,45.27,43.23,43.23,43.23,43.23,43.23,37.18,25.05,11.45,9.19,9.92,10.81,10.81,10.81,14.5,22.65,31.75,43.06,43.11,43.09,43.09,43.09,43.21
51.66,51.66,51.66,51.66,51.66,51.66,58.53,58.68,36.66,23.49,22.64,22.62,22.16,22.53,22.64,41.08,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,48.38,48.38,48.38,48.38,48.38,48.38,50.09,48.38,39.95,22.5,21.0,17.32,15.57,15.57,21.0,43.54,48.38,48.38,48.38,48.38,48.38,48.38,48.38,48.38,51.67,51.67,51.67,51.67,51.67,67.01,67.01,67.05,46.5,26.05,23.12,21.88,18.6,21.88,20.94,40.3,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,46.15,24.17,23.49,23.3,23.13,23.3,23.52,41.63,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,202.75,201.82,201.82,201.82,210.23,216.56,216.56,216.56,36.98,24.33,23.78,23.78,23.78,23.78,23.78,39.71,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,43.46,43.46,43.46,43.46,43.46,43.46,43.46,43.46,39.11,25.93,23.67,23.64,23.23,23.64,23.67,39.09,43.46,43.46,43.46,43.46,43.46,43.46,43.46,43.46,43.04,43.04,43.04,43.04,43.04,43.04,43.04,43.04,36.29,22.02,23.25,23.25,23.25,23.25,23.25,38.74,43.04,43.04,43.04,43.04,43.04,43.04,43.04,43.04
