0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
59.16,59.16,59.16,59.16,59.16,59.16,59.16,51.67,37.64,32.78,31.67,27.33,27.33,27.33,32.86,37.84,51.67,51.67,59.16,59.16,59.16,59.16,59.16,59.16,57.98,57.98,57.98,57.98,57.98,57.98,57.98,51.63,39.48,31.55,31.51,26.75,27.33,27.33,30.52,37.67,50.55,57.98,57.98,57.98,57.98,57.98,57.98,57.98,60.18,60.18,60.18,60.18,60.18,60.18,60.18,52.64,41.3,28.76,31.49,29.95,29.78,31.51,31.77,35.77,42.61,60.18,60.18,60.18,60.18,60.18,60.18,60.18,59.16,59.16,59.16,59.16,59.16,59.16,58.99,43.39,36.81,30.32,30.32,29.02,30.26,31.1,31.35,37.86,51.66,59.16,59.16,59.16,59.16,59.16,59.16,59.16,58.64,58.64,58.64,58.64,58.64,58.64,58.64,51.67,39.94,30.96,30.96,30.96,30.96,30.96,32.04,34.96,45.15,58.64,58.64,58.64,58.64,58.64,58.64,58.64,58.48,58.48,58.48,58.48,58.48,58.48,58.48,51.63,47.7,38.99,38.91,36.7,37.89,38.99,39.46,41.76,51.83,58.48,58.48,58.48,58.48,58.48,58.48,58.48,59.19,59.19,59.19,59.19,59.19,59.19,59.19,54.81,40.55,37.12,37.12,33.34,36.98,36.23,33.34,39.15,53.2,59.19,59.19,59.19,59.19,59.19,59.19,59.19
75.33,75.33,75.33,75.33,75.33,75.33,75.33,50.54,35.64,35.67,35.67,35.67,34.81,35.2,36.74,37.12,49.15,55.9,59.21,59.21,59.21,59.21,59.21,59.21,74.77,74.77,74.77,74.77,74.77,74.77,74.77,53.34,37.18,37.18,37.18,37.08,36.78,37.35,37.94,44.04,50.82,60.65,60.68,60.68,60.69,60.68,60.68,60.68,72.87,72.87,72.86,72.86,72.74,72.72,72.73,52.53,35.39,35.24,35.05,34.87,34.67,34.9,35.36,35.4,44.12,59.8,73.0,73.21,73.25,73.22,73.16,73.29,75.15,74.8,74.97,74.6,74.6,74.61,54.0,51.73,33.34,30.2,30.2,30.2,30.2,30.2,32.93,35.39,35.4,50.05,57.17,57.2,57.2,57.17,57.17,74.01,87.92,78.05,76.19,76.19,76.19,76.17,47.99,31.85,27.38,26.54,26.54,26.54,26.54,26.54,26.54,27.31,31.79,40.3,76.12,76.55,76.91,76.55,76.35,76.34,205.23,205.23,205.23,205.23,205.23,147.2,40.13,33.73,28.77,28.77,28.77,28.77,28.77,28.77,29.03,33.65,35.36,69.19,69.68,74.76,74.76,74.76,74.76,74.55,206.52,206.52,205.77,205.69,205.7,205.7,66.81,31.7,26.97,25.79,24.37,23.68,23.86,25.11,25.62,30.0,31.72,51.67,64.86,73.08,73.08,73.08,73.07,87.93
59.83,59.83,59.83,59.83,59.83,62.1,62.1,62.1,37.95,33.34,27.33,25.37,25.37,26.54,27.73,42.96,62.1,62.1,62.1,62.1,62.1,60.75,59.83,51.67,51.67,51.67,51.67,51.67,64.51,69.9,69.9,69.9,43.07,27.73,25.6,25.37,26.54,26.54,27.73,47.13,54.51,69.9,69.9,69.9,69.9,69.9,69.9,69.9,201.84,186.46,186.46,186.46,201.84,205.24,217.23,201.84,45.22,35.86,27.73,23.34,26.54,26.54,27.73,41.04,69.66,69.82,76.67,69.8,69.66,69.66,69.66,69.93,54.44,54.44,54.44,53.51,53.51,53.58,60.09,52.16,37.84,37.0,32.86,27.73,32.86,32.86,32.86,37.22,64.99,65.0,65.01,65.01,64.99,56.82,55.21,51.81,53.87,51.84,51.84,51.84,53.99,56.16,59.84,59.84,42.57,38.31,38.24,37.94,38.24,38.24,38.24,41.84,51.67,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.77,58.0,58.0,58.0,59.77,62.15,62.15,62.15,43.69,39.73,27.73,27.73,27.73,38.5,40.5,42.51,61.95,62.09,62.09,62.04,61.95,59.87,60.83,59.77,63.23,63.23,63.23,63.23,63.23,63.87,65.77,63.87,37.68,34.55,32.74,27.33,27.73,31.92,33.95,47.71,63.43,65.24,65.24,64.32,63.44,61.45,63.23,55.81
60.76,60.61,60.76,60.76,60.76,60.73,59.7,42.58,41.5,38.49,38.49,38.49,38.49,38.49,41.51,47.53,47.53,55.72,59.46,59.62,59.6,59.57,59.58,59.61,60.18,60.18,60.18,60.18,60.18,60.18,60.18,51.67,44.31,43.68,43.68,43.68,43.68,43.68,43.68,48.25,48.23,51.81,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,217.23,217.23,217.23,217.23,217.23,51.67,35.6,32.63,32.47,32.47,32.43,32.47,32.49,32.22,34.96,51.67,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,51.8,41.01,35.45,32.86,32.86,32.86,32.86,32.86,32.89,37.41,50.77,59.13,60.92,61.03,60.92,59.02,61.55,136.2,112.4,51.96,52.74,52.58,54.39,51.57,44.9,35.09,31.32,31.1,31.1,31.1,31.1,31.1,31.5,34.82,41.57,53.47,57.27,57.29,57.26,56.66,56.66,501.36,350.71,206.09,197.73,199.98,207.83,207.83,33.61,32.27,32.15,30.88,30.78,30.7,30.7,31.23,34.57,33.16,46.99,54.09,54.78,55.16,55.16,55.24,56.43,60.8,60.69,60.04,60.04,60.04,60.04,60.04,53.69,41.21,33.5,32.43,32.97,33.61,33.61,33.61,36.37,39.43,50.28,60.03,60.06,60.05,60.05,60.05,60.07
82.11,82.11,82.11,82.11,82.11,82.11,82.11,51.67,34.73,34.7,34.7,34.7,34.71,34.71,34.71,35.55,38.57,66.72,66.72,66.72,66.72,66.72,66.72,66.72,191.89,191.89,191.89,191.89,191.89,180.63,52.14,41.49,29.12,29.12,29.12,28.52,28.52,28.52,29.12,29.12,46.03,87.63,106.65,120.31,106.65,88.02,61.31,61.14,287.48,287.02,57.39,51.79,51.96,53.4,51.25,35.63,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.0,31.32,36.75,36.75,37.45,36.75,36.75,36.75,36.75,36.81,36.81,36.81,36.81,35.34,36.81,36.81,26.79,20.1,17.27,17.27,17.27,17.27,17.27,17.27,21.2,25.37,36.8,59.18,59.17,59.17,59.17,59.17,59.16,56.62,56.62,56.62,56.62,56.62,56.62,56.62,43.05,27.33,22.04,22.04,22.04,21.68,22.04,22.04,22.52,27.08,50.34,57.41,57.41,57.41,57.41,57.41,57.41,213.78,213.78,213.78,213.78,213.78,213.78,213.78,60.61,38.24,38.23,38.23,38.23,38.23,38.23,38.23,38.88,51.68,59.3,76.49,76.61,76.66,76.53,76.43,76.43,65.83,65.83,65.83,65.83,65.83,65.83,56.02,32.94,29.68,29.68,29.68,29.68,29.68,29.68,29.68,29.72,33.11,60.28,60.64,61.21,61.12,60.36,60.34,60.29
67.04,67.04,67.04,67.04,67.04,67.04,73.91,73.91,51.39,38.38,37.55,33.34,37.08,37.38,37.55,39.68,67.04,67.04,67.04,67.04,67.04,67.04,67.04,67.04,58.93,58.93,58.93,58.93,58.93,63.77,65.48,63.77,44.93,36.72,35.33,29.43,30.22,30.22,35.33,44.9,63.77,63.77,63.77,63.77,63.77,58.93,58.93,58.93,67.04,67.04,67.04,67.04,67.06,82.4,82.4,82.4,48.98,40.07,37.32,35.25,33.08,35.25,35.28,38.99,67.06,67.06,67.06,67.06,67.06,67.06,67.06,67.06,72.8,72.8,72.8,72.8,72.8,78.94,79.18,78.96,52.14,39.06,38.4,32.86,27.73,27.73,38.45,41.09,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,202.75,201.87,201.87,201.87,210.41,216.94,217.06,217.03,51.58,39.2,27.73,27.33,26.54,27.33,27.73,39.2,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.82,58.82,58.82,58.82,58.83,58.84,58.84,58.84,51.51,40.68,27.73,26.54,25.37,23.86,25.37,27.73,51.67,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.43,51.67,58.43,51.67,51.67,58.43,58.43,58.43,38.76,31.92,27.73,27.33,27.33,27.33,30.52,39.91,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
217.23,217.23,217.23,217.23,217.23,217.23,217.24,217.23,46.45,34.66,26.54,26.54,26.75,27.33,34.2,36.93,201.85,201.85,209.34,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,58.63,38.36,31.68,31.38,27.33,27.33,27.33,32.25,36.59,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,72.49,72.49,72.49,72.49,72.49,72.49,72.5,72.49,41.31,32.31,32.31,32.31,31.3,30.52,32.31,36.23,64.68,72.49,72.49,72.49,72.49,72.49,72.49,72.49,67.29,67.29,67.29,67.29,67.29,73.55,74.77,67.29,51.1,43.93,32.86,28.55,28.55,28.55,37.94,51.67,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.48,63.48,63.48,63.48,63.48,63.48,63.48,57.15,31.98,28.28,28.28,27.07,29.21,29.64,30.11,46.41,63.39,63.39,63.39,63.39,63.39,57.38,57.05,57.05,63.36,63.36,63.0,58.12,57.79,63.38,68.76,38.45,33.13,31.12,27.73,27.73,27.73,32.53,32.86,47.87,67.68,77.93,79.75,68.37,67.68,67.18,64.57,64.57,67.7,67.68,67.68,67.68,73.37,81.08,81.08,67.25,37.23,34.66,27.33,26.54,26.54,27.33,30.52,47.91,67.46,74.56,76.86,73.91,67.98,67.49,58.39,54.97
75.14,75.14,75.14,75.14,75.14,75.14,75.14,50.44,33.63,26.54,26.54,25.95,25.95,25.85,31.33,34.15,40.07,51.92,55.6,55.75,55.75,55.75,56.3,56.3,74.41,74.41,74.41,74.41,74.41,74.41,74.23,49.0,34.79,34.63,34.63,34.63,34.63,34.63,34.91,37.28,41.44,42.13,51.66,51.66,51.66,51.66,51.66,51.66,83.9,83.9,83.9,83.9,83.9,83.9,83.9,37.68,29.2,25.99,25.74,25.89,25.99,30.11,30.57,36.29,38.45,55.51,56.62,56.7,56.7,56.7,56.7,56.7,217.23,217.23,217.23,217.23,217.23,213.97,215.04,31.53,23.68,23.26,23.26,21.18,23.26,23.68,29.66,31.2,34.97,51.67,59.51,59.71,61.68,61.68,63.58,66.53,63.09,61.18,61.18,61.18,61.77,62.53,60.04,57.26,30.25,29.95,29.95,28.96,25.71,29.95,29.95,34.03,44.15,52.3,52.58,52.58,52.61,61.15,62.89,65.0,64.5,64.5,64.5,64.5,64.5,64.5,64.48,58.08,37.51,35.73,35.18,35.18,35.48,35.48,35.9,37.74,37.75,52.51,64.86,64.94,64.99,64.78,64.78,64.74,74.16,74.16,74.16,74.16,74.16,74.16,74.16,51.6,36.1,35.37,36.23,36.08,36.08,36.23,36.24,37.54,39.35,51.67,62.9,62.9,62.9,62.9,62.9,62.9
205.84,205.83,205.83,205.83,205.83,205.83,205.67,39.64,34.61,34.32,34.32,34.32,34.32,34.32,34.32,34.61,35.31,36.2,55.77,56.08,56.08,56.08,56.08,55.82,206.42,205.87,205.87,205.87,205.87,205.87,50.72,34.77,31.14,30.76,30.76,30.76,30.76,30.76,30.78,33.94,35.52,40.72,54.38,54.41,54.41,54.41,54.41,54.11,206.13,206.13,206.13,206.13,206.13,206.13,53.47,35.65,32.04,31.25,30.79,30.71,30.13,30.36,31.07,32.35,35.63,49.4,54.0,61.93,61.87,61.81,61.69,61.69,62.68,62.92,62.67,62.67,62.4,62.18,51.44,48.36,33.46,33.46,33.46,33.46,33.46,33.46,34.84,34.9,35.1,52.38,63.11,54.12,63.32,63.31,63.39,63.68,58.06,58.0,58.0,58.0,58.0,58.0,58.0,57.95,41.44,33.49,33.49,33.49,33.49,33.49,33.6,33.89,34.23,42.01,58.31,58.35,58.4,58.4,58.4,58.4,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,32.93,32.59,32.08,31.28,32.08,32.05,32.7,36.23,37.48,48.34,64.34,65.56,65.57,65.56,65.54,65.54,74.57,74.57,74.57,74.57,74.57,74.57,74.57,51.98,31.94,30.82,30.62,30.02,30.02,30.52,32.19,33.08,43.75,52.8,60.63,60.63,60.63,62.37,62.37,62.37
111.75,102.63,55.79,54.15,54.1,52.4,48.4,34.68,29.11,23.37,22.3,22.3,22.3,22.3,29.1,33.5,34.87,51.67,60.67,61.01,61.01,61.01,61.01,61.01,232.87,242.07,243.43,241.79,214.05,214.05,80.47,35.11,31.07,30.83,30.83,30.83,30.83,30.83,31.93,35.39,39.6,52.49,63.25,63.34,63.28,63.28,63.25,63.25,66.55,66.55,66.55,66.55,66.55,66.55,66.55,53.58,35.05,35.05,34.94,34.94,35.07,34.92,35.08,35.36,38.32,49.47,56.46,56.53,56.53,56.53,56.53,56.45,80.96,80.96,80.96,80.96,80.96,80.96,80.96,67.7,34.08,35.13,34.94,34.94,34.94,35.08,34.08,35.19,38.5,66.64,66.72,66.72,66.72,66.72,66.72,66.72,218.5,218.5,218.5,218.5,218.5,218.5,51.93,38.8,33.0,32.7,32.7,32.7,32.7,32.7,32.7,32.7,33.74,48.28,59.91,59.91,59.91,59.91,59.91,59.91,76.58,76.58,76.58,76.58,76.58,76.58,76.58,35.27,33.87,33.74,33.74,33.74,32.87,33.23,35.29,45.46,45.46,52.57,75.52,75.72,76.0,77.06,76.0,75.72,59.95,59.95,59.95,59.99,52.53,50.67,46.49,33.76,32.66,32.28,32.28,32.28,32.27,32.28,32.28,32.66,35.54,59.84,59.91,59.97,59.9,59.9,59.9,59.9
