,Source,Capacity,700MW - Archetype,600MW - Archetype,660MW - Archetype,500MW - Archetype ,250MW - Archetype,210MW - Archetype ,195_200MW - Archetype ,140MW - Archetype,120_125MW - Archetype ,100_110MW - Archetype
0,Aspen output for TES model ,Steam Turbine Efficiency of TES,0.4246558342365416,0.4149807111441443,0.4149807106924831,0.4104754594136071,0.4068047189009657,0.405030306168791,0.4037476959017886,0.4032861611776323,0.4022596424982889,0.4014903758362892
1,Aspen output for TES model ,Enthalpy change of steam between input and output of the heat exchanger (J/kg) - Qs,-3492277.1,-3519954.299999999,-3519954.299999999,-3468701.5,-3476427.9000000004,-3478885.5,-3482869.9000000004,-3486180.2,-3483686.9000000004,-3485099.3000000007
2,Aspen output for TES model ,Gross Power Output (MW) ,687.35969596,618.8276492900001,675.08470788,536.5357329855,273.18269086275006,229.3506207471231,217.071098700069,154.05233574795307,132.7185358833986,120.4848050717611
3,Aspen output for TES model ,Molten Salt Flow (kg/s),4842.08222,4434.88897,4838.41994,3889.33876,1995.709614,1681.9930089999998,1596.279141,1134.169783,979.521107,891.003299
4,Aspen output for TES model ,deltaA for Heat Exchanger Network (C),5.000588999999991,5.00052299999993,5.00052299999993,27.40076499999998,27.400623,27.70055000000002,27.00047599999993,26.000433999999927,27.60041799999999,27.50037899999996
5,Aspen output for TES model ,deltaB for Heat Exchanger Network (C),91.730684,126.56220800000006,126.56811500000003,135.643961,146.97689300000002,151.70558400000004,155.14321099999995,156.496168,158.61066599999992,160.442812
6,Aspen output for TES model ,deltaC for Heat Exchanger Network (C) ,65.39800600000001,68.23337600000002,68.24433999999997,73.19592899999998,76.93025900000009,81.52040499999998,85.21721500000001,86.906431,88.62606899999992,90.59429999999998
7,Aspen output for TES model ,deltaD for Heat Exchanger Network (C) ,255.090363,243.281107,243.30121000000003,243.590465,249.262638,243.50846199999995,243.486067,243.460921,243.473216,243.529496
8,Aspen output for TES model,Peak Steam Flow (kg/s) ,430.151515,388.888889,424.242424,347.083895,177.416807,149.328704,141.471801,100.38931,86.7592593,78.8473625
9,Aspen output for Coal Model,Steam Turbine Efficiency of Coal Plant,0.4318569343421484,0.4162364111001801,0.4162364134700349,0.4104754356659614,0.4068047157708932,0.4050303046474297,0.4037477108684489,0.4032861712859881,0.4022596485283971,0.4014903803370265
10,"Aspen input for TES model, and output of Coal Model ",Output Target Pressure of LP turbine for TES model,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475
11,Aspen input for TES model and Coal Model,HP turbine input temperature for TES (C),560.15,560.15,560.15,537.75,537.75,537.45,538.15,539.15,537.55,537.65
12,Aspen output for TES model,HP turbine output temperature for TES (K),329.239204,338.275304,338.275304,318.42555200000004,321.35377000000005,322.31712200000004,323.88312499999995,325.177954,324.22981300000004,324.797018
