,700MW,600MW,660MW,500MW,250MW,210MW,195_200MW,140MW,120_125MW,100_110MW,500MW_0,500MW_1,500MW_2,500MW_3,500MW_4,250MW_0,250MW_1,250MW_2,250MW_3,250MW_4,210MW_0,210MW_1,210MW_2,210MW_3,210MW_4,210MW_5,210MW_6,210MW_7,210MW_8,210MW_9,210MW_10,210MW_11,210MW_12,210MW_13,210MW_14,210MW_15,210MW_16,210MW_17,210MW_18,210MW_19,210MW_20,210MW_21,210MW_22,210MW_23,210MW_24,210MW_25,210MW_26,210MW_27,210MW_28,210MW_29,210MW_30,210MW_31,210MW_32,210MW_33,210MW_34,210MW_35,210MW_36,210MW_37,210MW_38,210MW_39,210MW_40,210MW_41,210MW_42,210MW_43,210MW_44,210MW_45,210MW_46,210MW_47,210MW_48,195_200MW_0,195_200MW_1,195_200MW_2,195_200MW_3,195_200MW_4,140MW_0,140MW_1,140MW_2,140MW_3,120_125MW_0,120_125MW_1,120_125MW_2,120_125MW_3,120_125MW_4,120_125MW_5,120_125MW_6,120_125MW_7,120_125MW_8,100_110MW_0,100_110MW_1,100_110MW_2,100_110MW_3,100_110MW_4,100_110MW_5,100_110MW_6,100_110MW_7
steam_eff,0.42465583528838324,0.4149807101565423,0.41498070996838204,0.41047545938639085,0.4068047188511096,0.40503030616879104,0.4037476959017886,0.4032861611776323,0.4022596424982889,0.4014903758362892,0.20506807926216425,0.20549558928394132,0.20506807936180543,0.2050934872123008,0.20544035906853522,0.4065603756169039,0.4065603756169039,0.406949297431079,0.40596238183730365,0.4079847707219615,0.406594564557509,0.40596238313677213,0.40282652512811634,0.40698283302093663,0.4071937926748124,0.40554005176797364,0.40719379309133874,0.4015387386445743,0.404460372089073,0.40719379306359993,0.4071937944175892,0.40400613053106044,0.4025826954708092,0.4025826969253094,0.40554005102807295,0.4071937939723606,0.4065945642637229,0.4063908131749971,0.4000188408496865,0.4010437180070147,0.40719379329520844,0.40613719111097196,0.4017820784420303,0.40178207996445436,0.40178207937636407,0.4034121553853513,0.4061371925025526,0.4028265255495307,0.40613719180935537,0.40613719151187,0.4061371933605079,0.4061371921416875,0.40613719158546085,0.40554005167754187,0.40554005167754187,0.4055400503984222,0.40556024511081445,0.4042344644620875,0.4042344661402677,0.40638401024975895,0.4055602444934525,0.40178207865355003,0.4061371915129884,0.4071937931019413,0.4071937930560196,0.4071937930560196,0.4065603754407347,0.4011685303769978,0.40178208029678464,0.4066148276050175,0.402496025888032,0.40104371894402646,0.40407488906237904,0.40423446500024995,0.40240917617564714,0.4028265261025039,0.40178207874048927,0.4059689560318548,0.4029232994905126,0.40178207918490655,0.4019077230940792,0.40178207972605084,0.4014613554056177,0.40177810110218476,0.40354201016709507,0.4017820797145958,0.403306135142791,0.3892024256810451,0.40187865375881937,0.40178207955112843,0.40258269598998603,0.40490507010347604,0.40457242840474805,0.40129263448600394,0.4028265256271496
Qs,-3492277.0999999996,-3519954.299999999,-3519954.299999999,-3468701.5,-3476427.9000000004,-3478885.5,-3482869.9000000004,-3486180.1999999993,-3483686.9000000004,-3485099.3000000007,-3467832.1999999993,-3468596.8000000007,-3467832.1999999993,-3470464.3000000007,-3468858.3000000007,-3475305.0,-3475305.0,-3474558.6999999993,-3476424.200000001,-3480517.5999999996,-3483151.9000000004,-3476424.200000001,-3489449.4000000004,-3479794.0,-3482039.0999999996,-3471941.1000000015,-3482039.0999999996,-3478672.4000000004,-3486858.0,-3482039.0999999996,-3482039.0999999996,-3487598.700000001,-3489819.4000000004,-3489819.4000000004,-3471941.1000000015,-3482039.0999999996,-3483151.9000000004,-3483522.8000000007,-3480912.4000000004,-3479419.1999999993,-3482039.0999999996,-3470817.700000001,-3478298.9000000004,-3478298.9000000004,-3478298.9000000004,-3475682.6999999993,-3470817.700000001,-3489449.4000000004,-3470817.700000001,-3470817.700000001,-3470817.700000001,-3470817.700000001,-3470817.700000001,-3471941.1000000015,-3471941.1000000015,-3471941.1000000015,-3471903.6999999993,-3487228.299999999,-3487228.299999999,-3480908.9000000004,-3471903.6999999993,-3478298.9000000004,-3470817.700000001,-3482039.0999999996,-3482039.0999999996,-3482039.0999999996,-3475305.0,-3479232.5,-3478298.9000000004,-3483114.799999999,-3477178.0,-3479419.1999999993,-3487487.5,-3487228.299999999,-3484987.8000000007,-3489449.4000000004,-3478298.9000000004,-3492095.0,-3489301.4000000004,-3478298.9000000004,-3483204.200000001,-3478298.9000000004,-3483873.799999999,-3485433.4000000004,-3488339.0999999996,-3478298.9000000004,-3488709.299999999,-3493199.0999999996,-3478149.4000000004,-3478298.9000000004,-3489819.4000000004,-3486117.200000001,-3486672.9000000004,-3479045.9000000004,-3489449.4000000004
P_out_net,720.28710766,625.8999653000001,675.08470788,536.5357329855,273.18269086275006,229.3506207471231,217.071098700069,154.05233574795307,132.7185358833986,120.4848050717611,544.8106126855,539.1973325954999,538.2068492055,539.6563642455,540.3943266846875,273.92095082275,273.92095082275,270.02101476275004,273.24423943275,274.70500915275,231.38162976751002,232.6455662467362,227.61857328751,227.6261991559624,230.65357632751,229.87375038751,230.65357632751,230.6674739659624,232.56735993751,231.38636748588502,236.11700762611716,227.79450139751,229.23100151751,229.90764512750997,230.82084100750998,229.73216897750999,226.8211935855755,228.07019080751002,230.32540504751003,230.02849949751,230.65357632751,228.43004209751004,229.56462626751,230.27144922681362,230.89259635751,237.15818647751,233.71375517534335,229.49185296751,230.72467129751,230.49570397751,231.83978826751002,231.34221801751002,228.24264677751,229.87375028751,229.87375028751,229.00199625751,229.37114923751,228.68518942751,227.04365044751,231.08207696549812,229.88990878751,227.82755849751,230.97819535751,228.64599244588499,230.65357632611716,230.65357632751,227.87726285751,227.24526744751,232.21521452751,213.473371885545,217.33966993619998,216.8700897358518,224.5116743862,224.55974523585178,158.42122262833996,159.08047752833997,160.0640724274501,153.33189806834,132.57699217572,135.54312040572,132.74607985572,137.09356597571997,136.31167329571997,132.56861937572,134.64303683571998,136.16415432455932,138.664929736375,120.5085603941,119.81962607375499,126.24060749440999,120.64649648441,119.62477595441,120.52624382440999,124.87822356440999,125.26350068441
F_salt,5072.34888,4485.56921,4839.06868,3889.3394,1995.709667,1681.9930089999998,1596.279141,1134.169783,979.521107,891.003299,960.9032990000001,1030.8033,1100.7033000000001,1170.603299,1240.503299,2002.146331,2002.146331,1972.1214139999997,2000.2052469999999,2001.5077820000001,1690.887608,1703.240728,1676.809743,1662.277254,1683.47146,1684.397223,1683.432298,1705.28545,1707.298369,1688.823391,1723.678658,1673.8373940000001,1690.027783,1694.555346,1691.154269,1676.751567,1657.4274850000002,1667.175836,1707.84296,1701.941554,1683.471764,1671.137488,1695.655702,1700.7821079999999,1705.427895,1745.3386380000002,1710.349944,1690.599846,1688.4017020000001,1686.747527,1696.650022,1693.0272439999999,1669.9619389999998,1684.803682,1684.803682,1677.9688099999998,1680.624264,1679.5089130000001,1666.9910089999998,1689.597066,1684.176829,1682.748352,1690.870375,1668.830435,1683.653637,1683.653637,1665.8862709999999,1681.250136,1715.216353,1560.306388,1602.917005,1604.472062,1649.487467,1649.487467,1168.6102270000001,1172.4192899999998,1182.59742,1122.096602,976.8709309999999,1001.5725,980.5005189999999,1013.019226,1007.786544,979.4081799999999,990.758885,1006.15689,1020.843369,916.434204,885.277806,932.9793070000001,889.71965,877.8073919999999,885.124224,923.8140109999999,923.174491
deltaA,4.850000000000023,4.850000000000023,4.850000000000023,27.25,27.25,27.549999999999955,26.850000000000023,25.850000000000023,27.450000000000045,27.350000000000023,27.850000000000023,26.850000000000023,27.850000000000023,26.850000000000023,26.850000000000023,27.850000000000023,27.850000000000023,27.850000000000023,27.850000000000023,24.850000000000023,24.850000000000023,27.850000000000023,24.850000000000023,25.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,25.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,27.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,26.850000000000023,24.850000000000023,29.850000000000023,21.850000000000023,24.850000000000023,29.850000000000023,27.850000000000023,29.850000000000023,27.850000000000023,27.049999999999955,24.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023
deltaB,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
flowsteamPeak,450.757576,393.333333,424.242424,347.083895,177.416807,149.328704,141.471801,100.38931,86.7592593,78.8473625,352.777778,348.501684,348.501684,349.027778,349.305556,178.058361,178.058361,175.448934,177.741162,177.717172,149.943883,151.349607,148.233726,147.60101,149.368687,149.936869,149.368687,151.237374,151.11532,149.842873,152.90404,148.106061,149.335017,149.775533,150.554153,148.772447,146.990741,147.835297,151.349607,150.925926,149.368687,148.894501,150.462963,150.925926,151.332772,155.092593,152.335859,149.452862,150.389029,150.239899,151.11532,150.791246,148.772447,149.936869,149.936869,149.368687,149.60578,148.639169,147.572952,149.943883,149.943883,149.325196,150.554153,148.069585,149.368687,149.368687,148.148148,149.074074,152.199074,138.343855,142.314815,142.29798,145.959596,145.959596,103.462402,103.626543,104.938272,99.1666667,86.3636364,88.8748597,86.8546577,89.8905724,89.2424242,86.6863075,87.6332772,89.2817059,90.2777778,80.7239057,78.5634119,82.7805836,78.6363636,77.7272727,78.3459596,81.9444444,81.6147587
coal_steam_eff,0.42465591417082504,0.41498071040207424,0.4149807111597966,0.41047543566596145,0.4068047157708932,0.40503030464742973,0.4037477108684489,0.40328617154495827,0.4022596485283971,0.4014903803370265,0.4101361361436945,0.4109911470039681,0.4101361359621803,0.4101869515815742,0.4108806868813644,0.40656037195947264,0.40656037195947264,0.4069492929835657,0.40596237834575544,0.4079847642849456,0.40659456025728924,0.4059623792833584,0.4028265342369134,0.4069828279616113,0.4071937883016628,0.4055400469493229,0.4071937883016628,0.40153874257895855,0.40446039301795494,0.4071937880377666,0.4071937882163545,0.40400614609825214,0.402582702150723,0.40258270275094965,0.4055400483840423,0.4071937891369984,0.4065945599170289,0.40639081119354953,0.40001884277614175,0.40104372239295677,0.4071937883016628,0.40613718860879083,0.4017820852105392,0.40178208559603,0.40178208582082287,0.4034121723618654,0.40613718888483785,0.40282653348172376,0.40613718811010785,0.4061371882561374,0.4061371876684345,0.40613718847774133,0.40613718927521275,0.4055400469493229,0.4055400469493229,0.4055400473728296,0.40556024266419566,0.40423448349088187,0.4042344822518484,0.40638400747495573,0.40556024330365886,0.4017820847621318,0.4061371882957962,0.4071937882740787,0.4071937883016628,0.4071937883016628,0.40656037206607043,0.4011685354744998,0.40178208638946317,0.4066148228914786,0.4024960361691697,0.4010437217080031,0.404074904707939,0.404234484536368,0.40240918314152496,0.40282653293736986,0.40178208613196004,0.4059689532519834,0.40292330697353923,0.40178208601896476,0.4019077290535832,0.4017820863522731,0.401461360397259,0.4017781065323436,0.403542021864686,0.40178208551710876,0.4033061453317839,0.38920242570573965,0.40187866039923337,0.4017820857476248,0.4025827025312418,0.4049050975042298,0.40457245068230646,0.4012926396835855,0.4028265338596536
target_pressure,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475
HP_output_T_MS,602.239204,611.275304,611.275304,591.425552,594.35377,595.317122,596.883125,598.177954,597.229813,597.797018,591.078182,591.405667,591.078182,592.095716,591.501777,593.917945,593.917945,593.628635,594.354003,595.943441,596.962751,594.354002,599.457414,595.659698,596.530348,592.614102,596.530348,595.295152,598.421369,596.530348,596.530348,598.71616,599.606382,599.606382,592.614102,596.530348,596.962751,597.107429,596.206476,595.598001,596.530348,592.175575,595.144081,595.144081,595.144081,594.093389,592.175575,599.457414,592.175575,592.175575,592.175575,592.175575,592.175575,592.614102,592.614102,592.614102,592.599447,598.568641,598.568641,596.093312,592.599444,595.144081,592.175575,596.530348,596.530348,596.530348,593.917945,595.5222,595.144081,596.948298,594.692311,595.598001,598.671879,598.568641,597.732405,599.457414,595.144081,600.435024,599.397893,595.144081,597.050035,595.144081,597.321114,597.920003,599.011936,595.144081,599.160189,601.352946,595.08372,595.144081,599.606382,598.127579,598.347827,595.446459,599.457414
