,Average Operating Values or design values,"steam turbine efficiency (not the full plant efficiency, which is around 38.6 to 40.1 % for the best)",Aux Power Consumption for TES,Aux Power Consumption for Coal,Flow rate of main steam,pressure of main steam,peak steam temperature,Source
,MW,[0 - 1],MW,MW,kg/s,bar,C,
700MW - Archetype,685,0.48,2.64,35,510,242,560,[3]
"600MW -Archetype ",600,0.463,2.31,24,440,166.5,560,[3]
660MW - Archetype,650,0.463,2.51,26.7,480,166.5,560,[3]
500MW - Archetype,500,0.4353476,1.9345,39.2,421.6111111111111,167.9872906288001,537.6,"[4],[5]"
250MW - Archetype,250,0.42930895,0.96725,23.6,207.8611111111111,147.6876005177892,537.6,"[4],[5]"
210MW - Archetype,210.1,0.42479437,0.8128769,19,179.1944444444445,139.4500451104225,537.3,"[4],[5]"
195_200MW - Archetype,199,0.41939023,0.769931,17.02,178.4166666666667,133.0757462832935,538,"[4],[5]"
140MW -Archetype,140.1,0.41890019,0.5420469,13.38,113.5833333333333,130.2318283450359,539,"[4],[5]"
120_125MW - Archetype,120.6,0.41699186,0.4666014,11.38,104.1111111111111,127.3879104067783,537.4,"[4],[5]"
100_110MW - Archetype,108.1,0.40231028,0.4182389,11.82,95.77777777777777,124.2497940611148,537.5,"[4],[5]"
500MW_0,500.0,0.4363189655172414,1.9345,43.45,423.3333333333333,166.7124308633743,537.0,0.0
500MW_1,500.0,0.4363189655172414,1.9345,38.55,423.3333333333333,170.6350762954537,538.0,0.0
500MW_2,500.0,0.4363189655172414,1.9345,39.05,423.3333333333333,166.7124308633743,537.0,0.0
500MW_3,500.0,0.4336143728266895,1.9345,37.55,418.8333333333333,165.7317695053544,538.0,0.0
500MW_4,500.21,0.4341613684529216,1.93531249,37.51575,419.1666666666667,169.9486133448398,538.0,0.0
250MW_0,250.0,0.4293089512024748,0.96725,23.95,211.1111111111111,147.0992037029773,537.0,0.0
250MW_1,250.0,0.4293517964071857,0.96725,25.1,211.1111111111111,147.0992037029773,537.0,0.0
250MW_2,250.0,0.4291376558603491,0.96725,21.35,205.5555555555555,149.060526419017,537.0,0.0
250MW_3,250.0,0.4293517964071857,0.96725,23.325,205.8055555555555,144.1572196289177,537.0,0.0
250MW_4,250.0,0.4293517964071857,0.96725,24.325,205.7777777777778,151.1199152708587,540.0,0.0
210MW_0,210.0,0.4286245890206237,0.81249,20.475,177.7777777777778,144.1572196289177,540.0,0.0
210MW_1,210.2,0.4286245890206237,0.8132638,23.73158,179.4444444444445,144.1572196289177,537.0,0.0
210MW_2,210.0,0.4172749757516974,0.81249,18.732,186.9444444444445,127.4859765425803,540.0,0.0
210MW_3,210.4,0.4285391971311884,0.8140376,17.90504,175.0,147.0992037029773,539.0,0.0
210MW_4,210.0,0.4287100149476832,0.81249,20.37,175.0,147.0992037029773,540.0,0.0
210MW_5,210.0,0.4287100149476832,0.81249,20.727,173.6111111111111,144.1572196289177,535.0,0.0
210MW_6,210.0,0.4287100149476832,0.81249,21.105,175.0,147.0992037029773,540.0,0.0
210MW_7,210.4,0.4162656023222061,0.8140376,19.988,188.3333333333333,126.5053151845605,535.0,0.0
210MW_8,210.0,0.4152611003861004,0.81249,23.499,179.1666666666667,134.3506060487193,540.0,0.0
210MW_9,210.42,0.4287100149476832,0.8141149799999999,20.41074,175.5555555555555,147.0992037029773,540.0,0.0
210MW_10,210.36,0.4297807192807193,0.8138828400000001,24.864552,175.0,147.0992037029773,540.0,0.0
210MW_11,210.0,0.4209496086105676,0.81249,19.131,191.6666666666667,132.3892833326796,540.0,0.0
210MW_12,210.0,0.4162454646606357,0.81249,18.942,188.3333333333333,126.5053151845605,540.0,0.0
210MW_13,210.0,0.4162656023222061,0.81249,18.69,188.8888888888889,126.5053151845605,540.0,0.0
210MW_14,210.0,0.4287100149476832,0.81249,19.572,176.3888888888889,144.1572196289177,535.0,0.0
210MW_15,210.0,0.4314617390432254,0.81249,18.669,176.3888888888889,147.0992037029773,540.0,0.0
210MW_16,210.5,0.4287100149476832,0.8144245000000001,17.0505,176.3888888888889,144.1572196289177,540.0,0.0
210MW_17,210.0,0.4312887218045113,0.81249,17.409,175.2777777777778,143.1765582708979,540.0,0.0
210MW_18,210.0,0.4162656023222061,0.81249,19.152,179.4444444444445,120.6213470364414,535.0,0.0
210MW_19,210.0,0.4162656023222061,0.81249,18.963,181.1111111111111,124.5439924685208,535.0,0.0
210MW_20,210.0,0.4287100149476832,0.81249,20.37,175.0,147.0992037029773,540.0,0.0
210MW_21,210.0,0.4287100149476832,0.81249,19.299,174.4444444444445,147.0992037029773,535.0,0.0
210MW_22,210.0,0.4176800970873787,0.81249,19.803,180.5555555555555,127.4859765425803,535.0,0.0
210MW_23,210.18,0.421775,0.8131864200000001,20.849856,181.1111111111111,127.4859765425803,535.0,0.0
210MW_24,210.0,0.421775,0.81249,19.908,186.1111111111111,127.4859765425803,535.0,0.0
210MW_25,210.0,0.421775,0.81249,27.027,186.1111111111111,134.3506060487193,535.0,0.0
210MW_26,210.56,0.4287100149476832,0.81465664,22.614144,176.3888888888889,147.0992037029773,535.0,0.0
210MW_27,210.0,0.4202095135768705,0.81249,18.9,186.1111111111111,127.4859765425803,540.0,0.0
210MW_28,210.0,0.4274959010284692,0.81249,21.105,178.3055555555555,147.0992037029773,535.0,0.0
210MW_29,210.0,0.4283258661887695,0.81249,21.924,182.5,147.0992037029773,535.0,0.0
210MW_30,210.0,0.4321551983927674,0.81249,21.84,179.1666666666667,147.0992037029773,535.0,0.0
210MW_31,210.0,0.4287100149476832,0.81249,21.798,176.6666666666667,147.0992037029773,535.0,0.0
210MW_32,210.0,0.4287100149476832,0.81249,18.9,176.3888888888889,147.0992037029773,535.0,0.0
210MW_33,210.0,0.4286672977281786,0.81249,19.467,173.6111111111111,144.1572196289177,535.0,0.0
210MW_34,210.0,0.4286672977281786,0.81249,19.215,173.6111111111111,144.1572196289177,535.0,0.0
210MW_35,210.0,0.4287100149476832,0.81249,19.95,175.0,144.1572196289177,535.0,0.0
210MW_36,210.0,0.4287100149476832,0.81249,19.257,175.2777777777778,144.2552857647197,535.0,0.0
210MW_37,210.0,0.4172749757516974,0.81249,19.152,180.5555555555555,133.3699446906994,540.0,0.0
210MW_38,210.0,0.4176800970873787,0.81249,18.186,186.1111111111111,133.3699446906994,540.0,0.0
210MW_39,210.52,0.4289664971582411,0.8145018800000001,20.588856,177.7777777777778,144.1572196289177,539.0,0.0
210MW_40,210.0,0.4289664971582411,0.81249,18.732,177.7777777777778,144.2552857647197,535.0,0.0
210MW_41,210.0,0.4172749757516974,0.81249,16.947,181.3888888888889,127.4859765425803,535.0,0.0
210MW_42,210.0,0.4315050150451354,0.81249,20.097,176.3888888888889,147.0992037029773,535.0,0.0
210MW_43,210.42,0.4287100149476832,0.8141149799999999,19.35864,175.5555555555555,147.0992037029773,540.0,0.0
210MW_44,210.36,0.4287100149476832,0.8138828400000001,20.531136,175.0,147.0992037029773,540.0,0.0
210MW_45,210.0,0.4287100149476832,0.81249,19.467,175.0,147.0992037029773,540.0,0.0
210MW_46,210.0,0.4342928528164749,0.81249,18.438,177.7777777777778,147.0992037029773,537.0,0.0
210MW_47,210.0,0.4172345068373582,0.81249,18.228,183.3333333333333,125.0343231475307,535.0,0.0
210MW_48,210.0,0.4167091243703991,0.81249,23.415,182.6388888888889,127.4859765425803,535.0,0.0
195_200MW_0,195.0,0.4302105000000001,0.7544550000000001,19.5,162.0833333333333,144.2552857647197,540.0,0.0
195_200MW_1,200.0,0.4162656023222061,0.7738,17.6,177.2222222222222,130.4279606166399,535.0,0.0
195_200MW_2,200.09,0.4162656023222061,0.77414821,16.147263,175.0,124.5439924685208,535.0,0.0
195_200MW_3,200.0,0.4172749757516974,0.7738,25.18,188.8888888888889,132.6834817400855,540.0,0.0
195_200MW_4,200.09,0.4172749757516974,0.77414821,23.490566,188.8888888888889,133.3699446906994,540.0,0.0
140MW_0,140.0,0.4189001947419669,0.54166,19.18,114.4444444444444,127.4859765425803,538.0,0.0
140MW_1,140.0,0.4189001947419669,0.54166,19.782,109.7222222222222,127.4859765425803,540.0,0.0
140MW_2,140.23,0.4189001947419669,0.54254987,20.417488,111.1111111111111,127.4859765425803,535.0,0.0
140MW_3,140.0,0.4189001947419669,0.54166,12.474,119.0,138.2732514807986,543.0,0.0
120_125MW_0,120.0,0.4187574828442109,0.46428,12.024,100.0,127.8782410857883,540.0,0.0
120_125MW_1,120.0,0.4187574828442109,0.46428,16.164,100.5555555555556,127.4859765425803,535.0,0.0
120_125MW_2,120.0,0.4097242857142857,0.46428,12.432,113.8888888888889,126.3091829129565,537.0,0.0
120_125MW_3,120.0,0.4097242857142857,0.46428,17.184,100.5555555555556,127.4859765425803,535.0,0.0
120_125MW_4,120.0,0.4097242857142857,0.46428,16.392,103.3333333333333,124.5439924685208,537.0,0.0
120_125MW_5,120.0,0.4097242857142857,0.46428,12.648,102.7777777777778,125.1323892833327,537.8,0.0
120_125MW_6,120.0,0.4097242857142857,0.46428,14.892,111.9444444444444,130.4279606166399,540.0,0.0
120_125MW_7,120.3,0.4097242857142857,0.4654407,16.32471,95.55555555555556,127.4859765425803,535.0,0.0
120_125MW_8,125.0,0.4255296735905045,0.483625,14.375,108.3333333333333,129.44729925862,540.0,0.0
100_110MW_0,100.0,0.4024420018709074,0.3869,19.76,116.6666666666667,88.25952222178637,535.0,0.0
100_110MW_1,105.0,0.4020658878504673,0.406245,14.847,88.88888888888889,127.8782410857883,535.0,0.0
100_110MW_2,110.0,0.4024420018709074,0.42559,16.841,90.55555555555556,127.4859765425803,535.0,0.0
100_110MW_3,110.0,0.405858962264151,0.42559,10.56,90.0,126.5053151845605,540.0,0.0
100_110MW_4,110.0,0.405858962264151,0.42559,10.021,90.0,136.311928764759,540.0,0.0
100_110MW_5,110.0,0.4020658878504673,0.42559,10.318,101.3888888888889,134.8409367277292,540.0,0.0
100_110MW_6,110.0,0.4020658878504673,0.42559,14.344,98.33333333333333,125.5246538265406,535.0,0.0
100_110MW_7,110.0,0.4020658878504673,0.42559,15.884,90.27777777777777,127.4859765425803,540.0,0.0
