,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Source,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model,Aspen output for Coal Model,"Aspen input for TES model, and output of Coal Model ",Aspen input for TES model and Coal Model,Aspen output for TES model,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for TES model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,Aspen output for Coal Model ,"Aspen output for Coal Model, input for TES model",Aspen output for TES model (design spec set at 290 C),"NETL for 700, 600, 660 MW Archetypes and CEA report for the rest",Aspen output for TES model,Aspen output for TES model 
Capacity,Steam Turbine Efficiency of TES,Enthalpy change of steam between input and output of the heat exchanger (J/kg) - Qs,Gross Power Output (MW) ,Molten Salt Flow (kg/s),deltaA for Heat Exchanger Network (C),deltaB for Heat Exchanger Network (C),deltaC for Heat Exchanger Network (C) ,deltaD for Heat Exchanger Network (C) ,Peak Steam Flow (kg/s) ,Steam Turbine Efficiency of Coal Plant,Output Target Pressure of LP turbine for TES model,HP turbine input temperature for TES (C),HP turbine output temperature for TES (K),HP_output_P_MS - HP turbine output pressure for TES (Pa) ,IP_input_T_MS - IP turbine input temperature for TES (K),IP_input_P_MS - IP turbine input pressure for TES  (Pa) ,LP_input_T_MS - LP turbine input temperature for TES (K),LP_input_P_MS - LP turbine input pressure for TES (Pa) ,LP_output_T_MS - LP turbine output temperature for TES (K),LP_output_P_MS - LP turbine output pressure for TES (Pa) ,LP_vaporfraction_MS - LP turbine output vapor fraction for TES,HP_output_T_coal - HP turbine output temperature for Coal Plant (C),HP_output_P_coal - HP turbine output pressure for Coal Plant (bar),IP_input_T_coal - IP turbine output temperature for Coal Plant (C),IP_input_P_coal - IP turbine input pressure for Coal Plant (bar) ,LP_input_T_coal - LP turbine input temperature for Coal Plant (C) ,LP_input_P_coal - LP  turbine input pressure for Coal Plant (bar),LP_output_T_coal - LP turbine output temperature for Coal Plant (C) ,LP_output_P_coal - LP turbine output pressure for Coal Plant (bar),LP_vaporfraction_coal - LP turbine output vapor fraction for Coal Plant,coal_power_net - Gross Power Output (MW) of Coal Plant,"Calibrated steam flow (kg/s) from Coal Plant model, used for TES model ",cold_salt_temp - Cold Salt Temperature (C) ,steam_peak_temp - Peak Steam Temperature (C)   ,Salt LMTD for TES,UA
700MW - Archetype,0.4246558342365416,-3492277.1,687.35969596,4842.08222,5.000588999999991,91.730684,65.39800600000001,255.090363,430.151515,0.4318569343421484,0.0475,560.15,329.239204,60.5,560.15,55.5,326.60269500000004,11.1,35.28863899999999,0.0475,0.882776275,358.534101,60.5,593.0,55.5,353.072481,11.1,35.1386392,0.0475,0.894931511,-718.451627,430.151515,290.24034700000004,560.15,65.5342178,25147633.1
600MW - Archetype,0.4149807111441443,-3519954.299999999,618.8276492900001,4434.88897,5.00052299999993,126.56220800000006,68.23337600000002,243.281107,388.888889,0.4162364111001801,0.0475,560.15,338.275304,41.625,560.15,36.625,329.81808,7.325,35.28863899999999,0.0475,0.906579118,343.372438,41.625,566.0,36.625,334.458126,7.325,35.1386392,0.0475,0.90876307,-623.713986,388.888889,290.150307,560.15,74.2635673,20332069.7
660MW - Archetype,0.4149807106924831,-3519954.299999999,675.08470788,4838.41994,5.00052299999993,126.56811500000003,68.24433999999997,243.30121000000003,424.242424,0.4162364134700349,0.0475,560.15,338.275304,41.625,560.15,36.625,329.81808,7.325,35.28863899999999,0.0475,0.906579118,343.372438,41.625,566.0,36.625,334.458126,7.325,35.1386392,0.0475,0.90876307,-680.415257,424.242424,290.17081900000005,560.15,74.2691463,22178773.4
500MW - Archetype ,0.4104754594136071,-3468701.5,536.5357329855,3889.33876,27.40076499999998,135.643961,73.19592899999998,243.590465,347.083895,0.4104754356659614,0.0475,537.75,318.42555200000004,41.996822699999996,537.75,36.9968227,311.89357399999994,7.39936453,35.28863899999999,0.0475,0.897761392,318.275637,41.9968227,537.6,36.9968227,311.743574,7.39936453,35.1386392,0.0475,0.897761392,-536.635751,347.083895,290.160307,537.75,97.2655927,13613677.5
250MW - Archetype,0.4068047189009657,-3476427.9000000004,273.18269086275006,1995.709614,27.400623,146.97689300000002,76.93025900000009,249.262638,177.416807,0.4068047157708932,0.0475,537.75,321.35377000000005,36.921900099999995,537.75,31.9219001,312.811006,6.38438003,35.28863899999999,0.0475,0.906025287,321.203792,36.9219001,537.6,31.9219001,312.661006,6.38438003,35.1386392,0.0475,0.906025287,-273.225983,177.416807,290.15146300000004,537.75,100.880259,6735409.19
210MW - Archetype ,0.405030306168791,-3478885.5,229.3506207471231,1681.9930089999998,27.70055000000002,151.70558400000004,81.52040499999998,243.50846199999995,149.328704,0.4050303046474297,0.0475,537.45,322.31712200000004,34.8625113,537.45,29.862511299999998,312.945831,5.972502260000001,35.28863899999999,0.0475,0.909613325,322.167135,34.8625113,537.3,29.8625113,312.795831,5.97250226,35.1386392,0.0475,0.909613325,-229.38512,149.328704,290.152512,537.45,102.716294,5575143.13
195_200MW - Archetype ,0.4037476959017886,-3482869.9000000004,217.071098700069,1596.279141,27.00047599999993,155.14321099999995,85.21721500000001,243.486067,141.471801,0.4037477108684489,0.0475,538.15,323.88312499999995,33.2689366,538.15,28.2689366,313.78969500000005,5.65378731,35.28863899999999,0.0475,0.912896711,323.733084,33.2689366,538.0,28.2689366,313.639695,5.65378731,35.1386392,0.0475,0.912896711,-217.102307,141.471801,290.156583,538.15,103.603707,5245638.06
140MW - Archetype,0.4032861611776323,-3486180.2,154.05233574795307,1134.169783,26.000433999999927,156.496168,86.906431,243.460921,100.38931,0.4032861712859881,0.0475,539.15,325.177954,32.5579571,539.15,27.5579571,314.71098900000004,5.51159142,35.28863899999999,0.0475,0.914664439,325.027927,32.5579571,539.0,27.5579571,314.560989,5.51159142,35.1386392,0.0475,0.914664439,-154.074239,100.38931,290.15190800000005,539.15,103.546544,3729190.7
