Name,Heat Exchanger,Tank Cost,Pumps,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost
0,-655926.547134062,-10940806.370448206,-662421.928760119,-195512.75605858132,-247191.56801553105,-0.0,-0.0
1,-763583.6477283871,-12289230.45325705,-677015.3915520197,-240302.14115781127,-156682.41683866852,-0.0,-0.0
2,-705823.9090618421,-14233671.164806148,-662859.575096513,-216271.92704203114,-141014.1751548017,-0.0,-0.0
3,-983916.4564996382,-15137304.633710407,-746917.9392280641,-338200.9748219478,-344701.3170450707,-0.0,-0.0
4,-1080860.9908744495,-20684881.445307534,-783142.2528921682,-372405.24963539327,-544944.9686216325,-0.0,-0.0
5,-1275504.298856744,-20684881.445307534,-831712.7572150728,-465603.6032280795,-545121.975516543,-0.0,-0.0
6,-1289176.2646734403,-21781573.60243696,-824832.5588943055,-486648.6870519369,-344701.3170450707,-0.0,-0.0
7,-1370515.0364909475,-29589617.1276577,-846885.189018084,-528664.7105471848,-344701.3170450707,-0.0,-0.0
8,-2158712.2543245605,-41583004.15010691,-1087901.0424374167,-938323.9817221969,-658066.1507224077,-0.0,-0.0
9,-2278851.167859966,-50574096.30343651,-1124769.6432988765,-1009268.9928628072,-658066.1507224077,-0.0,-0.0
10,-2278851.1678599664,-55929760.531252,-1124769.6432988765,-1009268.9928628072,-658066.1507224077,-0.0,-0.0
11,-2278851.1678599673,-66204998.656270504,-1124769.6432988765,-1009268.9928628072,-658066.1507224077,-0.0,-0.0
12,-2651129.8161295564,-79106845.58428392,-1233951.325895995,-1201510.7057890564,-783412.084193343,-0.0,-0.0
13,-3035864.044806469,-94891141.09870768,-1373650.145675801,-1441812.8469468674,-940094.5010320112,-0.0,-0.0
14,-3035864.0448064688,-94891141.09870769,-1373650.145675801,-1441812.8469468674,-940094.5010320112,-0.0,-0.0
15,-4589880.273001145,-105194213.86389427,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
16,-4589880.273001154,-131520178.78837086,-1923352.7753453373,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
17,-4521369.8522266615,-154699975.08939844,-1895594.8643783692,-2354960.9833465503,-1535487.6850189515,-0.0,-0.0
18,-4521371.649042956,-154699975.0893985,-1895594.8643783703,-2354960.9833465503,-1535487.6850189515,-0.0,-0.0
19,-4589880.27300115,-156858435.65778923,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
20,-4589880.27300115,-157857117.43816176,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
21,-4704090.85128464,-157857117.4381618,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
22,-4589880.273001151,-157857117.4381618,-1923352.7753453373,-2403021.411578114,-1566824.1683866854,-0.0,-0.0
23,-6638771.220353279,-187146269.34837472,-2183097.146094423,-2883625.693893735,-1880189.0020640225,-0.0,-0.0
24,-6638771.220352588,-187146269.3483748,-2183097.146094423,-2883625.693893735,-1880189.0020640225,-0.0,-0.0
25,-7126938.519436831,-205860896.28321218,-2347861.1380041693,-3171988.2632831056,-2068207.9022704246,-0.0,-0.0
