,Name,Dispatch
0,0,17030.700969022408
1,1,17672.926115827926
2,2,17874.88604583836
3,3,24462.82331756768
4,4,32875.792536499874
5,5,33141.34983538951
6,6,32898.83355170472
7,7,38197.09816927733
8,8,63440.8831626916
9,9,73865.7608309521
10,10,79351.30918824885
11,11,84203.62478826688
12,12,101027.14595683465
13,13,130099.1926121519
14,14,129982.24762977632
15,15,160683.27668184153
16,16,190010.47163882453
17,17,214110.27061916576
18,18,214043.4092550976
19,19,217347.91879191587
20,20,218411.64241926506
21,21,218459.9601364772
22,22,218411.64209703822
23,23,262728.65894121706
24,24,262644.5992862657
25,25,289270.72632963996
