Name,Pipes and Valves,Pumps,Charger,Tank Cost,Heat Exchanger,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits,Fixed O&M Cost
0,-2.0744392778692307,-7.028462465795058,-2.622764407739493,-116.08469403203162,-6.95954484097366,-5.50687844091619,-64.54429069561532,-0.0,-134.90794525639532,152.92513274212877,-137.6878558900315,-85.65387423923345
4,-1.8894508952208189,-3.973383383454123,-2.7648556507093005,-104.94768213562365,-5.48390166039941,-5.495532915272348,-63.932257656498834,-0.0,-119.20479244386571,152.51950924725327,-120.63005964062125,-84.5169858722376
5,-1.8769495418936464,-3.352815287121444,-2.197505421195654,-83.38526266489373,-5.141835657680241,-5.5740035006884,-64.19012680022146,-0.0,-96.07002675284765,153.15063060836442,-96.52328877091327,-83.83976232552018
3,-1.715694890591919,-3.7891176768479027,-1.7486711525473504,-76.79160662107269,-4.991412097716356,-4.153302285719252,-66.08527347974835,-0.0,-89.1285377625945,152.7269708304614,-69.11083839374389,-62.47069569614316
6,-1.652297436572326,-2.8005186470728174,-1.1703496129557842,-73.95404361581497,-4.377084936391659,-3.7331110784514774,-65.24875939987207,-0.0,-84.01589159685786,156.25524441945825,-43.194304128289566,-46.45178647256623
8,-1.6890779789095318,-1.9583318020297549,-1.184585564797023,-74.8536091744523,-3.885900182247802,-3.695802899712285,-64.59921260793392,-0.0,-83.63385131110996,156.22347901072317,-41.692941772744916,-45.98755396471206
15,-1.707863138399845,-1.3669554883383794,-1.1135652926971964,-74.76309589480951,-3.26209633012771,-3.474225890385311,-64.112050517864,-0.0,-82.27218484398826,156.84407934488965,-36.244812458743034,-43.23043055139499
1,-1.3841939817739783,-3.899759802553042,-0.902525701156604,-70.78871104548608,-4.39841228494313,-3.1300702349713045,-65.91741241573821,-0.0,-81.42110416860528,157.66012488196415,-32.113821943035795,-39.30536000568526
7,-1.3688196847154839,-2.192756759236121,-0.8925013126567168,-76.61349354226908,-3.5485401668018683,-2.7768470659486404,-65.26146790746006,-0.0,-84.663085218977,164.8998834660501,-27.810042624500646,-40.008525898165075
9,-1.4264752934180118,-1.589720994401475,-0.9300940701423196,-71.48014986486555,-3.2208706611587186,-3.1453476872960695,-65.28659873446323,-0.0,-78.69626320346724,157.5439326818331,-29.08148113100337,-39.4972041876099
2,-1.1191765474804518,-3.4302042843345975,-0.7297283556588615,-73.65722944293138,-3.6525386187522555,-2.4019453824711805,-65.55046398716594,-0.0,-82.62728400471853,163.92518831841076,-21.629645563115012,-34.97514050716973
