Name,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Revenue,Profits,Heat Exchanger,Tank Cost,Hot Pump,Cold Pump,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost,TES Fixed O&M
Group188,-2.456905862485193,-64.34057178065126,-0.0,157.8611782200732,21.12805522184415,-2.2587656754687586,-65.24421744029551,-0.5837541680812313,-0.16036171489258444,-1.0053093895160765,-0.6554844000184852,-0.6554844000184852,-0.0,-2.8188636730467374
Group187,-2.4570674454289216,-64.34449354431007,-0.0,157.86586142218357,20.97499251924027,-2.3171329749473526,-65.31973726041575,-0.5918289446299002,-0.17013832564146728,-1.0064730295632711,-0.6562431195789789,-0.6562431195789789,-0.0,-2.8221264921268636
Group211,-2.4599230628372006,-64.54970110155665,-0.0,158.07979257903904,20.282391550526906,-2.34508438554639,-65.96617053737324,-0.5976859480429745,-0.1718220904573297,-1.0164335359271603,-0.6627375944201581,-0.6627375944201581,-0.0,-2.8500555156166674
Group186,-2.4856661342103292,-65.40794431863903,-0.0,158.16576264406336,19.404775214328797,-2.1796707332490723,-66.18851170515256,-0.6150025839415392,-0.19144732310146784,-1.007571995543861,-0.6569596701891086,-0.6569596701891086,-0.0,-2.8252079666588847
Group210,-2.4862107635787556,-65.39711042998874,-0.0,158.19759291764157,18.995618336020357,-2.09110303107015,-66.7089319123684,-0.6198381628649458,-0.1929526153794269,-1.0154942287713065,-0.6621251449653845,-0.6621251449653845,-0.0,-2.847421720640632
Group209,-2.4627727970635833,-65.19600431744018,-0.0,157.95422352740334,18.811195095619855,-1.9579712081924865,-66.9925236509261,-0.624492844870068,-0.1963908282595255,-1.0198112784613078,-0.6649399587484954,-0.6649399587484954,-0.0,-2.859526625531394
Group191,-2.4987538793577575,-65.35171941482389,-0.0,158.1359232351672,18.60892120735786,-1.964117114961131,-67.16127186290147,-0.6260440796256841,-0.19803668011844244,-1.02835779920912,-0.6705124830709049,-0.6705124830709049,-0.0,-2.8834908669064245
Group208,-2.5300951518822288,-65.86678023721001,-0.0,158.4430093382705,17.68776876262879,-2.291559250980194,-67.34283105286404,-0.7010014110056912,-0.283632059461404,-1.0356580933760413,-0.6752724395498417,-0.6752724395498417,-0.0,-2.9039607185205587
Group207,-2.49640253981584,-65.68098293297638,-0.0,157.97620102261536,17.653210051830683,-2.2518949800790544,-67.13369564315617,-0.7251845870815488,-0.3220030758737341,-1.0196570655632522,-0.6648394084601849,-0.6648394084601849,-0.0,-2.8590942162245905
Group192,-2.510061301186823,-65.39145408189445,-0.0,158.2051650405253,17.61545885002357,-2.0188651684246905,-68.09882159929285,-0.6327525754545513,-0.19697280941481146,-1.0366521894107412,-0.6759206125895658,-0.6759206125895658,-0.0,-2.9067481402127835
Group193,-2.5421008352308396,-65.17470518548832,-0.0,159.33541602892245,17.655809219068736,-2.071005367344317,-69.25465663724087,-0.6487437873720321,-0.20220641803401715,-1.0641962542475933,-0.6938799642100112,-0.6938799642100112,-0.0,-2.9839810444175496
Group190,-2.4617124067519756,-65.61366867633326,-0.0,158.28736784740875,17.37383279040097,-2.1738320404755505,-67.94685131916277,-0.7008601599442769,-0.28274274684014794,-1.0324108447557891,-0.673155160197083,-0.673155160197083,-0.0,-2.894855510443883
Group189,-2.39746600702142,-64.98831878479406,-0.0,163.72466975673512,16.826198882424137,-2.533524278279446,-73.84699326155938,-0.8423591206590448,-0.40810920257307715,-1.1220598926316954,-0.7316083617407925,-0.7316083617407925,-0.0,-3.1462293133905215
Group195,-2.889429749476185,-65.53260353818408,-0.0,158.00569820414907,15.06772607117494,-2.783119477289904,-68.29460584625897,-0.9253458100551898,-0.44831489489957926,-1.2326018616209389,-0.8036842191588311,-0.8036842191588311,-0.0,-3.4561863713673024
Group206,-2.420720230051825,-65.63854775572841,-0.0,163.80602146542458,13.360158354250437,-3.642340447339572,-73.45157273945837,-1.7891224993857897,-1.6315043882602518,-1.116051719665174,-0.7276908974325526,-0.7276908974325526,-0.0,-3.1293825389613463
