Name,Heat Exchanger,Tank Cost,Hot Pump,Cold Pump,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost,TES Fixed O&M
Group203,-655.9265471340186,-10940.806370448205,-335.8059402690247,-328.49133477647786,-195.5127560585815,-266.23136597129803,-266.23136597129803,-0.0,-1414.983153436437
Group205,-754.7655845351289,-12249.039855226018,-357.38867008918,-317.701187984961,-240.30214115781126,-156.68241683866853,-156.68241683866853,-0.0,-673.8015016363986
Group206,-705.8239090618379,-14233.671164806157,-346.7016481749635,-316.1579269215508,-216.27192704203014,-141.01417515480168,-141.01417515480168,-0.0,-606.4213514727588
Group201,-838.5387940676677,-15256.630295705107,-376.28542077479096,-336.2203207458828,-272.6367451003902,-344.7013170450707,-344.7013170450707,-0.0,-1482.363303600077
Group204,-1080.8609908744488,-20684.881445307536,-427.1987087681718,-355.9609786169269,-372.40524963539326,-545.121975516543,-545.121975516543,-0.0,-2695.2060065455944
Group202,-1080.8609908744497,-20684.881445307536,-427.1987087681718,-355.9609786169269,-372.4052496353932,-545.121975516543,-545.121975516543,-0.0,-2695.2060065455944
Group198,-1289.1759300301233,-21781.573602436958,-488.61223814846187,-336.2203207458828,-486.6486870519194,-344.7013170450707,-344.7013170450707,-0.0,-1482.363303600077
Group194,-1370.515036490946,-29583.84071499013,-510.6648682722005,-336.2203207458828,-528.6647105471848,-344.7013170450707,-344.7013170450707,-0.0,-1482.363303600077
Group199,-2158.71225432456,-41583.0041501069,-720.8155004233306,-367.0855420140859,-938.3239817221969,-658.0661507224078,-658.0661507224078,-0.0,-2829.966306872874
Group196,-2278.851167859967,-50799.61487491002,-757.6841012847899,-367.0855420140859,-1009.2689928628073,-658.0661507224078,-658.0661507224078,-0.0,-2829.966306872874
Group195,-2278.8511678599657,-55920.4315737221,-757.6841012847899,-367.0855420140859,-1009.2689928628073,-658.0661507224078,-658.0661507224078,-0.0,-2829.966306872874
Group189,-2278.8511678599657,-66423.79876909542,-757.6841012847899,-367.0855420140859,-1009.2689928628072,-658.0661507224078,-658.0661507224078,-0.0,-2829.966306872874
Group207,-2653.5155968178565,-79106.84558428392,-854.5196953746276,-379.43163052136714,-1201.5107057890564,-783.4120841933428,-783.4120841933428,-0.0,-3369.007508181993
Group208,-3190.2416335422017,-93752.71586521257,-975.9136210881741,-394.8642411554687,-1441.8128469468675,-940.0945010320112,-940.0945010320112,-0.0,-4042.809009818392
Group190,-3035.8640448064666,-94891.1410987077,-978.7859045203315,-394.8642411554687,-1441.8128469468675,-940.0945010320112,-940.0945010320112,-0.0,-4042.809009818392
Group200,-4589.880273001149,-105194.21386389513,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
Group197,-4589.880273001149,-131520.17878837077,-1466.758091653462,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
Group191,-4497.869492518975,-153800.72475815457,-1433.6541060975424,-453.5081615650545,-2354.96098334655,-1535.4876850189517,-1535.4876850189517,-0.0,-6603.254716036707
Group209,-4521.371649042958,-154699.97508939847,-1442.0867028133157,-453.5081615650545,-2354.96098334655,-1535.4876850189517,-1535.4876850189517,-0.0,-6603.254716036707
Group193,-4676.459084833171,-156381.32730362072,-1464.9038703725514,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
Group192,-4679.84949664885,-157857.11743816166,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
Group186,-5198.432931197598,-157857.1174381617,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
Group210,-4948.295337490396,-157857.11743816183,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
Group187,-6638.771220353465,-187146.26934837468,-1695.6372411343448,-487.4599049600779,-2883.6256938937327,-1880.1890020640224,-1880.1890020640224,-0.0,-8085.618019636784
Group211,-6653.013059375458,-187146.2693483748,-1695.6372411343448,-487.4599049600779,-2883.625693893735,-1880.1890020640224,-1880.1890020640224,-0.0,-8085.618019636784
Group188,-7126.938519436829,-205860.89628321232,-1841.882100283169,-505.9790377209997,-3171.98826328311,-2068.2079022704247,-2068.2079022704247,-0.0,-8894.179821600463
