,Name,EnergyCapacity
0,0,523.6907730673311
1,1,588.2342104008119
2,2,681.3064781054293
3,3,724.5596437201863
4,4,990.0990099009887
5,5,990.0990099009887
6,6,1042.5930897830053
7,7,1416.331570422866
8,8,1990.404989585737
9,9,2420.7710742296335
10,10,2677.124385383137
11,11,3168.957182248677
12,12,3786.514788420892
13,13,4542.04318736953
14,14,4542.043187369531
15,15,5035.208312377449
16,16,6295.322462672734
17,17,7404.842641844968
18,18,7404.84264184497
19,19,7508.159147541395
20,20,7555.961879433646
21,21,7555.961879433647
22,22,7555.961879433647
23,23,8957.911432967107
24,24,8957.91143296711
25,25,9853.702576263817
