,Name,RemainingLife,CRF,EnergyCapacity,DischargeCapacity,ChargeCapacity,CAPEX_storage,CAPEX_discharge,CAPEX_charge,steam_eff
0,0,8.0,0.1807,523.6907730673311,105.0,78.84898501292858,10940806.370448206,1187245.243461668,573807.5565066254,0.401
1,1,25.0,0.1018,588.2342104008119,50.0,49.97844237278103,12289230.45325705,1363199.9924532573,474383.60482362955,0.401
2,2,42.0,0.0925,681.3064781054293,45.0,44.98059813550293,14233671.164806148,1268797.4842788368,457172.1020763515,0.401
3,3,15.0,0.1241,724.5596437201863,110.0,109.95257322011825,15137304.633710407,1732815.0498037671,680921.6377909536,0.401
4,4,9.0,0.1668,990.0990099009887,200.0,173.8261462907919,20684881.445307534,1880464.9492780145,900888.512745629,0.404
5,5,13.0,0.1336,990.0990099009887,200.0,173.88260782026893,20684881.445307534,2216859.6806829697,901082.95413347,0.404
6,6,19.0,0.1117,1042.5930897830053,110.0,109.95257322011825,21781573.60243696,2264437.1898738,680921.6377909536,0.401
7,7,28.0,0.0989,1416.331570422866,110.0,109.95257322011825,29589617.1276577,2409844.615310333,680921.6377909536,0.401
8,8,18.0,0.1142,1990.404989585737,210.0,209.90945796568033,41583004.15010691,3817851.7364700884,1025151.6927364937,0.405
9,9,23.0,0.1044,2420.7710742296335,210.0,209.90945796568033,50574096.30343651,4045804.2620075643,1025151.6927364937,0.405
10,10,30.0,0.0973,2677.124385383137,210.0,209.90945796568033,55929760.531252,4045804.2620075643,1025151.6927364937,0.405
11,11,37.0,0.0939,3168.957182248677,210.0,209.90945796568033,66204998.656270504,4045804.2620075652,1025151.6927364937,0.405
12,12,43.0,0.0923,3786.514788420892,250.0,249.89221186390532,79106845.58428392,4707160.21729324,1162843.7147147101,0.407
13,13,42.0,0.0925,4542.04318736953,300.0,299.8706542366862,94891141.09870768,5456462.796273669,1334958.7421874797,0.407
14,14,40.0,0.093,4542.043187369531,300.0,299.8706542366862,94891141.09870769,5456462.796273668,1334958.7421874797,0.407
15,15,18.0,0.1142,5035.208312377449,500.0,499.7844237278104,105194213.86389427,8459659.776232721,2023418.8520785605,0.41
16,16,24.0,0.103,6295.322462672734,500.0,499.7844237278104,131520178.78837086,8459659.776232729,2023418.8520785605,0.41
17,17,41.0,0.0927,7404.842641844968,490.0,489.7887352532541,154699975.08939844,8318417.538386526,1988995.8465840062,0.41
18,18,40.0,0.093,7404.84264184497,490.0,489.7887352532541,154699975.0893985,8318419.335202823,1988995.8465840062,0.41
19,19,35.0,0.0946,7508.159147541395,500.0,499.7844237278104,156858435.65778923,8459659.776232725,2023418.8520785605,0.41
20,20,43.0,0.0923,7555.961879433646,500.0,499.7844237278104,157857117.43816176,8459659.776232725,2023418.8520785605,0.41
21,21,36.0,0.0942,7555.961879433647,500.0,499.7844237278104,157857117.4381618,8573870.354516217,2023418.8520785605,0.41
22,22,47.0,0.0916,7555.961879433647,500.0,499.7844237278104,157857117.4381618,8459659.776232727,2023418.8520785605,0.41
23,23,42.0,0.0925,8957.911432967107,600.0,599.7413084733724,187146269.34837472,11218034.15538136,2367648.9070241004,0.415
24,24,46.0,0.0917,8957.91143296711,600.0,599.7413084733724,187146269.3483748,11218034.155380668,2367648.9070241004,0.415
25,25,47.0,0.0916,9853.702576263817,660.0,659.7154393207096,205860896.28321218,12140808.883003104,2574186.9399914243,0.415
