Name,Heat Exchanger,Tank Cost,Pumps,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost
KERALA,-1747048.9784677147,-50955439.65795265,-972517.703439534,-664675.9163071443,-1007235.434564527,-0.0,-0.0
ODISHA,-2998075.611637572,-50955439.65795265,-1347470.3950591956,-2031330.049002884,-1150914.3673202088,-0.0,-0.0
MIZORAM,-3300155.0500665945,-50955439.65795265,-1429584.3340093635,-1563208.657721072,-1007565.7039098194,-0.0,-0.0
PUDUCHERRY,-2000348.7142415806,-50955439.65795265,-1054274.2836623765,-789771.3607747735,-1151263.8649736084,-0.0,-0.0
TAMIL NADU,-2082442.6962877214,-50955439.65795265,-1095618.0042563817,-833647.5474844815,-1342340.1623463582,-0.0,-0.0
TELANGANA,-1988320.7734301707,-50955439.65795265,-1042088.0726846486,-783406.1667293014,-1060715.1658231432,-0.0,-0.0
NAGALAND,-3306308.275683928,-50955439.65795265,-1431576.0319465809,-1552335.526336992,-1007565.7039098191,-0.0,-0.0
ANDHRA PRADESH,-2421890.688388221,-50955439.65795265,-1214156.1431924065,-1021490.194892535,-1566824.1683866854,-0.0,-0.0
ASSAM,-3303745.9294421105,-50955439.65795265,-1430746.6426081029,-1555566.8644763276,-1007565.7039098191,-0.0,-0.0
JHARKHAND,-3300159.925520834,-50955439.65795265,-1429585.91211372,-1548458.7275066082,-1007565.7039098194,-0.0,-0.0
MAHARASHTRA,-4501911.655511742,-50955439.65795265,-1896237.5984879008,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
KARNATAKA,-2072760.5662057204,-50955439.65795265,-1074076.3546432995,-828429.385202357,-1150830.5648716819,-0.0,-0.0
MANIPUR,-3299136.6943654423,-50955439.65795265,-1428917.3963684712,-1547813.5363185313,-1004141.0752323811,-0.0,-0.0
BANGLADESH,-12742333.943322137,-78857302.63127722,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
ARUNACHAL PRADESH,-4577028.866495839,-78908656.53071314,-1923352.775345338,-2403021.4115781146,-1566824.1683866854,-0.0,-0.0
TRIPURA,-4577028.866495841,-78909195.02886699,-1923352.775345338,-2403021.4115781146,-1566824.1683866854,-0.0,-0.0
BIHAR,-4577028.86649584,-79109666.4173622,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
GUJARAT,-4577028.86645529,-89158665.99826586,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
MADHYA PRADESH,-4577028.866495838,-105194213.86389503,-1923352.7753453373,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
SIKKIM,-4577028.866495839,-105194213.86389513,-1923352.7753453369,-2403021.411578112,-1566824.1683866854,-0.0,-0.0
MEGHALAYA,-4577028.866495843,-105194213.86389515,-1923352.7753453385,-2403021.411578115,-1566824.1683866854,-0.0,-0.0
RAJASTHAN,-4577028.866495841,-105194213.86389516,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
WEST BENGAL,-4583831.788936941,-112858034.3220928,-1923352.7753453369,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
BHUTAN,-5387199.36113803,-114430821.18258382,-1923352.775345338,-2403021.411578115,-1566824.1683866854,-0.0,-0.0
UTTAR PRADESH,-4577028.86649584,-131520178.78837074,-1923352.7753453364,-2403021.4115781127,-1566824.1683866847,-0.0,-0.0
NEPAL,-4577028.866495844,-131520178.7883708,-1923352.775345338,-2403021.4115781146,-1566824.1683866854,-0.0,-0.0
PUNJAB,-4577028.866495839,-131520178.78837086,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
GOA,-4577028.866495901,-131883547.07741094,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
CHHATTISGARH,-4577028.866495837,-157857117.43816173,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
DELHI,-4577028.866495842,-157857117.43816176,-1923352.7753453376,-2403021.4115781127,-1566824.1683866794,-0.0,-0.0
HIMACHAL PRADESH,-4577028.866495841,-157857117.43816176,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
DAMAN  DIU,-4577028.866495808,-157857117.43816185,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
HARYANA,-5692856.581103423,-157900966.63461155,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
UTTARAKHAND,-4577028.866495842,-157917976.5108833,-1923352.775345338,-2403021.4115781146,-1566824.1683866854,-0.0,-0.0
JAMMU  KASHMIR,-4577028.866495842,-167603252.46259925,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
DADRA  NAGAR HAVELI,-6954873.798470897,-171193583.87835237,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
CHANDIGARH,-8962164.802920641,-279456025.8061332,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
