,Name,Dispatch
0,KERALA,25304.54198250249
1,ODISHA,43266.93756743084
2,MIZORAM,81731.14120400957
3,PUDUCHERRY,57582.02404239642
4,TAMIL NADU,78895.79691264009
5,TELANGANA,46850.211471620045
6,NAGALAND,59811.4431786887
7,ANDHRA PRADESH,58532.83478208922
8,ASSAM,59966.72224068951
9,JHARKHAND,60806.826512912914
10,MAHARASHTRA,77158.56121697821
11,KARNATAKA,44607.80917099155
12,MANIPUR,63691.74756157402
13,BANGLADESH,292287.03225885297
14,ARUNACHAL PRADESH,112813.68991981377
15,TRIPURA,114767.33149298494
16,BIHAR,168563.3566474223
17,GUJARAT,383774.77410835435
18,MADHYA PRADESH,365484.201379333
19,SIKKIM,144260.12356039375
20,MEGHALAYA,150737.31810863083
21,RAJASTHAN,180296.38790831497
22,WEST BENGAL,186159.40978551097
23,BHUTAN,188417.63556320613
24,UTTAR PRADESH,190667.61187999547
25,NEPAL,179226.51257293546
26,PUNJAB,279018.35306047753
27,GOA,270331.100594812
28,CHHATTISGARH,323663.2546376521
29,DELHI,274922.40837572975
30,HIMACHAL PRADESH,518766.0141460783
31,DAMAN  DIU,462208.0223944895
32,HARYANA,314041.8740878257
33,UTTARAKHAND,373586.32076947717
34,JAMMU  KASHMIR,565564.2139336546
35,DADRA  NAGAR HAVELI,268640.6470521632
36,CHANDIGARH,597148.5401984522
