Name,Pipes and Valves,Pumps,Charger,Tank Cost,Heat Exchanger,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits,Fixed O&M Cost
KERALA,-2.6739866829779175,-3.9124320953369707,-4.0521012911267285,-204.99338659306517,-7.028366138023453,-8.022275216060804,-62.66508247612072,-0.0,-222.87354128953692,130.6816465662079,-437.391521326294,-274.5122689107836
ODISHA,-4.779386076636822,-3.170376595367883,-2.707912535076014,-119.88978302648094,-7.053979653379652,-7.741476952880835,-48.44370612547128,-0.0,-137.7439595993137,126.03559438065072,-228.44124646814356,-160.54769817112825
TELANGANA,-1.702249472691338,-2.2643348336551044,-2.304809316521578,-110.72017807906404,-4.320387216561526,-7.149380759047319,-51.57205990656057,-0.0,-121.43326467199473,105.6795899654244,-222.74354394848865,-148.2684285763104
KARNATAKA,-1.890568332785157,-2.4511621380812465,-2.626323813726382,-116.2860013432997,-4.730270989792526,-6.939928361272592,-37.88819192771854,-0.0,-128.1225541868285,120.66487741719148,-208.00757229170054,-155.7217752330725
NAGALAND,-2.6420990396267907,-2.436564515201136,-1.7148923885950669,-86.72694523826245,-5.627387746840905,-5.939498883828606,-126.02160256706136,-0.0,-99.23814642266292,185.36120408483703,-161.97647590466238,-116.13843211594661
ASSAM,-2.640743080271938,-2.4288472468597972,-1.7104518110283196,-86.50237270530424,-5.60846621343264,-5.839488751686242,-144.5692853793584,-0.0,-98.98090483642474,211.2402773831059,-153.98710245925886,-115.83770087489552
JHARKHAND,-2.5923585804415863,-2.393347165096202,-1.686820288775272,-85.30725996822109,-5.52497638314799,-5.675349624218827,-84.54285829025167,-0.0,-97.59354240088085,158.7601919330595,-143.28885099761675,-114.23729261532502
PUDUCHERRY,-1.3962469340722734,-1.863865049234961,-2.035334175957803,-90.08477634201098,-3.536442188274945,-5.81691952602054,-68.14078266672863,-0.0,-99.02378754091716,156.86631248107275,-136.75017313690716,-120.63499588431355
ANDHRA PRADESH,-1.7765704023595286,-2.111654011584082,-2.7250123957873242,-88.6214340462263,-4.212139613531303,-6.8495742858277024,-33.70608130654175,-0.0,-99.59023217452996,127.12713696935462,-131.6941448601352,-118.6753940625904
MANIPUR,-2.4739063384137503,-2.283871875389872,-1.604942011676374,-81.44326315061133,-5.273086833764718,-5.418284365119266,-91.81672270162487,-0.0,-93.16354084204954,168.36875480660674,-131.09270155275985,-109.06290845057273
TAMIL NADU,-1.0756633896212506,-1.413686371110481,-1.73203432723,-65.7482902786741,-2.686995692772148,-5.6606310789218846,-55.16326272791238,-0.0,-72.74782976084114,121.60894980706621,-100.00811337555184,-88.04533961494259
MIZORAM,-1.9470502798778775,-1.7806148679472216,-1.2549707143081923,-63.467408881904895,-4.11049912123701,-5.7126328241834745,-147.22065112635198,-0.0,-72.62659495550194,216.67387960208742,-93.87694805414534,-84.99094875019509
MAHARASHTRA,-3.1704528420473355,-2.501822020543222,-2.067206772988233,-67.22862214333462,-5.939646868768347,-5.524986382278408,-66.08973757701797,-0.0,-81.0165510041548,155.20379685177912,-87.45517074620535,-90.0276926345333
ARUNACHAL PRADESH,-2.168421047769376,-1.7355811397475356,-1.413859439001921,-71.20502166480203,-4.130186140888225,-3.598854006890283,-95.28736357210748,-0.0,-80.72748308689341,179.37890280671542,-61.80894935003071,-61.57415149085483
TRIPURA,-2.131508823254331,-1.7060369879047277,-1.3897918359416943,-69.99340273438061,-4.059879519266831,-3.5818119551305094,-95.7510218325709,-0.0,-79.35376683948198,177.9914072678746,-61.221190984247414,-60.5259976249385
SIKKIM,-1.6957394300042987,-1.3572518011062549,-1.1056603613332523,-74.23237071373609,-3.2298706469235237,-3.5179506815515604,-69.08085786430851,-0.0,-81.67908560369992,158.07184592467013,-44.35800499523627,-48.15195677034658
MEGHALAYA,-1.6228733718239436,-1.2989305832617477,-1.0581500476664767,-71.04259983998858,-3.091082848332819,-3.0301056548640246,-111.94495482635728,-0.0,-78.1693287988455,198.3987891210808,-40.82846351707596,-46.08286335808971
