Name,Heat Exchanger,Tank Cost,Hot Pump,Cold Pump,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost,TES Fixed O&M
NEPAL,-4577.028866495841,-131520.1787883708,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
ODISHA,-4453.6549983032755,-50955.43965795265,-1422.3034777332261,-415.6636048448681,-2403.0214115781123,-1151.2638649736082,-1151.2638649736082,-0.0,-6738.015016363986
PUNJAB,-4583.831788936938,-131520.17878837077,-1466.7580916534623,-456.5946836918748,-2403.021411578114,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
PUDUCHERRY,-1973.1144169127074,-50955.43965795265,-631.212198096898,-415.6636048448681,-777.3005846787005,-1151.2638649736082,-1151.2638649736082,-0.0,-6738.015016363986
TAMIL NADU,-2015.0484971937128,-50955.43965795265,-642.6313364040245,-415.663604844868,-797.6036934672051,-1151.2638649736082,-1151.2638649736082,-0.0,-6738.015016363986
TELANGANA,-1973.7259158820975,-50955.43965795265,-631.3783181653204,-415.64773576841355,-775.6825572493026,-1151.102751257281,-1151.102751257281,-0.0,-6738.015016363986
WEST BENGAL,-4577.02886649584,-114430.82118258376,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
SIKKIM,-4577.0286271917375,-105194.21386389503,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
RAJASTHAN,-4577.0288664958425,-105194.21386389513,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
UTTAR PRADESH,-4577.028866495835,-131520.17878837092,-1466.7580916534619,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
CHANDIGARH,-6466.791693655081,-279343.5189318265,-1466.7580916534623,-456.5946836918748,-2403.0214115781127,-1566.8241683866856,-1566.8241683866856,-0.0,-6738.015016363986
