,index,results_tank_energy_max,results_objective_value
0,0,2371.998523330556,2.492454408157727
1,20,3786.649809936267,-2.847636045604023
2,21,13376.394503062798,6.0303621311981646
3,22,5477.326184082887,-0.9187235152124499
4,23,3774.5702079623074,-0.9299220459087565
5,24,0.0,-3.4335289139306187
6,25,0.0,2.514921407792197
7,26,3794.2695690670507,0.5647664474236808
8,27,7558.001168254263,3.3720159618967047
9,28,0.0,2.721312353693238
10,29,6295.322462672732,5104.455888141295
11,30,7555.961879433642,0.22433926376503335
12,31,0.0,6.0440457021920615
13,32,7989.629140723162,0.6028576940064295
14,33,6297.946607302371,-1.3916507487907492
15,34,4268.089998787895,7.106539337220646
16,19,7555.961879433642,19.963846167291173
17,35,7555.961879433642,0.8425690333995862
18,18,8194.322909102775,-3.9907545233488255
19,16,0.0,9.307431077008275
20,1,7559.09470108273,12283.580796297434
21,2,0.0,2.4973408049682275
22,3,4835.100507374592,5.191178502413692
23,4,6295.3224626727315,-2.30038623833735
24,5,0.0,12.921699189374355
25,6,5292.064425743353,41.691100733575
26,7,5477.326184082887,-1.751403976006296
27,8,0.0,6.281628271230292
28,9,0.0,16.397369660421916
29,10,6295.3224626727315,-2.278614701558018
30,11,0.0,0.009557977641442448
31,12,0.0,31.62851364033798
32,13,0.0,-0.744508694413987
33,14,5035.20831237749,-2.7268294768864507
34,15,5035.2083123774955,-0.6855983439167005
35,17,0.0,17.31994393374707
36,36,7555.961879433642,-0.05479404039986139
37,0,5477.326184082887,
38,20,5477.326184082887,
39,21,5292.064425743354,
40,22,7555.961879433641,
41,23,6312.555258456408,
42,24,1219.5121951219444,
43,25,1219.5121951219444,
44,26,3788.228238495237,
45,27,1219.5121951219444,
46,28,1219.5121951219444,
47,29,1219.5121951219444,
48,30,2371.998523330556,
49,31,6295.322462672731,
50,32,7558.874949436212,
51,33,6295.3224626727515,
52,34,5211.880093272522,
53,19,1219.5121951219444,
54,35,3794.269569067037,
55,18,6295.322462672726,
56,16,7547.906825329094,
57,1,1219.5121951219444,
58,2,4810.851238432856,
59,3,3786.649809936225,
60,4,1219.5121951219444,
61,5,3774.570207962308,
62,6,1219.5121951219444,
63,7,5035.20831237749,
64,8,1219.5121951219444,
65,9,1219.5121951219444,
66,10,4513.295402751687,
67,11,13376.394503062795,
68,12,7555.961879433642,
69,13,7558.061632494792,
70,14,7555.961879433642,
71,15,8018.172700838894,
72,17,8194.322465783987,
73,36,1219.5121951219444,
74,0,6295.3224626727315,
75,20,3774.570207962308,
76,21,5477.326184082889,
77,22,6311.83195894519,
78,23,2439.024390243896,
79,24,7555.961879433643,
80,25,8010.3589515694985,
81,26,2439.024390243896,
82,27,7555.961879433642,
83,28,7558.015259743425,
84,29,2439.024390243896,
85,30,3794.2695690670516,
86,31,7555.961879433642,
87,32,2439.024390243896,
88,33,2439.024390243896,
89,34,2439.024390243896,
90,19,4267.653511207422,
91,35,7559.0947010827285,
92,18,2439.024390243896,
93,16,7994.434789298508,
94,1,2439.024390243896,
95,2,6295.322462672731,
96,3,2439.024390243896,
97,4,2439.024390243896,
98,5,2439.024390243896,
99,6,5477.326184082888,
100,7,5035.2083123774855,
101,8,5035.20831237749,
102,9,6295.322462672737,
103,10,13371.009268191987,
104,11,2439.024390243896,
105,12,4739.05949901366,
106,13,3786.649809936257,
107,14,2439.024390243896,
108,15,7555.961879433642,
109,17,5292.064425743354,
110,36,3788.2282384952373,
