,Name,RemainingLife,CRF,EnergyCapacity,DischargeCapacity,ChargeCapacity,CAPEX_storage,CAPEX_discharge,CAPEX_charge,steam_eff
0,KERALA,25.0,0.1018,2439.024390243896,500.0,321.28721995678694,50955439.65795265,2982765.2353971344,1408712.7973817857,0.41
1,ODISHA,25.0,0.1018,2439.024390243896,500.0,367.1178205168131,50955439.65795265,5961246.875018716,1566543.5480011455,0.41
2,MIZORAM,25.0,0.1018,2439.024390243896,500.0,321.39256903024545,50955439.65795265,5891438.148729644,1409075.596977205,0.41
3,PUDUCHERRY,25.0,0.1018,2439.024390243896,500.0,367.2293030218846,50955439.65795265,3428730.753833863,1566927.4698184764,0.41
4,TAMIL NADU,25.0,0.1018,2439.024390243896,500.0,428.178680174277,50955439.65795265,3577224.36865479,1776824.041720153,0.41
5,TELANGANA,25.0,0.1018,2439.024390243896,500.0,338.34614539813185,50955439.65795265,3407070.1038274663,1467460.0748397973,0.41
6,NAGALAND,25.0,0.1018,2439.024390243896,500.0,321.3925690302454,50955439.65795265,5888709.940900114,1409075.5969772048,0.41
7,ANDHRA PRADESH,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,4200942.342781288,2023418.8520785605,0.41
8,ASSAM,25.0,0.1018,2439.024390243896,500.0,321.3925690302454,50955439.65795265,5888549.543459155,1409075.5969772048,0.41
9,JHARKHAND,25.0,0.1018,2439.024390243896,500.0,321.39256903024545,50955439.65795265,5876694.672073776,1409075.5969772052,0.41
10,MAHARASHTRA,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,8344575.981885882,2023418.8520785605,0.41
11,KARNATAKA,25.0,0.1018,2439.024390243896,500.0,367.0910892732638,50955439.65795265,3559645.379586736,1566451.4913363229,0.41
12,MANIPUR,25.0,0.1018,2439.024390243896,500.0,320.30018348720296,50955439.65795265,5874695.046633228,1405313.6556515982,0.41
13,BANGLADESH,25.0,0.1018,3774.57020796231,500.0,499.7844237278104,78857302.63127722,16612113.44655371,2023418.8520785605,0.41
14,ARUNACHAL PRADESH,25.0,0.1018,3777.0283049603763,500.0,499.7844237278104,78908656.53071314,8446808.369727416,2023418.8520785605,0.41
15,TRIPURA,25.0,0.1018,3777.054080621231,500.0,499.7844237278104,78909195.02886699,8446808.36972742,2023418.8520785605,0.41
16,BIHAR,25.0,0.1018,3786.6498099362575,500.0,499.7844237278104,79109666.4173622,8446808.369727416,2023418.8520785605,0.41
17,GUJARAT,25.0,0.1018,4267.6535112074225,500.0,499.7844237278104,89158665.99826586,8446808.369686866,2023418.8520785605,0.41
18,MADHYA PRADESH,25.0,0.1018,5035.2083123774855,500.0,499.7844237278104,105194213.86389503,8446808.369727412,2023418.8520785605,0.41
19,SIKKIM,25.0,0.1018,5035.20831237749,500.0,499.7844237278104,105194213.86389513,8446808.369727412,2023418.8520785605,0.41
20,MEGHALAYA,25.0,0.1018,5035.208312377491,500.0,499.7844237278104,105194213.86389515,8446808.369727422,2023418.8520785605,0.41
21,RAJASTHAN,25.0,0.1018,5035.208312377492,500.0,499.7844237278104,105194213.86389516,8446808.369727418,2023418.8520785605,0.41
22,WEST BENGAL,25.0,0.1018,5402.043436271411,500.0,499.7844237278104,112858034.3220928,8453611.292168517,2023418.8520785605,0.41
23,BHUTAN,25.0,0.1018,5477.326184082891,500.0,499.7844237278104,114430821.18258382,9256978.864369608,2023418.8520785605,0.41
24,UTTAR PRADESH,25.0,0.1018,6295.32246267273,500.0,499.7844237278101,131520178.78837074,8446808.369727416,2023418.852078559,0.41
25,NEPAL,25.0,0.1018,6295.322462672732,500.0,499.7844237278104,131520178.7883708,8446808.369727423,2023418.8520785605,0.41
26,PUNJAB,25.0,0.1018,6295.322462672734,500.0,499.7844237278104,131520178.78837086,8446808.369727416,2023418.8520785605,0.41
27,GOA,25.0,0.1018,6312.715387266441,500.0,499.7844237278104,131883547.07741094,8446808.369727477,2023418.8520785605,0.41
28,CHHATTISGARH,25.0,0.1018,7555.961879433643,500.0,499.7844237278104,157857117.43816173,8446808.369727412,2023418.8520785605,0.41
29,DELHI,25.0,0.1018,7555.961879433645,500.0,499.7844237278085,157857117.43816176,8446808.36972742,2023418.8520785535,0.41
30,HIMACHAL PRADESH,25.0,0.1018,7555.961879433646,500.0,499.7844237278104,157857117.43816176,8446808.369727418,2023418.8520785605,0.41
31,DAMAN  DIU,25.0,0.1018,7555.961879433649,500.0,499.7844237278104,157857117.43816185,8446808.369727382,2023418.8520785605,0.41
32,HARYANA,25.0,0.1018,7558.060757597615,500.0,499.7844237278104,157900966.63461155,9562636.084334997,2023418.8520785605,0.41
33,UTTARAKHAND,25.0,0.1018,7558.874949436216,500.0,499.7844237278104,157917976.5108833,8446808.36972742,2023418.8520785605,0.41
34,JAMMU  KASHMIR,25.0,0.1018,8022.46871746273,500.0,499.7844237278104,167603252.46259925,8446808.36972742,2023418.8520785605,0.41
35,DADRA  NAGAR HAVELI,25.0,0.1018,8194.322909102779,500.0,499.7844237278104,171193583.87835237,10824653.301702471,2023418.8520785605,0.41
36,CHANDIGARH,25.0,0.1018,13376.394503062811,500.0,499.7844237278104,279456025.8061332,12831944.306152215,2023418.8520785605,0.41
