Name,Heat Exchanger,Tank Cost,Pumps,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost
0,-10738031.998074003,-50955439.65795265,-837950.0282427439,-1927.6168409535246,-1566824.1683866854,-495000.0,-0.0
1,-700236.9466458275,-50955439.65795265,-788561.1299411568,-1285.0778939690165,-1566824.1683866854,-330000.0,-0.0
2,-417388.3229845324,-50955439.65795265,-739172.2316395694,-642.5389469841201,-1566824.1683866854,-165000.0,-0.0
3,-417388.32280114526,-50955439.65795265,-739172.2316395692,-642.5389469845838,-1566824.1683866854,-165000.0,-0.0
4,-10830901.570641581,-50955439.65795265,-788561.1299411568,-1285.0778939692686,-1566824.1683866854,-330000.0,-0.0
5,-4501911.655511742,-50955439.65795265,-1896237.5984879008,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
6,-10865297.37045792,-56690394.47210684,-837950.0282427444,-1927.6168409535246,-1566824.1683866854,-495000.0,-0.0
7,-1172463.807514483,-67185417.57284078,-887338.9265443316,-2570.15578793786,-1566824.1683866854,-660000.0,-0.0
8,-10866948.722459553,-69366281.9570399,-887338.9265443316,-2570.155787938029,-1566824.1683866854,-660000.0,-0.0
9,-10859874.142217115,-79238717.69060867,-936727.824845919,-3212.6947349225416,-1566824.1683866854,-825000.0,-0.0
10,-3398511.776957692,-80576341.51695044,-932792.921070868,-1080.9024144999512,-1566824.1683866854,-825000.0,-0.0
11,-10848957.235299561,-81263573.0312959,-936727.8248459192,-3212.69473492285,-1566824.1683866854,-825000.0,-0.0
12,-3661610.7143769707,-81809385.30681153,-1005895.2508741849,-233520.57993189537,-1566824.1683866854,-660000.0,-0.0
13,-10801880.972943382,-85534355.24189863,-984810.5504394051,-1310.7794518483968,-1566824.1683866854,-990000.0,-0.0
14,-2758258.4640264846,-89124994.85572006,-1308914.9196126482,-919377.9682551309,-1566824.1683866854,-495000.0,-0.0
15,-10935763.197266169,-89147267.76958841,-1033981.7532896423,-1529.24269382313,-1566824.1683866854,-1155000.0,-0.0
16,-4577028.86645529,-89158665.99826586,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
17,-1584825.2618003706,-89835153.06265843,-986116.7231475064,-3855.2336819070497,-1566824.1683866854,-990000.0,-0.0
18,-3188070.1501119477,-92436467.64832605,-1448591.8590167935,-1287039.9938777026,-1566824.1683866854,-330000.0,-0.0
19,-10698279.844186418,-94413779.23691562,-986116.7231475066,-3855.2336819070492,-1566824.1683866854,-990000.0,-0.0
20,-4711902.96151957,-97469820.53053822,-1972411.8320539705,-2403021.4115781127,-1566824.1683866854,-165000.0,-0.0
21,-5752524.189843791,-99029770.76544936,-1023921.5164707004,-1486.2408199374331,-1566824.1683866854,-1155000.0,-0.0
22,-10848957.235299561,-103064475.73156652,-1035505.6214490937,-4497.772628891558,-1566824.1683866854,-1155000.0,-0.0
23,-4577028.86649584,-131520178.78837074,-1923352.7753453364,-2403021.4115781127,-1566824.1683866847,-0.0,-0.0
