Name,Pipes and Valves,Pumps,Charger,Tank Cost,Heat Exchanger,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits,Fixed O&M Cost
13,-3.68054734241262,-2765.256847052622,-4399.497200578985,-240172.55032996795,-30330.6816810113,-54452.85482529754,-1438076.2714101025,-1401072.947030931,-280683.0474311484,142.20095208717697,-3365742.805589265,-191599.88584386717
15,-2.483995690445414,-1679.5281936247868,-2545.0404292782496,-144804.63424744832,-17763.294710160975,-31419.14909520714,-885368.7468883592,-1106016.8697019508,-168805.03290644905,109.727028703332,-2302337.6135563767,-110837.54199310915
10,-4.538409619592655,-3916.538911641177,-6578.660369915119,-338317.7228087572,-14269.40890679675,-68865.4469774008,-398159.0493743752,-358864.5571091243,-366897.0610048957,5.972188589775449,-1479283.467183387,-286503.3249061799
7,-2.808982832380576,-969.793279794096,-1712.418449890315,-73428.50010654407,-1281.4128709054635,-19832.587080103207,-428483.4680656187,-243706.86017449826,-78206.39027445535,180.09311166854854,-844625.7298797547,-74576.51739674654
21,-2.1176858213329797,-1458.945312563173,-2232.505850602328,-141103.60758943204,-8196.544429603282,-27134.634448172685,-183610.06559867598,-297801.51646507106,-154756.9350406388,9.028675123305552,-760520.6573243459,-97226.53444690883
9,-2.4012963884768386,-700.1477975287628,-1171.1069763420537,-59226.18310095433,-8117.103773834803,-14308.555822093631,-355415.1965836383,-244004.04810869935,-69895.21811216568,160.68419104855852,-734464.517809723,-51002.18337417387
0,-1.997604106274327,-868.3740366380995,-1623.7118944400027,-52805.51265955353,-11127.904859996459,-18856.880253554922,-295928.7327419378,-171038.76271849472,-67025.93186936405,139.75888805221305,-623423.8596566273,-70713.31096132801
19,-1.3843455468921513,-354.09689970592166,-562.6185697765966,-33902.30155574628,-3841.5611824545695,-6909.861995454131,-174230.81519595132,-152571.6122194441,-39047.06537195713,162.53883980049304,-397099.0826403578,-24502.266697351068
22,-1.3454799712107983,-309.764896692722,-468.70544843277975,-30831.08002156583,-3245.396304573842,-5547.674488825541,-161057.62051843348,-167197.6831925221,-35226.471736314,148.47985637483023,-389293.28228719346,-20412.312207472427
11,-1.2964830806771008,-378.0165488213933,-632.2919518707673,-32793.91794221405,-4378.097098880783,-7685.091160637253,-172825.75179889292,-124416.37995509896,-38549.827329568056,162.71424481668723,-370850.9067198925,-27536.57072051136
4,-0.9622092695525025,-590.4395619899454,-1173.1683703031722,-38153.17079462402,-8109.698204124045,-13475.210372099287,-160899.4585886532,-52249.682486065794,-48336.27419201264,126.70082446662282,-325925.88273086044,-51091.95791649601
2,-0.7165062182042933,-824.2636540237382,-1747.1925472395938,-56821.286145568156,-465.43688943367755,-12452.506969763828,-115366.13644032448,-34007.87062496331,-60134.84757956775,106.10265752884942,-297946.20238451316,-76090.94342742306
8,-1.0221828481054311,-352.9057014468303,-623.1454133785538,-27587.831051368572,-4321.920347190727,-7217.034722637495,-139668.32099589333,-88939.5156200027,-33182.11201272517,131.37611063481586,-296013.8425034506,-27138.235262826784
1,-0.9111784940690558,-559.1255956026117,-1110.9493774048235,-36129.71710902325,-496.4997449031227,-12053.596676939434,-127846.32677432691,-61772.68555508046,-38589.65898795694,128.51229024051705,-288516.05126753513,-48382.29556347186
3,-0.7110862266847209,-818.0285343532904,-1733.9759574188818,-56391.46309414903,-461.91610472143344,-10979.034618498761,-98774.53264301666,-30769.60236417475,-59679.95918389525,119.21463962132718,-275599.269755085,-75515.35558512136
6,-0.9509843737851175,-413.40030131582597,-772.9883185018948,-27968.047456993365,-5360.364049695047,-8509.754834083247,-131238.22923718038,-76395.77923422409,-34800.641571265354,131.80831392639544,-284476.5510629263,-33663.95450009946
17,-0.6479976356156548,-165.7490460408485,-263.35585344798193,-15099.724577778952,-266.38152372714245,-2932.77689772436,-19827.081603967697,-21315.43136362886,-15976.121590267549,48.82720766384776,-71471.83838230779,-11469.254134383136
12,-0.28085045180675416,-1.2097697588823824,-1.8843875589957768,-98.39048375158929,-4.4037447310774045,-20.20543179241483,-107.4881149437759,-67.10399443660508,-107.0621831209013,50.88997541463926,-333.03559066245094,-82.06584178339277
5,-3.1704528420473355,-2.501822020543222,-2.067206772988233,-67.22862214333462,-5.939646868768347,-5.524986382278408,-66.08973757701797,-0.0,-81.0165510041548,155.20379685177912,-87.45517074620535,-90.0276926345333
14,-0.4022570874474336,-0.5726918867537667,-0.6855353818339206,-38.99501846609469,-1.206825760978674,-7.983235971924178,-39.25886764025461,-26.512362397783725,-42.114987628357284,55.31086440743684,-90.4139329015246,-29.855343670641563
18,-0.4282347294222763,-0.4819876194525735,-0.52132686396155,-30.75623593705769,-1.0607614095962228,-5.457252007144121,-25.259534961712877,-16.45093720745084,-33.3857851801868,58.250364237653095,-45.007141295775114,-22.703996176933355
23,-1.2830054212490916,-1.0269038910152626,-0.8365484770541632,-70.22039070318301,-2.443737213756766,-2.874636098893237,-64.78784016503838,-0.0,-75.8546145734717,157.7077227488331,-22.24139324938743,-36.43202516081727
20,-0.6261284631850406,-0.5139293321406172,-0.4082498823798953,-25.39662303534319,-1.227727953549859,-4.104697506498627,-16.729544903084626,-11.549758433040797,-28.23713771054268,62.51835169767629,-15.8822346636323,-17.77944780814183
16,-0.6374248548957105,-0.510188073161042,-0.41561538460245656,-23.650205305210765,-1.2141015252701195,-3.3588710924114054,-10.019826199610193,-0.0,-26.449409637066534,64.07239511995199,6.144069776290224,-18.1002184145738
