,Name,EnergyCapacity
0,0,2439.024390243896
1,1,2439.024390243896
2,2,2439.024390243896
3,3,2439.024390243896
4,4,2439.024390243896
5,5,2439.024390243896
6,6,2713.5327599599377
7,7,3215.8857470147395
8,8,3320.274629940326
9,9,3792.8269561870416
10,10,3856.8534302851763
11,11,3889.74833682478
12,12,3915.874094180882
13,13,4094.1728702406954
14,14,4266.041814036956
15,15,4267.107925536167
16,16,4267.6535112074225
17,17,4300.034125736777
18,18,4424.548206347802
19,19,4519.193865850599
20,20,4665.473817564737
21,21,4740.1421296439785
22,22,4933.2666299104
23,23,6295.32246267273
