,Name,RemainingLife,CRF,EnergyCapacity,DischargeCapacity,ChargeCapacity,CAPEX_storage,CAPEX_discharge,CAPEX_charge,steam_eff
0,0,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,11121314.959465826,2023418.85207856,0.41
1,1,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,1033488.4707890785,2023418.8520785605,0.41
2,2,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,700608.4098792112,2023418.8520785605,0.41
3,3,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,700608.4096958243,2023418.8520785605,0.41
4,4,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,11164153.094784833,2023418.8520785605,0.41
5,5,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,8344575.981885882,2023418.8520785605,0.41
6,6,25.0,0.1018,2713.5327599599377,500.0,499.7844237278104,56690394.47210684,11248580.331849745,2023418.8520785605,0.41
7,7,25.0,0.1018,3215.8857470147395,500.0,499.7844237278104,67185417.57284078,1605778.2061548776,2023418.8520785605,0.41
8,8,25.0,0.1018,3320.274629940326,500.0,499.7844237278104,69366281.9570399,11300263.121099949,2023418.8520785605,0.41
9,9,25.0,0.1018,3792.8269561870416,500.0,499.7844237278104,79238717.69060867,11343219.978106083,2023418.8520785605,0.41
10,10,25.0,0.1018,3856.8534302851763,500.0,499.7844237278104,80576341.51695044,3875790.916751186,2023418.8520785605,0.41
11,11,25.0,0.1018,3889.74833682478,500.0,499.7844237278104,81263573.0312959,11332303.07118853,2023418.8520785605,0.41
12,12,25.0,0.1018,3915.874094180882,500.0,499.7844237278104,81809385.30681153,4444431.861491176,2023418.8520785605,0.41
13,13,25.0,0.1018,4094.1728702406954,500.0,499.7844237278104,85534355.24189863,11331407.619142761,2023418.8520785605,0.41
14,14,25.0,0.1018,4266.041814036956,500.0,499.7844237278104,89124994.85572006,4529956.668202389,2023418.8520785605,0.41
15,15,25.0,0.1018,4267.107925536167,500.0,499.7844237278104,89147267.76958841,11514679.50955776,2023418.8520785605,0.41
16,16,25.0,0.1018,4267.6535112074225,500.0,499.7844237278104,89158665.99826586,8446808.369686866,2023418.8520785605,0.41
17,17,25.0,0.1018,4300.034125736777,500.0,499.7844237278104,89835153.06265843,2118202.53493791,2023418.8520785605,0.41
18,18,25.0,0.1018,4424.548206347802,500.0,499.7844237278104,92436467.64832605,5467107.319314569,2023418.8520785605,0.41
19,19,25.0,0.1018,4519.193865850599,500.0,499.7844237278104,94413779.23691562,11231657.117323956,2023418.8520785605,0.41
20,20,25.0,0.1018,4665.473817564737,500.0,499.7844237278104,97469820.53053822,8630741.521459779,2023418.8520785605,0.41
21,21,25.0,0.1018,4740.1421296439785,500.0,499.7844237278104,99029770.76544936,6321337.2634425545,2023418.8520785605,0.41
22,22,25.0,0.1018,4933.2666299104,500.0,499.7844237278104,103064475.73156652,11432365.945685672,2023418.8520785605,0.41
23,23,25.0,0.1018,6295.32246267273,500.0,499.7844237278101,131520178.78837074,8446808.369727416,2023418.852078559,0.41
