Name,Heat Exchanger,Tank Cost,Pumps,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost
0,-4501644.752420056,-61146527.589543186,-1896141.636632899,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
1,-4501911.655511742,-50955439.65795265,-1896237.5984879008,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
2,-5720173.7338178195,-101910879.3159053,-1861002.528722032,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
3,-4520312.321786185,-71337615.52113372,-1815955.6365918762,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
4,-5640452.00032933,-81528703.45272423,-1883525.97478711,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
5,-4520408.4768052725,-91719791.38431479,-1897463.4198614908,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
6,-4577028.86649584,-63103374.47387911,-1923352.7753453385,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
7,-4577028.866495842,-75178794.27348547,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
8,-4577028.866495843,-63282349.32893134,-1923352.775345338,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
9,-4577028.866495842,-36968608.629684515,-1923352.7753453373,-2403021.4115781127,-1566824.1683866854,-0.0,-0.0
