,Name,RemainingLife,CRF,EnergyCapacity,DischargeCapacity,ChargeCapacity,CAPEX_storage,CAPEX_discharge,CAPEX_charge,steam_eff
0,0,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,61146527.589543186,8344213.116939193,2023418.8520785605,0.41
1,1,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,50955439.65795265,8344575.981885882,2023418.8520785605,0.41
2,2,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,101910879.3159053,9527602.990426088,2023418.8520785605,0.41
3,3,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,71337615.52113372,8282694.686264298,2023418.8520785605,0.41
4,4,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,81528703.45272423,9470404.703002678,2023418.8520785605,0.41
5,5,25.0,0.1018,2439.024390243896,500.0,499.7844237278104,91719791.38431479,8364298.624553001,2023418.8520785605,0.41
6,6,25.0,0.1018,3775.6192096868767,500.0,499.7844237278104,63103374.47387911,8446808.369727416,2023418.8520785605,0.41
7,7,25.0,0.1018,5997.492256404647,500.0,499.7844237278104,75178794.27348547,8446808.36972742,2023418.8520785605,0.41
8,8,25.0,0.1018,7572.655369146095,500.0,499.7844237278104,63282349.32893134,8446808.36972742,2023418.8520785605,0.41
9,9,25.0,0.1018,8847.665600223021,500.0,499.7844237278104,36968608.629684515,8446808.369727418,2023418.8520785605,0.41
