,salt_temp_diff,effs,profit,hours
0,475.0,0.21,4787.650631807101,2.0
1,275.0,0.36,1310.2207369337202,2.0
2,575.0,0.17,6624.117192900875,2.0
3,375.0,0.26,3133.5587667813165,2.0
4,675.0,0.14,8721.072666470365,2.0
5,475.0,0.21,6203.297681376245,3.0
6,575.0,0.17,8983.220017108495,3.0
7,275.0,0.36,1309.2223934554745,3.0
8,375.0,0.26,3903.5478197548505,3.0
9,675.0,0.14,12028.863083801007,3.0
10,475.0,0.21,7899.01689687091,4.0
11,575.0,0.17,11653.17438839177,4.0
12,675.0,0.14,15497.353085021332,4.0
13,275.0,0.36,1331.9871848108032,4.0
14,375.0,0.26,4858.440582382155,4.0
15,475.0,0.21,9740.756186385057,5.0
16,575.0,0.17,14338.836072732303,5.0
17,675.0,0.14,19051.425871227322,5.0
18,275.0,0.36,1473.6818218843173,5.0
19,375.0,0.26,5995.099318896373,5.0
20,575.0,0.17,17073.671916363597,6.0
21,475.0,0.21,11799.57896550062,6.0
22,675.0,0.14,22594.08907803641,6.0
23,275.0,0.36,1708.4678351648154,6.0
24,375.0,0.26,7238.373624076941,6.0
25,575.0,0.17,19897.90242600109,7.0
26,475.0,0.21,13840.923908328625,7.0
27,275.0,0.36,2041.2049292816791,7.0
28,375.0,0.26,8455.150508233572,7.0
29,575.0,0.17,22968.6250544949,8.0
30,475.0,0.21,15894.297872478293,8.0
31,275.0,0.36,2405.4072147165134,8.0
32,375.0,0.26,9755.196761798203,8.0
33,475.0,0.21,18234.172482052625,9.0
34,375.0,0.26,11346.616449711291,9.0
35,275.0,0.36,2805.1416010462153,9.0
36,475.0,0.21,20516.1643791247,10.0
37,275.0,0.36,3241.886718547281,10.0
38,375.0,0.26,12684.30976592885,10.0
