0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
218.01,218.01,218.01,218.01,218.01,71.5,71.5,84.25,183.39,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,619.25,2050.85,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,413.19,878.85,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,476.47,1051.45,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,619.25,2050.85,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,223.25,1980.56,218.01,218.01,218.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,517.77,2050.85,218.01,218.01,218.01
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,517.77,1980.56,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400303.92,668.08,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,3019.88,668.08,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400288.37,619.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400285.45,285.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,668.08,1642.31
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,517.77,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,244.63,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,2050.85,517.77,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400223.25,454.05,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400244.63,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,345.49,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,461.13,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,754.5,551.99,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,244.63,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,244.63,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400244.63,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400244.63,628.69,218.01,218.01,218.01
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,517.77,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,660.55,2050.85,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,668.08,400285.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,2050.85,668.08,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,482.37,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,223.25,668.08,3019.88,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,668.08,218.01,218.01,218.01
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,223.25,668.08,2050.85,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,619.25,400303.92,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,3019.88,668.08,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,2050.85,668.08,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,563.79,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400218.01,517.77,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,668.08,1980.56,218.01,218.01,218.01
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,461.13,2050.85,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,285.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400244.63,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,362.24,730.01,2050.85,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1980.56,528.39,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,223.25,1980.56,526.03,218.01
400413.19,318.63,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,668.08,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,619.25,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,244.63,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,345.49,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400244.63,2050.85,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,318.63,1980.56
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,668.08,400303.92,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,619.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,244.63,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,400285.45,218.01,218.01,218.01
218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,454.05,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1980.56,285.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,223.25,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,1051.45,244.63,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,223.25,1051.45,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,285.45,400244.63,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,218.01,668.08,400244.63,218.01,218.01,218.01
