0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
51.67,51.67,51.67,51.67,51.67,51.67,58.54,55.58,51.67,51.67,51.67,51.67,51.67,134.45,51.67,1144.52,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,43.56,43.56,43.56,43.56,43.56,48.39,50.1,48.39,1208.05,980.76,888.27,729.86,654.98,654.98,888.27,51.67,48.39,48.39,48.39,48.39,48.39,43.56,43.56,43.56,51.67,51.67,51.67,51.67,51.68,67.03,67.03,82.4,1532.55,1142.15,1004.21,946.05,791.66,946.05,892.14,1094.54,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,57.43,57.43,57.43,57.43,57.43,51.67,51.67,60.93,51.67,51.67,51.67,23.38,23.2,23.38,23.62,51.67,57.43,57.43,57.43,57.43,57.43,57.43,57.43,57.43,187.37,148.13,148.13,148.13,51.67,51.67,54.32,201.66,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,42.89,42.89,42.89,42.89,42.89,42.89,42.89,42.89,43.45,43.45,43.45,43.45,43.46,43.47,43.47,43.47,599.42,167.8,70.47,69.42,51.67,69.42,70.47,71.86,43.47,43.47,43.47,43.47,43.47,43.47,43.47,43.47,43.05,43.05,43.05,43.05,43.05,43.05,43.05,43.05,1028.62,942.02,51.67,51.67,51.67,51.67,51.67,791.28,43.05,43.05,43.05,43.05,43.05,43.05,43.05,43.05
51.68,51.68,51.68,51.68,51.68,51.68,51.68,36.06,25.25,17.26,16.51,16.46,51.67,51.67,75.84,906.06,931.63,852.64,150.85,301.35,150.85,102.97,102.97,107.6,54.41,54.41,54.41,54.41,54.41,54.41,54.41,365.75,484.36,431.82,417.29,417.29,417.29,431.82,956.37,1042.27,1070.56,43.77,59.85,44.48,44.48,44.48,44.48,44.48,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.23,45.23,45.23,45.23,45.23,45.23,45.23,19.37,8.33,51.67,51.67,51.67,51.67,51.67,51.67,101.19,51.67,22.94,29.46,33.72,44.99,45.23,45.23,45.23,57.98,57.98,57.98,57.98,57.98,57.98,57.98,24.32,16.93,8.68,8.68,8.68,8.68,8.68,8.68,13.06,51.67,35.24,44.49,44.49,44.49,44.49,44.49,44.49,44.56,44.56,44.56,44.56,44.56,44.56,44.56,25.28,654.68,510.15,510.15,525.52,525.52,525.52,534.1,1084.27,1083.42,51.58,59.93,59.93,59.93,59.93,59.93,59.93,48.18,48.18,48.18,48.18,48.18,48.18,48.18,23.9,637.55,635.85,634.71,635.27,635.83,635.83,633.22,806.0,1334.17,58.59,63.54,63.54,63.54,222.14,266.74,266.8
51.68,51.68,51.68,51.68,51.68,51.67,51.67,57.43,57.29,62.81,51.67,41.48,41.48,35.36,35.58,35.58,36.07,38.87,51.67,51.67,51.67,41.25,41.25,41.24,37.42,35.67,32.46,32.46,33.23,33.07,37.07,38.43,215.13,60.38,36.25,20.47,20.47,20.47,20.47,51.67,41.85,42.72,42.9,41.85,41.85,41.85,41.15,36.35,36.49,44.19,44.19,41.56,43.88,49.01,20.37,49.01,592.88,383.04,51.81,51.67,51.67,51.67,51.67,35.13,38.57,40.86,45.36,51.67,38.57,38.57,38.57,38.5,36.39,33.97,33.97,33.97,33.97,34.54,36.4,49.36,742.12,397.87,51.67,51.67,51.67,51.67,51.67,57.2,597.67,236.27,236.23,236.23,56.32,236.27,236.27,56.27,45.02,29.65,29.65,29.65,29.65,47.65,50.03,50.03,1123.75,1123.64,1123.68,1123.69,1123.69,1123.69,1123.69,1123.67,347.45,350.13,350.13,350.13,350.13,350.13,321.51,184.66,32.67,32.67,32.67,32.67,32.67,51.69,54.76,365.92,586.02,586.09,586.07,467.15,524.96,455.55,557.05,836.83,190.89,187.97,187.99,190.24,188.5,185.79,68.96,68.29,43.47,43.47,36.32,43.47,61.61,63.67,63.67,63.67,583.1,726.76,726.74,726.74,711.37,711.37,711.37,711.37,47.35,141.52,141.58,141.57,141.53,43.71,37.96,34.88
39.19,36.33,35.01,35.01,35.01,36.34,45.23,49.13,756.25,211.31,51.67,51.67,24.59,24.59,51.67,323.92,41.44,51.67,51.67,51.67,56.44,156.33,52.14,51.67,51.67,51.67,51.67,51.67,51.67,42.06,42.11,45.42,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,46.98,44.58,39.39,39.39,42.56,46.14,46.14,46.14,49.28,51.85,52.47,51.67,59.04,51.67,51.67,51.67,51.67,68.96,43.37,45.47,45.9,45.47,43.37,42.75,41.99,40.95,38.38,38.38,38.38,37.97,38.05,38.83,53.27,53.27,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,53.27,53.34,53.34,51.67,53.27,53.27,51.67,45.47,37.46,37.46,37.28,37.28,37.28,37.46,41.62,43.21,211.26,51.67,51.67,51.67,51.67,51.67,51.67,51.67,45.53,45.58,45.8,51.67,51.67,51.67,37.46,37.46,37.49,37.47,34.91,36.33,36.87,36.34,43.75,59.73,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,49.01,50.27,50.28,50.22,49.04,47.26,46.89,45.0,37.4,36.32,36.3,36.3,36.32,36.33,42.04,42.04,51.67,274.34,51.67,51.67,51.67,51.67,271.05,390.8,39.57,46.29,45.8,45.8,51.67,38.44,36.15,35.04
32.79,32.79,32.79,32.81,33.62,34.74,38.14,53.5,963.11,1100.13,1100.13,1084.68,1084.64,1084.68,1084.68,1084.76,51.67,51.67,51.67,51.67,51.67,46.63,44.72,40.1,40.47,39.87,39.97,39.97,39.97,39.99,43.93,70.73,1410.65,1395.28,1192.58,1192.56,51.67,51.67,51.67,51.67,55.94,63.04,63.04,63.04,63.04,63.04,63.04,63.04,51.68,48.65,45.32,45.32,45.32,48.65,50.96,54.29,170.72,152.66,151.15,51.67,168.09,51.67,51.67,51.67,38.29,38.47,51.67,38.29,51.67,51.51,97.33,52.76,771.95,811.0,811.0,811.09,811.09,1103.53,1215.84,1215.84,1464.75,1634.27,1634.24,1634.34,1634.59,1587.53,1634.24,1634.24,1054.64,862.87,862.87,862.81,1148.81,938.35,870.15,756.27,663.08,662.95,566.78,557.69,654.21,723.18,51.67,59.57,23.45,51.67,20.37,20.37,20.37,20.37,20.37,20.37,51.67,919.43,919.43,919.43,919.43,919.43,919.43,919.43,36.16,35.06,34.0,36.11,35.9,40.58,51.67,53.54,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,53.49,53.49,53.49,53.49,53.49,53.49,53.49,52.35,44.17,38.23,38.23,14.23,41.63,41.63,44.16,44.16,53.45,120.55,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,44.09,35.38
41.55,40.73,40.73,40.73,40.73,40.73,44.52,40.71,51.67,51.67,51.67,18.32,18.32,18.32,18.32,18.32,35.71,44.43,44.55,44.53,44.53,44.42,42.39,39.45,45.12,37.12,37.12,45.12,41.7,51.5,51.5,51.5,54.75,51.67,17.89,15.77,16.91,16.91,18.15,51.67,61.92,63.41,78.23,62.81,79.73,130.55,37.12,37.12,36.57,36.33,36.33,36.33,36.33,37.24,37.76,139.0,710.08,709.97,652.42,770.9,647.24,647.09,646.97,646.89,139.1,356.97,356.97,356.97,356.97,356.97,217.05,132.16,43.24,43.24,43.24,43.27,45.85,46.53,46.79,62.16,155.24,854.84,390.87,625.45,154.22,46.36,46.36,46.35,449.4,66.06,90.46,90.46,89.52,90.45,74.94,37.97,39.86,39.62,39.62,39.86,39.86,41.8,42.65,84.47,57.01,259.71,51.67,226.89,59.56,59.57,54.87,192.2,591.48,62.55,62.55,62.55,62.55,62.55,62.46,60.17,57.55,57.55,57.55,57.55,57.93,62.27,62.53,47.16,56.0,51.67,15.01,15.02,15.02,15.02,15.02,51.67,36.33,47.14,47.14,47.14,47.14,47.14,47.03,46.9,44.2,44.2,44.2,44.21,44.99,-114.49,57.91,44.99,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,34.92,44.99,44.98,44.98,44.98,44.98,44.98,44.93
43.46,36.34,36.34,36.34,36.34,37.77,50.3,37.77,51.67,822.65,51.67,51.67,20.43,20.43,20.63,31.67,44.68,51.01,51.02,50.29,44.68,41.93,42.18,42.18,37.39,37.32,36.84,36.84,36.84,37.3,43.13,38.36,295.72,85.24,100.37,51.67,51.67,74.21,116.85,440.25,43.65,50.9,51.49,43.65,43.64,37.84,36.85,37.6,41.63,41.61,41.61,41.61,42.1,47.17,47.18,47.18,55.96,51.67,51.67,51.67,50.6,28.93,53.71,51.67,47.19,135.14,164.17,47.19,62.5,54.2,50.78,35.49,35.66,35.66,35.66,35.66,35.66,39.74,41.33,46.01,63.43,51.67,35.67,35.67,35.67,35.63,35.65,35.66,41.49,41.48,41.48,41.48,41.48,56.8,56.75,40.94,37.23,38.4,36.36,40.11,40.2,41.38,43.37,96.49,355.86,223.54,564.26,144.78,143.83,143.84,47.32,514.73,57.49,142.18,142.18,142.18,142.18,142.27,57.49,41.7,55.13,54.38,52.0,51.62,51.63,498.16,1167.28,1167.28,2475.24,1751.4,869.49,796.52,796.52,796.43,823.02,1820.2,1379.72,1327.35,1533.69,1326.25,1390.25,1489.72,1232.5,709.33,106.77,51.62,51.62,51.12,51.62,714.29,1179.06,1395.55,1792.04,1746.72,1757.4,1586.64,1393.31,1129.75,1757.4,1846.85,1312.59,1314.4,1366.43,1312.59,1312.67,1319.59,984.61,271.75
67.03,51.67,79.44,79.44,79.44,79.44,79.44,30.97,24.51,24.5,24.5,24.5,51.67,51.67,377.87,379.01,51.67,51.67,58.7,58.71,58.7,58.7,58.7,58.7,51.67,51.67,60.82,60.82,60.82,60.82,69.61,58.26,29.11,28.52,28.52,28.52,28.52,28.52,51.67,85.28,51.67,58.26,58.26,51.67,58.26,58.26,58.26,58.26,200.79,200.79,200.79,200.79,200.79,200.79,216.16,55.39,28.21,48.33,45.2,41.94,45.2,48.33,48.33,71.93,33.96,57.54,57.54,57.54,57.54,57.54,57.54,57.54,51.67,51.67,51.67,51.67,51.67,51.67,63.72,47.38,29.87,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,62.16,63.72,63.72,63.72,63.72,63.72,63.72,194.06,51.67,51.67,51.67,59.05,65.79,193.99,40.25,187.32,183.77,116.7,185.36,185.36,185.36,342.25,763.23,559.7,64.6,64.77,65.96,65.96,65.96,64.84,64.77,93.14,93.14,93.14,93.14,93.14,93.14,93.14,44.81,51.67,182.51,193.66,218.0,208.37,202.65,295.28,197.84,36.97,51.67,51.67,51.67,51.67,51.67,51.67,51.67,50.03,50.03,50.03,50.03,50.03,50.03,50.03,36.3,51.67,50.91,51.67,51.67,51.67,51.67,51.67,51.67,47.17,65.4,51.67,51.67,51.67,51.67,51.67,51.67
66.73,66.73,66.73,66.73,66.73,66.73,66.73,36.3,51.67,51.67,51.67,51.67,52.0,52.0,52.03,92.36,154.87,66.72,66.72,66.72,51.67,51.67,51.67,51.67,176.52,176.52,176.52,176.52,176.52,180.03,51.52,60.81,615.87,615.87,633.32,604.95,603.13,603.2,633.31,633.49,650.2,1398.96,2330.91,3016.77,2330.91,1395.95,51.67,51.67,263.3,287.02,55.31,34.06,34.21,35.73,33.74,19.05,10.46,25.83,25.83,25.83,25.83,25.83,25.83,51.67,30.29,35.48,35.48,51.67,35.48,20.1,20.1,20.1,20.17,20.17,20.17,20.17,18.78,20.17,20.17,10.74,51.67,51.67,51.67,51.67,51.67,51.67,51.67,2.64,9.41,35.73,51.67,51.67,51.67,51.67,51.67,51.67,41.25,41.25,41.25,41.25,41.25,41.25,41.25,27.68,51.67,39.58,39.58,39.58,30.73,39.58,51.67,51.67,51.67,50.07,51.67,51.67,51.67,51.67,51.67,51.67,198.41,198.41,198.41,198.41,198.41,198.41,198.41,66.81,529.9,529.91,545.28,545.28,545.28,545.28,545.28,1100.35,1737.34,51.67,885.81,889.67,889.76,889.49,889.28,889.28,51.67,51.67,51.67,51.67,51.67,49.98,39.71,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,45.66,51.67,46.67,44.23,44.23,44.23
45.98,45.98,45.98,45.97,39.13,41.05,39.13,22.45,14.74,14.43,51.67,51.67,51.67,51.67,51.67,88.84,91.5,38.7,38.72,38.72,38.72,38.72,38.72,37.44,-456.45,-1000.0,-805.16,-811.69,-811.69,-1000.0,-32.24,14.7,10.44,10.42,51.67,51.67,51.67,51.67,51.67,51.67,88.65,19.87,23.16,23.0,23.03,25.04,24.88,22.95,40.41,40.41,40.41,40.41,40.41,40.41,40.41,27.46,8.99,51.67,51.67,51.67,51.67,51.67,51.67,1118.77,51.67,42.53,42.56,42.53,42.53,42.53,42.6,42.53,51.67,51.45,51.67,51.64,51.67,51.67,90.72,40.85,7.91,51.67,51.67,51.67,51.67,51.67,145.19,1055.19,1033.95,1321.92,368.53,431.8,368.53,368.53,368.53,368.53,1122.47,1122.48,1123.08,1123.16,1123.16,1123.16,1123.13,1093.06,1092.88,1021.12,1021.12,982.09,982.09,982.09,991.42,992.75,1574.68,1199.26,61.65,204.15,595.71,595.71,595.71,700.96,550.07,171.91,171.91,171.91,171.91,156.54,156.6,52.48,51.67,51.67,818.59,878.81,432.73,432.73,432.73,919.55,1251.34,51.67,51.67,51.67,51.67,51.67,51.67,51.67,192.01,191.89,192.35,171.23,27.51,27.51,19.86,52.73,65.85,51.67,51.67,51.67,51.67,51.67,51.67,265.81,573.99,51.67,51.67,100.62,100.62,100.62,98.86,115.83
