0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
248.34,208.5,208.5,213.5,213.5,237.23,237.23,130.57,120.58,114.92,114.92,114.92,114.92,114.92,115.53,120.61,131.78,136.97,151.97,221.24,221.24,221.24,221.24,221.24,940.15,216.03,216.03,216.03,216.03,240.04,240.04,128.64,111.53,109.01,109.01,109.01,109.01,109.01,108.8,120.16,143.64,163.4,212.65,261.05,261.05,261.05,251.83,210.46,244.51,244.51,244.51,231.74,231.74,257.49,257.49,133.76,117.09,111.9,108.49,107.88,104.14,105.05,110.59,119.68,133.9,214.11,214.11,214.11,214.11,208.68,174.6,174.6,93.42,92.23,68.98,68.98,68.98,71.35,96.08,93.5,119.31,111.16,110.0,110.0,110.0,115.64,134.97,135.37,136.72,133.3,135.37,109.67,105.03,70.63,61.42,61.66,58.0,58.0,58.0,58.0,58.0,58.0,58.0,57.95,46.4,118.22,113.37,108.4,106.39,124.95,127.69,129.27,129.12,129.32,63.76,61.79,68.98,71.41,70.84,70.84,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,119.46,113.44,109.58,103.75,104.18,108.26,112.65,122.06,122.07,135.85,122.07,77.61,83.04,82.32,80.69,80.7,74.57,74.57,74.57,74.57,74.57,74.57,74.57,37.08,98.38,93.89,103.49,105.67,105.67,103.76,107.36,119.57,119.57,119.57,122.17,71.44,77.41,70.91,70.91,70.91
176.63,178.98,178.98,178.98,178.98,178.3,150.14,213.71,119.17,117.53,117.53,117.53,117.53,117.53,109.96,51.82,77.96,72.27,91.53,124.46,77.96,77.96,84.24,72.37,126.46,127.41,129.79,126.46,55.72,96.31,71.1,101.84,112.17,89.31,89.31,104.24,97.67,89.31,89.31,68.8,87.48,64.41,82.7,108.64,108.17,129.51,108.21,121.31,119.39,120.17,119.24,119.24,103.11,178.95,74.53,71.13,110.56,99.08,99.08,120.35,99.08,99.08,99.08,64.48,64.48,64.48,64.48,64.48,64.48,73.71,71.65,59.57,64.11,64.11,64.11,64.11,64.11,86.15,95.22,71.23,53.95,40.0,40.0,40.0,40.0,40.0,57.24,51.52,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,71.13,71.13,71.13,71.13,71.13,71.13,71.13,71.13,49.83,43.14,43.14,47.93,42.41,42.49,43.14,44.16,71.13,71.13,71.13,71.13,71.13,71.13,71.13,71.13,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.54,59.75,49.32,39.66,44.07,33.76,37.35,39.66,38.91,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,64.17,64.17,64.17,64.17,64.17,64.17,64.17,67.27,53.57,48.43,48.43,48.58,48.21,48.21,48.43,41.44,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17
45.59,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.8,45.52,45.41,45.41,45.41,45.41,45.52,45.45,45.42,36.75,55.63,65.65,65.65,65.76,55.63,55.63,58.03,58.03,58.03,57.99,58.03,58.03,58.03,57.92,47.61,34.41,34.33,34.33,31.59,34.12,34.44,34.45,34.45,52.94,130.26,151.18,151.19,151.18,115.72,112.93,74.48,68.07,81.34,103.4,103.4,81.34,81.34,114.77,116.63,104.11,103.29,102.95,100.28,100.28,100.28,102.51,104.37,105.71,139.8,184.96,198.64,172.88,154.24,171.33,126.75,131.51,129.8,140.4,137.5,140.83,140.83,121.15,119.43,119.43,119.27,119.27,119.27,117.9,119.27,119.27,119.25,140.92,218.22,218.22,218.22,218.22,166.54,147.6,310.37,281.64,386.47,346.33,365.56,406.18,406.18,140.61,116.07,102.61,102.61,102.61,102.61,102.61,102.61,108.62,114.75,119.62,267.58,271.07,271.07,271.07,88.57,187.69,205.78,178.23,178.23,178.23,178.23,187.81,198.03,120.74,116.89,108.93,108.91,108.91,108.91,108.91,108.08,109.48,109.56,143.4,237.61,290.66,290.66,278.16,127.44,126.95,100.57,100.57,100.57,100.57,100.57,100.57,103.67,119.26,119.26,116.79,116.71,112.29,107.34,107.34,109.14,115.31,119.74,115.7,245.18,257.96,257.96,257.96,174.92,84.49
490.52,234.01,260.01,255.7,260.01,244.52,156.47,126.37,96.73,54.16,46.11,32.09,32.09,46.11,96.99,119.17,129.45,140.71,188.73,287.56,287.56,287.56,287.56,287.56,1080.39,375.98,383.91,342.99,244.49,716.37,211.83,130.61,111.14,109.3,109.3,107.11,107.11,107.11,114.24,140.97,169.31,218.02,208.55,208.55,136.02,133.26,131.43,114.73,45.64,45.64,45.64,45.64,45.64,45.64,45.64,67.01,136.26,136.26,136.15,136.15,137.03,136.04,137.13,143.07,154.5,198.63,199.23,131.31,103.7,103.7,103.7,77.75,265.26,254.2,254.2,254.2,280.73,280.73,80.96,67.7,130.88,140.14,136.58,136.58,136.58,141.28,130.88,141.23,153.89,143.71,255.15,255.15,167.64,255.15,255.15,167.64,1067.98,1067.98,1067.98,1067.98,1067.98,1067.98,247.71,164.3,123.97,118.43,118.43,118.43,118.43,118.43,118.43,118.43,118.27,121.78,132.56,166.08,168.47,168.47,168.47,168.47,161.02,161.02,161.02,154.05,150.41,142.54,137.15,135.69,128.12,116.49,116.49,116.49,121.18,127.63,140.48,204.83,204.7,196.66,176.22,209.31,209.31,209.51,209.31,202.29,187.64,176.47,172.61,173.12,158.38,196.0,197.49,132.22,119.88,112.72,112.72,112.72,112.49,111.14,112.72,119.92,143.52,134.71,213.11,234.8,165.09,200.38,200.38,200.38
76.87,74.27,76.99,77.01,76.86,81.3,73.95,73.25,84.66,122.0,122.0,122.0,122.0,122.0,122.0,122.0,120.93,94.44,94.44,96.09,94.44,94.44,94.44,83.41,110.14,70.3,108.18,64.61,112.93,113.49,92.17,70.22,64.34,101.21,124.45,125.59,125.59,125.59,125.59,123.45,113.62,91.6,91.6,91.75,86.92,78.97,70.25,72.97,64.03,64.03,64.03,62.67,66.09,72.04,71.28,70.67,64.14,80.17,98.82,93.23,110.43,131.42,102.86,99.77,99.77,112.43,118.13,112.43,104.41,105.76,95.46,95.46,120.77,120.77,119.3,93.61,86.83,72.36,72.36,71.34,92.85,116.07,114.66,120.77,120.77,120.77,113.8,143.45,84.77,77.7,72.13,74.69,66.35,59.67,59.72,56.73,63.04,63.07,80.97,96.92,105.11,117.08,95.19,164.05,153.52,141.88,138.17,138.17,138.17,138.17,138.17,138.17,162.61,179.58,152.81,179.58,167.39,181.15,172.36,187.03,203.54,199.85,169.5,201.07,180.5,211.77,212.5,211.77,165.96,162.4,138.93,138.69,134.62,138.54,138.93,154.11,83.13,94.36,119.96,159.83,128.09,118.59,120.12,153.89,120.17,120.17,120.17,120.17,121.3,135.41,135.41,135.41,147.89,145.1,124.88,124.31,124.97,124.97,124.97,138.76,49.19,74.38,60.64,78.92,77.29,74.38,85.49,88.69
75.35,75.35,75.35,75.35,75.35,75.35,75.35,84.9,116.29,113.66,111.97,111.97,111.46,112.07,118.3,129.81,128.75,120.31,128.75,127.05,127.05,127.05,127.05,127.05,74.79,74.79,74.79,74.79,74.79,74.79,74.79,117.71,123.47,123.47,123.47,122.15,122.26,121.41,120.51,116.97,117.16,114.41,160.07,220.92,221.14,220.92,158.67,158.67,119.76,117.78,115.38,115.16,110.92,108.99,101.55,109.26,113.87,111.24,110.92,111.01,111.11,111.23,113.83,116.18,117.04,114.17,147.02,201.58,201.62,201.57,199.89,170.06,163.99,119.49,112.05,107.32,107.32,110.97,120.74,114.17,111.99,104.96,104.03,96.8,96.8,96.8,107.42,111.36,121.63,146.6,244.87,245.78,245.78,244.87,244.87,307.07,372.97,330.71,147.24,105.78,103.59,106.16,109.77,111.57,85.03,79.74,36.39,36.39,25.51,36.39,36.39,85.02,110.55,117.75,99.03,330.37,340.83,310.4,324.35,145.82,205.59,187.69,176.92,183.0,176.92,196.58,167.52,122.57,95.57,95.57,95.57,95.57,42.43,95.57,96.17,119.91,139.11,261.5,360.54,386.72,386.72,386.72,386.72,380.1,977.5,977.5,870.56,706.82,706.82,785.36,342.33,110.67,84.33,75.55,64.87,60.06,33.34,60.06,66.49,96.05,111.09,120.88,261.42,319.6,319.6,319.6,318.14,305.5
67.06,67.06,67.06,67.06,67.06,72.8,72.8,72.8,72.66,83.1,65.12,61.8,61.8,64.8,61.8,92.85,118.18,135.62,135.62,135.62,124.17,124.17,124.17,122.9,100.93,93.76,106.72,106.72,111.53,149.97,143.65,139.29,183.5,159.33,147.01,143.2,143.2,143.2,143.2,153.63,128.11,108.28,119.75,128.11,128.11,128.11,130.51,147.14,222.37,89.8,89.8,125.16,125.16,100.8,105.7,100.25,152.22,107.85,137.82,125.16,125.16,125.16,125.17,129.63,214.36,220.63,197.17,216.37,214.36,214.36,210.07,214.35,220.95,227.44,227.44,228.3,244.79,248.65,256.89,77.7,222.58,215.53,168.17,168.17,168.17,168.17,168.17,169.02,257.04,257.04,250.99,250.99,243.56,200.13,200.13,243.45,200.52,200.41,200.41,200.41,200.47,233.35,241.55,240.99,172.25,172.21,164.77,162.62,162.62,162.62,162.62,166.57,169.25,172.22,172.22,172.22,172.22,172.22,173.58,195.31,124.26,122.91,124.25,116.38,114.63,92.35,113.06,118.95,151.03,103.47,127.36,62.48,65.62,69.45,62.51,138.63,62.51,64.59,69.45,69.45,64.59,64.57,64.22,64.13,58.84,58.84,80.62,58.84,61.8,63.67,63.67,63.67,86.53,171.33,148.04,133.24,133.24,133.24,133.24,171.92,90.98,101.09,84.95,79.22,72.75,78.32,75.32,88.86
87.48,84.18,74.67,74.67,74.67,74.67,74.67,118.54,132.94,143.21,140.91,140.91,140.91,140.91,143.21,166.59,130.37,71.63,71.65,71.65,71.65,71.65,71.65,71.12,73.09,73.09,73.09,73.09,73.09,73.09,72.95,71.1,109.69,133.59,129.57,129.57,129.51,129.57,129.94,151.28,188.86,167.63,147.1,147.1,147.1,147.08,147.08,147.17,80.26,73.35,72.33,106.19,106.33,106.33,79.49,113.81,99.98,140.68,139.74,139.74,139.74,139.74,130.85,165.79,188.53,229.44,129.67,110.32,110.87,104.97,92.44,89.7,82.07,82.07,88.8,108.99,108.99,108.99,87.61,87.2,110.75,130.96,130.96,130.96,130.96,130.96,130.96,152.37,147.64,117.04,105.85,92.77,88.2,88.2,88.2,88.2,73.36,73.36,73.36,73.36,73.36,73.36,73.36,75.44,103.94,117.65,117.37,114.12,114.07,114.07,117.65,140.64,101.39,90.51,73.26,73.28,69.6,69.61,73.28,73.76,58.0,58.0,58.0,58.0,58.0,58.0,58.0,102.38,118.17,144.47,122.96,123.82,123.55,123.82,137.23,164.73,178.61,91.81,88.79,88.78,88.78,93.44,88.28,89.26,68.36,68.36,68.36,68.36,68.36,68.36,68.36,95.28,112.46,124.67,124.67,124.67,124.58,124.39,124.67,152.06,173.2,134.94,83.74,83.74,83.74,83.74,83.74,83.74
125.96,125.09,119.57,119.57,116.95,119.57,124.85,157.84,145.02,131.12,130.8,130.8,130.8,130.8,129.41,126.98,126.98,128.04,142.27,144.15,142.27,142.1,139.09,129.01,43.44,43.44,43.44,43.44,43.44,43.44,43.44,44.58,40.64,40.3,40.3,40.3,40.3,40.3,40.3,40.05,43.23,43.6,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,217.23,217.23,217.23,217.23,217.23,51.67,35.66,31.67,31.46,31.46,31.41,31.19,31.46,31.46,34.09,49.17,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,41.33,101.37,101.37,100.82,98.43,91.23,98.43,100.82,110.77,110.77,99.69,179.95,259.14,259.69,259.14,196.77,159.85,219.09,208.11,243.43,241.62,242.69,243.43,243.43,120.66,140.75,120.09,115.27,115.27,115.27,115.27,115.27,121.54,139.83,126.82,240.75,281.66,281.79,281.59,265.44,265.44,1662.0,374.17,306.83,307.42,246.84,341.57,341.57,131.73,119.15,118.75,111.87,111.54,111.45,111.45,111.45,111.45,117.1,130.36,167.34,167.34,167.37,167.34,114.17,104.27,105.57,95.54,95.54,95.54,95.54,95.54,95.54,93.72,113.18,134.14,123.05,121.17,119.73,119.73,119.73,116.93,133.12,123.05,106.22,106.27,106.16,106.16,106.16,105.96
75.16,75.16,75.16,75.16,75.16,75.16,75.16,46.6,47.01,71.64,56.9,56.9,56.9,68.82,108.21,128.23,167.77,114.17,113.1,134.02,134.02,134.02,131.81,131.81,74.26,74.26,74.26,74.26,74.26,74.26,74.23,140.75,117.48,111.7,111.7,111.7,111.7,111.7,117.39,155.56,181.92,181.92,214.31,157.78,157.78,157.78,157.78,157.78,84.72,84.72,84.72,84.72,84.72,84.72,84.72,145.65,94.57,70.56,70.56,69.79,70.56,102.0,106.76,129.95,141.94,147.02,244.33,262.23,262.23,262.23,262.23,262.23,910.44,910.53,838.13,910.42,218.4,298.16,222.75,109.1,55.63,52.47,52.47,36.89,52.47,55.63,100.32,111.81,129.78,135.0,153.89,241.05,211.03,211.03,181.77,171.4,109.35,96.85,96.85,96.85,95.63,93.93,90.96,80.6,103.97,102.03,102.03,94.65,70.34,102.03,102.03,112.75,107.49,104.42,118.4,118.4,119.94,98.44,84.88,78.81,72.15,72.15,72.15,72.15,72.15,72.15,63.92,55.68,33.88,91.3,113.5,113.13,112.89,112.89,119.71,153.04,152.88,128.61,73.16,97.38,97.28,82.35,82.35,82.03,74.16,74.16,74.16,74.16,74.16,74.16,74.16,46.37,116.52,111.37,113.35,113.45,113.45,113.35,116.11,123.51,152.27,119.03,119.74,96.15,103.98,103.98,103.98,103.98
