0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
22.64,22.64,22.64,22.64,22.64,22.64,22.64,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,14.62,14.62,14.62,14.62,14.62,14.62,27.48,23.6,23.6,23.6,24.0,24.9,45.91,16.18,16.18,16.18,16.18,16.18,16.18,16.18,16.18,16.18,16.18,16.18,17.98,18.17,17.98,17.98,17.98,17.98,25.02,25.02,25.02,28.82,25.02,31.53,31.27,5.89,2.03,0.66,0.66,0.66,0.66,0.66,0.94,2.13,2.38,4.56,8.61,9.19,9.24,9.24,9.24,9.7,12.15,12.19,12.19,12.19,12.11,12.19,12.14,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,11.59,11.59,11.59,11.59,11.59,11.59,11.59,12.42,12.42,12.42,12.42,12.42,12.42,12.42,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,25.09,40.59,40.59,40.59,40.64,40.59,40.59,48.19,48.19,38.19,38.19,38.19,53.54,53.54,37.65,22.5,20.81,20.81,20.81,20.81,20.81,20.81,20.81,20.81,35.77,46.07,46.07,46.07,46.07,46.07,46.07,48.83,48.83,48.83,48.83,48.83,48.83,48.83,37.91,25.49,10.71,10.71,10.71,10.71,10.71,10.71,10.71,21.49,37.96,42.17,42.17,42.17,42.17,42.17,42.17
15.01,15.01,15.01,15.01,15.01,15.01,15.01,6.11,5.33,5.33,5.33,5.33,5.33,5.33,5.33,8.04,9.56,10.29,26.46,26.58,35.38,35.38,35.38,35.38,40.2,40.2,40.2,40.2,40.2,40.2,40.84,24.07,5.64,5.64,5.64,5.64,5.64,5.64,7.99,8.74,12.12,13.56,22.27,32.02,32.12,42.68,42.17,42.17,49.47,49.47,49.47,49.47,37.66,36.3,32.69,24.52,9.28,4.65,4.65,4.65,5.59,5.89,7.19,9.95,12.51,12.61,12.61,28.8,34.83,40.59,42.2,41.52,42.03,41.83,41.83,41.83,41.83,57.89,43.62,34.3,6.06,6.06,6.06,6.06,6.06,6.23,7.27,8.28,8.34,9.41,24.91,34.37,36.72,41.06,43.07,43.27,65.94,65.94,65.94,65.94,65.94,65.94,65.94,30.5,15.1,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.43,12.19,33.33,33.33,33.33,33.33,33.33,33.33,57.51,57.51,57.51,57.51,57.51,57.51,57.51,35.56,13.07,7.37,7.37,7.37,7.37,7.37,7.72,8.66,12.12,30.88,37.57,37.45,37.57,37.57,37.57,37.57,58.07,58.07,58.07,58.07,58.07,58.07,58.07,27.72,7.77,7.77,7.77,7.77,7.77,7.77,8.47,10.63,11.61,11.61,38.09,40.98,38.09,38.09,36.93,36.72
50.8,50.8,50.8,50.8,50.8,50.8,50.8,36.52,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,32.89,34.32,34.32,34.32,34.32,34.32,34.32,64.31,64.31,64.31,64.31,71.46,78.86,192.76,33.71,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,21.17,33.84,43.19,43.19,43.33,43.19,43.19,43.19,56.19,56.25,41.48,35.93,40.07,56.25,56.25,25.6,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,27.39,35.09,35.09,35.09,35.09,35.09,35.09,46.95,46.95,46.95,46.95,46.95,46.95,46.95,43.19,19.56,19.56,19.56,19.56,19.56,19.56,19.56,19.56,19.56,37.67,49.48,49.48,49.48,49.48,49.48,49.48,221.97,221.97,221.97,221.97,221.97,221.97,222.0,40.22,10.01,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.59,6.16,22.36,22.36,22.36,22.36,22.36,22.36,40.36,40.5,40.5,40.5,40.5,40.5,40.5,40.5,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,21.99,30.28,30.28,30.28,30.28,30.28,30.28,44.67,44.67,44.67,44.67,44.67,46.73,49.29,45.03,22.62,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,11.25,11.25,11.25,11.25,11.25,11.25
21.64,21.58,21.25,21.25,21.09,21.24,21.6,21.09,21.09,21.09,21.09,21.09,21.09,21.09,21.09,21.09,21.09,29.25,34.5,34.3,34.5,34.49,34.5,34.5,31.18,31.18,31.18,31.18,31.18,31.18,28.08,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,43.6,44.83,44.83,44.83,44.83,44.83,44.83,201.88,201.88,201.88,201.88,201.88,201.88,201.88,36.32,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,33.82,45.08,45.08,45.08,45.08,45.08,45.08,201.88,201.88,201.88,201.88,201.88,201.88,217.24,23.28,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,15.44,15.44,15.44,15.47,15.44,15.44,15.44,27.94,27.94,27.94,27.94,27.94,27.94,27.94,20.76,20.76,20.76,20.76,20.76,20.76,20.76,20.76,20.76,22.34,21.57,23.06,23.06,23.06,23.06,23.06,23.06,358.23,37.21,192.09,22.96,22.96,22.96,22.96,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,21.81,24.71,26.59,26.6,26.59,26.59,26.59,49.13,49.13,49.13,49.13,49.13,49.13,49.13,45.24,17.6,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.4,39.26,39.27,39.26,39.26,39.26,39.26
217.23,217.23,217.23,217.23,217.23,217.23,201.88,202.88,27.16,15.01,15.01,15.01,15.01,15.01,15.01,15.01,186.49,186.49,189.14,186.49,186.49,186.49,186.49,186.49,55.53,55.53,55.53,55.53,55.53,55.53,54.74,41.85,14.67,6.07,6.07,6.07,6.07,6.07,6.07,7.62,54.74,54.74,54.74,54.74,54.74,54.74,54.74,54.74,72.49,72.49,72.49,72.49,72.49,72.49,57.15,57.14,24.13,7.64,7.64,7.64,7.64,7.64,7.64,9.42,45.18,57.14,57.14,57.14,57.14,57.14,57.14,57.14,67.29,67.29,67.29,67.29,67.29,67.29,59.41,53.03,35.36,24.7,24.7,24.7,24.7,24.7,24.7,33.49,51.93,51.93,51.93,51.93,51.93,51.93,51.93,51.93,63.48,63.48,63.48,63.48,63.48,48.12,48.12,39.9,6.45,6.13,6.13,6.13,6.13,6.13,6.13,27.89,48.03,48.03,48.03,48.03,48.03,48.03,48.03,48.33,63.36,63.36,62.9,56.0,50.9,43.77,52.61,8.56,6.29,6.29,6.29,6.29,6.29,6.29,6.29,26.99,46.88,62.58,63.67,47.57,46.88,46.26,45.64,45.64,59.62,59.78,59.73,59.72,68.55,65.18,65.18,45.27,7.85,7.85,7.85,7.85,7.85,7.85,7.85,24.66,47.43,63.33,61.53,57.33,47.61,58.36,35.85,30.59
23.06,23.06,23.06,23.06,23.06,23.06,23.06,20.76,20.76,20.76,20.76,20.76,20.76,20.76,20.76,20.76,21.58,24.55,44.18,44.52,44.18,44.18,44.18,44.18,60.8,60.8,60.8,60.8,60.8,54.72,60.8,35.24,10.71,6.67,6.67,6.67,6.67,6.67,6.67,6.67,8.49,24.92,42.45,42.62,42.45,42.45,42.45,42.45,70.64,70.64,70.64,70.64,70.64,70.64,70.64,42.19,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,42.85,41.17,41.15,42.85,43.23,42.85,54.63,54.63,54.63,54.63,54.63,39.4,54.77,25.71,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,9.68,9.68,42.93,43.24,42.93,42.93,42.93,42.93,61.01,61.01,61.01,61.01,61.01,61.01,61.01,37.47,20.74,20.74,20.74,20.74,20.74,20.74,20.74,20.74,20.74,37.5,45.8,45.79,45.79,45.8,45.8,45.8,201.88,201.88,201.88,201.88,201.88,201.88,217.23,49.52,20.24,8.11,8.11,8.11,8.11,8.11,8.11,8.11,23.39,44.06,44.07,44.07,44.07,44.07,44.07,44.07,207.53,207.53,207.53,207.53,207.53,207.53,207.53,29.66,18.55,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.71,21.81,37.52,37.52,37.52,36.31,37.52,37.52
60.82,59.04,59.04,59.04,59.04,60.82,645.37,32.58,19.33,16.69,16.69,16.69,16.69,16.69,16.69,21.0,37.42,47.87,47.87,45.46,45.46,47.87,47.87,47.87,44.62,44.62,44.62,44.62,44.62,44.62,57.46,36.27,17.22,17.22,17.22,17.22,17.22,17.22,17.22,32.65,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,126.86,126.86,126.86,126.86,126.86,126.86,126.62,38.21,20.55,20.55,20.55,20.55,20.55,20.55,20.55,25.18,36.35,49.87,49.87,49.87,49.87,49.87,49.87,49.87,55.95,54.87,54.87,54.87,54.87,43.72,43.72,32.87,18.85,18.85,18.85,18.85,18.85,18.85,18.85,20.6,32.49,43.72,43.72,43.72,43.72,43.72,43.72,43.72,45.97,45.97,45.97,45.97,45.97,45.97,45.97,30.51,21.17,20.96,20.96,20.96,20.96,20.96,20.96,21.81,30.69,49.63,45.98,45.98,45.98,49.63,49.63,49.63,61.98,61.98,61.98,61.98,61.98,61.98,61.98,46.6,20.44,19.33,19.33,19.33,19.33,19.33,19.33,19.33,36.34,54.88,54.88,54.88,54.88,54.88,54.88,54.88,66.48,66.48,66.48,66.48,66.48,66.48,75.58,65.86,21.81,21.81,21.81,21.81,21.81,21.81,14.66,19.32,36.27,65.86,65.86,65.86,65.86,65.86,65.86,65.86
49.18,49.18,49.18,49.18,49.18,49.18,49.18,40.22,24.73,21.93,21.93,21.93,21.93,21.93,20.59,20.95,23.3,26.89,29.07,29.4,29.12,29.07,29.4,30.46,38.54,38.54,37.0,37.0,37.0,37.0,33.43,40.93,23.73,18.68,18.35,18.14,18.14,18.14,18.59,19.71,26.98,32.95,33.13,32.94,32.94,33.11,33.11,33.11,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.96,17.09,7.59,7.4,7.4,7.4,7.4,7.4,7.89,12.54,34.75,34.87,34.87,34.87,34.87,34.87,34.87,63.91,63.91,63.91,63.91,63.91,48.55,48.55,45.47,15.86,7.05,7.05,7.05,7.05,7.05,7.05,7.92,8.98,44.74,44.74,44.74,44.74,44.74,44.74,44.74,56.61,56.61,56.61,56.61,56.61,56.61,56.61,35.28,12.88,5.37,5.29,5.29,5.29,5.29,5.55,6.9,10.22,39.65,39.68,39.68,39.68,39.68,39.65,39.65,30.68,30.68,30.68,32.36,32.36,33.59,48.92,30.6,25.61,6.12,5.93,5.93,5.93,5.93,5.93,6.81,9.46,12.71,12.71,12.71,12.71,12.71,12.71,11.03,11.64,11.64,11.64,11.64,12.93,12.93,11.64,8.79,7.37,7.46,6.49,6.49,6.49,6.49,6.49,7.22,8.48,13.4,32.53,37.23,37.23,37.23,37.01,35.9
58.39,43.97,43.97,43.97,43.97,46.16,49.87,30.8,8.49,7.68,7.68,7.68,7.68,7.68,7.68,22.58,39.89,50.33,49.58,43.99,39.89,39.89,54.97,46.05,37.19,36.88,36.88,36.88,36.88,36.88,36.88,28.09,8.52,8.52,8.52,8.52,8.52,8.52,8.52,26.27,36.19,54.95,52.02,36.19,36.19,36.19,36.19,36.19,53.51,53.51,53.51,53.51,53.51,53.51,42.86,42.86,33.73,23.35,23.35,23.35,23.35,23.35,23.35,31.99,40.15,52.26,52.26,46.36,46.63,42.37,33.02,30.54,33.21,33.21,33.21,33.21,33.21,33.21,33.21,49.48,31.61,27.27,27.27,27.27,27.27,27.27,27.27,27.27,38.56,39.34,39.34,39.34,39.34,39.34,39.34,39.34,48.36,52.56,50.67,54.85,54.88,54.92,54.92,40.75,34.95,20.61,20.59,20.59,20.59,20.59,20.59,16.2,41.79,42.55,42.55,42.55,42.55,42.55,42.55,42.55,63.97,63.97,63.97,63.53,63.97,63.97,63.97,52.4,22.77,9.39,9.39,9.39,9.39,9.39,9.39,9.39,57.16,61.55,67.28,58.1,57.16,57.16,57.16,57.16,61.31,59.88,59.88,59.25,59.88,51.94,66.4,53.26,12.6,8.65,8.65,8.65,8.65,8.65,8.65,8.65,34.01,48.71,48.7,34.06,34.01,34.01,34.01,34.01
41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.66,23.78,21.09,21.09,21.09,21.09,21.09,21.09,21.09,21.09,41.79,41.79,41.79,41.79,41.79,41.79,41.79,62.29,62.29,62.29,62.29,62.29,62.29,62.29,46.93,22.51,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,36.32,46.93,46.93,46.93,46.93,46.93,46.93,97.88,97.88,97.88,97.88,97.88,97.88,97.88,96.97,29.81,23.87,23.87,23.87,23.87,23.87,23.87,23.87,23.92,36.32,48.59,48.59,48.59,48.59,48.59,48.59,201.88,207.58,207.58,207.58,201.88,201.88,201.88,201.94,28.89,23.52,23.52,23.52,23.52,23.52,23.52,23.52,25.17,38.78,44.93,44.93,44.93,44.93,44.93,44.93,201.88,201.88,201.88,201.88,201.88,201.88,201.88,42.91,26.47,23.69,23.69,23.69,23.69,23.69,23.69,23.69,27.97,41.81,41.81,41.81,41.81,41.81,41.81,41.81,51.45,51.45,51.45,51.45,51.45,51.45,51.45,51.45,21.78,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,36.06,36.06,36.06,36.06,36.06,36.06,36.06,50.48,50.48,50.48,35.13,36.32,36.32,36.32,36.32,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,29.33,31.74,35.01,31.74,31.57,31.57,31.41
