0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
51.67,51.67,50.57,50.57,50.57,51.67,57.41,61.09,48.28,44.53,40.68,40.68,40.02,40.02,40.68,42.61,57.02,57.25,57.25,57.25,56.66,51.87,52.33,52.33,51.67,51.67,51.67,51.67,51.67,51.67,57.41,57.41,39.77,39.1,38.45,38.44,38.44,38.44,38.45,38.64,60.3,60.37,60.37,60.37,60.3,60.3,60.33,60.14,55.05,55.05,55.05,55.05,55.05,55.05,61.17,67.23,51.67,40.6,39.0,38.76,38.76,38.76,38.76,39.46,58.98,61.08,61.08,61.08,58.98,58.35,57.58,56.52,53.96,53.96,53.96,53.55,53.64,54.41,59.96,64.38,40.85,40.46,40.46,40.46,40.31,40.46,40.46,40.46,68.66,68.7,68.7,68.7,68.66,68.66,68.62,60.88,52.94,52.76,52.76,52.76,52.76,52.76,57.09,58.62,39.61,37.04,36.23,36.23,36.23,36.23,36.23,36.39,60.98,61.09,61.09,61.09,61.09,52.96,52.96,52.96,52.91,52.93,50.5,51.67,51.67,51.91,58.81,59.32,43.93,42.76,42.76,42.76,41.44,42.27,42.76,42.78,62.71,62.71,62.71,62.71,62.71,62.71,62.33,51.67,51.67,51.67,51.67,51.67,51.67,51.67,57.41,57.41,51.31,45.11,39.49,44.43,39.38,39.49,44.43,40.19,55.1,55.71,55.71,55.71,55.71,53.95,51.67,50.58
61.51,61.51,61.51,61.51,61.51,61.51,61.51,49.89,38.94,37.74,37.73,37.77,37.77,37.77,37.98,39.55,55.18,61.51,61.51,61.51,61.51,61.51,61.51,61.51,58.89,58.89,53.0,53.0,53.0,51.67,58.89,48.07,34.95,30.44,30.44,30.44,30.44,30.44,32.02,40.9,57.72,58.89,58.89,58.89,58.89,58.89,58.89,58.89,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.27,40.23,38.43,38.37,38.37,38.37,38.37,38.43,41.09,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.72,60.72,60.72,60.72,60.72,51.67,60.72,48.47,35.81,35.6,35.6,35.6,35.6,35.6,37.05,38.44,53.54,60.35,60.35,60.35,60.35,60.35,60.35,60.35,206.3,206.3,201.55,201.55,190.91,203.09,206.3,53.94,45.27,33.83,33.7,32.16,31.04,32.16,33.7,37.94,40.57,62.0,62.0,62.0,62.0,62.0,62.0,62.0,58.48,58.48,58.48,58.48,58.48,58.48,58.48,38.91,36.84,34.2,34.18,34.18,34.18,34.47,34.53,38.87,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,57.87,57.87,57.87,57.87,57.87,57.87,57.87,48.13,32.08,31.59,31.44,31.44,31.44,31.59,33.45,47.41,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87
60.01,59.84,60.04,60.04,60.04,60.03,59.9,42.66,41.47,41.47,41.47,41.47,41.47,41.47,44.84,50.45,50.45,56.07,59.88,59.91,59.9,59.9,59.89,59.89,60.18,60.18,60.18,60.18,60.18,60.18,60.18,52.41,45.24,45.24,45.24,45.24,45.24,45.24,45.24,49.83,49.52,51.67,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,217.23,217.23,217.23,217.23,217.23,51.67,36.46,33.27,33.19,33.19,33.15,33.19,33.21,34.14,35.9,51.67,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,53.2,41.47,35.91,35.15,35.15,35.15,35.15,35.15,35.19,37.7,51.41,60.35,60.87,60.87,60.87,60.35,61.05,136.23,112.42,51.74,51.85,51.93,55.24,52.5,45.52,35.7,32.06,34.53,34.53,34.53,34.53,34.53,34.93,36.13,41.93,54.89,55.44,55.46,55.44,55.44,55.44,515.07,350.32,191.16,181.91,186.37,194.86,196.02,33.55,32.16,32.09,31.72,31.7,31.7,31.7,32.58,35.01,33.6,47.41,55.33,55.53,55.61,55.61,55.52,55.89,60.31,60.28,60.2,60.2,60.2,60.2,60.2,55.02,41.46,35.72,35.03,35.56,36.21,36.21,36.21,38.98,39.94,50.66,60.21,60.24,60.23,60.23,60.23,60.21
75.31,75.31,75.31,75.31,75.31,75.31,75.31,49.81,34.41,34.41,34.41,34.41,34.3,34.41,35.68,37.95,48.22,55.17,58.54,58.54,58.54,58.54,58.54,58.54,74.75,74.75,74.75,74.75,74.75,74.75,74.75,53.69,36.84,36.84,36.84,36.88,37.95,38.12,37.73,44.58,51.67,60.08,60.09,60.09,60.09,60.09,60.09,60.09,72.83,72.83,72.83,72.83,72.69,72.67,72.69,51.76,34.27,34.12,34.34,34.34,34.34,34.58,34.72,34.74,44.01,58.98,72.66,72.8,72.82,72.82,72.8,72.95,75.16,74.79,74.97,74.6,74.6,74.6,53.23,50.91,32.42,30.47,30.47,30.47,30.47,30.47,33.59,36.4,36.41,50.78,56.44,56.45,56.45,56.44,56.44,75.88,89.28,77.93,76.06,76.06,76.06,76.05,47.53,31.05,26.47,25.56,25.56,25.56,25.56,25.56,25.56,26.46,30.99,39.45,76.03,76.15,76.25,76.15,76.1,76.1,205.23,205.23,205.23,205.23,205.23,147.2,38.99,32.85,29.15,29.15,29.15,29.15,29.15,29.15,29.15,34.42,35.51,67.15,67.29,72.84,72.84,72.84,72.84,72.84,205.9,205.9,205.71,205.69,205.7,205.7,64.53,30.91,26.49,25.32,23.66,23.45,23.66,25.12,25.12,30.29,30.98,50.8,64.07,72.47,72.47,72.47,72.51,87.94
205.83,205.83,205.83,205.83,205.83,205.83,205.67,38.83,33.63,33.33,33.33,33.33,33.33,33.33,33.33,33.66,34.35,35.19,54.81,54.9,54.9,54.9,54.9,54.83,206.02,205.87,205.87,205.87,205.87,205.87,49.15,33.84,30.72,30.31,30.31,30.31,30.31,30.31,31.09,34.7,36.48,39.5,52.78,52.79,52.79,52.79,52.78,52.71,206.13,206.13,206.13,206.13,206.13,206.13,51.78,34.67,31.64,30.77,30.28,30.19,30.59,30.59,30.58,32.06,34.69,47.76,51.67,60.6,60.61,60.6,60.57,60.57,62.23,62.49,62.42,62.42,62.15,61.93,50.99,47.91,33.21,33.21,33.21,33.21,33.21,33.21,34.72,34.78,35.0,51.67,62.67,52.39,62.84,63.05,63.15,63.5,58.06,58.0,58.0,58.0,58.0,58.0,58.0,57.95,42.03,33.35,33.35,33.35,33.35,33.35,33.53,33.8,33.35,41.11,58.17,58.18,58.19,58.19,58.19,58.19,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,32.79,32.42,31.86,32.22,31.86,33.05,33.41,37.42,38.79,47.41,64.93,65.28,65.28,65.28,65.27,65.27,74.57,74.57,74.57,74.57,74.57,74.57,74.57,51.76,31.03,30.68,30.64,30.68,30.68,31.27,32.0,34.19,45.69,53.41,60.45,60.45,60.45,62.45,62.45,62.45
66.08,66.08,66.08,66.08,66.08,66.08,59.93,51.75,43.45,36.9,37.12,37.12,37.12,37.12,37.56,38.63,40.13,49.34,59.86,59.86,59.86,59.86,59.86,59.86,77.49,77.49,77.49,77.49,77.49,77.49,55.4,46.0,32.23,31.95,31.8,31.8,31.8,31.8,37.87,39.01,44.57,47.29,58.66,58.66,58.66,58.66,58.67,58.67,196.53,196.53,196.53,196.53,196.53,196.53,196.4,45.55,37.51,36.64,36.33,36.64,39.81,43.08,44.78,45.31,49.33,52.43,52.43,52.43,52.43,52.43,52.43,52.43,164.12,164.12,164.12,164.12,164.13,163.71,35.29,34.1,34.43,34.43,34.43,34.43,34.43,34.62,34.57,36.95,48.99,104.99,162.99,162.99,162.99,162.99,163.32,163.3,60.55,60.55,60.55,60.55,60.55,60.55,49.97,31.76,31.48,31.48,31.48,31.48,31.47,31.48,31.48,35.68,46.61,60.56,60.56,60.56,60.56,60.56,60.56,60.56,60.2,60.2,60.18,60.18,60.18,60.23,60.18,45.71,37.77,37.77,37.74,37.73,37.77,39.39,39.02,43.58,48.36,51.91,56.09,60.29,60.2,60.2,70.72,70.72,68.84,67.96,67.54,63.58,59.85,59.85,55.9,45.3,39.17,34.24,34.24,31.87,35.25,35.54,36.91,38.63,43.12,56.53,56.44,56.6,56.6,56.53,56.53,55.87
82.11,82.11,82.11,82.11,82.11,82.11,82.11,51.67,34.76,34.74,34.74,34.74,34.74,34.74,34.74,35.67,38.82,66.72,66.72,66.72,66.72,66.72,66.72,66.72,191.89,191.89,191.89,191.89,191.89,180.18,51.68,40.9,29.77,29.77,29.77,29.09,29.09,29.09,29.77,29.77,46.59,89.39,110.93,126.23,110.93,89.71,59.21,59.02,280.92,287.02,55.84,50.04,50.19,51.69,49.66,34.73,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,30.55,35.8,35.8,36.54,35.8,35.8,35.8,35.8,35.86,35.86,35.86,35.86,34.45,35.86,35.86,26.28,19.82,16.86,16.86,16.86,16.86,16.86,16.86,21.2,24.93,36.01,59.16,59.16,59.16,59.16,59.16,59.16,56.62,56.62,56.62,56.62,56.62,56.62,56.62,43.05,27.9,21.93,21.93,21.93,21.52,21.93,21.93,22.49,26.6,50.14,57.41,57.41,57.41,57.41,57.41,57.41,213.78,213.78,213.78,213.78,213.78,213.78,213.78,60.65,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.36,54.97,58.99,78.07,78.17,78.19,78.15,78.12,78.12,65.47,65.47,65.47,65.47,65.47,65.47,55.32,32.17,29.46,29.46,29.46,29.46,29.46,29.46,29.46,29.52,32.37,59.79,59.9,60.16,60.04,59.8,59.79,59.78
201.85,201.85,201.85,201.85,201.85,201.85,217.24,217.23,47.41,35.8,33.73,33.73,33.73,33.73,33.73,38.39,201.85,201.85,201.85,201.85,201.85,201.85,201.85,186.46,68.25,54.71,54.71,54.71,54.71,54.71,70.09,57.41,38.33,30.71,30.4,30.4,29.94,30.47,31.31,37.34,58.19,58.19,58.19,58.19,58.19,58.19,58.19,54.71,57.1,57.1,57.1,57.1,57.1,57.1,57.11,63.43,40.78,31.3,31.3,31.3,31.26,31.29,31.3,35.47,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11,51.91,51.91,51.91,51.91,51.91,57.68,59.05,51.9,48.2,43.38,43.38,43.38,43.38,43.38,43.38,51.67,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.67,51.67,51.67,51.67,51.67,51.67,55.96,53.12,31.55,27.5,27.49,26.23,28.86,28.91,30.08,46.39,63.39,63.39,63.39,63.39,63.39,57.17,57.05,57.05,57.98,57.98,57.98,57.98,57.31,63.08,64.42,37.5,32.91,30.63,30.03,30.63,32.01,32.49,32.59,48.13,63.86,63.86,65.36,63.86,63.86,63.86,51.67,51.67,57.65,57.65,51.74,57.65,57.65,65.65,65.65,53.15,37.53,33.88,33.88,33.88,34.01,34.01,34.01,49.8,62.46,62.46,62.46,62.46,62.46,67.12,51.67,51.67
60.5,60.42,60.42,60.42,60.36,60.57,60.69,56.47,38.93,34.06,34.06,33.98,34.06,34.06,34.06,44.88,43.41,53.71,59.7,59.7,59.7,59.7,59.83,59.83,204.95,204.95,204.95,204.95,106.85,111.26,208.11,53.06,30.36,29.5,28.95,28.34,28.34,28.34,28.29,29.49,33.18,43.91,66.84,66.84,66.99,66.84,66.84,67.18,81.04,80.7,70.91,70.86,70.13,72.0,72.86,46.05,32.1,31.54,31.41,29.92,31.54,31.54,32.83,36.81,39.85,54.36,59.1,59.28,59.28,59.28,59.1,59.16,66.29,66.44,66.44,66.44,66.44,66.44,66.44,59.52,38.62,33.17,33.17,33.17,33.17,33.17,33.17,33.37,38.52,51.78,66.46,66.51,66.57,66.57,66.57,66.49,224.82,222.02,222.0,222.0,222.0,222.0,222.13,57.22,36.05,32.67,32.5,32.34,32.5,32.54,33.39,34.47,36.19,45.4,48.29,48.29,48.29,48.29,48.29,48.29,103.73,85.17,84.12,84.12,84.12,84.12,84.12,57.39,36.13,33.8,33.49,33.65,32.11,34.66,36.78,37.65,37.65,53.16,53.66,53.68,53.68,53.68,53.67,53.67,64.65,64.65,64.65,64.65,64.65,64.64,64.64,61.38,44.93,34.66,34.18,34.07,34.07,34.1,35.13,35.13,35.49,45.32,45.33,45.33,45.33,45.33,45.33,45.32
75.12,75.12,75.12,75.12,75.12,75.12,75.12,51.29,33.12,25.21,25.21,25.21,25.21,25.28,30.49,33.56,40.02,51.1,54.89,54.93,54.93,54.93,55.6,55.6,74.41,74.41,74.41,74.41,74.41,74.41,74.24,49.5,34.53,35.69,35.69,35.69,35.69,35.69,35.69,38.75,42.24,40.92,50.78,50.78,50.78,50.78,50.78,50.78,83.92,83.92,83.92,83.92,83.92,83.92,83.92,36.61,28.37,24.87,24.76,24.76,24.87,30.38,30.12,36.13,37.4,54.42,54.76,54.78,54.78,54.78,54.78,54.78,217.04,217.04,217.04,217.04,217.04,213.34,214.96,30.44,22.56,22.1,22.1,19.83,22.1,22.56,29.07,30.75,34.02,50.68,58.16,58.22,60.47,60.47,62.76,65.7,62.69,60.67,60.67,60.67,61.42,62.22,59.73,57.03,29.43,29.35,29.35,28.27,24.73,29.35,29.35,33.49,44.85,51.67,51.94,51.94,51.94,60.78,62.73,65.21,64.42,64.42,64.42,64.42,64.42,64.42,64.4,59.72,37.35,36.17,35.52,35.51,36.17,36.17,36.64,37.68,37.62,51.67,64.55,64.61,64.67,64.61,64.61,64.56,74.16,74.16,74.16,74.16,74.16,74.16,74.16,51.65,34.94,34.23,34.94,34.89,34.89,34.94,35.1,36.42,38.2,50.83,62.43,62.43,62.43,62.43,62.43,62.43
