0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
149.47,86.09,82.86,82.86,88.53,92.07,66.65,38.03,16.92,8.14,6.49,6.49,6.49,6.49,16.94,21.05,23.34,60.92,64.37,66.76,66.76,66.76,66.76,66.76,305.4,264.51,277.29,260.48,86.92,203.55,78.91,38.96,19.85,19.47,19.47,19.47,19.47,19.47,20.34,25.88,31.96,62.0,62.0,62.0,62.0,62.0,62.0,62.0,45.64,45.64,45.64,45.64,45.64,45.64,45.64,43.1,25.01,25.01,25.01,25.01,25.01,24.81,25.03,26.37,29.75,58.0,58.22,58.22,58.22,58.22,58.22,53.4,88.96,74.41,74.41,74.41,80.96,80.96,80.96,56.68,24.93,25.75,24.93,24.93,24.93,26.0,24.93,26.0,28.76,45.31,72.51,72.51,72.51,72.51,72.51,72.51,266.51,266.51,266.51,266.51,266.51,266.51,63.63,46.29,22.32,21.05,21.05,21.05,21.05,21.05,21.05,21.05,21.05,37.17,41.78,50.06,50.66,50.66,50.66,50.66,62.05,62.05,62.05,55.08,51.44,60.32,40.77,26.59,23.2,20.34,20.34,20.34,20.34,20.34,25.89,39.7,39.7,55.08,55.08,63.29,63.31,63.51,63.31,74.68,60.61,57.85,71.41,67.68,63.44,55.12,55.12,39.65,21.44,19.8,19.8,19.8,19.8,19.8,19.8,21.45,26.61,41.99,61.23,69.98,80.67,58.13,65.13,65.13
59.74,59.74,59.74,61.37,61.41,61.41,59.54,48.54,27.99,21.64,21.64,21.64,21.64,21.64,21.64,21.64,27.63,56.81,57.54,61.37,61.37,61.37,61.37,61.37,61.07,61.07,61.07,61.07,61.07,61.07,61.07,60.88,31.31,21.9,21.08,21.08,21.08,21.08,21.48,24.23,35.94,61.07,61.07,61.07,61.07,61.07,61.07,61.07,69.32,69.32,68.25,68.25,68.25,68.25,68.36,57.44,33.06,28.65,24.25,23.53,23.53,23.53,24.99,30.23,36.42,58.56,58.56,58.56,58.56,58.56,58.56,58.56,62.98,56.68,56.68,56.68,62.98,62.98,62.98,43.6,28.23,21.7,20.95,20.95,20.95,20.95,20.95,27.08,33.51,61.81,61.81,61.81,61.81,61.81,61.81,61.81,58.01,58.01,58.01,58.01,57.99,58.01,58.0,57.88,30.97,21.64,19.67,19.67,19.67,19.67,19.67,20.87,26.1,51.71,57.88,57.88,57.88,57.88,57.88,57.88,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.33,31.39,21.37,20.7,20.7,20.7,20.7,20.7,23.15,31.04,60.33,60.33,60.33,60.33,60.33,60.33,60.33,63.38,63.38,63.38,63.38,63.38,63.38,63.38,61.38,32.86,25.76,25.62,25.62,25.62,25.62,25.75,31.17,41.54,59.58,59.58,59.42,59.42,59.42,59.6,59.61
38.46,38.22,38.22,38.22,42.47,42.47,42.47,42.47,41.73,38.22,38.22,38.22,38.22,38.22,38.22,38.25,38.25,44.85,49.2,49.2,49.2,49.2,49.2,49.2,43.44,43.44,43.44,43.44,43.44,43.44,43.44,43.35,39.88,24.17,24.17,24.17,24.17,24.17,24.17,24.17,42.74,43.35,60.18,60.18,60.18,60.18,60.18,60.18,217.23,217.23,217.23,217.23,217.23,217.23,217.23,38.96,20.19,16.06,15.84,15.84,15.84,15.84,15.84,15.84,34.01,49.17,60.44,60.44,60.44,60.44,60.44,60.44,217.24,217.24,217.24,217.24,217.24,217.24,217.24,38.6,17.72,17.22,16.84,16.84,16.84,16.84,16.84,19.06,34.88,34.59,56.81,56.81,56.81,56.81,56.81,47.95,65.73,63.02,61.98,61.67,61.89,62.46,62.78,37.63,25.89,20.95,19.8,19.8,19.8,19.8,19.8,21.25,25.66,44.22,61.33,61.33,61.33,61.33,61.33,61.33,572.7,95.85,241.71,84.91,72.43,80.48,80.48,39.45,21.32,21.25,19.56,19.56,19.56,19.56,19.56,19.81,36.33,39.06,49.76,49.76,49.76,49.76,49.76,49.76,58.51,56.46,58.46,58.46,58.46,56.46,56.46,56.02,29.95,36.09,36.09,36.09,36.09,36.09,36.09,36.09,48.1,46.02,62.76,62.76,62.76,62.76,62.76,62.76
52.57,52.57,52.57,52.57,52.57,52.57,52.57,56.53,33.56,33.56,33.56,33.56,33.56,33.56,33.56,33.56,34.78,38.77,72.22,72.22,72.22,72.22,72.22,72.22,71.56,67.7,71.56,71.56,175.53,174.52,208.11,37.59,21.51,18.77,18.77,18.77,18.77,18.77,18.77,18.77,36.71,42.68,76.47,76.47,76.61,76.47,76.47,76.47,72.75,71.9,71.9,58.64,54.3,79.89,79.89,54.74,18.74,18.22,17.71,17.78,17.78,17.78,17.78,17.78,46.02,44.85,53.48,53.48,53.48,53.48,53.48,53.48,67.69,61.33,61.33,61.33,75.21,71.9,61.33,58.25,17.98,17.98,17.98,17.98,17.98,17.98,17.91,19.28,24.6,47.28,69.72,69.72,69.72,69.72,69.72,69.72,228.35,222.14,222.14,222.14,227.37,227.37,222.26,66.31,55.63,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,55.37,68.02,68.02,68.02,68.02,68.02,68.02,62.16,64.64,58.18,64.64,64.64,64.64,64.64,59.13,40.59,24.79,24.79,24.79,24.79,24.79,27.52,28.64,28.64,62.22,69.96,69.96,69.96,69.96,69.96,69.96,60.06,60.06,60.06,60.06,60.06,62.15,64.68,61.39,32.11,22.79,28.69,28.69,28.69,28.69,28.69,21.33,41.54,75.73,75.83,75.83,75.83,75.83,75.83,75.83
75.31,75.31,75.31,75.31,75.31,75.31,75.31,47.53,35.44,34.79,34.38,34.38,34.38,34.38,35.59,38.26,38.58,37.17,41.15,61.95,61.95,61.95,61.95,61.95,74.75,74.75,74.75,74.75,74.75,74.75,90.64,57.16,36.64,36.64,36.64,36.33,36.33,36.33,36.33,40.71,40.71,36.64,48.85,48.85,48.85,48.85,48.85,48.85,41.43,40.95,40.37,40.31,39.25,38.79,36.97,35.01,19.45,18.85,18.85,18.85,18.85,18.85,19.44,19.97,20.94,35.59,45.84,84.43,84.46,84.44,84.25,78.85,39.28,39.28,39.28,38.11,39.28,39.28,37.17,35.59,19.45,18.62,18.39,18.39,18.39,18.39,18.39,19.5,21.79,42.59,67.97,68.06,71.45,71.45,71.45,71.45,92.18,92.18,54.5,45.07,44.53,45.27,36.07,35.06,14.45,13.4,2.69,2.69,2.69,2.69,2.69,14.47,19.45,36.33,35.59,84.69,84.69,89.76,84.69,80.33,56.81,56.81,55.31,56.81,55.31,56.81,46.8,37.31,16.59,16.59,16.59,16.59,16.59,16.59,16.79,21.26,25.55,65.74,77.94,77.94,77.94,77.94,77.94,77.94,302.37,302.37,279.11,238.98,186.23,205.64,83.28,34.88,14.31,12.5,10.32,10.32,10.32,10.32,10.32,16.21,19.59,36.97,71.7,71.7,71.7,71.7,71.7,71.7
217.23,217.23,217.23,217.23,217.23,217.23,217.24,217.23,33.04,21.58,20.9,20.9,20.9,20.9,20.9,24.82,201.85,201.85,201.85,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,59.35,27.13,20.2,19.85,19.85,19.85,19.85,22.26,27.99,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,72.49,72.49,72.49,72.49,72.49,72.49,72.5,72.49,25.95,20.0,20.0,20.0,20.0,20.0,20.0,26.56,66.76,72.49,72.49,72.49,72.49,72.49,72.49,72.49,67.29,67.29,67.29,67.29,67.29,73.54,74.77,67.29,35.37,27.81,26.17,26.17,26.17,26.17,30.0,37.72,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.48,63.48,63.48,63.48,63.48,63.48,63.48,42.71,20.21,15.5,15.5,15.5,15.5,15.5,19.03,32.6,63.39,63.39,63.39,63.39,63.39,57.05,57.05,57.05,63.36,63.36,63.03,59.18,61.23,65.5,60.17,30.31,22.64,20.37,20.37,20.37,20.37,20.37,23.08,35.69,69.43,77.95,81.72,70.13,70.4,70.05,68.15,68.15,71.72,71.62,71.65,71.65,75.78,81.35,81.35,55.18,28.85,24.4,24.4,24.4,24.4,26.04,26.04,36.46,58.62,74.52,76.85,70.45,70.48,68.97,63.43,60.57
75.12,75.12,75.12,75.12,75.12,75.12,75.12,45.72,17.32,11.79,11.15,11.15,11.15,11.15,19.15,23.27,31.33,35.59,45.25,54.93,54.93,54.93,54.93,54.93,74.23,74.23,74.23,74.23,74.23,74.23,74.23,54.44,35.73,18.89,18.89,18.89,18.89,18.89,20.34,28.9,34.39,49.84,58.0,58.0,58.0,58.0,58.0,58.0,83.95,83.95,83.95,83.95,83.95,83.95,83.95,39.32,31.86,26.91,26.91,26.91,26.91,26.91,26.91,26.91,41.28,42.32,66.09,66.09,66.09,66.09,66.09,66.09,236.58,236.61,218.72,504.07,217.43,227.96,201.76,34.72,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,38.79,39.86,43.68,63.68,63.68,63.68,63.68,63.68,66.88,64.28,67.76,68.36,68.14,69.72,67.21,58.2,33.8,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,33.87,37.17,46.82,55.33,62.65,62.65,62.65,64.81,64.81,64.81,64.81,64.81,64.81,63.78,55.11,19.25,19.25,19.25,19.25,19.25,19.25,20.7,28.29,43.64,38.79,45.61,65.5,65.5,65.5,65.5,65.43,74.16,74.16,74.16,74.16,74.16,74.16,74.16,45.49,35.32,34.23,34.58,34.58,34.58,34.58,34.58,36.69,40.7,36.63,44.53,58.25,58.25,58.25,58.25,58.25
60.82,59.04,59.04,59.04,59.04,60.82,655.82,47.92,21.58,19.91,19.91,19.91,19.91,19.91,21.21,23.9,52.77,60.82,60.82,60.82,60.82,60.82,60.82,60.82,59.98,59.98,59.98,59.98,59.98,59.98,59.98,38.79,23.05,23.05,22.9,22.9,22.9,22.9,23.11,33.38,59.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98,138.47,138.47,138.47,139.2,145.92,146.4,146.4,55.74,23.41,23.41,23.41,23.41,23.41,23.41,24.01,26.68,51.67,65.22,65.22,65.22,65.22,65.22,65.22,59.55,59.08,56.24,56.24,59.08,59.08,59.08,57.37,37.09,22.27,22.27,22.27,22.27,22.27,22.27,22.27,23.37,47.83,59.08,59.08,59.08,59.08,59.08,59.08,59.08,61.32,61.32,61.32,61.32,61.32,61.32,61.32,45.86,22.15,21.81,21.81,21.81,21.81,21.81,21.81,21.74,45.91,61.32,61.33,61.33,61.33,61.33,61.33,61.33,77.34,77.34,77.34,77.34,77.34,77.34,77.34,46.57,21.94,19.12,19.12,19.12,19.12,19.12,19.12,19.3,51.66,70.13,70.13,70.13,70.13,70.13,70.13,70.13,81.57,81.57,81.57,81.57,81.57,81.84,82.2,81.21,23.83,16.66,0.0,15.85,15.85,15.85,16.42,19.26,51.63,81.21,81.21,81.21,81.21,81.21,81.21,81.21
59.83,59.83,59.83,59.83,59.83,59.83,59.83,46.72,26.26,25.98,25.98,25.98,25.98,25.98,25.98,30.3,46.72,59.83,59.83,59.83,59.83,59.83,59.83,59.83,64.51,64.51,64.51,64.51,64.51,64.51,64.51,58.22,30.13,27.11,26.87,26.87,26.87,26.87,26.87,34.32,54.51,69.9,69.9,69.9,69.9,69.9,69.9,69.9,201.84,201.84,201.84,201.84,201.84,205.23,217.23,186.46,34.34,25.26,25.26,25.26,25.26,25.26,25.26,29.94,50.96,68.4,75.29,66.34,66.34,66.34,66.34,73.15,52.1,52.1,52.1,52.1,52.1,52.1,56.36,38.59,29.64,28.53,23.08,23.08,23.08,23.08,23.08,28.83,38.74,55.67,51.67,51.67,51.67,51.67,51.67,50.81,52.31,52.31,52.31,52.31,54.15,54.15,54.15,46.38,30.32,25.34,25.34,25.34,25.34,25.34,25.34,28.11,44.45,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.77,58.0,58.0,58.0,59.77,59.77,59.77,46.76,30.97,25.86,26.63,26.63,26.63,26.63,27.02,29.45,46.57,60.49,60.49,60.44,60.44,59.14,60.44,59.77,63.23,63.23,63.23,63.23,63.23,63.23,63.23,51.58,29.44,23.41,21.7,21.7,21.7,21.7,24.52,36.62,49.11,65.83,65.83,63.06,63.06,61.71,63.23,56.9
57.15,57.15,57.15,57.15,57.15,57.15,57.15,56.97,28.49,21.26,21.05,21.05,21.05,21.05,21.05,21.32,44.18,57.15,57.15,57.15,57.15,57.15,57.15,57.15,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,43.61,20.59,20.59,20.59,20.59,20.59,20.59,21.26,42.46,51.67,62.29,62.29,62.29,62.29,62.29,62.29,113.23,113.23,113.23,113.23,113.23,113.23,113.23,112.14,29.66,21.8,21.8,21.79,21.79,21.79,21.79,21.79,26.74,51.67,63.94,63.94,63.94,63.94,63.94,63.94,217.24,217.24,217.24,217.24,217.24,217.24,217.24,217.21,28.62,23.39,23.39,23.39,23.39,23.39,23.39,23.39,40.41,54.14,60.29,60.29,60.29,60.29,60.29,60.29,217.23,217.23,217.23,217.23,217.23,217.23,217.23,57.16,26.23,23.48,23.48,23.48,23.48,23.48,23.48,23.48,27.8,57.16,57.16,57.16,57.16,57.16,57.16,57.16,66.8,62.65,62.65,62.65,66.8,66.8,66.8,66.8,36.01,36.01,36.01,36.01,36.01,36.01,36.01,36.01,42.22,47.82,51.42,51.42,51.42,51.42,51.42,51.42,51.67,50.48,50.48,50.48,51.67,51.67,51.67,51.67,46.99,46.5,46.5,46.5,46.5,46.5,46.5,46.5,51.67,55.92,51.67,51.67,51.67,51.67,51.67,51.67
