0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
42.74,23.83,23.83,23.83,23.83,26.48,49.58,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.46,38.2,49.58,48.47,42.66,38.2,38.2,38.2,38.1,20.19,27.47,19.07,19.07,19.07,19.88,30.52,21.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,32.2,54.18,50.53,32.2,32.2,22.4,20.75,28.98,36.15,36.15,36.15,36.15,37.24,40.16,40.16,40.16,29.87,19.49,19.49,19.49,19.31,19.49,19.49,30.52,39.19,51.31,51.31,45.4,39.19,38.54,22.59,23.78,26.41,26.41,26.41,26.41,26.41,29.34,29.34,46.0,23.47,19.88,19.88,19.88,15.75,12.32,19.88,22.57,36.86,37.94,37.94,37.94,37.94,37.13,36.86,34.85,30.72,36.49,34.66,39.1,39.1,39.1,39.1,39.1,32.68,18.46,18.46,18.46,17.76,17.37,18.46,11.79,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,46.76,46.75,46.64,45.92,46.65,46.76,46.76,46.76,13.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.53,58.55,65.18,53.82,52.53,52.53,52.53,52.53,41.99,40.48,40.48,39.77,40.48,27.92,44.4,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,44.4,44.4,29.0,29.0,29.0,29.0,29.0
43.78,43.78,43.78,43.78,43.78,43.78,43.78,36.29,19.13,12.0,12.0,8.33,9.26,12.0,12.0,20.17,37.86,43.78,43.78,43.78,43.78,43.78,43.78,43.78,42.6,42.6,42.6,42.6,42.6,42.6,57.98,36.24,21.72,9.17,9.17,9.06,9.1,9.17,9.17,18.88,35.17,42.6,42.6,42.6,42.6,42.6,42.6,42.6,44.8,44.8,44.8,44.8,44.8,44.8,44.8,37.25,23.61,0.0,8.58,3.16,1.21,8.58,8.58,11.71,23.73,44.8,44.8,44.8,44.8,44.8,44.8,44.8,43.78,43.78,43.78,43.78,43.78,43.78,43.6,24.43,12.92,2.27,2.27,0.0,2.27,2.27,2.27,14.36,32.83,43.78,43.78,43.78,43.78,43.78,43.78,43.78,43.25,43.25,43.25,43.25,43.25,43.25,43.25,36.29,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.46,43.25,43.25,43.25,43.25,43.25,43.25,43.25,43.09,43.09,43.09,43.09,43.09,43.09,43.09,36.24,32.32,18.58,18.58,14.94,16.83,18.58,18.58,21.16,36.44,43.09,43.09,43.09,43.09,43.09,43.09,43.09,43.81,43.81,43.81,43.81,43.81,43.81,59.19,39.47,21.49,16.44,16.44,16.44,16.11,16.44,16.44,18.67,37.87,43.81,43.81,43.81,43.81,43.81,43.81,43.81
46.13,46.13,46.13,46.13,46.13,46.13,46.13,34.47,18.5,16.79,16.79,16.79,16.79,16.79,16.79,19.23,39.8,46.13,46.13,46.13,46.13,46.13,46.13,46.13,43.51,43.51,43.51,43.51,43.51,43.51,43.51,24.62,5.6,0.0,0.0,0.0,0.0,0.0,0.0,17.19,42.24,43.51,43.51,43.51,43.51,43.51,43.51,43.51,45.24,45.24,45.24,45.24,45.24,45.24,45.24,44.84,19.31,15.95,15.95,15.95,15.89,15.95,15.95,19.23,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.33,45.33,45.33,45.33,45.33,45.33,45.33,31.98,19.0,18.46,18.46,18.46,18.46,18.46,18.46,19.61,37.51,44.96,44.96,44.96,44.96,44.96,44.96,44.96,190.91,190.91,190.91,190.91,190.91,190.91,190.91,52.6,20.26,15.84,15.84,15.06,13.84,15.84,15.84,18.87,24.27,42.62,42.62,42.62,42.62,42.62,42.62,42.62,43.09,43.09,43.09,43.09,43.09,43.09,43.41,21.76,19.23,17.76,17.76,17.76,17.76,17.76,17.76,23.21,43.09,43.09,43.09,43.09,43.09,43.09,43.09,43.09,42.49,42.49,42.49,42.49,42.49,42.49,42.49,31.87,5.61,5.61,5.61,4.46,4.46,5.61,4.62,30.95,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49
30.18,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,30.18,30.18,30.18,30.18,30.18,30.18,30.18,30.18,21.36,40.24,40.24,40.24,39.97,40.24,40.24,42.61,42.61,42.61,42.61,42.61,42.61,42.61,42.61,32.43,19.22,19.13,19.13,16.28,18.81,19.13,19.13,19.13,19.13,21.71,21.71,21.71,21.71,21.71,21.71,41.59,41.59,41.59,26.46,26.46,41.59,41.59,21.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.19,21.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.45,20.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,23.97,28.72,29.04,29.04,29.04,29.04,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,25.56,25.25,25.25,25.25,25.25,25.25,25.25,24.86,28.05,28.31,44.8,44.8,44.8,44.8,44.8,44.8,201.85,201.85,201.85,201.85,201.85,201.85,201.85,36.29,20.3,16.38,16.18,16.18,16.12,15.9,16.18,16.18,18.74,33.79,45.05,45.05,45.05,45.05,45.05,45.05,201.85,201.85,201.85,201.85,201.85,201.85,201.85,23.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.03,0.0,169.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,19.2,19.2,19.2,19.2,31.02,31.02,31.02,31.02,31.02,31.02,31.02,31.02,12.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17,36.2,36.2,36.2,36.2,36.2
60.82,43.65,43.65,43.65,43.65,45.43,662.56,32.67,18.46,14.97,14.97,14.97,9.65,14.97,14.97,19.88,52.26,52.26,52.26,52.26,52.26,52.26,52.26,52.26,59.98,59.98,59.98,59.98,59.98,59.98,59.98,36.24,14.99,14.99,14.99,14.81,13.04,14.99,14.99,32.34,59.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98,131.02,131.02,131.02,135.87,140.33,140.33,140.33,39.87,19.31,19.23,19.23,18.58,18.34,19.23,19.23,24.57,49.84,49.84,49.84,49.84,49.84,49.84,49.84,49.84,43.69,40.86,40.86,42.79,43.69,43.69,43.69,32.77,17.54,17.54,17.54,17.54,17.54,17.54,17.54,19.53,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,45.94,45.94,45.94,45.94,45.94,45.94,45.94,30.48,20.77,20.61,20.61,20.43,20.61,20.61,20.61,21.79,46.1,60.42,60.42,60.42,60.42,60.42,60.42,60.42,77.34,77.34,77.34,77.34,77.34,77.34,77.34,47.73,19.84,19.13,19.13,19.13,19.13,19.13,19.13,19.3,42.33,56.44,56.44,56.44,56.44,56.44,56.44,56.44,81.57,81.57,81.57,81.57,81.57,81.57,81.57,65.83,20.17,13.97,13.97,12.86,12.04,13.97,13.97,19.31,36.24,65.83,65.83,65.83,65.83,65.83,65.83,65.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.71,43.34,43.34,43.34,43.34,43.34,45.46,45.46,45.46,45.46,45.46,45.46,45.46,35.33,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17,39.73,40.48,40.48,40.48,40.48,40.48,55.39,55.39,55.39,55.39,55.39,55.39,55.39,40.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.58,37.61,37.58,37.58,40.65,40.65,39.37,39.37,39.37,39.37,39.37,39.37,39.37,25.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.36,39.37,39.37,39.37,39.37,39.37,46.01,46.01,46.01,46.01,46.01,46.01,46.01,37.53,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,45.83,46.01,46.01,46.01,46.01,46.01,201.85,201.85,201.85,201.85,201.85,201.85,201.85,49.51,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.46,44.31,44.31,44.31,44.31,44.31,44.31,44.31,201.28,201.28,201.28,201.28,201.28,201.28,201.28,36.31,18.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,36.31,36.31,36.31,36.31,36.31,36.31
40.75,40.75,40.75,40.75,40.75,40.75,40.75,34.09,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,16.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88,29.56,34.16,34.16,35.1,35.1,39.75,39.75,39.75,39.75,39.75,39.75,39.75,28.58,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58,31.24,37.92,41.24,41.24,41.24,36.94,36.94,36.94,36.94,36.94,36.94,36.94,36.94,18.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76,36.94,39.65,39.65,39.65,39.65,39.65,41.76,41.76,41.76,41.76,41.76,41.76,42.73,36.29,20.7,8.65,8.65,8.65,8.51,8.65,8.65,8.65,16.77,32.08,36.25,36.29,36.29,36.29,36.29,36.29,36.81,36.81,36.81,36.81,36.81,36.81,36.81,24.44,12.38,1.71,1.71,0.54,1.29,0.0,1.71,1.71,16.97,28.71,28.71,28.71,28.71,28.71,28.71,28.71,51.41,51.41,51.41,51.41,51.41,51.41,51.41,30.39,18.46,10.4,10.4,10.4,10.04,10.4,10.4,17.02,33.99,34.7,34.7,34.7,34.7,34.7,34.7,34.7
41.76,41.76,41.76,41.76,41.76,41.76,41.76,41.66,21.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.76,41.76,41.76,41.76,41.76,41.76,41.76,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,20.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.55,36.29,46.9,46.9,46.9,46.9,46.9,46.9,97.85,97.85,97.85,97.85,97.85,97.85,97.85,96.86,29.83,10.79,10.79,4.43,10.79,10.79,10.79,10.79,22.83,36.29,48.56,63.94,63.94,63.94,63.94,63.94,217.24,217.24,217.24,217.24,217.24,217.24,217.24,217.24,40.14,23.53,23.53,23.53,23.53,23.53,23.53,23.53,25.18,42.33,53.52,53.52,53.52,53.52,53.52,53.52,202.12,202.12,202.12,202.12,202.12,202.12,202.12,45.78,26.52,23.73,23.73,23.73,23.73,23.73,23.73,23.73,28.0,41.78,41.78,41.78,41.78,41.78,41.78,41.78,51.42,47.26,47.26,47.26,51.42,51.42,51.42,51.42,19.99,15.17,15.17,15.17,15.17,15.17,15.17,15.17,16.1,32.43,36.03,36.03,36.03,36.03,36.03,36.03,36.29,35.1,35.1,35.1,36.29,36.29,36.29,36.29,13.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42,27.78,30.5,30.5,30.5,30.5,30.5
201.85,201.85,201.85,201.85,201.85,201.85,201.85,202.17,24.93,11.33,11.33,11.33,11.33,11.33,11.33,11.33,186.46,186.46,186.46,186.46,186.46,186.46,186.46,186.46,54.71,54.71,54.71,54.71,54.71,54.71,54.71,41.03,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.71,54.71,54.71,54.71,54.71,54.71,54.71,54.71,57.12,57.12,57.12,57.12,57.12,57.12,57.12,57.12,23.42,2.99,2.99,2.99,0.25,2.39,2.99,2.99,42.83,57.11,57.11,57.11,57.11,57.11,57.11,57.11,63.65,63.65,63.65,63.65,63.65,63.65,63.65,63.65,35.32,22.68,22.68,22.68,22.68,22.68,22.68,31.87,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,48.09,48.09,48.09,48.09,48.09,48.09,48.09,38.82,1.29,1.29,1.29,0.0,1.29,1.29,1.29,26.09,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,52.14,47.97,47.47,39.43,31.67,41.37,52.14,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,43.81,62.54,62.64,44.5,43.81,42.84,38.0,38.0,39.72,39.98,39.9,39.9,50.47,64.84,64.84,41.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,44.79,60.69,63.02,56.62,44.79,44.5,27.25,22.11
