0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
46.18,46.18,46.18,46.18,46.18,46.18,46.18,46.18,46.18,35.85,26.09,26.09,22.91,26.09,26.09,28.14,44.84,46.18,46.18,46.18,46.18,46.18,46.18,46.18,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,34.71,22.63,22.05,22.39,22.43,23.61,26.53,49.72,53.1,53.1,53.1,53.1,53.09,53.1,53.1,46.09,46.09,46.09,46.09,46.09,46.09,46.09,46.09,38.11,30.19,24.0,24.0,24.0,24.0,25.18,30.31,46.09,46.09,46.09,46.09,46.09,46.09,46.09,46.09,53.54,53.54,53.54,53.54,53.54,53.54,53.54,53.54,47.25,30.07,26.02,26.02,26.02,26.02,26.02,28.18,28.18,51.77,51.75,51.75,51.75,51.75,51.75,51.77,57.22,57.22,57.22,57.22,57.22,57.22,57.22,57.22,56.16,57.22,24.73,22.83,22.83,22.83,22.83,22.83,32.69,57.22,57.22,57.22,57.22,57.22,57.22,54.6,36.32,36.32,36.32,36.32,36.32,36.32,36.32,36.32,36.32,27.38,18.38,17.78,17.27,17.89,17.89,18.38,17.58,36.32,36.32,36.32,36.32,36.32,36.32,26.31,24.2,24.2,24.1,24.19,24.19,31.24,30.63,38.75,48.32,38.75,21.99,21.99,21.99,21.99,21.99,28.49,38.75,48.18,48.32,48.32,48.32,48.32,48.32,48.32
44.14,44.14,44.14,44.14,44.14,44.14,44.14,44.14,21.91,0.02,0.02,0.0,0.0,0.0,2.84,26.82,20.57,39.27,44.14,44.14,44.14,44.14,44.14,44.14,50.42,50.42,50.42,50.42,50.42,50.42,50.42,36.29,21.92,-0.0,0.0,0.0,0.0,-0.0,-0.0,4.05,29.33,36.29,50.42,50.42,50.42,50.42,50.42,50.42,46.25,46.25,50.84,52.39,52.39,52.39,52.41,37.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,23.5,41.53,41.53,41.53,41.53,41.53,41.53,41.53,51.66,54.54,54.54,54.54,54.54,54.54,54.54,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.23,36.29,45.29,45.29,45.29,45.29,45.29,45.29,43.11,43.11,43.11,43.11,43.11,43.11,43.11,36.29,16.29,18.65,0.0,0.0,0.0,0.0,-0.0,13.74,18.65,33.54,43.11,43.11,43.11,43.11,43.11,43.11,45.62,45.62,45.62,45.62,45.62,45.62,45.62,26.79,0.0,0.0,0.0,0.0,0.0,0.0,1.03,31.28,25.68,40.85,40.85,40.85,40.85,40.85,40.85,40.85,47.35,47.35,47.35,47.35,47.35,47.35,47.35,36.29,12.28,0.0,0.0,0.0,0.0,0.0,27.09,45.32,27.23,43.23,43.23,43.23,43.23,43.23,43.23,43.23
39.68,39.85,39.85,39.85,39.85,39.85,39.85,39.85,0.0,3.62,3.61,3.61,3.61,3.61,3.51,0.0,0.0,39.68,41.63,41.24,41.24,41.63,41.63,41.63,42.61,42.61,42.61,42.61,42.61,42.61,42.61,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.59,36.35,42.61,24.72,24.72,36.35,36.35,49.64,49.64,45.49,36.33,36.33,48.19,45.49,22.8,22.8,49.34,49.64,49.64,49.64,49.64,49.64,49.64,49.64,32.2,32.2,43.85,49.64,49.64,49.64,32.21,50.59,34.31,32.96,31.31,31.33,32.64,31.78,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.96,27.98,31.31,32.69,32.69,32.69,32.69,32.69,32.69,176.37,162.41,43.62,86.51,43.62,162.41,162.41,19.01,18.23,13.82,13.82,13.82,13.82,13.82,13.82,17.39,16.52,24.83,43.67,44.53,44.53,44.53,107.52,44.53,190.02,190.02,190.02,190.02,190.02,190.02,190.02,18.34,32.39,31.03,30.0,30.0,31.03,32.13,37.97,15.21,15.58,20.53,36.32,45.28,45.28,45.27,45.26,45.26,97.2,97.2,97.2,97.2,97.2,97.2,97.2,22.41,16.24,0.0,0.0,0.0,0.0,0.0,0.0,22.38,17.18,36.31,44.01,44.02,44.02,44.02,44.02,44.01
44.36,44.04,44.36,44.36,44.36,44.36,44.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.52,44.36,44.35,44.36,44.36,44.36,44.34,44.8,44.8,44.8,44.8,44.8,44.8,44.8,17.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26,44.8,44.8,44.8,44.8,44.8,44.8,201.85,201.85,201.85,201.85,201.85,201.85,201.85,36.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29,45.05,45.05,45.05,45.05,45.05,45.05,201.85,201.85,201.85,201.85,201.85,201.85,201.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,44.93,44.29,44.25,44.29,44.92,44.03,120.84,96.96,32.72,35.97,36.07,39.54,36.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.38,39.32,39.4,39.54,39.49,39.53,39.54,40.01,326.63,17.59,0.0,9.0,25.13,40.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.86,39.82,40.01,40.02,40.01,40.01,39.57,44.74,44.74,44.74,44.74,44.74,44.74,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.12,44.74,44.66,44.7,44.7,44.7,44.74
66.72,66.72,66.72,66.72,66.72,66.72,66.72,36.29,19.79,19.74,19.74,19.74,19.75,19.75,19.75,21.57,26.07,51.34,51.34,51.34,51.34,51.34,51.34,51.34,176.51,176.51,176.51,176.51,176.51,164.66,36.15,26.11,27.87,27.87,27.92,26.62,26.56,26.56,27.92,27.93,44.71,103.47,146.24,176.51,146.24,104.04,43.36,42.97,263.49,271.64,39.97,34.1,34.25,35.77,33.77,19.07,10.47,10.47,10.47,10.47,10.47,10.47,10.47,11.05,14.93,20.12,20.12,21.55,20.12,20.12,20.12,20.12,20.18,20.18,20.18,20.18,18.79,20.18,20.18,10.74,5.4,2.11,2.11,2.11,2.11,2.11,2.11,0.0,9.41,20.37,43.78,43.78,43.78,43.78,43.78,43.78,41.24,41.24,41.24,41.24,41.24,41.24,41.24,27.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.96,34.69,42.02,42.02,42.02,42.02,42.02,42.02,198.4,198.4,198.4,198.4,198.4,198.4,198.4,45.76,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,48.94,77.76,43.69,81.35,81.53,81.53,81.52,81.51,81.51,49.98,49.98,49.98,49.98,49.98,49.98,39.72,17.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.18,44.26,44.31,44.59,44.36,44.24,44.24,44.23
46.13,46.13,46.13,46.13,46.13,46.13,46.13,34.89,36.64,34.68,34.66,34.83,34.83,34.83,35.16,37.57,39.8,46.13,46.13,46.13,46.13,46.13,46.13,46.13,43.51,43.51,43.51,43.51,43.51,43.51,43.51,43.51,34.71,28.04,28.04,28.04,28.04,28.04,31.32,43.51,43.51,43.51,43.51,43.51,43.51,43.51,43.51,43.51,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.13,45.13,45.13,45.13,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.33,45.33,45.33,45.33,45.33,45.33,45.33,45.33,40.28,39.74,39.74,39.74,39.74,39.74,42.61,45.33,45.33,45.33,45.12,45.12,45.12,45.12,45.12,45.12,190.91,190.91,190.91,190.91,190.91,190.91,190.91,58.53,51.02,29.43,28.57,26.19,24.46,26.19,28.57,44.29,25.76,62.0,62.0,62.0,62.0,46.62,46.62,46.62,43.09,43.09,43.09,43.09,43.09,43.09,43.09,43.09,42.19,29.3,29.37,29.37,29.37,29.82,29.92,36.6,43.09,43.09,43.09,43.09,43.09,43.09,43.09,43.09,42.49,42.49,42.49,42.49,42.49,42.49,42.49,32.73,25.91,25.2,24.98,24.93,24.93,25.23,27.96,32.46,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49
201.85,201.85,201.85,201.85,201.85,201.85,201.85,201.85,55.05,39.99,28.55,28.55,28.55,28.55,28.55,45.05,201.85,201.85,201.85,186.46,201.85,201.85,201.85,201.85,54.71,54.71,54.71,54.71,54.71,54.71,54.71,54.71,38.66,23.82,23.34,23.34,22.66,23.45,24.75,41.35,54.71,54.71,54.71,54.71,54.71,54.71,54.71,54.71,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11,30.74,15.75,15.75,15.75,15.75,15.75,15.75,35.54,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,43.82,28.43,28.43,28.43,28.43,28.43,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,48.09,48.09,48.09,48.09,48.09,48.09,48.09,48.09,25.92,18.64,18.64,16.71,21.04,21.13,26.45,48.09,48.09,48.09,48.09,48.09,48.09,48.09,48.09,48.09,53.3,53.3,53.3,53.3,53.3,53.3,53.3,37.87,30.42,26.43,25.25,26.41,29.1,30.04,30.2,53.3,51.8,53.3,53.3,53.3,51.8,53.3,53.3,53.3,65.64,65.64,65.64,65.64,65.64,65.64,65.64,65.64,41.02,28.66,28.66,28.66,28.89,28.89,28.89,65.64,65.64,65.64,65.64,65.64,65.64,65.64,57.47,53.95
190.44,190.44,190.44,190.44,190.44,190.44,190.28,23.2,17.93,17.63,17.63,17.63,17.63,17.63,17.63,18.28,18.66,19.49,39.13,39.14,39.14,39.14,39.14,39.14,190.5,190.48,190.48,190.48,190.48,190.48,33.28,18.16,0.0,0.0,0.0,-0.0,0.0,0.0,30.22,37.42,40.94,23.73,36.88,36.88,36.88,36.88,36.88,36.87,190.75,190.75,190.75,190.75,190.75,190.75,35.87,18.98,0.0,0.0,0.0,0.0,0.0,23.99,0.0,0.0,19.4,31.86,27.65,44.75,44.83,44.83,44.83,44.83,46.71,46.96,46.96,46.96,46.69,46.47,35.47,32.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,36.07,46.68,26.18,46.96,47.51,47.65,46.96,42.74,42.62,42.62,42.62,42.62,42.62,42.62,42.56,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.0,17.69,25.45,42.72,42.73,42.74,42.74,42.74,42.74,49.97,49.97,49.97,49.97,49.97,49.97,49.97,43.43,0.0,0.0,0.0,0.0,0.0,0.0,34.91,42.89,45.59,31.73,49.53,49.8,49.8,49.8,49.8,49.8,59.18,59.18,59.18,59.18,59.18,59.18,59.18,36.31,14.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.18,49.0,45.01,45.01,45.01,49.0,49.0,49.0
165.26,165.28,165.28,165.28,165.28,165.28,165.28,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.66,25.07,43.53,49.64,47.69,43.58,43.55,43.53,46.05,46.05,46.05,46.05,46.05,46.05,46.05,36.27,17.36,8.71,8.71,0.0,0.0,8.71,8.78,11.93,23.94,39.13,46.05,46.05,46.05,46.04,46.04,46.04,57.27,57.27,57.27,57.27,57.27,57.27,57.27,45.07,41.16,41.06,40.97,41.06,41.14,41.16,48.93,49.05,47.32,47.81,47.81,47.85,47.81,47.81,47.81,47.81,56.81,56.81,56.81,61.66,61.66,64.63,61.88,30.29,14.91,12.11,12.57,12.59,15.98,17.44,39.95,45.64,26.68,43.7,43.7,56.81,55.08,43.7,43.7,43.7,51.13,51.13,51.13,51.13,51.13,51.13,51.25,38.58,15.85,14.92,14.92,14.92,14.92,14.92,32.79,38.04,41.7,34.02,48.06,48.25,48.25,48.26,50.35,50.35,201.85,201.85,201.85,201.85,201.85,201.85,201.85,87.8,55.28,15.11,15.11,15.11,15.11,15.11,16.6,45.86,33.04,48.02,48.02,48.06,48.06,48.06,48.06,48.06,190.71,190.71,190.71,190.71,190.71,190.71,201.28,31.04,31.04,13.37,13.33,13.33,13.33,13.28,13.43,17.68,17.2,42.21,42.19,42.21,42.21,42.21,42.21,35.44
44.87,44.87,44.87,44.87,44.74,45.15,44.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.27,44.17,44.17,44.17,44.17,44.21,44.21,186.37,186.37,186.37,186.37,0.0,0.0,192.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.37,51.71,51.71,52.0,51.71,51.71,52.21,50.54,50.54,50.54,50.54,49.19,50.54,54.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,38.79,43.44,43.74,43.74,43.74,43.44,43.42,50.69,51.05,51.05,51.05,51.05,50.98,51.05,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,51.05,50.96,50.88,50.88,50.88,51.05,205.28,205.28,205.28,205.28,205.28,205.28,205.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.03,32.65,32.65,32.65,32.65,32.65,32.65,38.16,1.5,0.0,0.0,-0.0,0.0,-0.0,27.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.65,38.14,38.16,38.16,38.16,38.16,38.16,48.96,48.96,48.96,48.96,48.96,48.96,48.96,36.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.19,29.51,29.51,29.52,29.51,29.51,29.51,29.51
