0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
47.23,47.23,47.23,47.23,45.18,45.18,39.11,26.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.74,38.71,38.71,38.71,38.71,38.71,38.71,38.71,67.41,67.41,67.41,67.41,67.41,67.41,28.95,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.99,20.86,24.57,24.57,24.57,24.57,24.57,24.57,40.4,40.4,40.4,40.4,40.4,40.4,40.4,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,42.91,42.92,42.92,42.92,42.92,42.92,42.92,90.98,90.98,90.98,90.98,90.98,90.98,90.98,40.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,4.29,27.27,27.27,27.27,27.27,27.27,27.27,21.36,21.36,21.36,21.36,21.36,21.36,21.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.74,46.28,46.28,46.28,46.28,46.28,46.28,156.53,156.53,156.53,156.53,156.53,156.53,156.53,20.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,41.01,41.01,41.01,41.01,41.01,41.01,41.01,195.8,195.8,195.8,171.22,27.51,27.51,19.86,16.28,13.01,13.01,13.01,13.01,13.01,13.01,13.01,0.0,18.9,41.27,41.27,41.27,41.27,41.27,41.27,41.27
34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.47,36.72,36.72,36.72,36.72,36.72,36.72,36.72,53.09,53.09,53.09,53.09,53.09,53.09,53.09,36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.69,37.69,37.69,37.69,37.69,37.69,37.69,44.22,44.22,44.22,44.22,44.22,44.22,44.22,43.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17,46.12,46.12,46.12,46.12,46.12,46.12,46.12,69.01,69.01,69.01,69.01,69.01,69.01,69.01,53.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.07,51.77,51.77,51.77,51.77,51.77,51.77,51.77,72.87,72.87,72.87,72.87,72.87,72.87,72.87,57.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.63,42.63,42.63,42.63,42.63,42.63,42.63,51.69,51.69,51.69,51.69,51.69,51.69,51.69,36.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.56,23.77,23.77,23.77,23.77,23.77,23.77,23.77,29.6,29.6,29.6,29.6,29.6,29.6,29.6,24.75,9.88,20.55,20.55,20.55,20.55,20.55,20.55,20.55,38.16,48.4,48.4,48.4,48.4,48.4,48.4,48.4
79.62,79.62,79.62,79.62,79.62,79.62,79.62,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73,36.27,43.32,43.32,43.32,43.32,43.32,43.32,60.81,60.81,60.81,60.81,60.81,60.81,60.81,42.87,15.52,15.52,15.52,15.52,15.52,15.52,15.52,15.52,31.92,42.87,42.87,42.87,42.87,42.87,42.87,42.87,200.78,200.78,200.78,200.78,200.78,200.78,200.78,40.0,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,20.54,42.16,42.16,42.16,42.16,42.16,42.16,42.16,48.33,48.33,48.33,48.33,48.33,48.33,48.33,32.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.37,46.77,48.33,48.33,48.33,48.33,48.33,48.33,191.96,191.96,191.96,191.96,191.96,192.49,178.59,24.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,49.22,49.38,49.38,49.38,49.38,49.38,49.38,93.13,93.13,93.13,93.13,93.13,93.13,93.13,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55,21.58,44.8,44.8,44.8,44.8,44.8,44.8,44.8,50.01,50.01,50.01,50.01,50.01,50.01,50.01,36.29,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.07,31.79,50.01,50.01,50.01,50.01,50.01,50.01,50.01
47.3,47.3,47.3,47.3,47.3,47.3,46.86,20.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.02,47.3,47.3,47.3,47.3,47.3,47.3,45.92,45.92,45.92,45.92,45.92,45.92,45.92,28.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.53,45.53,45.53,45.53,45.53,45.53,45.53,41.03,41.03,41.03,41.03,41.03,41.03,41.03,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.26,40.26,40.26,40.26,40.26,40.26,40.26,41.57,41.57,41.57,41.57,41.57,41.57,41.57,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.06,41.57,41.57,41.57,41.57,41.57,41.57,42.64,42.64,42.64,42.64,42.64,42.64,42.64,27.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.31,40.68,40.68,40.68,40.68,40.68,40.68,40.68,42.58,42.58,42.58,42.58,42.58,42.58,42.58,26.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59,37.41,42.58,42.58,42.58,42.58,42.58,42.58,346.78,346.78,346.78,346.78,346.78,346.78,334.68,53.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.17,38.44,38.44,38.44,38.44,38.44,38.44,38.44
44.38,44.38,44.38,44.38,44.38,44.38,44.38,17.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,44.38,44.38,44.38,44.38,44.38,44.38,44.8,44.8,44.8,44.8,44.8,44.8,44.8,30.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.92,36.28,44.8,44.8,44.8,44.8,44.8,44.8,201.85,201.85,201.85,201.85,201.85,201.85,201.85,36.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.74,36.29,45.05,45.05,45.05,45.05,45.05,45.05,201.85,201.85,201.85,201.85,201.85,201.85,201.85,24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,36.03,44.98,44.98,44.98,44.98,44.98,44.98,120.83,97.1,39.59,39.59,39.59,39.59,36.87,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,39.4,39.4,39.4,39.4,39.4,39.4,339.15,339.15,338.87,338.22,338.87,339.15,326.1,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.88,40.05,40.05,40.05,40.05,40.05,40.05,44.75,44.75,44.75,44.75,44.75,44.75,44.75,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,35.15,44.75,44.75,44.75,44.75,44.75,44.75
217.23,217.23,217.23,217.23,217.23,217.23,217.23,201.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.46,186.46,186.46,186.46,186.46,186.46,186.46,186.46,70.09,70.09,70.09,70.09,70.09,70.09,70.09,41.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.71,54.71,54.71,54.71,54.71,54.71,54.71,54.71,72.61,72.61,72.61,72.61,72.61,72.61,72.61,57.11,15.83,15.83,15.83,15.83,15.83,15.83,15.83,19.49,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11,67.3,67.3,67.3,67.3,67.3,67.3,67.3,51.9,27.96,27.39,27.39,27.39,27.39,27.39,27.39,33.03,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,63.48,63.48,63.48,63.48,63.48,63.48,63.48,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,62.98,62.98,62.98,57.93,57.15,62.98,62.98,21.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.79,51.79,53.3,51.79,51.79,51.79,51.79,51.79,66.95,66.95,66.94,66.94,66.95,66.95,66.95,42.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.61,52.13,52.13,52.13,52.13,52.13,52.13,52.13
46.13,46.13,46.13,46.13,46.13,46.13,46.13,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,46.13,46.13,46.13,46.13,46.13,46.13,46.13,43.51,43.51,43.51,43.51,43.51,43.51,43.51,21.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.13,43.51,43.51,43.51,43.51,43.51,43.51,43.51,45.24,45.24,45.24,45.24,45.24,45.24,45.24,44.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.33,45.33,45.33,45.33,45.33,45.33,45.33,20.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73,44.81,44.81,44.81,44.81,44.81,44.81,44.81,206.3,206.3,206.3,206.3,206.3,206.3,190.91,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55,46.62,46.62,46.62,46.62,46.62,46.62,46.62,43.09,43.09,43.09,43.09,43.09,43.09,43.09,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.09,43.09,43.09,43.09,43.09,43.09,43.09,43.09,57.87,57.87,57.87,57.87,57.87,57.87,57.87,32.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.55,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49
190.44,190.44,190.44,190.44,190.44,190.44,190.28,23.18,17.91,17.61,17.61,17.61,17.61,17.61,17.61,17.61,18.64,19.47,39.11,39.11,39.11,39.11,39.11,39.11,190.48,190.48,190.48,190.48,190.48,190.48,33.24,18.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36.83,36.83,36.83,36.83,36.83,36.83,190.75,190.75,190.75,190.75,190.75,190.75,35.82,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.57,31.82,44.8,44.8,44.8,44.8,44.8,44.8,46.95,46.95,46.95,46.95,46.68,46.46,35.46,32.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.74,36.05,47.67,47.67,47.67,47.67,47.67,47.67,42.62,42.62,42.62,42.62,42.62,42.62,42.62,42.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,25.42,42.73,42.73,42.73,42.73,42.73,42.73,49.97,49.97,49.97,49.97,49.97,49.97,49.97,43.43,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.71,49.79,49.79,49.79,49.79,49.79,49.79,59.18,59.18,59.18,59.18,59.18,59.18,59.18,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.42,45.01,45.01,45.01,45.01,45.01,45.01
44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,50.76,50.76,50.76,50.76,50.76,50.76,50.76,50.76,24.18,20.67,20.67,20.64,20.67,20.67,20.67,20.67,50.56,50.76,50.76,50.76,50.76,50.76,50.76,50.76,49.33,49.33,49.33,49.33,49.33,49.33,49.33,49.33,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.67,44.49,44.49,44.49,44.49,44.49,44.49,44.49,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,23.68,20.19,20.19,20.19,20.19,20.19,20.19,20.19,51.64,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.71,51.71,49.63,51.71,50.53,51.71,51.71,51.71,25.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19,51.72,51.72,51.72,51.72,51.72,51.72,51.72,51.32,51.32,51.32,51.29,51.32,51.32,51.32,51.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45,55.02,55.02,55.02,55.02,55.02,55.02,55.02,57.89,57.89,57.89,57.89,57.89,57.89,57.89,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,58.69,58.69,58.69,58.69,58.69,58.69,58.69
45.14,45.14,45.14,45.14,45.14,45.14,45.14,27.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,38.28,44.19,44.19,44.19,44.19,44.19,44.19,192.73,192.73,192.73,192.73,192.73,192.73,192.73,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53,28.36,50.96,50.96,50.96,50.96,50.96,50.96,60.42,60.42,60.42,60.42,60.42,60.42,60.42,20.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.05,38.93,43.74,43.74,43.74,43.74,43.74,43.74,51.05,51.05,51.05,51.05,51.05,51.05,51.05,29.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08,36.29,51.06,51.06,51.06,51.06,51.06,51.06,207.99,207.99,207.99,207.99,207.99,207.99,206.35,27.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,27.09,32.63,32.63,32.63,32.63,32.63,32.63,139.81,139.81,139.81,139.81,139.81,139.81,139.81,37.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.74,37.67,38.19,38.19,38.19,38.19,38.19,38.19,49.56,49.56,49.56,49.56,49.56,49.56,49.56,42.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,29.47,29.47,29.47,29.47,29.47,29.47,29.47
