0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
23.19,19.33,20.87,20.87,23.19,23.19,23.19,23.19,20.87,20.87,20.87,20.87,20.87,20.87,20.87,20.87,23.19,25.08,25.08,25.08,25.08,25.08,25.08,51.34,32.42,32.42,32.42,31.84,32.42,35.37,35.37,30.95,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.28,17.48,17.48,17.48,17.48,17.48,17.48,17.48,17.48,11.97,11.97,11.97,11.97,13.3,13.3,13.3,26.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,11.52,11.52,11.52,11.52,11.52,11.52,8.8
55.09,55.09,55.09,55.09,55.09,61.21,61.21,61.21,61.21,61.21,55.09,55.09,55.09,55.09,55.09,55.09,61.21,61.21,61.21,61.21,59.78,55.72,55.09,55.09,56.81,56.59,56.6,56.6,60.23,62.89,62.89,62.89,62.89,58.0,56.6,56.6,56.6,56.6,56.6,56.6,62.89,62.89,62.89,62.89,62.89,62.89,62.89,62.89,65.79,65.79,65.79,65.79,65.79,66.98,81.17,81.17,81.17,65.79,49.17,49.17,49.17,49.17,49.17,49.17,59.37,59.37,59.37,59.37,59.37,59.37,59.37,59.37,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,49.36,49.3,49.3,49.3,49.3,49.3,49.3,54.78,54.78,54.78,54.78,54.78,54.78,54.78,54.78,55.48,55.48,55.47,55.49,55.48,56.29,59.69,59.69,59.69,45.59,45.59,45.59,45.59,45.59,45.59,45.59,50.65,50.65,50.65,50.65,50.65,50.65,50.65,50.65,54.15,54.15,53.69,53.47,54.15,54.15,54.15,54.15,54.15,48.73,48.73,48.73,48.73,48.73,48.73,48.73,55.75,55.75,55.75,55.75,55.75,55.75,55.75,55.75,54.81,54.81,54.81,54.81,55.72,58.16,58.16,58.16,58.16,58.16,52.35,52.35,52.35,52.35,52.35,52.35,57.38,58.16,58.16,58.16,58.16,56.0,53.89,52.99
655.82,655.82,655.82,655.82,655.82,655.82,655.82,655.82,47.49,47.49,47.49,47.49,47.49,47.49,47.49,47.49,52.77,52.77,52.77,52.77,52.77,52.77,52.77,52.77,55.53,55.53,55.53,55.74,55.74,55.74,55.74,55.53,48.77,48.77,48.77,48.77,48.77,48.77,48.77,48.77,55.53,55.53,55.53,55.53,55.53,55.53,55.53,55.53,138.47,138.47,138.47,138.47,138.47,138.47,138.47,138.47,45.78,44.85,44.85,44.85,44.85,44.85,44.85,44.85,49.83,49.83,49.83,49.83,49.83,49.83,49.83,45.78,48.55,48.55,48.55,48.55,48.55,48.55,48.55,48.55,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,48.55,43.69,48.55,48.55,48.55,45.94,45.94,45.94,45.94,45.94,45.94,45.94,45.94,43.22,38.89,38.89,38.89,38.89,38.89,38.89,37.86,38.89,41.35,45.95,45.95,45.95,45.95,45.95,45.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,48.03,34.98,34.67,34.67,34.51,34.51,34.51,34.67,34.67,54.73,54.74,54.74,54.74,54.74,54.74,54.74,75.25,75.25,75.25,75.25,75.25,75.25,75.25,75.25,43.96,32.05,31.24,31.24,29.67,31.24,31.24,31.24,31.24,33.06,50.44,50.44,50.44,50.44,50.44,50.44
41.76,41.76,41.76,41.76,41.76,56.97,56.97,56.97,51.72,51.27,35.88,35.88,51.27,35.88,51.27,51.27,51.27,56.97,56.97,56.97,56.97,56.97,49.29,41.76,46.9,46.9,46.9,46.9,46.9,62.29,62.29,62.29,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,51.67,52.11,52.11,52.11,46.9,46.9,46.9,97.85,97.85,97.85,97.85,112.14,112.14,112.14,112.14,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,51.67,52.29,52.29,52.29,52.29,36.6,48.56,201.85,201.85,201.85,201.85,201.85,201.85,201.85,201.85,44.0,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,44.9,44.9,44.9,44.9,44.9,44.9,44.9,201.85,201.85,201.85,201.85,201.85,201.85,201.85,55.9,40.35,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,41.78,41.78,41.78,41.78,41.78,41.78,41.78,46.28,46.28,46.28,46.28,51.42,51.42,51.42,51.42,36.03,32.44,32.43,32.43,32.43,32.43,32.43,32.43,32.43,32.43,36.03,36.03,36.03,36.03,36.03,36.03,34.13,32.66,32.66,32.66,36.29,36.29,36.29,36.29,14.0,0.41,0.41,0.41,0.41,0.41,0.41,0.41,5.9,28.69,28.69,42.54,29.36,28.69,28.69,28.52
15.39,15.39,15.39,15.39,0.0,0.0,9.63,17.09,17.09,15.39,15.39,15.39,15.39,15.39,15.39,16.65,27.33,27.33,27.33,34.75,27.33,27.33,27.33,27.33,18.35,29.59,29.59,29.59,29.59,18.35,32.88,32.88,18.35,0.46,29.59,29.59,29.59,29.59,32.88,32.88,32.88,32.88,32.88,32.88,32.88,32.86,29.59,16.12,27.33,32.38,20.21,16.42,20.21,32.07,35.98,35.98,32.38,32.38,32.38,32.38,32.38,32.38,35.98,27.33,30.34,35.98,35.98,35.98,35.98,32.38,24.16,32.07,34.3,34.3,34.3,34.3,34.3,23.7,38.11,38.11,20.34,34.3,34.3,34.3,34.3,34.3,34.3,21.25,28.75,38.11,38.11,39.09,38.11,38.11,38.11,34.3,35.87,35.87,35.87,35.87,35.87,36.29,36.29,39.85,35.87,35.87,35.87,35.87,20.48,20.48,20.48,30.12,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,43.23,38.91,43.23,43.23,43.23,43.23,43.23,43.23,43.23,43.23,38.91,38.91,38.91,38.91,38.91,43.23,43.23,43.23,43.23,43.23,43.23,43.23,43.23,43.23,46.33,46.33,46.33,46.33,46.7,46.7,46.7,46.7,46.33,46.7,46.7,46.33,42.03,42.03,42.03,42.03,46.7,46.7,46.7,46.7,46.33,42.03,42.03,42.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,8.76,8.76,8.76,8.76,8.76,7.88,12.16,13.51,8.84,13.51,13.51,13.51,13.51,12.16,12.16,12.16,12.16,12.16,12.16,12.8,20.34,25.88,46.61,46.61,46.61,56.16,47.35,46.61,46.61,41.95,39.54,39.54,39.54,39.54,25.29,30.26,43.93,43.93,40.22,39.54,39.54,24.84,39.54,24.84,25.17,32.44,43.93,43.93,43.93,43.93,43.93,43.93,43.93,38.02,56.53,59.02,59.02,59.02,65.58,65.58,65.58,65.58,32.11,41.39,40.32,40.32,41.39,26.0,41.39,41.39,41.39,41.39,57.13,57.13,57.13,57.13,57.13,57.13,251.12,251.12,251.12,251.12,251.12,251.12,48.24,44.4,34.87,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,34.68,26.01,22.37,22.37,34.68,39.7,39.7,39.7,39.7,36.06,39.7,39.7,39.7,38.58,35.73,35.73,35.73,35.73,35.73,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,20.99,20.99,20.99,20.99,18.06,23.32,23.32,14.87,20.99,20.99,20.99,20.99,20.99,20.99,20.99,21.45,26.61,26.61,33.09,54.59,26.61,26.61,21.51,2.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,-0.0,0.0
50.52,51.67,51.67,51.67,56.13,56.13,56.13,56.13,56.13,50.52,50.52,50.52,50.52,50.52,50.52,50.52,56.13,56.13,56.13,53.17,50.52,50.52,50.52,50.52,46.5,39.4,42.51,46.5,51.67,51.67,51.67,51.67,51.67,46.5,46.5,46.5,46.5,46.5,46.5,46.5,51.67,51.67,51.67,51.67,51.67,36.29,35.52,32.51,53.24,35.28,45.51,57.58,57.58,59.16,59.16,59.16,59.16,46.89,45.51,45.51,45.51,45.51,45.51,45.51,50.56,50.56,50.56,48.3,45.51,45.51,45.51,45.51,46.54,46.54,46.54,48.3,48.3,51.71,51.71,51.71,51.71,48.3,46.54,46.54,46.54,46.54,46.54,46.54,51.71,51.71,51.71,51.71,50.52,46.54,46.54,46.54,40.36,40.21,46.29,55.72,55.74,55.74,55.74,55.74,55.74,44.2,41.58,41.58,41.58,41.58,41.58,41.58,44.51,46.29,46.29,46.29,46.29,40.05,40.05,40.05,48.3,48.3,48.3,53.67,53.67,53.67,53.67,53.67,53.67,48.3,48.3,48.3,48.3,48.3,48.3,48.3,52.06,53.67,53.67,53.67,53.67,53.67,53.67,53.67,56.51,51.67,52.39,52.39,57.31,57.41,57.41,57.41,57.41,57.41,51.67,51.67,51.67,51.67,51.67,51.67,51.77,59.4,59.4,59.4,59.4,59.4,59.4,59.4
217.23,217.23,217.23,217.23,217.23,217.23,217.23,217.23,211.63,51.42,51.42,51.42,51.42,51.42,51.42,49.66,189.48,189.48,196.24,189.48,189.48,189.48,189.48,189.48,70.09,70.09,68.92,68.92,68.92,70.09,70.09,63.08,64.35,51.67,51.67,51.67,51.67,51.67,51.67,51.67,68.92,68.92,68.92,68.92,68.92,68.92,68.92,68.92,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,60.08,60.08,60.08,60.08,60.08,60.08,60.08,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,67.29,67.29,67.29,67.29,67.29,73.54,74.77,74.77,67.29,60.56,60.56,60.56,60.56,60.56,60.56,60.56,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,57.41,57.05,57.05,57.05,57.05,57.05,57.05,63.39,63.39,63.39,63.39,63.39,57.05,57.05,57.05,63.36,63.36,63.36,59.18,61.23,70.4,70.4,68.69,55.01,51.67,63.36,63.36,63.36,63.36,63.36,63.36,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,73.21,73.21,74.75,75.78,75.78,81.35,81.35,81.35,75.1,63.43,63.43,63.43,63.43,63.43,63.43,63.43,69.79,70.48,70.48,70.48,70.48,68.97,63.43,60.57
8.43,8.91,9.64,12.94,13.29,13.43,13.43,13.43,10.18,12.08,12.08,12.08,12.08,12.08,10.87,20.78,22.84,33.8,37.56,37.56,37.56,37.56,33.8,21.51,30.45,30.45,30.45,33.84,33.84,33.84,33.84,33.84,30.45,30.45,30.45,30.45,30.45,30.45,30.45,33.89,37.6,37.6,47.79,43.02,37.6,37.6,33.89,33.84,50.55,50.55,41.8,53.38,56.17,56.17,56.17,46.22,41.8,37.62,37.62,37.62,37.62,37.62,37.62,37.62,36.43,41.8,41.8,41.8,41.8,41.8,41.8,41.8,32.03,32.03,32.03,32.03,33.87,35.58,35.58,23.74,32.03,32.03,32.03,32.03,32.03,32.03,32.03,32.03,35.58,35.58,35.58,35.58,35.58,35.58,32.03,27.97,25.61,21.51,35.13,30.43,39.04,39.04,39.04,39.04,34.72,35.13,35.13,35.13,35.13,21.51,35.13,24.7,27.08,39.04,39.04,39.04,39.04,39.04,39.04,39.04,181.66,181.66,181.66,181.66,201.85,201.85,201.85,18.65,32.87,32.87,32.87,32.87,32.87,32.87,32.87,32.87,36.52,36.52,36.52,36.52,36.52,36.52,36.52,33.42,19.08,19.08,19.08,19.08,2.15,19.49,21.2,21.2,21.2,21.2,19.08,19.08,19.08,19.08,10.63,18.62,20.94,21.2,21.2,21.2,21.2,21.2,21.2,0.0
