0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
61.51,61.51,61.51,61.51,61.51,61.51,61.51,49.85,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,55.18,61.51,61.51,61.51,61.51,61.51,61.51,61.51,58.89,58.89,58.89,58.89,58.89,58.89,58.89,57.62,51.86,51.86,51.86,51.86,51.86,51.86,51.86,51.86,57.62,58.89,58.89,58.89,58.89,58.89,58.89,58.89,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.25,47.94,47.94,47.94,47.94,47.94,47.94,47.94,47.94,60.62,60.62,60.62,60.62,60.62,60.62,60.62,48.3,48.51,48.51,48.51,48.51,49.13,52.2,52.2,47.34,33.74,33.74,33.74,33.74,33.74,33.74,35.64,37.49,52.87,60.34,60.34,52.87,52.87,43.81,60.34,35.4,31.46,31.46,31.46,15.38,33.25,33.25,33.25,30.12,16.1,16.09,16.09,16.08,16.1,16.1,16.1,28.95,33.25,33.25,33.25,33.25,33.25,31.7,31.46,29.92,31.51,31.51,31.51,31.51,31.51,35.88,35.89,36.83,34.69,33.83,33.84,34.27,34.27,34.69,36.87,38.63,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,57.87,57.87,57.87,57.87,57.87,57.87,57.87,52.08,47.35,51.67,52.08,52.08,52.08,52.08,52.08,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87
655.82,655.82,655.82,655.82,655.82,655.82,655.82,655.82,47.49,47.49,47.49,47.49,47.49,47.49,47.49,47.49,52.77,60.82,60.82,60.82,60.82,60.82,60.82,60.82,59.98,59.98,59.98,59.98,59.98,59.98,59.98,55.53,48.77,48.77,48.77,48.77,48.77,48.77,48.77,48.77,59.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98,138.47,138.47,138.47,146.4,153.85,153.85,146.4,138.47,45.78,44.85,44.85,44.85,44.85,44.85,44.85,44.85,51.67,65.21,65.21,65.22,65.22,65.22,65.22,59.55,59.08,56.24,56.24,59.08,62.49,62.49,59.08,48.55,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,47.83,59.08,59.08,59.08,59.08,59.08,59.08,59.08,61.32,61.32,61.32,61.32,61.32,61.32,61.32,45.94,43.22,38.89,38.89,38.89,38.89,38.89,38.89,37.86,45.79,56.74,61.33,61.33,61.33,61.33,61.33,61.33,77.34,77.34,77.34,77.34,77.34,77.34,77.34,61.95,48.03,34.98,34.67,34.67,34.51,34.51,34.51,34.67,48.03,70.11,70.13,70.13,70.13,70.13,70.13,70.13,81.57,81.57,81.57,81.57,81.57,90.63,82.2,81.21,43.96,32.05,31.35,31.24,29.67,31.24,31.8,34.36,39.94,48.45,65.83,65.83,65.83,65.83,65.83,65.83
15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,16.0,15.38,15.38,15.38,15.39,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,16.0,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.0,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.68,15.68,16.23,16.32,16.32,16.32,16.32,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,16.0,16.0,16.0,15.92,15.39,15.38,15.39,15.38,15.38,15.39,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,17.09,15.38,15.38,15.38
57.54,56.81,56.81,61.37,61.41,61.41,59.54,54.29,51.13,51.13,51.13,56.81,56.81,56.81,56.81,56.81,56.81,56.81,57.54,61.37,61.37,61.37,61.37,61.37,61.07,61.07,61.07,61.07,61.07,61.07,61.07,61.07,54.96,54.96,54.96,54.96,54.96,54.96,54.96,54.96,61.07,61.07,61.07,61.07,61.07,61.07,61.07,61.07,72.31,69.32,68.25,67.47,67.47,67.47,68.26,57.44,60.72,60.72,60.72,60.72,60.72,60.72,51.67,60.72,60.72,65.76,67.47,67.47,67.47,58.93,58.56,58.56,62.98,56.68,56.68,56.68,62.98,62.98,62.98,58.98,56.36,56.36,56.36,56.36,56.36,56.36,56.36,56.36,62.62,62.62,62.62,62.62,62.62,62.49,61.81,61.81,58.01,58.01,58.01,58.01,57.99,58.01,58.0,57.88,52.09,52.09,52.09,52.09,52.09,52.09,52.09,52.09,52.09,52.09,57.88,58.01,58.01,58.01,58.01,58.01,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.33,55.83,54.3,54.3,54.3,54.3,60.33,60.33,60.33,60.33,60.33,60.33,60.33,63.38,63.38,63.38,63.38,63.38,63.38,63.38,61.38,57.89,57.89,57.89,57.89,57.89,57.89,57.74,57.89,57.89,59.58,59.58,59.42,59.42,59.42,59.6,59.61
18.03,18.03,18.03,18.2,18.94,20.03,18.94,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,19.12,26.2,26.2,26.2,25.86,25.13,24.57,30.93,31.27,28.27,30.82,31.27,31.27,31.27,27.54,18.43,17.95,17.95,27.54,27.54,28.27,35.73,41.26,47.35,62.0,62.0,71.55,62.73,62.0,62.0,57.34,41.08,41.08,41.08,41.08,40.68,45.64,45.64,43.93,40.22,40.22,40.22,40.22,40.4,40.22,40.55,44.69,54.07,58.0,59.32,59.32,59.32,59.32,59.32,53.4,73.79,74.41,74.41,74.41,80.96,80.96,80.96,67.7,39.13,41.39,40.32,40.32,41.39,41.39,41.39,41.39,44.15,45.31,72.51,72.51,72.51,72.51,72.51,72.51,266.51,266.51,266.51,266.51,266.51,266.51,63.63,46.29,37.71,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,37.17,41.78,50.06,41.4,37.75,37.75,50.06,55.08,55.08,55.08,55.08,51.44,55.08,55.08,40.16,38.58,35.73,35.73,35.73,37.1,38.58,41.27,55.08,55.08,55.08,55.08,55.08,55.08,55.08,55.08,55.08,37.3,37.3,39.16,39.16,36.37,38.71,38.71,30.25,31.94,30.25,20.99,30.25,31.94,31.94,35.19,36.84,41.99,41.99,48.47,69.98,44.32,41.99,38.26,19.81
57.15,57.15,57.15,57.15,57.15,57.15,57.15,56.97,51.72,51.27,51.27,51.27,51.27,51.27,51.27,51.27,51.27,57.15,57.15,57.15,57.15,57.15,57.15,57.15,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,51.67,62.29,62.29,62.29,62.29,62.29,62.29,113.23,113.23,113.23,113.23,113.23,113.23,113.23,112.14,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,51.67,63.94,63.94,63.94,63.94,51.98,63.94,217.24,217.24,217.24,217.24,217.24,217.24,217.24,217.21,44.0,40.41,40.41,40.41,40.41,40.41,40.41,40.41,40.41,54.14,60.29,60.29,60.29,60.29,60.29,60.29,217.23,217.23,217.23,217.23,217.23,217.23,217.23,57.16,41.62,38.86,38.86,38.86,38.86,38.86,38.86,38.86,43.18,57.16,57.16,57.16,57.16,57.16,57.16,57.16,61.66,61.66,61.66,61.66,66.8,66.8,66.8,66.8,41.86,41.28,41.28,41.28,41.28,41.28,41.28,41.28,42.22,47.82,51.42,51.42,51.42,51.42,51.42,51.42,49.51,48.04,48.04,48.04,51.67,51.67,51.67,51.67,30.69,18.08,18.08,18.08,18.08,18.08,18.08,18.16,24.22,44.58,45.08,58.43,45.25,44.55,44.55,44.31
217.23,217.23,217.23,211.63,217.23,217.23,217.24,217.23,211.63,51.42,51.42,51.42,51.42,51.42,51.42,49.66,201.85,201.85,211.63,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,63.08,64.35,51.67,51.67,51.67,51.67,51.67,51.67,51.67,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,72.49,72.49,72.49,72.49,72.49,72.49,72.5,72.49,72.49,60.08,60.08,60.08,60.08,60.08,60.08,60.08,66.76,72.49,72.49,72.49,72.49,72.49,72.49,72.49,67.29,67.29,67.29,67.29,67.29,73.54,74.77,74.77,67.29,60.56,60.56,60.56,60.56,60.56,60.56,60.56,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,63.48,57.41,57.05,57.05,57.05,57.05,57.05,57.05,63.39,63.39,63.39,63.39,63.39,57.05,57.05,57.05,63.36,63.36,63.36,59.18,61.23,70.4,70.4,68.69,55.01,51.67,63.36,63.36,63.36,63.36,63.36,63.36,70.4,77.95,81.72,71.09,70.4,70.4,70.4,70.4,73.21,73.21,74.75,75.78,75.78,81.35,81.35,81.35,75.1,63.43,63.43,63.43,63.43,63.43,63.43,63.43,69.79,74.52,76.85,74.52,70.48,68.97,63.43,60.57
59.83,59.83,59.83,59.83,59.83,62.1,62.1,62.1,59.83,53.85,53.85,53.85,53.85,53.85,53.85,51.67,62.1,62.1,62.1,62.1,62.1,60.75,59.83,59.83,64.51,64.51,64.51,64.51,64.51,69.9,69.9,69.9,64.51,49.79,49.79,49.79,49.79,49.79,49.79,49.79,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,201.84,201.84,201.84,201.84,201.84,205.23,217.23,217.23,224.27,45.32,45.32,45.32,45.32,45.32,45.32,45.32,60.71,63.32,60.71,60.71,60.71,60.71,60.71,60.71,52.1,52.1,52.1,52.1,52.1,54.75,60.09,54.75,52.1,46.89,46.89,46.89,46.89,46.89,46.89,46.89,54.12,54.75,54.75,54.75,54.01,51.67,51.67,50.81,52.31,52.31,52.31,52.31,54.15,56.75,59.84,59.84,59.84,55.72,51.07,51.07,51.07,51.07,51.07,51.07,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.77,58.0,58.0,58.0,59.77,62.15,64.44,64.44,60.4,53.8,53.8,53.8,53.8,53.8,53.8,53.8,60.4,60.4,60.4,60.4,60.4,57.89,59.77,59.77,63.23,63.23,63.23,63.23,63.23,63.87,65.83,65.83,63.23,63.23,56.9,56.9,56.9,47.42,56.9,56.9,63.23,63.23,63.23,63.23,63.23,61.71,63.23,56.9
24.05,24.05,24.05,15.38,15.38,15.38,25.01,25.01,24.8,20.82,20.22,15.38,20.82,21.44,15.45,32.03,39.17,42.71,42.71,50.13,42.71,42.71,42.71,42.71,33.73,33.73,33.73,33.73,33.73,33.73,37.48,37.48,33.73,18.36,33.73,33.73,33.73,33.73,33.73,34.29,42.79,48.26,48.26,48.26,48.26,48.24,44.97,31.51,42.71,42.71,35.59,31.8,35.59,47.46,51.36,47.46,36.22,36.1,35.53,34.83,36.1,36.1,37.96,42.71,45.73,51.36,51.36,51.36,51.36,47.76,39.55,47.46,49.69,49.69,49.69,49.69,49.69,39.09,53.5,53.5,35.73,35.73,35.73,35.73,35.73,35.73,35.73,36.63,44.14,53.5,53.5,54.47,53.5,53.5,53.5,49.69,51.25,48.04,48.04,51.25,51.25,51.67,51.67,51.67,35.87,35.87,35.87,35.87,35.87,35.87,35.87,41.79,43.08,55.72,55.72,55.72,55.72,55.72,55.72,55.72,58.62,54.3,58.62,58.62,58.62,58.62,58.62,58.62,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,51.67,58.62,58.62,58.62,58.62,58.62,58.62,58.62,61.71,61.71,61.71,61.71,62.08,62.08,62.08,57.41,51.67,51.93,52.1,51.67,51.67,51.67,51.67,51.67,51.67,57.41,57.41,57.41,57.41,57.41,57.41,57.41
67.04,67.04,67.04,67.04,67.04,67.04,73.91,73.91,58.53,48.33,48.33,48.33,48.33,48.33,48.33,48.33,67.04,67.04,67.04,67.04,67.04,67.04,67.04,67.04,58.93,58.93,58.93,58.93,58.93,63.77,65.48,63.77,58.93,53.04,53.04,53.04,53.04,53.04,53.04,53.04,63.77,63.77,63.77,63.77,63.77,58.93,58.93,58.93,67.04,67.04,67.04,67.04,67.06,82.4,82.4,82.4,67.04,57.89,57.89,57.89,57.89,57.89,57.89,57.89,67.06,67.06,67.06,67.06,67.06,67.06,67.06,67.06,72.8,72.8,72.8,72.8,72.8,78.94,79.18,78.96,54.6,46.89,46.89,46.89,46.89,46.89,46.89,46.89,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,202.75,201.76,201.76,201.76,210.01,216.93,217.03,217.03,60.34,40.68,40.68,40.68,40.68,40.68,40.68,40.68,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.82,58.82,58.82,58.82,58.83,58.84,58.84,58.84,58.82,41.95,39.36,39.36,39.11,39.36,39.36,39.36,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.84,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,47.83,47.83,47.83,47.83,47.83,47.83,47.83,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
