0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
66.9,66.9,65.46,65.46,65.46,66.9,66.9,65.48,65.48,64.03,60.21,60.21,60.21,60.21,60.21,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,73.73,73.73,71.31,71.31,71.31,73.73,74.74,67.58,68.04,70.78,70.68,67.58,67.58,67.58,67.58,70.68,73.73,77.6,78.53,78.53,78.53,78.53,73.73,73.73,62.05,62.05,58.08,58.08,58.08,64.53,64.53,58.68,57.02,58.08,58.08,58.08,58.08,58.08,58.02,58.08,58.03,64.53,64.53,64.53,64.53,64.53,64.53,61.57,62.8,62.8,58.11,58.11,58.11,62.49,64.56,63.63,63.49,58.11,58.11,58.11,58.11,58.11,58.11,58.11,62.8,69.56,69.56,69.56,69.56,69.56,69.43,69.43,72.44,77.93,71.78,71.78,67.96,75.52,70.9,70.9,67.96,67.96,67.96,67.96,67.96,67.96,67.96,70.16,70.13,75.52,75.52,75.52,75.52,75.52,75.52,70.19,59.71,59.71,57.87,60.22,60.22,61.66,63.06,62.99,59.71,58.29,58.29,57.67,57.67,57.68,57.67,57.67,61.26,64.07,64.07,64.07,64.07,64.07,64.07,59.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.25,61.25,61.25,61.25,61.25,61.25,61.26,61.25,61.26,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,67.4,68.05,65.75,64.21,64.21,64.21,61.25,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,70.68,70.68,70.68,70.68,68.89,68.89,64.52,65.02,65.13,65.15,65.02,64.75,64.75,64.75,65.02,63.17,59.61,59.67,59.72,59.72,59.74,59.72,59.61,66.23,66.23,66.23,66.23,66.23,66.23,66.23,66.23,64.99,64.99,64.99,63.0,65.22,66.87,62.55,66.87,66.53,62.55,62.55,62.55,62.55,62.93,62.55,62.55,62.55,69.51,69.51,69.51,69.51,69.51,69.51,63.2,63.64,64.35,64.48,64.5,64.5,64.35,64.35,63.39,60.44,60.44,60.44,60.44,60.44,60.44,60.44,61.7,61.95,67.15,67.15,67.15,67.15,67.15,61.7,65.53,62.3,62.3,62.3,62.3,62.3,62.3,62.29,61.69,57.2,57.2,57.2,57.2,57.2,57.2,57.2,58.77,61.69,63.56,63.56,63.56,63.56,63.56,63.56,62.28,62.5,62.38,62.38,62.38,62.5,62.5,62.5,62.5,60.59,60.59,60.59,60.59,60.59,60.59,60.59,62.5,62.5,67.32,67.32,67.32,67.32,67.32,63.12,63.12
91.27,90.1,91.27,91.27,91.27,91.27,97.42,49.74,49.74,49.74,49.74,49.74,49.74,49.74,49.74,49.74,55.24,55.27,55.27,55.27,55.27,55.27,55.27,54.04,62.99,69.83,70.04,70.04,70.04,70.04,70.04,53.08,47.82,47.82,47.82,47.82,47.82,47.82,47.82,47.82,48.19,53.41,53.41,53.41,53.41,53.41,53.41,53.41,220.23,220.23,220.23,220.23,220.23,220.23,216.16,50.18,43.11,43.11,43.11,43.15,43.11,43.11,43.11,43.11,43.11,51.39,51.39,51.39,51.39,51.39,51.39,51.39,57.57,57.57,57.57,57.57,57.57,57.57,57.57,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,59.42,59.42,59.42,59.42,59.42,59.42,57.65,211.38,211.09,211.09,211.09,210.39,211.09,198.87,53.25,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,60.8,60.8,60.8,60.8,60.8,60.8,61.94,107.83,107.48,107.48,107.33,107.24,107.24,107.24,54.26,30.77,30.77,30.77,30.77,30.77,30.77,30.77,30.77,37.32,60.59,60.59,60.59,60.59,60.59,60.59,54.44,59.48,59.48,60.92,59.48,59.48,65.62,65.62,51.67,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,48.08,60.26,60.26,60.26,60.26,60.26,60.26,60.26
55.36,55.36,55.36,55.36,55.36,55.36,55.36,43.7,41.86,41.86,41.86,41.86,41.86,41.86,41.86,42.08,55.18,61.51,61.51,61.51,61.51,61.51,61.51,55.36,52.74,52.74,52.74,52.74,52.74,57.38,57.38,56.16,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,54.47,54.47,54.47,54.47,54.47,54.47,54.47,54.47,46.37,46.34,46.37,46.37,46.37,46.37,46.37,46.67,60.62,60.62,60.62,60.62,60.62,60.62,60.62,54.56,55.34,55.34,55.34,55.34,55.3,55.72,55.72,47.7,37.98,38.0,38.0,38.0,38.02,38.0,37.98,38.31,53.09,59.08,59.08,59.08,59.08,59.08,59.08,55.75,211.08,211.08,211.09,211.08,211.09,217.24,217.24,53.25,45.2,45.2,45.2,45.42,45.65,45.42,45.2,45.2,45.2,63.85,63.82,63.85,63.82,63.85,63.85,63.85,54.03,54.03,54.03,54.03,54.03,54.03,58.48,37.7,36.46,36.52,36.52,36.52,36.52,36.46,36.52,38.63,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,52.08,51.72,51.72,51.72,51.72,57.87,57.87,49.22,46.74,49.21,49.21,49.21,49.21,49.21,49.47,49.34,57.87,57.87,57.87,57.87,57.87,57.87,57.87,52.08
60.21,60.21,60.21,60.2,54.73,54.3,54.3,55.83,54.73,54.73,54.73,54.73,54.85,54.73,54.85,54.73,54.61,54.73,54.3,64.44,64.44,64.44,63.01,58.0,80.21,67.24,66.78,66.78,66.78,66.78,55.97,60.52,55.97,55.97,55.97,55.97,55.97,55.97,55.97,55.97,66.59,73.51,73.51,73.51,73.51,73.51,73.51,73.51,68.77,68.77,68.77,68.59,68.77,68.77,72.98,68.77,68.77,68.77,68.77,68.77,68.77,68.77,68.77,68.77,82.21,107.46,118.35,118.11,108.72,108.72,108.72,108.72,211.32,211.08,202.37,202.03,202.25,200.12,142.01,77.52,64.65,64.65,64.65,64.67,64.65,64.65,62.62,64.65,74.49,90.24,98.71,98.71,98.71,98.71,98.71,98.71,117.34,116.87,90.98,86.86,86.83,86.83,86.83,65.59,64.02,63.94,63.94,64.02,64.02,64.02,64.02,64.02,92.98,115.05,124.32,124.88,124.32,124.32,124.32,124.32,226.7,211.08,211.08,211.08,211.08,210.89,207.93,61.33,54.58,54.58,54.58,54.58,54.58,54.58,54.58,54.58,81.1,112.11,112.11,112.11,112.11,112.11,112.11,112.11,216.33,216.33,216.33,211.09,77.9,71.86,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,58.69,81.22,112.71,112.71,112.71,112.71,112.71,112.71,112.71
78.71,78.93,78.86,78.86,78.71,78.71,78.71,45.52,34.74,34.74,34.74,34.74,34.74,34.74,34.74,35.59,38.65,66.83,66.83,66.83,66.83,66.83,66.83,66.72,194.85,194.85,194.85,194.85,194.85,199.27,64.84,59.77,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,66.67,118.72,118.72,125.03,118.72,118.72,118.72,118.72,478.84,296.99,95.71,95.41,95.71,101.8,96.23,60.07,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,63.54,63.54,65.14,63.54,63.54,63.54,63.54,63.69,57.54,57.54,57.54,60.37,63.69,63.69,41.09,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,37.9,59.45,59.45,59.45,59.45,59.45,59.45,59.17,51.85,51.85,51.85,51.85,51.85,51.85,51.85,43.05,36.01,36.01,36.01,36.01,36.05,36.01,36.01,36.01,43.05,57.41,57.41,57.41,57.41,57.41,57.41,51.85,210.55,210.55,210.55,210.55,210.55,210.55,217.24,60.62,60.4,60.4,60.62,60.62,60.62,60.62,60.62,60.62,60.62,70.59,82.96,82.96,82.96,82.96,81.05,75.01,72.33,72.33,72.33,72.33,72.33,72.33,75.99,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,75.89,75.89,88.53,86.03,73.38,73.38,72.33
59.83,55.89,55.89,55.89,55.89,57.88,62.1,62.1,55.89,55.89,55.89,57.88,57.88,57.88,57.88,58.15,62.1,62.1,62.1,62.1,62.1,60.75,59.83,59.83,64.55,62.57,62.91,62.57,62.57,69.52,69.52,69.52,61.44,62.54,62.57,62.57,62.57,62.56,62.56,61.79,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,195.69,195.69,195.69,195.69,195.69,205.24,217.23,195.69,72.72,72.01,72.01,72.01,72.01,72.01,75.34,74.79,79.68,79.84,79.68,80.01,79.68,80.01,80.01,80.0,55.36,61.51,61.51,61.51,61.51,61.53,60.09,57.9,61.51,61.51,61.51,61.51,61.51,61.51,64.02,64.05,68.33,68.34,68.34,68.34,68.34,68.34,62.83,54.52,53.85,53.85,53.85,53.85,53.85,59.84,59.84,53.85,53.85,53.85,53.85,53.85,53.85,53.85,53.85,55.24,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,53.62,55.93,55.93,55.93,55.93,62.14,59.77,56.0,55.93,55.93,55.93,55.93,55.93,55.93,55.89,55.93,62.05,62.15,62.15,62.15,62.05,62.05,62.05,59.77,63.23,63.23,63.23,63.23,63.23,63.87,59.62,63.87,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,65.99,68.39,69.93,70.02,67.9,63.23,63.23,63.23
105.6,99.45,98.05,98.05,96.85,96.28,82.31,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,82.34,96.28,96.28,96.28,96.28,96.28,96.28,272.93,240.66,272.93,244.19,219.41,211.08,82.1,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84,62.01,62.01,67.87,67.87,67.87,67.87,67.87,61.07,61.07,61.07,61.07,61.07,61.04,61.07,61.07,61.07,61.07,62.01,63.64,65.18,65.18,64.02,63.64,63.64,75.23,75.23,75.23,75.23,74.81,75.23,75.23,67.7,58.75,60.6,60.69,60.69,60.62,60.61,58.6,60.6,64.89,75.23,75.23,75.23,75.23,75.23,75.23,75.23,253.45,253.45,253.45,251.92,251.92,251.92,89.9,67.28,56.39,56.39,56.39,56.39,56.39,56.39,56.39,56.39,57.11,73.07,73.07,73.07,73.07,73.07,73.07,73.07,77.94,77.94,77.94,77.94,77.94,77.94,77.94,60.66,60.66,60.66,60.66,60.66,60.66,60.66,60.66,77.04,77.04,77.04,77.04,77.04,77.04,77.04,77.04,77.04,69.24,69.24,69.24,71.5,69.24,69.24,72.75,50.98,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,53.73,69.24,69.24,69.24,69.24,69.24,69.24,69.24
76.49,76.49,76.49,76.49,76.49,82.64,82.64,74.37,74.37,74.37,74.37,74.37,74.37,74.37,74.37,74.37,74.37,81.2,82.64,82.64,82.64,82.64,82.64,74.38,54.09,54.09,54.09,54.09,54.09,54.09,58.79,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,56.07,56.07,56.07,56.07,56.07,56.07,56.07,54.52,211.08,211.08,211.08,211.08,211.08,211.08,211.08,45.52,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.34,51.67,55.71,55.71,55.71,55.71,55.71,54.29,211.09,211.09,211.09,211.09,211.09,211.09,211.09,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,60.5,60.5,74.51,74.51,74.51,74.51,74.51,71.07,134.66,110.44,99.62,99.53,99.53,99.3,94.66,61.53,61.53,61.53,61.53,61.53,61.53,61.53,61.53,61.53,61.53,68.06,91.53,109.81,109.85,103.52,85.38,85.38,683.65,365.25,211.09,211.08,204.3,212.07,215.02,57.67,55.46,55.46,55.46,55.46,55.46,55.46,55.46,55.46,55.46,73.95,73.95,73.95,79.73,85.87,73.95,67.41,68.91,66.57,65.73,65.73,65.73,65.73,71.88,65.41,65.41,65.41,65.41,65.41,65.41,65.41,65.41,65.41,65.44,72.68,72.68,72.68,72.68,72.68,72.68,72.68
213.12,211.08,199.9,211.08,211.08,217.23,208.51,61.0,59.6,59.55,59.55,59.51,59.51,59.51,59.51,59.51,59.51,66.12,66.12,66.12,64.3,64.49,64.72,61.0,58.09,58.09,58.09,57.87,57.87,57.87,62.2,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,58.28,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.06,72.76,72.76,72.76,69.4,68.43,68.43,69.4,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,63.26,78.91,78.91,78.91,78.91,78.91,78.91,78.91,75.46,73.12,73.12,74.77,76.41,73.42,76.04,78.96,59.22,59.22,59.22,59.22,59.22,59.22,59.22,59.22,59.35,78.96,78.96,78.96,80.92,78.96,78.96,78.96,72.81,77.22,77.22,77.22,77.22,70.86,70.95,64.97,51.24,51.24,51.24,51.24,51.24,51.24,51.24,51.24,51.24,61.32,70.21,70.22,70.21,70.21,70.21,70.21,68.76,211.08,211.08,211.08,211.08,211.08,211.08,217.23,59.75,59.75,59.75,59.75,59.75,59.75,59.75,59.75,59.75,68.81,69.64,69.65,69.64,69.64,69.64,69.64,69.64,216.32,216.32,216.32,216.32,216.32,216.32,217.23,47.1,47.1,47.1,47.1,47.1,47.1,47.09,47.1,47.1,55.81,57.31,57.31,57.31,57.31,57.31,57.31,57.31
210.85,211.17,211.17,211.08,211.08,210.66,210.49,56.69,56.69,56.69,56.69,56.69,56.69,56.69,56.69,56.69,56.69,64.83,84.16,84.16,84.16,84.16,84.16,84.16,211.09,211.08,211.08,211.08,211.08,216.81,95.04,61.44,55.29,55.29,55.29,55.29,55.29,55.29,55.29,55.29,55.29,69.42,95.05,95.05,95.05,95.05,95.05,88.89,210.86,210.86,210.86,211.09,211.09,210.63,95.08,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,93.76,93.76,93.77,93.77,96.19,93.76,93.76,70.46,70.46,65.02,65.02,64.73,64.3,61.97,61.97,61.97,61.97,61.97,61.97,61.97,61.97,61.97,61.97,61.97,67.38,70.41,70.46,70.46,70.46,70.46,64.3,58.37,58.37,52.22,58.37,52.22,58.37,52.22,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,61.0,59.36,59.3,65.25,65.25,65.11,58.96,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,57.9,58.03,58.03,50.08,52.67,52.61,52.47,58.82,58.82,68.82,68.82,68.82,68.82,68.82,68.82,67.98,70.1,70.1,70.1,70.1,70.1,70.1,69.4,59.52,57.94,57.94,57.94,57.94,57.94,57.94,57.94,59.52,59.98,59.98,64.38,64.38,64.38,64.38,64.38,64.38
211.08,211.08,211.08,211.08,211.08,211.08,217.23,217.23,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,201.85,201.85,209.83,201.85,201.85,201.85,201.85,201.85,63.94,63.94,63.94,63.94,63.94,63.94,63.94,62.44,62.2,62.2,62.2,62.18,62.2,62.2,62.2,62.2,63.94,70.09,70.09,70.09,70.09,70.09,70.09,70.09,72.49,66.34,66.34,66.34,66.34,72.49,72.49,72.49,58.03,58.03,58.03,58.03,58.03,58.03,58.03,58.03,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,61.14,61.14,61.14,61.14,61.14,67.4,68.62,61.14,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.39,57.33,57.33,57.33,57.33,63.39,63.39,60.52,53.25,53.25,53.25,53.25,53.25,53.25,53.25,54.9,63.39,63.39,63.39,63.39,63.39,63.39,57.05,57.05,62.61,62.61,62.61,62.12,69.56,69.56,69.56,64.34,62.61,62.61,62.14,62.09,62.17,62.61,62.61,62.61,77.93,77.93,79.75,77.93,77.93,77.93,77.93,77.93,79.33,74.93,74.93,74.93,74.93,79.33,81.08,79.33,69.67,69.67,69.67,69.67,69.67,69.67,69.67,69.67,77.41,76.48,77.41,77.41,77.41,77.41,77.41,76.07
49.57,49.57,49.57,49.57,49.57,55.08,55.08,55.08,49.57,49.57,49.57,49.57,49.57,49.57,49.57,54.49,55.72,55.72,56.63,56.63,56.63,56.63,56.63,56.63,52.21,52.21,52.21,52.21,52.21,58.01,58.01,58.01,52.21,52.13,52.13,52.13,52.21,52.21,53.24,52.21,52.21,58.01,63.59,63.59,63.59,63.59,63.59,63.59,63.6,62.1,60.73,60.73,60.73,63.63,60.73,60.73,58.6,60.75,60.74,60.73,60.73,60.73,60.73,60.74,59.21,66.88,68.42,75.38,75.38,75.38,74.69,75.38,71.36,71.48,71.48,71.48,74.95,74.95,74.95,70.16,67.45,67.45,67.45,67.45,67.45,67.45,67.45,67.45,69.76,74.95,74.95,74.95,74.95,74.95,74.95,73.75,287.6,281.88,287.6,285.48,281.45,277.09,217.23,61.73,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,66.52,87.1,87.1,87.1,87.1,87.1,87.1,214.14,211.25,211.25,211.25,211.25,217.23,217.05,57.71,53.51,53.55,53.59,53.59,53.55,53.51,53.51,53.51,53.51,67.44,84.65,94.28,94.28,84.65,84.65,78.5,114.21,114.21,114.21,114.21,114.21,114.21,114.21,57.68,57.24,57.24,57.24,57.24,57.24,57.24,57.24,57.24,57.66,72.6,72.6,72.61,72.61,72.64,72.6,72.6
63.85,63.85,63.85,63.85,63.85,63.85,63.85,52.8,52.8,52.87,52.8,52.8,52.8,52.81,52.8,57.7,57.7,58.67,59.55,59.55,59.55,59.55,59.55,59.55,58.87,58.87,58.87,58.87,58.87,58.87,58.87,53.2,52.98,52.98,53.2,53.49,53.2,52.98,52.98,55.53,55.53,56.06,58.87,58.87,58.87,58.87,58.87,58.87,51.34,51.34,51.34,51.34,51.34,51.34,51.34,47.49,44.27,44.34,38.38,38.12,45.84,45.84,51.6,51.34,52.49,51.34,54.94,54.94,54.94,54.94,54.94,54.94,50.8,50.8,50.8,50.8,50.8,50.8,50.8,48.68,48.68,48.74,48.63,48.72,48.68,48.68,50.39,50.8,50.8,50.8,54.09,54.09,54.09,54.09,54.09,50.8,52.22,58.02,58.02,58.02,58.02,58.02,51.88,51.88,46.46,46.46,46.46,46.46,46.46,46.46,46.46,46.46,52.51,56.07,56.07,56.07,56.07,56.07,56.07,56.07,57.96,57.96,57.96,57.96,57.96,57.96,57.96,50.05,46.07,48.09,48.3,48.3,48.25,48.25,48.09,48.09,48.09,53.44,53.44,53.44,53.44,53.44,53.44,51.81,227.03,227.03,227.03,227.03,225.26,214.79,199.77,79.66,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.91,51.91,53.82,57.66,57.66,57.67,57.66,56.36,56.67
