0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
51.66,51.66,51.66,51.66,51.66,51.66,58.53,58.53,43.14,32.95,32.95,32.95,32.95,32.95,32.95,32.95,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,43.54,43.54,43.54,43.54,43.54,48.38,50.09,48.38,43.54,37.65,37.65,37.65,37.65,37.65,37.65,37.65,48.38,48.38,48.38,48.38,48.38,43.54,43.54,43.54,51.65,51.66,51.66,51.66,51.67,67.01,67.01,67.01,51.66,42.51,42.51,42.51,42.51,42.51,42.51,42.51,51.67,51.67,51.67,51.67,51.67,51.67,51.67,51.67,57.41,57.41,57.41,57.41,57.41,63.56,63.79,63.58,39.21,31.51,31.51,31.51,31.51,31.51,31.51,31.51,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,187.36,186.38,186.38,186.38,194.62,201.55,201.64,201.64,44.96,25.3,25.3,25.3,25.3,25.3,25.3,25.3,42.88,42.88,42.88,42.88,42.88,42.88,42.88,42.88,43.43,43.43,43.43,43.43,43.45,43.46,43.46,43.46,43.43,26.56,23.98,23.98,23.73,23.98,23.98,23.98,43.46,43.46,43.46,43.46,43.46,43.46,43.46,43.46,43.04,43.04,43.04,43.04,43.04,43.04,43.04,43.04,32.44,32.44,32.44,32.44,32.44,32.44,32.44,32.44,43.04,43.04,43.04,43.04,43.04,43.04,43.04,43.04
43.78,43.78,43.78,43.78,43.78,43.78,43.78,36.29,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,37.86,43.78,43.78,43.78,43.78,43.78,43.78,43.78,42.6,42.6,42.6,42.6,42.6,42.6,42.6,36.24,30.11,30.11,30.11,30.11,30.11,30.11,30.11,30.11,35.17,42.6,42.6,42.6,42.6,42.6,42.6,42.6,44.8,44.8,44.8,44.8,44.8,44.8,44.8,37.26,30.58,32.78,32.04,32.04,32.04,32.04,32.0,32.0,32.0,44.8,44.8,44.8,44.8,44.8,44.8,44.8,43.78,43.78,43.78,43.78,43.78,43.78,43.6,33.06,33.06,33.06,33.06,33.06,33.06,33.06,33.06,33.06,37.09,43.78,43.78,43.78,43.78,43.78,43.78,43.78,43.25,43.25,43.25,43.25,43.25,43.25,43.25,36.29,36.29,36.29,36.29,36.29,36.29,36.29,36.29,36.29,36.29,43.25,43.25,43.25,43.25,43.25,43.25,43.25,43.09,43.09,43.09,43.09,43.09,43.09,43.09,36.24,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,36.44,43.09,43.09,43.09,43.09,43.09,43.09,43.09,43.81,43.81,43.81,43.81,43.81,43.81,43.81,39.43,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,37.86,43.81,43.81,43.81,43.81,43.81,43.81,43.81
19.23,18.93,17.98,17.98,17.35,17.62,17.85,19.35,19.35,16.9,16.9,16.9,16.9,16.9,16.9,16.9,15.97,15.97,21.54,35.89,21.54,21.54,18.07,15.97,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.76,17.74,17.01,17.01,17.01,17.01,17.01,17.01,18.4,19.6,19.6,44.8,44.8,44.8,44.8,44.8,44.8,201.85,181.55,181.55,181.55,181.55,201.72,201.72,36.29,19.56,14.05,13.95,13.95,13.95,13.95,13.95,13.95,17.76,19.75,21.7,21.7,21.7,45.05,21.7,21.7,201.73,201.85,201.85,201.85,201.85,201.85,201.85,16.3,15.97,15.97,15.97,15.38,15.38,15.38,15.97,15.97,18.9,19.75,25.61,43.64,43.83,43.64,25.61,23.05,43.55,30.75,30.75,30.75,19.75,23.59,34.06,22.87,20.01,19.46,18.01,18.01,18.01,18.01,18.01,19.73,23.52,21.17,31.8,39.61,31.8,31.8,31.8,31.8,452.07,23.55,188.7,44.8,35.66,60.26,60.3,25.34,23.13,23.17,20.82,20.69,20.62,20.62,20.82,20.82,21.48,20.82,23.14,30.84,28.62,28.62,23.14,21.48,33.92,32.88,33.07,33.07,33.07,33.07,33.07,33.92,19.33,18.78,18.07,17.86,17.82,17.82,17.82,18.27,23.38,19.19,40.12,40.16,40.12,40.12,40.12,40.12
45.43,43.65,43.65,43.65,43.65,45.43,640.44,32.91,31.76,32.11,32.11,32.11,32.11,32.11,31.97,31.43,37.38,45.43,45.43,45.43,45.43,45.43,45.43,45.43,44.59,44.59,44.59,44.59,44.59,44.59,44.59,36.29,33.38,33.38,33.38,33.38,33.38,33.38,33.38,33.38,44.59,44.59,44.59,44.59,44.59,44.59,44.59,44.59,109.2,109.2,109.2,109.81,118.13,121.34,121.63,39.16,30.4,29.47,29.47,29.47,29.47,29.47,29.47,29.47,36.29,49.83,49.83,49.83,49.83,49.83,49.83,44.16,43.69,40.86,40.86,43.23,43.69,43.69,43.69,33.16,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,32.44,43.69,43.69,43.69,43.69,43.69,43.69,43.69,45.94,45.94,45.94,45.94,45.94,45.94,45.94,30.55,24.0,23.51,23.51,23.51,23.51,23.51,23.51,22.48,30.41,41.35,45.95,45.95,45.95,45.95,45.95,45.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,46.57,24.64,19.59,19.29,19.29,19.12,19.12,19.12,19.29,32.64,54.73,54.74,54.74,54.74,54.74,54.74,54.74,66.18,66.18,66.18,66.18,66.18,66.45,66.82,65.83,28.57,16.66,15.97,15.85,14.28,15.85,16.42,18.98,24.56,33.06,50.44,50.44,50.44,50.44,50.44,50.44
15.97,15.97,14.61,17.02,17.28,23.43,33.6,17.23,15.97,15.97,15.97,15.78,15.78,15.78,14.45,20.78,22.84,33.8,37.56,37.56,37.56,37.56,33.8,21.51,30.45,30.45,30.45,33.84,33.84,33.92,33.84,33.84,21.53,21.53,21.53,21.53,21.53,21.53,22.76,24.47,33.84,37.6,47.79,43.02,37.6,37.6,33.89,33.84,50.55,50.55,41.8,53.38,56.17,56.17,56.17,46.22,27.08,24.48,22.23,24.48,37.11,35.4,31.86,31.86,36.43,41.8,41.8,41.8,41.8,41.8,41.8,41.8,32.03,32.03,32.03,32.03,33.88,35.59,35.59,23.74,19.05,16.64,16.64,16.64,20.05,20.95,26.45,32.03,35.58,35.58,35.58,35.58,35.58,35.58,32.03,27.97,35.42,35.42,35.42,35.42,39.04,39.09,44.76,35.29,19.33,19.75,19.75,21.51,21.51,21.51,21.51,24.7,27.08,39.04,39.04,39.09,39.09,39.09,39.5,39.09,201.85,201.85,201.85,201.85,201.85,201.85,201.85,48.95,19.61,19.61,19.61,19.61,19.61,19.46,21.05,29.78,36.52,36.53,36.56,36.56,36.56,36.56,36.56,36.56,198.51,198.51,198.51,198.51,198.51,198.51,192.31,25.65,18.07,18.78,18.78,18.78,18.78,18.66,18.78,18.78,20.94,21.2,35.64,37.13,37.13,32.43,32.05,30.65
201.85,201.85,201.85,201.85,201.85,201.85,201.85,201.85,43.43,36.03,36.03,36.03,36.03,36.03,36.03,34.28,186.46,186.46,196.24,186.46,186.46,186.46,186.46,186.46,54.71,54.71,54.71,54.71,54.71,54.71,54.71,47.7,48.97,36.29,36.29,36.29,36.29,36.29,36.29,36.29,54.71,54.71,54.71,54.71,54.71,54.71,54.71,54.71,57.11,57.11,57.11,57.11,57.11,57.11,57.12,57.11,45.45,44.69,44.69,44.69,44.69,44.69,44.69,44.69,51.37,57.11,57.11,57.11,57.11,57.11,57.11,57.11,51.91,51.91,51.91,51.91,51.91,58.15,59.39,51.9,45.27,45.17,45.17,45.17,45.17,45.17,45.17,45.17,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,48.09,48.09,48.09,48.09,48.09,48.09,48.09,45.7,41.42,42.03,41.66,41.66,41.66,41.66,41.66,40.93,48.0,48.0,48.0,48.0,48.0,41.66,41.66,41.66,47.97,47.97,47.97,43.8,45.84,55.01,55.01,53.3,39.63,36.29,47.97,47.97,47.97,47.97,47.97,47.97,55.01,62.56,65.81,55.71,55.01,55.01,55.01,55.01,57.83,57.83,59.37,60.39,60.39,65.96,65.96,65.96,59.71,48.05,48.05,48.05,48.05,48.05,48.05,48.05,54.41,59.14,61.47,59.14,55.1,53.59,48.05,45.18
35.23,35.23,35.23,35.23,35.23,35.23,35.23,19.96,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.97,35.23,35.23,35.23,35.23,35.23,53.4,18.29,18.29,18.29,18.29,18.29,59.33,32.24,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.74,18.29,18.29,18.29,18.29,18.29,18.29,15.43,14.9,14.87,14.9,14.9,14.87,17.33,17.19,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,14.87,15.09,56.42,56.48,56.42,25.83,25.83,26.98,26.98,27.98,16.0,26.98,27.98,19.11,17.3,19.23,17.66,17.4,15.38,15.38,15.38,15.74,19.9,22.33,23.7,38.36,49.53,49.53,49.53,38.36,49.53,72.54,68.77,19.46,19.5,17.55,21.14,15.97,17.09,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,19.75,20.4,22.54,79.74,76.73,79.06,81.48,75.37,23.39,18.39,15.39,17.08,15.38,34.65,27.77,18.66,15.38,15.38,15.38,15.38,15.38,15.38,15.38,18.07,19.75,28.9,46.79,46.79,52.08,52.08,52.08,54.56,209.77,225.15,207.57,163.17,163.11,185.03,45.13,17.09,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.97,55.16,57.9,57.9,57.9,57.9,57.9
76.76,40.28,34.82,35.53,37.23,34.5,22.62,17.09,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.74,26.88,33.39,33.39,33.39,33.39,33.39,205.61,228.46,215.56,229.22,32.05,148.37,39.37,18.36,17.95,17.95,17.95,17.95,17.95,17.95,20.34,25.88,31.96,46.61,46.61,56.16,47.35,46.61,46.61,41.95,25.69,25.69,25.69,25.69,25.29,30.26,30.26,28.55,25.01,24.84,24.84,24.84,25.01,24.84,25.17,29.31,38.69,42.62,43.93,43.93,43.93,43.93,43.93,38.02,59.02,59.02,59.02,59.02,65.58,65.58,65.58,52.32,26.0,26.0,24.93,24.93,26.0,26.0,26.0,26.0,28.76,29.92,57.13,57.13,57.13,57.13,57.13,57.13,251.12,251.12,251.12,251.12,251.12,251.12,48.24,30.91,22.32,21.05,21.05,21.05,21.05,21.05,21.05,21.05,21.05,21.79,26.4,34.68,26.01,22.37,22.37,34.68,39.7,39.7,39.7,39.7,36.06,39.7,39.7,24.77,23.2,20.34,20.34,20.34,21.72,23.2,25.89,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,25.34,22.22,24.69,24.69,21.95,23.32,23.32,14.87,16.55,16.55,15.09,15.09,16.55,16.55,19.8,21.45,26.61,26.61,33.09,54.59,29.7,29.7,29.7,29.7
60.4,60.4,60.4,60.4,60.4,60.62,60.71,60.69,48.07,24.99,24.47,24.47,24.47,24.47,24.47,24.47,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,54.21,54.21,54.21,54.21,60.13,60.32,61.14,60.32,45.75,36.03,36.03,36.03,36.03,36.03,36.03,36.03,60.32,60.32,60.32,60.32,60.32,60.32,60.32,60.32,63.82,63.81,61.21,61.21,61.21,63.81,69.61,63.82,48.43,42.05,42.05,42.05,42.05,42.05,42.05,42.05,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.0,128.83,128.82,128.82,128.82,128.83,142.8,144.21,143.14,128.83,42.05,38.82,38.82,38.82,38.82,38.82,38.82,60.22,60.22,60.22,60.22,60.22,60.22,60.22,59.99,51.67,51.67,51.67,51.67,51.67,51.67,55.26,54.73,55.26,32.95,31.51,31.51,31.51,31.51,31.51,31.51,44.81,47.9,47.93,47.95,44.81,38.79,38.79,38.79,38.32,38.32,38.32,38.32,38.32,44.28,46.06,44.28,38.32,33.49,32.95,32.95,32.95,32.95,32.95,32.95,46.06,46.06,46.06,46.06,46.06,46.06,46.06,45.91,42.03,40.77,40.77,38.79,40.77,46.48,47.01,47.01,36.27,32.95,32.95,32.95,32.95,32.95,32.95,32.95,49.06,49.06,49.06,49.06,49.06,49.06,49.06,49.06
44.45,44.45,44.45,44.45,44.45,46.72,46.72,46.72,44.45,38.47,38.47,38.47,38.47,38.47,38.47,36.29,46.72,46.72,46.72,46.72,46.72,45.36,44.45,44.45,49.13,49.13,49.13,49.13,49.13,54.51,54.51,54.51,49.13,34.41,34.41,34.41,34.41,34.41,34.41,34.41,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,186.46,186.46,186.46,186.46,186.46,189.85,201.84,186.46,69.13,29.94,29.94,29.94,29.94,29.94,29.94,29.94,45.32,47.93,45.32,45.32,45.32,45.32,45.32,45.32,36.71,36.71,36.71,36.71,36.71,39.36,44.7,39.36,36.71,31.5,31.5,31.5,31.5,31.5,31.5,31.5,38.74,39.36,39.36,39.36,38.63,36.29,36.29,35.43,36.93,36.93,36.93,36.93,38.76,41.36,44.45,44.45,44.45,40.33,35.69,35.69,35.69,35.69,35.69,35.69,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.39,42.62,42.62,42.62,44.39,46.76,46.76,46.76,45.01,38.41,38.41,38.41,38.41,38.41,38.41,38.41,45.01,45.01,45.01,45.01,45.01,42.51,44.39,44.39,47.84,47.84,47.84,47.84,47.84,48.49,50.45,48.49,47.84,47.84,41.52,41.52,41.52,32.03,41.52,41.52,47.84,47.84,47.84,47.84,47.84,46.33,47.84,41.52
