0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
70.8,70.8,70.8,70.8,70.8,70.8,70.8,65.42,64.58,65.42,65.42,65.42,65.51,65.47,65.31,64.58,70.8,70.8,72.44,72.34,70.8,70.8,70.8,70.8,69.05,71.27,71.27,71.27,71.27,71.27,68.68,63.53,67.05,67.05,67.05,67.08,67.06,67.04,66.99,60.74,68.53,71.27,70.99,70.98,71.27,71.27,71.27,70.98,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,61.09,61.14,61.17,61.19,61.21,61.19,61.09,61.09,61.09,77.53,78.27,77.53,77.53,77.53,77.54,77.53,71.44,71.44,71.44,71.44,71.44,71.44,71.44,70.36,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,71.44,71.44,71.44,71.44,71.44,71.44,71.44,81.78,77.13,76.37,77.1,77.1,76.49,56.31,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,58.83,75.63,81.78,89.84,81.78,77.13,77.13,210.58,210.9,211.09,210.98,211.09,148.17,66.23,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,55.43,121.9,131.63,137.78,137.78,137.78,137.78,131.63,214.79,214.79,199.63,200.71,200.71,199.56,125.17,47.98,47.98,47.98,47.98,48.05,48.04,47.98,47.98,47.98,47.98,71.79,81.29,82.71,82.71,82.71,82.71,82.71
61.25,61.25,61.25,61.25,61.25,61.25,61.26,61.25,61.26,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,64.21,65.75,64.21,64.21,64.21,61.25,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,68.89,68.89,70.44,70.68,68.9,68.89,64.53,65.03,65.14,65.16,65.03,64.76,64.76,64.76,65.03,63.18,59.28,59.68,59.72,59.72,59.74,59.72,59.61,66.23,66.23,66.23,66.23,66.23,66.23,66.23,65.91,65.0,65.0,65.0,63.0,65.23,66.87,62.56,66.87,66.53,62.56,62.56,62.56,62.56,62.94,62.56,62.56,62.56,67.45,69.51,68.51,68.52,68.41,68.41,63.2,63.65,64.35,64.49,64.51,64.51,64.35,64.35,63.39,59.99,60.44,60.44,60.44,60.41,60.44,60.44,61.71,61.96,65.8,67.0,67.0,67.0,65.62,61.71,65.53,62.3,62.3,62.3,62.3,62.3,62.3,62.29,61.69,57.15,56.13,57.2,57.2,57.2,57.2,57.2,58.78,61.69,62.29,62.29,62.29,62.34,62.48,62.3,62.29,62.51,62.38,62.38,62.38,62.5,62.51,62.51,62.51,59.89,59.84,60.6,60.6,60.6,60.6,60.6,62.51,62.51,63.13,64.74,64.9,65.11,64.74,63.13,63.13
105.61,99.45,98.05,98.05,96.85,94.13,76.16,55.47,55.47,55.47,55.47,55.47,55.47,55.47,55.47,55.47,55.47,76.19,90.13,96.29,96.29,96.29,96.29,96.29,272.93,240.67,272.93,238.04,219.41,211.09,75.95,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,62.69,62.69,62.69,64.22,63.37,63.37,62.69,62.99,62.01,62.01,62.01,62.01,62.04,61.73,61.73,54.92,54.92,54.92,54.92,54.92,54.89,54.92,54.92,54.92,54.92,55.86,57.5,59.03,59.03,57.88,57.5,57.5,75.23,75.23,75.23,75.23,74.82,74.82,74.82,61.56,52.6,54.46,54.54,54.54,54.48,54.46,52.46,54.45,58.74,70.61,69.08,69.08,69.08,69.08,69.08,69.08,251.93,251.93,253.46,251.93,251.93,251.93,89.9,61.13,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.96,66.92,67.44,66.92,67.47,67.7,67.7,66.92,71.79,71.79,71.79,71.79,72.02,71.79,71.79,54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,71.23,70.9,70.92,70.92,71.01,70.92,70.92,70.92,70.9,69.25,69.25,69.25,71.51,69.25,69.25,66.6,50.4,49.81,49.81,50.4,49.81,49.81,49.81,49.81,49.81,53.73,68.91,69.25,69.25,69.25,69.25,69.25,69.25
53.69,53.69,53.69,53.69,53.69,55.95,55.95,55.95,51.71,51.71,51.73,51.74,51.74,51.73,51.73,52.01,55.95,55.95,55.95,55.95,55.95,54.6,53.69,53.69,58.4,58.4,58.4,58.4,58.36,63.75,63.75,63.75,55.3,56.39,56.42,56.42,56.43,56.42,56.41,55.64,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,195.7,195.7,195.7,195.7,195.7,199.09,211.09,195.7,72.73,69.17,69.19,69.21,69.2,69.2,69.19,68.64,73.53,73.7,73.53,73.87,73.53,73.87,73.87,73.85,55.36,55.36,55.36,55.45,55.45,55.38,53.94,57.91,59.06,57.44,57.88,57.89,57.88,57.88,57.88,57.91,62.19,62.2,62.2,62.2,62.2,62.2,56.69,48.38,48.91,48.91,48.91,48.91,48.91,53.69,53.69,53.69,53.1,49.15,49.45,49.46,49.44,49.45,49.45,49.09,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.63,51.85,51.85,51.85,53.63,56.0,56.0,56.0,51.86,49.82,49.79,49.81,49.81,49.78,49.75,49.79,55.91,56.0,56.0,56.0,55.91,55.91,55.91,53.63,57.08,57.08,57.08,57.08,57.08,57.73,59.62,57.73,57.08,57.08,57.08,57.08,57.08,57.08,57.08,57.08,59.84,62.24,63.78,63.87,61.75,57.08,57.08,57.08
210.86,211.17,211.17,211.09,211.09,210.67,210.49,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,58.68,78.01,84.17,84.17,84.17,84.16,78.01,211.09,211.09,211.09,211.09,211.09,210.66,88.9,55.29,55.29,55.29,55.29,55.29,55.29,55.29,55.29,55.29,55.29,69.43,95.05,95.05,95.05,95.05,95.05,88.9,210.87,210.87,210.87,211.09,211.09,210.64,95.09,57.73,57.73,57.73,57.73,57.73,57.73,57.73,57.73,57.73,57.73,90.05,93.1,93.77,91.36,90.05,87.62,87.62,70.46,70.46,65.02,65.02,64.73,64.31,58.48,55.82,55.82,55.97,55.82,55.82,55.82,55.82,55.82,55.82,55.82,67.38,70.2,70.46,70.46,64.36,64.36,64.31,52.45,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,61.0,59.36,59.3,59.13,59.1,58.97,58.97,59.21,59.21,59.21,59.21,59.21,59.21,59.21,52.67,51.75,51.89,52.0,50.08,52.67,52.62,52.48,52.67,52.67,68.83,68.83,68.83,68.83,68.62,68.5,67.98,70.1,70.1,70.1,70.1,70.1,70.1,69.41,53.37,51.79,51.99,51.85,51.86,51.86,51.85,51.79,53.37,59.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98
76.49,76.49,76.49,76.49,76.49,76.49,76.49,68.23,68.23,68.61,68.61,68.61,68.61,68.61,68.23,68.23,68.23,75.05,76.49,76.49,76.49,76.49,76.49,74.38,54.09,54.09,54.09,54.09,54.09,54.09,55.63,50.47,50.35,50.47,50.47,50.47,50.47,50.47,50.47,50.47,50.47,50.47,54.04,54.04,54.04,54.04,54.04,54.04,211.09,211.09,211.09,211.09,211.09,211.09,211.09,45.53,30.19,30.16,30.19,30.19,30.19,30.19,30.19,30.19,30.19,45.53,54.29,54.29,54.29,54.29,54.29,54.29,211.09,211.09,211.09,211.09,211.09,211.09,211.09,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,71.07,71.07,71.07,71.07,72.5,71.07,134.66,110.44,99.63,99.53,99.53,99.3,94.67,59.59,55.38,55.38,55.53,55.53,55.53,55.53,55.53,55.38,55.38,61.91,86.15,103.66,103.7,103.53,85.38,85.38,683.66,365.25,211.09,211.09,204.3,211.09,211.08,51.52,49.31,49.31,49.31,49.31,49.33,49.33,49.31,49.31,49.31,67.8,67.8,73.95,79.74,79.72,67.8,67.41,68.92,66.57,65.74,65.74,65.74,65.74,65.74,59.3,59.3,59.3,59.4,59.36,59.3,59.3,59.3,59.3,59.3,69.82,66.53,66.57,66.53,66.53,66.53,66.53
60.9,60.9,60.9,60.9,60.9,60.9,67.77,67.77,51.36,44.26,44.34,44.34,44.34,42.82,42.82,44.34,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,52.78,52.78,52.78,52.78,52.78,57.62,59.33,57.62,51.24,51.24,51.24,51.24,51.4,51.4,51.24,52.78,57.62,57.62,57.62,57.62,57.62,52.78,52.78,52.78,60.89,60.9,60.9,60.9,60.91,76.25,76.25,76.25,58.32,54.21,54.21,54.21,54.21,54.21,54.21,51.65,60.91,60.91,60.91,60.91,60.91,60.91,60.91,60.91,66.65,66.65,66.65,66.65,66.65,72.8,73.03,72.82,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,66.65,66.65,66.65,66.65,66.65,66.65,66.65,66.65,196.6,195.93,195.93,195.93,205.04,211.09,211.07,210.88,52.94,46.29,46.29,46.29,46.29,46.29,46.29,46.29,52.12,52.12,52.12,52.12,52.12,52.12,52.12,52.12,52.67,52.67,52.67,52.67,52.69,52.69,52.69,52.69,51.65,46.81,46.81,46.81,46.87,46.82,46.81,46.81,52.69,52.69,52.69,52.69,52.69,52.69,52.69,52.69,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,40.39,46.44,46.44,46.44,46.44,46.44,46.44,46.44,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28
211.09,211.09,211.09,211.09,211.09,211.09,211.09,211.09,50.91,46.23,46.23,46.23,46.23,46.23,46.23,46.23,195.7,195.7,209.84,195.7,195.7,195.7,195.7,195.7,63.95,63.95,63.95,63.95,63.95,63.95,63.95,56.3,56.06,56.06,56.06,56.04,56.14,56.06,56.06,56.06,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,66.35,66.35,66.35,66.35,66.35,66.35,66.36,66.35,51.89,51.89,51.89,51.89,52.01,51.92,51.89,51.89,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,61.15,61.15,61.15,61.15,61.15,67.4,68.62,61.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,57.33,57.33,57.33,57.33,57.33,57.33,57.33,54.38,47.1,47.1,47.1,47.1,47.1,47.1,47.1,48.75,57.24,57.24,57.24,57.24,57.24,57.24,50.9,50.9,57.21,57.21,57.21,55.97,64.61,64.92,64.02,58.2,56.46,56.67,56.0,55.94,56.03,56.46,56.46,56.46,71.78,71.78,73.6,71.78,71.78,71.78,71.78,71.78,75.3,74.93,74.93,74.93,74.93,74.93,74.93,73.18,63.52,63.55,63.57,63.57,63.52,63.52,63.52,63.52,71.36,70.34,71.26,71.26,71.26,71.41,71.26,69.92
78.71,78.93,78.86,78.86,78.71,78.71,76.11,45.53,28.6,28.6,28.6,28.6,28.6,28.6,28.6,29.44,32.5,62.24,62.24,62.24,62.24,62.24,62.24,60.58,194.86,194.86,194.86,194.86,194.86,194.86,58.69,53.62,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,60.52,112.58,115.19,121.5,115.19,115.19,115.19,115.26,478.84,297.0,95.71,95.41,95.71,95.66,90.08,53.93,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,57.4,57.4,59.0,57.4,57.4,57.4,57.4,57.55,57.55,57.55,57.55,54.22,57.55,57.55,34.95,24.76,24.76,24.76,24.76,24.76,24.76,24.76,24.76,31.76,53.31,53.31,53.31,53.31,53.31,53.31,53.02,51.84,51.85,51.85,51.85,51.85,51.72,50.48,36.91,29.87,29.87,29.87,29.87,29.9,29.87,29.87,29.87,36.91,51.26,51.26,51.26,51.26,51.26,51.26,51.26,210.55,210.55,210.55,210.55,210.55,210.55,211.09,54.48,54.25,54.25,54.48,54.48,54.48,54.48,54.48,54.48,54.48,64.44,76.81,76.81,76.81,76.81,74.91,75.01,72.34,72.34,72.34,72.34,72.34,72.19,69.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,69.75,75.9,86.02,86.03,69.85,69.85,69.85
91.28,90.11,91.28,91.28,91.28,91.28,91.28,49.04,49.04,49.09,49.09,49.09,49.09,49.09,49.09,49.04,49.09,55.17,55.17,55.17,52.94,52.94,52.94,54.05,62.99,69.84,70.05,70.05,70.05,70.05,70.05,53.08,41.68,42.05,42.05,42.05,42.05,42.05,41.88,41.68,42.05,53.41,53.41,53.41,53.41,53.41,53.41,53.41,220.23,220.23,220.23,220.23,220.23,220.23,210.01,50.18,42.63,43.08,43.11,43.15,43.11,43.08,43.08,43.08,43.08,51.4,51.4,51.4,51.4,51.4,51.4,51.4,57.57,57.57,57.57,57.57,57.57,57.57,57.57,47.1,46.97,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,57.56,57.56,57.56,57.56,57.56,57.57,57.66,211.39,211.09,211.09,211.09,210.39,211.09,192.72,47.1,44.34,44.34,44.34,44.34,44.34,44.34,44.34,44.34,44.34,60.8,60.8,60.8,60.8,60.8,60.8,61.94,107.83,107.48,107.48,107.33,107.24,107.24,107.24,54.26,30.77,30.77,30.77,30.77,30.77,30.77,30.77,30.77,31.18,54.45,54.45,54.45,54.45,54.45,54.45,54.45,59.48,59.48,60.93,59.48,59.48,59.48,59.48,45.53,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,41.93,60.26,60.26,60.26,60.26,59.25,60.26,60.26
