0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
61.59,61.59,61.59,61.59,61.59,61.59,61.59,51.49,44.43,51.22,51.28,51.65,51.3,51.26,51.49,49.8,59.16,59.4,59.16,59.16,59.16,59.16,59.16,59.16,62.52,62.52,62.52,62.52,62.52,62.52,62.22,55.67,52.26,55.07,54.15,54.15,54.15,54.15,54.15,53.8,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,65.8,65.8,65.8,65.8,65.8,65.8,65.8,58.99,57.01,57.29,57.37,57.45,57.29,57.29,57.01,57.01,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,67.54,65.0,66.82,72.01,73.15,74.82,67.11,53.5,54.73,55.51,55.51,55.51,55.51,55.51,55.51,56.47,58.62,58.62,58.62,58.62,58.62,58.62,58.62,58.62,55.72,55.72,55.72,55.72,55.72,55.72,55.72,51.67,48.6,49.22,49.22,49.22,49.22,49.22,49.22,50.21,53.25,55.72,55.72,55.72,55.72,55.72,55.72,55.72,58.62,58.62,58.62,58.62,58.62,58.62,58.62,58.62,44.37,45.63,45.63,45.63,45.63,45.63,45.63,52.47,58.62,58.62,58.62,58.62,58.62,58.62,58.62,58.62,61.74,61.74,61.74,61.77,62.09,62.09,62.08,57.41,48.78,48.69,48.74,48.78,48.78,48.45,48.45,48.69,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41
67.4,67.4,67.4,67.4,67.4,67.4,67.41,67.4,67.41,67.43,67.42,67.4,67.4,67.4,67.4,67.4,68.93,67.4,71.9,71.9,71.9,71.9,71.9,67.4,67.59,67.59,67.59,67.59,67.59,67.59,67.59,67.2,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,76.57,76.57,76.58,77.43,76.58,76.57,72.21,71.17,71.28,71.3,71.17,70.9,70.9,70.9,71.17,69.32,65.43,65.82,65.87,65.87,65.89,65.87,65.76,72.38,72.39,73.92,72.39,72.39,72.38,72.38,72.06,72.68,72.68,72.68,70.69,72.91,74.56,70.24,74.56,72.68,68.7,69.02,69.08,68.78,69.08,68.7,68.7,68.7,75.13,76.26,74.65,74.66,74.56,74.56,69.35,70.5,70.5,70.63,70.65,70.65,70.5,70.5,69.54,66.14,66.59,66.59,66.59,66.55,66.59,66.59,67.85,69.64,73.48,73.14,73.14,73.14,73.31,69.39,73.22,68.45,68.45,68.45,68.45,68.45,68.45,68.44,67.84,63.29,62.27,63.35,63.35,63.35,63.35,63.35,64.92,68.78,68.43,68.43,68.43,68.49,68.62,68.45,68.43,68.65,68.53,68.53,68.53,68.65,68.65,68.65,68.65,64.6,65.99,66.74,66.74,66.74,66.74,66.74,68.65,68.65,69.27,70.88,71.05,71.25,70.88,70.81,70.81
97.42,96.25,97.42,97.42,97.76,97.42,97.42,55.19,55.19,55.24,55.24,55.24,55.24,55.24,55.24,55.19,55.24,61.32,61.32,61.32,59.09,59.08,59.08,60.19,70.67,77.52,77.73,77.73,77.73,77.73,77.6,59.23,47.82,48.19,48.19,48.19,48.19,48.19,48.03,46.5,48.19,59.56,59.56,59.56,59.56,59.56,59.56,59.56,227.62,227.62,227.62,227.62,227.62,227.62,217.24,56.33,48.78,49.22,49.26,49.29,49.26,49.22,49.22,49.22,49.22,57.54,57.54,57.54,57.54,57.54,57.54,57.54,63.72,63.72,63.72,63.72,63.72,65.15,65.2,53.25,53.11,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,64.7,65.24,63.87,63.87,65.24,65.26,65.34,217.54,217.24,217.24,217.24,216.54,217.24,198.87,53.25,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.21,50.49,66.95,66.95,66.95,66.95,66.95,66.95,68.09,113.98,113.63,113.63,113.48,113.39,113.39,113.39,60.41,35.38,36.92,36.92,35.38,36.92,36.92,36.92,36.92,37.32,60.59,60.59,60.59,60.59,60.59,60.59,60.59,65.62,65.62,67.07,65.62,65.62,65.62,65.62,51.67,32.32,32.54,32.58,32.58,32.58,32.58,32.58,32.52,48.08,66.41,66.41,66.41,66.41,65.4,66.41,66.41
84.17,84.17,83.59,83.59,83.61,84.17,84.17,74.37,74.37,74.75,74.76,74.76,74.76,74.76,74.37,74.37,74.37,81.2,82.64,82.64,83.08,83.08,82.64,80.53,61.78,61.78,61.78,61.78,61.78,61.78,61.78,56.61,56.49,56.61,56.61,56.61,56.61,56.61,56.61,56.61,56.61,56.61,60.18,60.18,60.18,60.18,60.18,60.18,217.23,218.51,218.51,218.51,218.51,217.24,217.24,51.67,36.87,36.3,36.34,36.34,36.35,36.34,36.34,36.37,36.34,52.72,61.91,61.91,61.91,60.44,61.91,61.91,217.25,217.24,217.24,217.24,217.24,217.24,217.24,60.5,60.5,60.5,60.5,60.53,60.53,60.53,60.5,60.5,60.5,62.03,78.76,78.76,78.73,78.76,80.11,78.76,142.06,116.59,105.77,105.68,105.68,105.45,100.81,65.74,61.53,61.53,61.68,61.68,61.68,61.68,61.68,61.53,61.53,68.06,92.3,109.81,109.85,109.67,91.53,91.53,689.8,371.4,217.24,217.23,210.45,217.24,217.23,57.67,55.46,55.15,55.46,55.46,55.47,55.47,55.46,55.46,55.46,73.95,73.95,80.1,85.88,85.87,73.95,73.56,75.06,72.72,71.88,71.88,71.88,71.88,71.88,65.44,65.44,65.44,65.55,65.51,65.44,65.44,65.44,65.44,65.44,75.96,72.68,72.72,72.68,72.68,72.68,72.68
219.27,217.23,206.05,217.23,217.23,217.23,208.51,61.0,59.6,59.56,59.56,59.51,59.51,59.51,57.97,57.97,59.51,66.51,66.51,66.51,64.3,64.49,64.72,65.5,64.24,64.24,64.24,64.02,64.02,63.64,62.2,56.67,58.14,58.28,58.28,58.33,58.33,58.28,58.21,58.28,71.21,71.64,70.79,71.21,70.98,70.98,71.21,71.21,78.91,78.91,78.91,75.55,74.58,74.58,75.55,69.41,69.94,70.1,70.24,70.1,69.3,69.41,69.27,69.41,78.91,78.91,78.91,78.91,78.91,78.91,78.91,75.46,79.27,79.27,80.92,82.56,79.57,82.19,78.96,59.22,59.36,59.68,59.72,59.78,59.34,59.22,59.36,65.5,78.96,78.96,78.96,80.92,78.96,78.96,78.96,78.96,83.37,83.37,83.37,83.37,77.01,77.1,67.05,57.28,57.27,57.39,57.39,57.28,57.28,57.28,57.27,57.28,61.32,76.36,75.02,75.01,75.01,75.01,74.89,74.91,217.23,217.23,217.23,217.23,217.23,217.23,217.23,65.89,65.79,65.89,65.89,65.89,65.89,65.89,65.79,65.89,68.81,75.79,75.8,75.79,75.79,75.79,75.79,75.79,222.47,222.47,222.47,222.47,222.47,222.47,217.23,53.25,53.24,53.24,53.24,53.25,53.25,53.24,53.25,53.25,55.81,63.04,62.84,63.04,63.04,63.04,63.07,63.46
71.14,64.02,64.02,64.02,64.09,65.65,64.37,64.02,64.02,64.02,64.02,64.05,64.09,64.09,64.02,64.02,64.02,64.02,81.95,81.95,81.95,81.95,81.89,81.89,222.48,222.48,222.48,222.48,217.24,216.38,208.11,59.25,58.5,58.5,58.5,58.73,58.73,58.73,58.65,58.5,59.25,58.65,85.15,85.15,85.26,85.15,85.15,85.08,93.97,93.01,95.96,90.82,83.78,74.73,76.48,56.05,56.05,56.05,56.05,56.21,56.05,56.05,55.91,56.05,58.95,74.73,78.74,78.74,78.74,78.74,78.74,78.7,70.78,66.84,66.84,66.84,66.84,70.38,66.84,61.33,61.33,62.36,62.36,62.34,62.34,62.34,61.33,61.33,61.33,61.86,70.39,70.38,70.33,70.33,70.33,70.36,228.63,222.56,222.48,222.48,222.48,222.48,222.31,58.01,58.01,58.01,58.03,58.1,58.02,58.01,58.01,58.01,58.01,72.28,72.28,72.28,72.28,72.28,72.28,72.28,127.96,115.31,110.99,110.99,110.99,110.99,110.99,59.76,64.67,61.13,61.26,61.46,53.86,59.76,64.67,66.65,66.65,71.86,71.86,71.86,71.86,71.86,71.86,71.86,65.13,65.13,65.13,65.13,65.13,64.97,64.75,62.93,62.93,62.93,63.26,63.3,63.3,63.3,62.93,62.93,63.26,86.0,86.02,86.03,86.02,86.02,86.02,86.02
75.2,75.2,75.2,75.2,75.2,75.2,75.2,71.35,69.48,75.12,75.12,75.18,75.18,70.73,72.83,75.12,73.89,76.71,76.71,79.32,79.32,79.32,79.28,79.28,74.46,74.46,74.46,74.46,74.46,74.46,74.23,72.28,65.47,67.36,67.36,67.36,67.36,67.36,65.47,67.36,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,84.09,84.09,84.09,84.09,84.09,84.09,84.09,68.35,68.03,68.35,64.17,68.36,68.35,67.94,63.61,68.35,68.35,87.88,110.65,112.25,112.25,112.25,112.25,112.25,217.26,217.25,218.51,217.24,217.25,217.24,217.23,62.46,63.4,63.44,63.44,63.65,63.44,63.4,62.8,62.45,61.9,81.07,94.23,97.51,96.64,96.64,96.48,95.92,76.18,71.74,71.74,71.74,71.74,71.6,68.82,63.89,63.68,63.75,63.75,63.85,64.17,63.75,63.75,63.18,63.89,71.73,72.51,71.73,71.74,71.73,69.27,69.05,68.48,68.48,68.48,68.48,68.48,68.48,68.48,68.48,68.48,68.45,68.45,68.5,68.46,68.46,68.46,68.46,68.48,77.63,76.08,75.65,74.14,69.76,71.37,71.26,74.16,74.16,74.16,74.16,74.16,74.16,74.16,65.95,69.26,67.72,73.06,69.91,69.91,73.06,69.91,73.06,73.06,76.98,78.53,77.5,76.88,76.88,76.98,76.88
217.23,217.23,217.23,217.23,217.23,217.23,217.24,217.23,57.05,52.3,52.38,52.38,52.38,52.38,52.35,52.38,201.85,201.85,217.23,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,62.44,60.67,62.14,62.17,62.18,62.28,62.18,62.08,62.2,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,72.49,72.49,72.49,72.49,72.49,72.49,72.5,72.49,58.03,58.03,58.03,58.03,58.15,58.07,58.03,56.65,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,67.29,67.29,67.29,67.29,67.29,73.55,74.77,67.29,59.29,59.24,59.27,59.29,59.29,59.29,59.26,59.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.48,63.48,63.48,63.48,63.48,63.48,63.48,60.52,53.25,53.23,53.25,53.25,53.16,53.12,53.18,54.9,63.39,63.39,63.39,63.39,63.39,63.39,57.05,57.05,63.36,63.36,63.36,62.12,70.75,71.06,70.16,64.34,62.61,62.81,62.14,62.09,62.17,62.14,62.61,62.61,77.93,77.95,80.99,78.64,77.93,77.98,77.93,77.93,82.8,82.44,82.44,82.38,82.44,82.1,82.1,79.33,69.67,69.69,69.72,69.72,69.67,69.67,69.66,69.67,77.51,76.48,77.41,77.41,77.41,77.55,77.41,76.07
217.0,217.32,217.32,217.23,217.23,216.81,216.64,62.84,62.72,62.84,62.84,62.84,62.84,62.61,62.56,62.53,62.72,64.83,84.16,90.31,90.31,90.31,90.31,84.16,217.24,217.23,217.23,217.23,217.23,216.81,95.04,61.44,61.36,61.44,61.44,61.44,61.44,61.44,61.43,60.94,61.44,75.57,101.2,101.2,101.2,101.2,101.2,95.04,217.01,217.01,217.01,217.24,217.24,216.78,101.23,63.52,62.94,63.1,63.21,63.22,63.35,63.3,62.46,62.33,63.1,96.19,99.25,99.92,97.51,96.19,93.76,93.76,76.61,76.61,71.17,71.17,70.88,70.45,64.63,61.49,61.97,62.11,61.49,61.49,61.49,61.49,61.35,61.49,61.97,73.53,76.34,76.61,76.61,70.51,70.51,70.45,58.6,58.37,58.37,58.37,58.37,58.37,58.37,58.37,57.47,58.37,58.37,58.37,58.37,57.81,57.76,58.37,58.37,67.15,65.51,65.45,65.27,65.25,65.11,65.11,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,57.9,58.03,58.15,56.23,57.28,57.23,57.09,57.45,58.82,74.97,74.97,74.97,74.97,74.77,74.38,74.13,76.25,76.25,76.25,76.25,76.25,76.25,75.55,59.52,57.94,58.14,57.99,58.01,58.01,57.99,57.94,59.52,66.13,66.13,67.4,66.43,66.3,66.13,66.13,66.13
84.86,85.08,85.01,85.01,84.86,84.86,82.25,51.67,34.74,34.74,34.74,34.74,34.74,34.74,34.74,35.59,38.65,68.38,68.38,68.38,68.38,68.38,68.38,66.72,201.0,201.0,201.0,201.0,201.0,201.0,64.84,59.77,46.3,46.3,46.3,46.3,46.3,46.3,46.28,46.3,66.67,118.72,121.33,127.64,121.33,121.33,121.33,121.4,484.99,303.14,101.86,101.56,101.86,101.8,96.23,60.07,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,63.54,63.54,65.14,63.54,63.54,63.54,63.54,63.69,63.69,63.69,63.69,60.37,63.69,63.69,41.09,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,37.9,59.45,59.45,59.45,59.45,59.45,59.45,59.17,57.98,58.0,58.0,58.0,58.0,57.86,56.62,43.05,36.01,36.01,36.01,36.01,36.05,36.01,36.01,36.01,43.05,57.41,57.41,57.41,57.41,57.41,57.41,57.41,216.7,216.7,216.7,216.7,216.7,216.7,217.24,60.62,60.4,60.4,60.62,60.62,60.62,60.62,60.62,60.62,60.62,70.59,82.96,82.96,82.96,82.96,81.05,81.16,78.48,78.48,78.48,78.48,78.48,78.34,75.99,57.0,57.0,57.0,57.0,57.0,56.99,56.99,57.0,57.0,57.0,75.89,82.04,92.17,92.18,75.99,75.99,75.99
