0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
60.82,60.82,60.82,60.82,60.82,60.82,60.82,50.72,44.57,50.45,50.51,50.88,50.53,50.5,50.72,49.04,58.39,58.64,58.39,58.39,58.39,58.39,58.39,58.39,61.75,61.75,61.75,61.75,61.75,61.75,61.45,54.9,53.03,54.3,53.38,53.38,53.38,53.38,53.38,53.03,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,65.03,65.03,65.03,65.03,65.03,65.03,65.03,58.22,56.24,56.52,56.6,56.68,56.52,56.52,56.24,56.24,65.03,65.03,65.03,65.03,65.03,65.03,65.03,65.03,66.77,64.23,66.06,71.24,72.38,74.05,66.35,52.73,53.96,54.74,54.74,54.74,54.74,54.74,54.74,55.7,57.85,57.85,57.85,57.85,57.85,57.85,57.85,57.85,54.95,54.95,54.95,54.95,54.95,54.95,54.95,50.9,48.45,48.45,48.45,48.45,48.45,48.45,48.45,49.44,52.48,54.95,54.95,54.95,54.95,54.95,54.95,54.95,57.85,57.85,57.85,57.85,57.85,57.85,57.85,57.85,43.6,44.86,44.86,44.86,44.86,44.86,44.86,51.73,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87,61.0,61.0,61.0,61.04,61.35,61.35,61.35,56.68,48.01,47.92,47.97,48.01,48.01,47.68,47.68,47.92,56.64,56.64,56.64,56.64,56.64,56.64,56.64,56.64
66.63,66.63,66.63,66.63,66.63,66.63,66.64,66.63,66.64,66.66,66.65,66.66,66.63,66.63,66.64,66.63,68.16,66.63,71.13,71.13,71.13,71.13,71.13,66.63,66.82,66.82,66.82,66.82,66.82,66.82,66.82,66.43,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,75.81,75.81,75.81,76.66,75.81,75.81,71.44,70.4,70.52,70.53,70.4,70.13,70.13,70.13,70.4,68.56,64.67,65.08,65.13,65.1,65.12,65.1,64.99,71.61,71.62,73.15,71.62,71.62,71.61,71.61,71.29,71.91,71.91,71.91,69.92,72.14,73.79,69.47,73.79,71.91,67.94,68.25,68.31,68.01,68.31,67.94,67.94,67.94,74.36,75.49,73.88,73.89,73.79,73.79,68.58,69.73,69.73,69.87,69.89,69.89,69.73,69.73,68.77,65.37,65.82,65.82,65.82,65.78,65.82,65.82,67.08,68.87,72.71,72.37,72.37,72.37,72.54,68.62,72.45,67.68,67.68,67.68,67.68,67.68,67.68,67.67,67.07,62.52,61.5,62.58,62.58,62.58,62.58,62.58,64.15,68.01,67.66,67.66,67.66,67.72,67.86,67.68,67.66,67.88,67.76,67.76,67.76,67.88,67.88,67.88,67.88,65.26,65.22,65.97,65.97,65.97,65.97,65.97,67.88,67.88,68.51,70.11,70.28,70.49,70.11,70.04,70.04
96.66,95.49,96.66,96.66,96.99,96.66,96.66,54.42,54.42,54.47,54.47,54.47,54.47,54.47,54.47,54.42,54.47,60.55,60.55,60.55,58.32,58.32,58.32,59.42,69.9,76.75,76.96,76.96,76.96,76.96,76.83,58.46,47.05,47.43,47.43,47.43,47.43,47.43,47.26,47.05,47.43,58.79,58.79,58.79,58.79,58.79,58.79,58.79,226.89,226.89,226.89,226.89,226.89,226.89,216.5,55.58,48.01,48.46,48.49,48.53,48.49,48.46,48.46,48.46,48.46,56.78,56.78,56.78,56.78,56.78,56.78,56.78,62.95,62.95,62.95,62.95,62.95,64.39,64.43,52.48,52.34,52.51,52.48,52.48,52.48,52.48,52.48,52.48,52.48,63.93,64.47,63.1,63.1,64.47,64.49,64.57,216.77,216.47,216.47,216.47,215.77,216.47,198.1,52.48,49.72,49.72,49.72,49.72,49.72,49.72,49.72,49.72,49.72,66.18,66.18,66.18,66.18,66.18,66.18,67.32,113.21,112.86,112.86,112.71,112.62,112.62,112.62,59.64,36.15,36.15,36.15,36.15,36.15,36.15,36.15,36.15,36.55,59.82,59.82,59.82,59.82,59.82,59.82,59.82,64.86,64.86,66.3,64.86,64.86,64.86,64.86,50.9,31.81,31.81,31.81,31.81,31.81,31.81,31.81,31.81,47.31,65.64,65.64,65.64,65.64,64.63,65.64,65.64
83.41,83.4,82.82,82.82,82.84,83.41,83.41,73.6,73.6,73.98,73.99,73.99,73.99,73.99,73.6,73.6,73.6,80.43,81.87,81.87,82.31,82.31,81.87,79.76,61.01,61.01,61.01,61.01,61.01,61.01,61.01,55.84,55.72,55.84,55.84,55.84,55.84,55.84,55.84,55.84,55.84,55.84,59.41,59.41,59.41,59.41,59.41,59.41,216.46,217.75,217.75,217.75,217.75,216.47,216.47,50.9,36.1,35.53,35.57,35.57,35.58,35.57,35.57,35.6,35.57,51.95,61.15,61.15,61.15,59.67,61.15,61.15,216.48,216.47,216.47,216.47,216.47,216.47,216.47,59.73,59.73,59.73,59.73,59.76,59.76,59.76,59.73,59.73,59.73,61.26,77.99,77.99,77.97,77.99,79.35,77.99,141.32,115.85,105.0,104.91,104.91,104.68,100.04,64.97,60.76,60.76,60.91,60.91,60.91,60.91,60.91,60.76,60.76,67.29,91.53,109.04,109.08,108.9,90.76,90.76,689.03,370.63,216.47,216.46,209.68,216.47,216.46,56.9,54.69,54.69,54.69,54.69,54.7,54.7,54.69,54.69,54.69,73.18,73.18,79.36,85.14,85.1,73.18,72.79,74.29,71.95,71.11,71.11,71.11,71.11,71.11,64.68,64.68,64.68,64.78,64.74,64.68,64.68,64.68,64.68,64.68,75.21,71.91,71.95,71.91,71.91,71.91,71.91
218.5,216.46,205.29,216.46,216.46,216.46,207.74,60.23,58.83,58.8,58.8,58.74,58.74,58.74,58.74,58.74,58.74,65.75,65.75,65.75,63.53,63.72,63.96,64.73,63.47,63.47,63.47,63.25,63.25,62.87,61.43,57.44,57.44,57.51,57.51,57.56,57.56,57.51,57.44,57.51,70.44,70.87,70.02,70.44,70.21,70.21,70.44,70.44,78.14,78.14,78.14,74.78,73.81,73.81,74.78,68.64,69.17,69.33,69.47,69.33,68.53,68.64,68.51,68.64,78.14,78.14,78.14,78.14,78.14,78.14,78.14,74.69,78.5,78.5,80.15,81.79,78.8,81.42,78.19,58.45,58.59,58.91,58.95,59.02,58.57,58.45,58.59,64.73,78.19,78.19,78.19,80.15,78.19,78.19,78.19,78.19,82.6,82.6,82.6,82.6,76.24,76.34,66.28,56.51,56.5,56.63,56.63,56.51,56.51,56.51,56.5,56.51,60.55,75.6,74.25,74.24,74.24,74.24,74.12,74.14,216.46,216.46,216.46,216.46,216.46,216.46,216.46,65.13,65.03,65.13,65.13,65.13,65.13,65.13,65.03,65.13,68.04,75.02,75.03,75.02,75.02,75.02,75.02,75.02,221.7,221.7,221.7,221.7,221.7,221.7,216.46,52.48,52.47,52.47,52.48,52.48,52.48,52.47,52.48,52.48,55.04,62.27,62.08,62.27,62.27,62.27,62.3,62.69
70.37,63.25,63.25,63.25,63.32,64.88,63.6,63.25,63.25,63.25,63.25,63.29,63.32,63.32,63.25,63.25,63.25,63.25,81.18,81.18,81.18,81.18,81.12,81.12,221.71,221.71,221.71,221.71,216.47,215.62,207.35,58.48,57.73,57.73,57.73,57.96,57.96,57.96,57.88,57.73,58.48,57.88,84.41,84.41,84.52,84.41,84.41,84.34,93.2,92.24,95.19,90.05,83.01,73.96,75.71,55.28,55.28,55.28,55.28,55.45,55.28,55.28,55.14,55.28,58.18,73.96,77.98,77.98,77.98,77.98,77.98,77.93,70.01,66.07,66.07,66.07,66.07,69.61,66.07,60.57,60.57,61.59,61.59,61.57,61.57,61.57,60.57,60.57,60.57,61.09,69.62,69.61,69.56,69.56,69.56,69.59,227.89,221.79,221.71,221.71,221.71,221.71,221.54,57.24,57.24,57.24,57.26,57.33,57.25,57.24,57.24,57.24,57.24,71.51,71.51,71.51,71.51,71.51,71.51,71.51,127.19,114.55,110.22,110.22,110.22,110.22,110.22,58.99,63.91,60.36,60.49,60.69,54.63,58.99,63.91,65.88,65.88,71.09,71.09,71.09,71.09,71.09,71.09,71.09,64.36,64.36,64.36,64.36,64.36,64.2,63.98,62.16,62.16,62.16,62.49,62.53,62.53,62.53,62.16,62.16,62.49,85.23,85.25,85.26,85.25,85.25,85.25,85.25
74.43,74.43,74.43,74.43,74.43,74.43,74.43,70.58,69.97,74.37,74.37,74.43,74.43,69.97,72.07,74.37,73.14,75.95,75.95,78.55,78.55,78.55,78.51,78.51,73.69,73.69,73.69,73.69,73.69,73.69,73.46,71.55,66.24,66.61,66.61,66.61,66.61,66.62,66.24,66.61,75.73,75.73,75.73,75.73,75.73,75.73,75.73,75.73,83.35,83.35,83.35,83.35,83.35,83.35,83.35,67.58,67.58,67.58,63.4,67.59,67.58,67.58,64.38,67.58,67.58,87.11,109.91,111.51,111.51,111.51,111.51,111.51,216.49,216.49,217.74,216.47,216.49,216.48,216.46,62.67,62.67,62.67,62.67,62.88,62.67,62.67,62.67,62.67,62.67,80.3,93.48,96.78,95.91,95.91,95.75,95.17,75.41,70.97,70.97,70.97,70.97,70.83,68.05,63.12,63.12,63.12,63.12,63.08,63.4,62.98,63.12,63.12,63.12,70.97,71.75,70.97,70.97,70.97,68.5,68.28,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.76,67.72,67.72,67.72,67.72,67.72,76.86,75.31,74.89,73.37,68.99,70.6,70.49,73.39,73.39,73.39,73.39,73.39,73.39,73.39,65.18,68.49,68.49,72.31,69.14,69.14,72.29,69.14,72.29,72.29,76.21,77.76,76.73,76.11,76.11,76.21,76.11
216.46,216.46,216.46,216.46,216.46,216.46,216.5,216.46,56.28,51.61,51.61,51.61,51.61,51.61,51.61,51.61,201.08,201.08,216.49,201.08,201.08,201.08,201.08,201.08,69.32,69.32,69.32,69.32,69.32,69.32,69.32,61.68,61.43,61.43,61.43,61.43,61.51,61.43,61.43,61.43,69.32,69.32,69.32,69.32,69.32,69.32,69.32,69.32,71.76,71.76,71.76,71.76,71.76,71.76,71.77,71.76,57.27,57.27,57.27,57.27,57.38,57.3,57.27,57.27,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,66.53,66.53,66.53,66.53,66.53,72.81,74.03,66.53,58.52,58.52,58.52,58.52,58.52,58.52,58.52,58.52,66.53,66.53,66.53,66.53,66.53,66.53,66.53,66.53,62.71,62.71,62.71,62.71,62.71,62.71,62.71,59.75,52.48,52.48,52.48,52.48,52.48,52.48,52.48,54.13,62.62,62.62,62.62,62.62,62.62,62.62,56.28,56.28,62.59,62.59,62.59,61.35,69.99,70.3,69.4,63.57,61.84,62.05,61.4,61.35,61.4,61.84,61.84,61.84,77.19,77.22,80.26,77.91,77.19,77.24,77.19,77.19,82.05,81.69,81.69,81.64,81.69,81.35,81.37,78.59,68.9,68.93,68.95,68.95,68.9,68.9,68.9,68.9,76.74,75.72,76.64,76.64,76.64,76.79,76.64,75.3
216.23,216.55,216.55,216.46,216.46,216.04,215.87,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,64.06,83.39,89.57,89.57,89.57,89.57,83.39,216.47,216.46,216.46,216.46,216.46,216.04,94.28,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,74.8,100.46,100.46,100.46,100.46,100.46,94.28,216.24,216.24,216.24,216.47,216.47,216.02,100.46,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,95.44,98.51,99.18,96.76,95.42,93.0,93.0,75.84,75.84,70.4,70.4,70.11,69.68,63.86,61.2,61.2,61.35,61.2,61.2,61.2,61.2,61.2,61.2,61.2,72.77,75.6,75.87,75.87,69.74,69.74,69.68,57.83,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,66.39,64.74,64.68,64.5,64.48,64.34,64.34,64.59,64.59,64.59,64.59,64.59,64.59,64.59,58.05,57.13,57.27,57.38,55.46,58.05,57.99,57.86,58.05,58.05,74.23,74.23,74.23,74.23,74.03,73.64,73.38,75.48,75.48,75.48,75.48,75.48,75.48,74.79,58.75,57.17,57.37,57.23,57.24,57.24,57.23,57.17,58.75,65.36,65.36,66.63,65.66,65.54,65.36,65.36,65.36
84.09,84.31,84.24,84.24,84.09,84.09,81.49,50.9,33.97,33.97,33.97,33.97,33.97,33.97,33.97,34.82,37.88,67.61,67.61,67.61,67.61,67.61,67.61,65.95,200.23,200.23,200.23,200.23,200.23,200.23,64.07,59.0,45.53,45.53,45.53,45.53,45.53,45.53,45.53,45.53,65.9,117.95,120.56,126.87,120.56,120.56,120.56,120.63,484.22,302.38,101.09,100.79,101.09,101.04,95.46,59.3,52.48,52.48,52.48,52.48,52.48,52.48,52.48,52.48,52.48,62.77,62.77,64.37,62.77,62.77,62.77,62.77,62.92,62.92,62.92,62.92,59.6,62.92,62.92,40.32,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,37.13,58.69,58.69,58.69,58.69,58.69,58.69,58.4,57.21,57.23,57.23,57.23,57.23,57.09,55.85,42.29,35.24,35.24,35.24,35.24,35.28,35.24,35.24,35.24,42.29,56.64,56.64,56.64,56.64,56.64,56.64,56.64,215.93,215.93,215.93,215.93,215.93,215.93,216.47,59.85,59.63,59.63,59.85,59.85,59.85,59.85,59.85,59.85,59.85,69.82,82.19,82.19,82.19,82.19,80.29,80.39,77.71,77.71,77.71,77.71,77.71,77.57,75.22,56.23,56.23,56.23,56.23,56.23,56.23,56.23,56.23,56.23,56.23,75.12,81.3,91.4,91.41,75.22,75.22,75.22
