0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.17,0.2,0.2923,0.1805,0.3153,0.2918,0.4041,0.3853,0.1678,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853,0.3088,0.3695,0.3705,0.4037,0.2019,0.2817,0.2453,0.2149,0.0679,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566,0.1639,0.212,0.2803,0.4255,0.4931,0.544,0.2998,0.2187,0.1152,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,0.2265,0.4294,0.5476,0.3978,0.3043,0.2731,0.3089,0.3021,0.2355,0.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948,0.2789999999999999,0.4675,0.4873,0.5128,0.4479,0.4018,0.1697,0.2857,0.1561,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.2583,0.4583,0.5787,0.6376,0.6507,0.6163,0.5356,0.4104,0.2437,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131,0.2834,0.3875,0.5406,0.5451,0.5991,0.5678,0.2863,0.1711,0.0451,0.0183,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.144,0.1857,0.34,0.3752,0.2583,0.5076,0.3623,0.5589999999999999,0.2856,0.2459,0.0731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.0936,0.2634,0.3735,0.5888,0.5341,0.4013,0.3007,0.25,0.2373,0.1138,0.0289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.1425,0.3311,0.5181,0.52,0.7016,0.7167,0.6841,0.5988,0.4632,0.2838,0.0927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.133,0.2777,0.3648,0.436,0.6771,0.7172,0.6159,0.5658,0.3916,0.2842,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.1629,0.3005,0.4418,0.4391,0.5534,0.7108,0.6918,0.6038,0.4519,0.2833,0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.1474,0.3503,0.3888,0.6394,0.7054,0.7228,0.6874,0.6016,0.4644,0.2825,0.0889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.1549,0.36,0.5168,0.6208,0.633,0.6612,0.6471,0.5989,0.4608,0.2805,0.088,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1147,0.3091,0.4872,0.6188,0.6991,0.7258,0.7031,0.6249,0.4956,0.3196,0.1225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1152,0.3118,0.4878,0.6156,0.6929,0.7169,0.6922,0.608,0.3046,0.2472,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.2966,0.4893,0.6193,0.6978,0.7219,0.6985,0.6214,0.4923,0.3183,0.1238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1112,0.2674,0.489,0.6163,0.6924,0.7138,0.6877,0.5187,0.4166,0.3117,0.0967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0578,0.0929,0.371,0.285,0.3182,0.3207,0.5097,0.4396,0.3648,0.1381,0.0838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.3163,0.4905,0.615,0.6859,0.7074,0.6829,0.6098,0.4855,0.3157,0.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1218,0.3191,0.4956,0.6243,0.6959,0.7242,0.6996,0.6228,0.4942,0.3187,0.12,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0634,0.1403,0.2621,0.395,0.6092,0.6001,0.5543,0.5277,0.4161,0.237,0.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,0.1423,0.3149,0.4656,0.5539,0.6372,0.6375,0.6198,0.5399,0.337,0.222,0.0962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0801,0.2662,0.2855,0.5777,0.426,0.2777,0.3475,0.5414,0.3461,0.1594,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211,0.1179,0.2861,0.4672,0.5777,0.5653,0.5278,0.5583,0.496,0.415,0.1629,0.0683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.1055,0.2317,0.2241,0.1868,0.4054,0.3608,0.4283,0.208,0.1794,0.0883,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0817,0.3172,0.4679999999999999,0.4366,0.6432,0.6569,0.6231,0.5418,0.4157,0.133,0.0758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.1462,0.1932,0.3155,0.2737,0.4369,0.3795,0.5039,0.52,0.3897,0.2415,0.0624,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.1098,0.299,0.4101,0.5753,0.6602,0.6316,0.634,0.5206,0.3882,0.2689999999999999,0.1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.1281,0.3076,0.4599,0.5537,0.6037,0.6117,0.6128,0.4996,0.2892,0.2757,0.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.1361,0.2214,0.3453,0.4129,0.467,0.3295,0.5919,0.4829,0.3008,0.2054,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.129,0.3117,0.4246,0.4218,0.5754,0.446,0.6125,0.4824,0.3855,0.2278,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.1105,0.2781,0.4678,0.5103,0.6509999999999999,0.5305,0.4878,0.4626,0.4155,0.2763,0.0692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0893,0.2267,0.2123,0.4868,0.5373,0.5820000000000001,0.6102,0.5784,0.4086,0.2908,0.1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.1308,0.2984,0.4654,0.5733,0.6659999999999999,0.6187,0.5162,0.3924,0.3521,0.2467,0.0686,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.1145,0.1641,0.3896,0.3197,0.1305,0.1491,0.1398,0.2131,0.2522,0.0556,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.1055,0.2299,0.3328,0.2685,0.1948,0.3123,0.2666,0.1496,0.1034,0.0867,0.0393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.1444,0.3324,0.4911,0.4959,0.642,0.6751,0.6252,0.502,0.2484,0.2051,0.0518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0585,0.1524,0.1608,0.4979,0.5531,0.6,0.4251,0.474,0.4253,0.259,0.0849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.1612,0.3325,0.4796,0.5827,0.6409,0.6545,0.6213,0.5437,0.4197,0.2561,0.0897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,0.159,0.3334,0.4822,0.5882,0.6493,0.654,0.6316,0.5509,0.4225,0.2572,0.0881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226,0.1604,0.3351,0.4855,0.4767,0.5861,0.6411,0.5751,0.5492,0.4204,0.2558,0.0875,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549,0.0853,0.0919,0.1125,0.1073,0.1401,0.1312,0.1008,0.2861,0.0467,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.1319,0.2103,0.4007,0.5705,0.6533,0.4699,0.3787,0.2117,0.2119,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.2955,0.467,0.5899,0.6582,0.6756,0.6435,0.5671,0.4425,0.2739999999999999,0.0832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034,0.2989,0.4719,0.5955,0.6658,0.6859,0.6548,0.579,0.4527,0.2803,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.2944,0.4637,0.5843,0.6518,0.6712,0.6419,0.5132,0.4482,0.2297,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0733,0.2279,0.2031,0.5956,0.6643,0.6842,0.6537,0.5097,0.4505,0.2796,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0774,0.2898,0.4611,0.5852,0.6568,0.6781,0.65,0.5752,0.4504,0.2802,0.0863,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.1697,0.359,0.494,0.5939,0.5586,0.5279,0.69,0.5902,0.4037,0.2605,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.1748,0.3727,0.5216,0.617,0.682,0.7045,0.6272,0.6012,0.4519,0.2285,0.0516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.1414,0.3459,0.5181,0.6046,0.6485,0.735,0.6803,0.5618,0.4499,0.2607,0.0701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163,0.1794,0.3778,0.5428,0.6412,0.7236,0.7368,0.6983,0.5753,0.4623,0.2735,0.0707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164,0.1807,0.379,0.5422,0.6538,0.7131,0.7228,0.6839,0.594,0.4534,0.268,0.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173,0.1792,0.3754,0.5351,0.6462,0.7078,0.7202,0.6814,0.5917,0.451,0.2658,0.0677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.1795,0.3752,0.4539,0.6493,0.7106,0.7235,0.6829,0.5926,0.4495,0.263,0.0691,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.1495,0.0913,0.4384,0.6316,0.3762,0.1189,0.1103,0.3399,0.272,0.0377,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.1508,0.3592,0.3724,0.5176,0.6829,0.674,0.6115,0.4416,0.2303,0.0716,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0742,0.0593,0.0789,0.1364,0.1234,0.1111,0.1662,0.2329,0.2531,0.1379,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0935,0.1208,0.2265,0.1989999999999999,0.1245,0.111,0.1054,0.0909,0.0674,0.0487,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.1507,0.3095,0.3363,0.1573,0.3639,0.5116,0.4055,0.2147,0.1007,0.0372,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0856,0.1338,0.1909,0.3478,0.4625,0.6653,0.5321,0.1605,0.2939,0.0591,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.1379,0.1931,0.2631,0.1901,0.1959,0.2319,0.2076,0.2394,0.1289,0.0676,0.0018,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163,0.1285,0.2999,0.4508,0.5323,0.5548,0.62,0.475,0.4797,0.3629,0.2291,0.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,0.1209,0.3003,0.4544,0.5641,0.6298,0.6483,0.4013,0.4447,0.4043,0.2524,0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139999999999999,0.1229,0.3057,0.4221,0.4405,0.6267,0.6441,0.6166,0.5424,0.4227,0.266,0.1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163,0.1384,0.3015,0.4473,0.5549,0.6191,0.6383,0.6117,0.5392,0.421,0.2657,0.1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.1376,0.3013,0.4515,0.5624,0.6281,0.6472,0.6195,0.5437,0.423,0.2663,0.1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.1292,0.3022,0.4075,0.5259,0.5423,0.5566,0.3634,0.4081,0.3689,0.2672,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.1233,0.2525,0.4405,0.5383,0.5636,0.5568,0.5102,0.4691,0.2802,0.1695,0.0601,0.0,0.0,0.0,0.0,0.0
