,500MW_0,500MW_1,500MW_2,500MW_3,500MW_4
steam_eff,0.0,0.0,0.0,0.0,0.0
Qs,0.0,0.0,0.0,0.0,0.0
P_out_net,0.0,0.0,0.0,0.0,0.0
F_salt,0.0,0.0,0.0,0.0,0.0
deltaA,0.0,0.0,0.0,0.0,0.0
deltaB,0.0,0.0,0.0,0.0,0.0
flowsteamPeak,0.0,0.0,0.0,0.0,0.0
coal_steam_eff,0.4101361361436945,0.4109911470039681,0.4101361359621803,0.40869684537793627,0.4108806868813644
target_pressure,0.0475,0.0475,0.0475,0.05,0.0475
HP_output_T_MS,0.0,0.0,0.0,0.0,0.0
HP_output_P_MS,0.0,0.0,0.0,0.0,0.0
IP_input_T_MS,0.0,0.0,0.0,0.0,0.0
IP_input_P_MS,0.0,0.0,0.0,0.0,0.0
LP_input_T_MS,0.0,0.0,0.0,0.0,0.0
LP_input_P_MS,0.0,0.0,0.0,0.0,0.0
LP_output_T_MS,0.0,0.0,0.0,0.0,0.0
LP_output_P_MS,0.0,0.0,0.0,0.0,0.0
LP_vaporfraction_MS,0.0,0.0,0.0,0.0,0.0
HP_output_T_coal,317.928257,318.255771,317.928257,318.94579,318.351877
HP_output_P_coal,41.6781077,42.6587691,41.6781077,41.4329424,42.4871533
IP_input_T_coal,537.0,538.0,537.0,538.0,538.0
IP_input_P_coal,36.6781077,37.6587691,36.6781077,36.4329424,37.4871533
LP_input_T_coal,311.323336,311.942772,311.323336,312.163914,311.973725
LP_input_P_coal,7.33562154,7.53175382,7.33562154,7.28658848,7.49743067
LP_output_T_coal,35.1386392,35.1386392,35.1386392,36.0330992,35.1386392
LP_output_P_coal,0.0475,0.0475,0.0475,0.05,0.0475
LP_vaporfraction_coal,0.898026251,0.896908764,0.898026251,0.900279862,0.897166849
coal_power_net,-544.91149,-539.299367,-538.306502,-537.763964,-540.496179
flowsteam_calibrated,352.777778,348.501684,348.501684,349.027778,349.305556
