,500MW_0,500MW_1,500MW_2,500MW_3,500MW_4
steam_eff,0.41013615654853997,0.41099117974780003,0.41013615881894194,0.4101869731034874,0.4108807161887645
Qs,-3467832.1999999993,-3468596.8000000007,-3467832.1999999993,-3470464.3000000007,-3468858.3000000007
P_out_net,544.8106126855,539.1973325954999,538.2068492055,539.6563642455,540.3943266846875
F_salt,3952.1936,3904.33046,3904.33046,3914.0253300000004,3914.0253300000004
deltaA,27.850000000000023,26.850000000000023,27.850000000000023,26.850000000000023,26.850000000000023
deltaB,240.0,240.0,240.0,240.0,240.0
flowsteamPeak,352.777778,348.501684,348.501684,349.027778,349.305556
coal_steam_eff,0.4101361361436945,0.4109911470039681,0.4101361359621803,0.4101869515815742,0.4108806868813644
target_pressure,0.0475,0.0475,0.0475,0.0475,0.0475
HP_output_T_MS,591.078182,591.405667,591.078182,592.095716,591.501777
HP_output_P_MS,4167810.77,4265876.91,4167810.77,4143294.24,4248715.33
IP_input_T_MS,810.15,811.15,810.15,811.15,811.15
IP_input_P_MS,3667810.77,3765876.91,3667810.77,3643294.24,3748715.33
LP_input_T_MS,584.473336,585.092772,584.473336,585.313914,585.123725
LP_input_P_MS,733562.154,753175.382,733562.154,728658.848,749743.067
LP_output_T_MS,308.288639,308.288639,308.288639,308.288639,308.288639
LP_output_P_MS,4750.0,4750.0,4750.0,4750.0,4750.0
LP_vaporfraction_MS,0.898026251,0.896908764,0.898026251,0.898775855,0.897166849
HP_output_T_coal,317.928257,318.255771,317.928257,318.94579,318.351877
HP_output_P_coal,41.6781077,42.6587691,41.6781077,41.4329424,42.4871533
IP_input_T_coal,537.0,538.0,537.0,538.0,538.0
IP_input_P_coal,36.6781077,37.6587691,36.6781077,36.4329424,37.4871533
LP_input_T_coal,311.323336,311.942772,311.323336,312.163914,311.973725
LP_input_P_coal,7.33562154,7.53175382,7.33562154,7.28658848,7.49743067
LP_output_T_coal,35.1386392,35.1386392,35.1386392,35.1386392,35.1386392
LP_output_P_coal,0.0475,0.0475,0.0475,0.0475,0.0475
LP_vaporfraction_coal,0.898026251,0.896908764,0.898026251,0.898775855,0.897166849
coal_power_net,-544.91149,-539.299367,-538.306502,-539.755567,-540.496179
flowsteam_calibrated,352.777778,348.501684,348.501684,349.027778,349.305556
lmtd_salt,97.8583203,96.5711102,97.8595002,97.3820077,96.6871679
UA,13750102.0,13764942.9,13583270.4,13683705.1,13781936.8
