,700MW,600MW,660MW,500MW,250MW,210MW,195_200MW,140MW,120_125MW,100_110MW,500MW_0,500MW_1,500MW_2,500MW_3,500MW_4,250MW_0,250MW_1,250MW_2,250MW_3,250MW_4,210MW_0,210MW_1,210MW_2,210MW_3,210MW_4,210MW_5,210MW_6,210MW_7,210MW_8,210MW_9,210MW_10,210MW_11,210MW_12,210MW_13,210MW_14,210MW_15,210MW_16,210MW_17,210MW_18,210MW_19,210MW_20,210MW_21,210MW_22,210MW_23,210MW_24,210MW_25,210MW_26,210MW_27,210MW_28,210MW_29,210MW_30,210MW_31,210MW_32,210MW_33,210MW_34,210MW_35,210MW_36,210MW_37,210MW_38,210MW_39,210MW_40,210MW_41,210MW_42,210MW_43,210MW_44,210MW_45,210MW_46,210MW_47,210MW_48,195_200MW_0,195_200MW_1,195_200MW_2,195_200MW_3,195_200MW_4,140MW_0,140MW_1,140MW_2,140MW_3,120_125MW_0,120_125MW_1,120_125MW_2,120_125MW_3,120_125MW_4,120_125MW_5,120_125MW_6,120_125MW_7,120_125MW_8,100_110MW_0,100_110MW_1,100_110MW_2,100_110MW_3,100_110MW_4,100_110MW_5,100_110MW_6,100_110MW_7
steam_eff,0.42465583428320736,0.4149807100677539,0.4149807093736371,0.4104754589232709,0.40680471974882404,0.405030306712157,0.4037476951233397,0.4032861602918244,0.4022596415373012,0.40149037544048227,0.41013615841435924,0.4109911795631514,0.41013615908704776,0.41018697413588057,0.4108807178111626,0.4065603752539826,0.4065603752539826,0.40694929879897385,0.405962381912215,0.40798477127882554,0.40659456415892364,0.4059623818230194,0.4028265258139249,0.4069828339252483,0.40719379375752723,0.40554005093858037,0.4071937926145113,0.4015387375754917,0.4044603730660726,0.40719379265882866,0.4071937941887085,0.40400613094484195,0.4025826963718298,0.4025826965338186,0.4055400511606327,0.40719379281108187,0.4065945645614945,0.4063908146453731,0.40001884025077944,0.40104371849265325,0.4071937931148958,0.40613719305029516,0.40178207908859603,0.4017820799979367,0.4017820800219504,0.4034121548542587,0.4061371918446711,0.40282652589574935,0.4061371919565085,0.40613719181384356,0.4061371928558358,0.40613719248987884,0.40613719247056396,0.40554005089544715,0.40554005089544715,0.405540050696715,0.40556024514097766,0.4042344654624912,0.40423446612653824,0.4063840104266688,0.4055602449475929,0.4017820797071279,0.4061371918350645,0.4071937935788446,0.4071937936740731,0.4071937936740731,0.40656037596244365,0.40116853074337666,0.4017820791955985,0.4066148274542731,0.4024960266349945,0.40104371886819207,0.40407488861549,0.40423446448876915,0.4024091754074738,0.40282652502557226,0.40178207929721316,0.40596895612470096,0.4029232997925764,0.4017820800195036,0.40190772353306886,0.4017820786858902,0.4014613554108615,0.4017781009212384,0.40354201061932726,0.40178207908073155,0.4033061346591121,0.3892024257269839,0.40187865340365425,0.40178207931557197,0.4025826962435486,0.404905070275744,0.4045724290463369,0.40129263531098214,0.40282652659722895
Qs,-3492277.0999999996,-3519954.299999999,-3519954.299999999,-3468701.5,-3476427.9000000004,-3478885.5,-3482869.9000000004,-3486180.1999999993,-3483686.9000000004,-3485099.3000000007,-3467832.1999999993,-3468596.8000000007,-3467832.1999999993,-3470464.3000000007,-3468858.3000000007,-3475305.0,-3475305.0,-3474558.6999999993,-3476424.200000001,-3480517.5999999996,-3483151.9000000004,-3476424.200000001,-3489449.4000000004,-3479794.0,-3482039.0999999996,-3471941.1000000015,-3482039.0999999996,-3478672.4000000004,-3486858.0,-3482039.0999999996,-3482039.0999999996,-3487598.700000001,-3489819.4000000004,-3489819.4000000004,-3471941.1000000015,-3482039.0999999996,-3483151.9000000004,-3483522.8000000007,-3480912.4000000004,-3479419.1999999993,-3482039.0999999996,-3470817.700000001,-3478298.9000000004,-3478298.9000000004,-3478298.9000000004,-3475682.6999999993,-3470817.700000001,-3489449.4000000004,-3470817.700000001,-3470817.700000001,-3470817.700000001,-3470817.700000001,-3470817.700000001,-3471941.1000000015,-3471941.1000000015,-3471941.1000000015,-3471903.6999999993,-3487228.299999999,-3487228.299999999,-3480908.9000000004,-3471903.6999999993,-3478298.9000000004,-3470817.700000001,-3482039.0999999996,-3482039.0999999996,-3482039.0999999996,-3475305.0,-3479232.5,-3478298.9000000004,-3483114.799999999,-3477178.0,-3479419.1999999993,-3487487.5,-3487228.299999999,-3484987.8000000007,-3489449.4000000004,-3478298.9000000004,-3492095.0,-3489301.4000000004,-3478298.9000000004,-3483204.200000001,-3478298.9000000004,-3483873.799999999,-3485433.4000000004,-3488339.0999999996,-3478298.9000000004,-3488709.299999999,-3493199.0999999996,-3478149.4000000004,-3478298.9000000004,-3489819.4000000004,-3486117.200000001,-3486672.9000000004,-3479045.9000000004,-3489449.4000000004
P_out_net,360.05024612,312.86503077,337.46839307999994,268.1665605055,136.51088885275,114.60499973712311,108.47009791006899,76.97167331795309,66.3095806613986,60.19613365276109,272.3066027155,269.4962266455,269.00334160550005,269.72885611550004,270.0953998146875,136.88021230275,136.88021230275,134.92970102275,136.54352487274997,137.27011567275,115.61799261750998,116.24965031673618,113.74522879751,113.73932299596241,115.25260896751,114.86405438750998,115.25260906751,115.26958737596239,116.21557425750999,115.61889701588503,117.98352980611716,113.83075335750999,114.55172087751,114.88995637750998,115.33746322751,114.79204050750998,113.33843339557549,113.96323549751,115.10151860750997,114.95115521751,115.25260906751,114.14094972751,114.71781728750999,115.07113824681358,115.38163260750999,118.51017836750998,116.78203049534335,114.68162836751,115.28792585750998,115.17347569751,115.84532047750999,115.59660846751001,114.04727960750999,114.86405438750998,114.86405438750998,114.42830377751001,114.61277799751,114.27549430751,113.45494484750999,115.4682165154981,114.87208280750998,113.84950636751,115.41465069751,114.24911261588501,115.25260906611715,115.25260906751,113.86472960751,113.55964634751,116.04277309751001,106.666460075545,108.60551109619999,108.37362834585177,112.1896355662,112.21332816585179,79.15649119734,79.48607757133999,79.97754869845015,76.60842591134,66.23872753671999,67.72125258372,66.32374762272,68.49619866272,68.10659295972002,66.23552288472,67.27039750572,68.03165844155929,69.280995033375,60.2210480141,59.862274959755,63.07169514240999,60.27619996941,59.76197465540999,60.213060817409996,62.39148641341,62.58347454740999
F_salt,2536.28055,2242.8946889999997,2419.6706400000003,1944.6854009999997,997.85637,841.001275,798.159126,567.089216,489.76339499999995,445.391265,1976.0059310000001,1952.1656,1952.1656,1957.09788,1957.09788,1001.098145,1001.098145,986.121233,1000.044866,1000.7798379999999,845.446702,851.417377,838.4059990000001,831.138968,841.736242,842.217024,841.695375,852.3402719999999,853.712786,844.415857,861.832751,836.918725,845.013668,847.2776719999999,845.5097599999999,838.3761,828.717895,833.591287,853.922903,850.96793,841.736427,835.856198,847.8941629999999,850.4214360000001,852.7075600000001,872.771656,855.141754,845.300538,844.157157,843.344612,848.325898,846.513373,834.959767,842.416367,842.416367,838.984704,840.3120289999999,839.732195,833.756804,844.7990749999999,841.98069,841.355365,845.174478,834.41597,841.8206729999999,841.8206729999999,832.943652,840.382002,857.4590310000001,780.2384010000001,801.460325,802.237057,824.745546,824.745546,584.309794,586.316632,591.29906,561.0718360000001,488.437588,500.789304,490.253654,506.514311,503.893447,489.710533,495.380196,503.079728,510.422811,458.217717,442.634307,466.490057,444.881027,438.903389,442.56248700000003,461.915076,461.56350899999995
deltaA,4.850000000000023,4.850000000000023,4.850000000000023,27.25,27.25,27.549999999999955,26.850000000000023,25.850000000000023,27.450000000000045,27.350000000000023,27.850000000000023,26.850000000000023,27.850000000000023,26.850000000000023,26.850000000000023,27.850000000000023,27.850000000000023,27.850000000000023,27.850000000000023,24.850000000000023,24.850000000000023,27.850000000000023,24.850000000000023,25.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,25.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,27.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,26.850000000000023,24.850000000000023,29.850000000000023,21.850000000000023,24.850000000000023,29.850000000000023,27.850000000000023,29.850000000000023,27.850000000000023,27.049999999999955,24.850000000000023,29.850000000000023,24.850000000000023,29.850000000000023,29.850000000000023,29.850000000000023,24.850000000000023,24.850000000000023,24.850000000000023,29.850000000000023,24.850000000000023
deltaB,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
flowsteamPeak,225.378788,196.666667,212.121212,173.541948,88.7084035,74.664352,70.7359005,50.194655,43.3796297,39.4236813,176.388889,174.250842,174.250842,174.513889,174.652778,89.0291805,89.0291805,87.724467,88.870581,88.858586,74.9719415,75.6748035,74.116863,73.800505,74.6843435,74.9684345,74.6843435,75.618687,75.55766,74.9214365,76.45202,74.0530305,74.6675085,74.8877665,75.2770765,74.3862235,73.4953705,73.9176485,75.6748035,75.462963,74.6843435,74.4472505,75.2314815,75.462963,75.666386,77.5462965,76.1679295,74.726431,75.1945145,75.1199495,75.55766,75.395623,74.3862235,74.9684345,74.9684345,74.6843435,74.80289,74.3195845,73.786476,74.9719415,74.9719415,74.662598,75.2770765,74.0347925,74.6843435,74.6843435,74.074074,74.537037,76.099537,69.1719275,71.1574075,71.14899,72.979798,72.979798,51.731201,51.8132715,52.469136,49.5833334,43.1818182,44.4374299,43.4273289,44.9452862,44.6212121,43.3431538,43.8166386,44.640853,45.1388889,40.3619529,39.281706,41.3902918,39.3181818,38.8636364,39.1729798,40.9722222,40.8073794
coal_steam_eff,0.42465591417082504,0.41498071040207424,0.4149807111597966,0.41047543566596145,0.4068047157708932,0.40503030464742973,0.4037477108684489,0.40328617154495827,0.4022596485283971,0.4014903803370265,0.4101361361436945,0.4109911470039681,0.4101361359621803,0.4101869515815742,0.4108806868813644,0.40656037195947264,0.40656037195947264,0.4069492929835657,0.40596237834575544,0.4079847642849456,0.40659456025728924,0.4059623792833584,0.4028265342369134,0.4069828279616113,0.4071937883016628,0.4055400469493229,0.4071937883016628,0.40153874257895855,0.40446039301795494,0.4071937880377666,0.4071937882163545,0.40400614609825214,0.402582702150723,0.40258270275094965,0.4055400483840423,0.4071937891369984,0.4065945599170289,0.40639081119354953,0.40001884277614175,0.40104372239295677,0.4071937883016628,0.40613718860879083,0.4017820852105392,0.40178208559603,0.40178208582082287,0.4034121723618654,0.40613718888483785,0.40282653348172376,0.40613718811010785,0.4061371882561374,0.4061371876684345,0.40613718847774133,0.40613718927521275,0.4055400469493229,0.4055400469493229,0.4055400473728296,0.40556024266419566,0.40423448349088187,0.4042344822518484,0.40638400747495573,0.40556024330365886,0.4017820847621318,0.4061371882957962,0.4071937882740787,0.4071937883016628,0.4071937883016628,0.40656037206607043,0.4011685354744998,0.40178208638946317,0.4066148228914786,0.4024960361691697,0.4010437217080031,0.404074904707939,0.404234484536368,0.40240918314152496,0.40282653293736986,0.40178208613196004,0.4059689532519834,0.40292330697353923,0.40178208601896476,0.4019077290535832,0.4017820863522731,0.401461360397259,0.4017781065323436,0.403542021864686,0.40178208551710876,0.4033061453317839,0.38920242570573965,0.40187866039923337,0.4017820857476248,0.4025827025312418,0.4049050975042298,0.40457245068230646,0.4012926396835855,0.4028265338596536
target_pressure,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475
HP_output_T_MS,602.239204,611.275304,611.275304,591.425552,594.35377,595.317123,596.883125,598.177954,597.229814,597.797018,591.078182,591.405667,591.078182,592.095716,591.501777,593.917945,593.917945,593.628635,594.354003,595.943441,596.962751,594.354002,599.457414,595.659698,596.530349,592.614102,596.530348,595.295152,598.421369,596.530348,596.530348,598.71616,599.606382,599.606382,592.614102,596.530348,596.962751,597.107429,596.206476,595.598001,596.530348,592.175575,595.144081,595.144081,595.144081,594.093389,592.175575,599.457414,592.175575,592.175575,592.175575,592.175575,592.175575,592.614102,592.614102,592.614102,592.599447,598.568641,598.568641,596.093312,592.599444,595.144081,592.175575,596.530348,596.530348,596.530348,593.917945,595.522201,595.144081,596.948298,594.692311,595.598001,598.671879,598.568641,597.732405,599.457414,595.144081,600.435024,599.397893,595.144081,597.050035,595.144081,597.321114,597.920003,599.011937,595.144081,599.160189,601.352946,595.08372,595.144081,599.606382,598.12758,598.347827,595.446459,599.457414
